fold,minutes,cohort,arm,study,n,symbols,natural_n,censored_n,selected_n,matched_n,unmatched_n,matched_symbols,mean_gross_bp,mean_net_bp,median_net_bp,natural_mean_net_bp,win_pct,profit_factor,matched_case_net_bp,control_net_bp,mean_net_ex_top3_bp,top3_positive_profit_pct,median_mfe_r,median_net_r,median_capture_ratio,portfolio_net_pct,mdd_pct,adverse_mdd_bound_pct,capital_sleeves,curve_symbols,cost_bp,funding_included,excess_bp,p,months,p_resolution,ci_low,ci_high,p_holm,p_holm_primary
audit_pre,240,high_vol,base,external_cross_coin_diagnostic,136,84,130,6,136,135,1,84,75.56911846337908,55.56911846337906,-558.7541395069911,38.62557645001693,29.411764705882355,1.1205477673613577,61.90296630659588,-86.93811437083565,-144.29219279880135,38.07605500258028,1.0330830638665165,-1.0210690105839624,-0.6556952723209778,0.307087464254141,-1.721425782906516,-1.7589478306488382,215,204,20,False,148.84108067743153,0.1875,5,0.03125,-68.81267113702145,414.3805646557231,0.9375,1.0
audit_pre,240,high_vol,exit_chandelier,external_cross_coin_diagnostic,136,84,133,3,136,135,1,84,92.33061852452128,72.33061852452128,-211.4371144584776,74.5901031777162,38.970588235294116,1.2231785710918481,78.78862562745026,-33.55627236914418,-50.12473313139225,30.611105209869105,0.9569059612643892,-0.3128427770663746,-0.2763102869234285,0.47313206993944146,-0.5485341640548369,-0.5803495413488902,215,204,20,False,112.34489799659443,0.21875,5,0.03125,-109.37519449659408,302.09004294510237,0.9375,1.0
audit_pre,240,high_vol,exit_fixed3r,external_cross_coin_diagnostic,136,84,130,6,136,135,1,84,186.54164301170096,166.54164301170093,-622.7661196584045,177.69269729557922,33.088235294117645,1.3370327965105637,173.6975095552757,117.35871361783872,92.30910845861757,11.543937641652622,1.0344511397234009,-1.0244246920762299,-0.745770730421695,1.2024634255949573,-0.8113955510586357,-0.8462139702124949,215,204,20,False,56.33879593743699,0.3125,5,0.03125,-142.69599924067538,236.1219394127214,0.9375,1.0
audit_pre,240,high_vol,exit_sma60,external_cross_coin_diagnostic,136,84,131,5,136,135,1,84,-7.416662947099479,-27.416662947099496,-426.70536463416784,-24.651247669696037,31.61764705882353,0.92973516725956,-21.697524595812173,-99.80797698707694,-137.797745462196,29.589084444868384,0.970746038761257,-0.6174414510093362,-0.5503502206870072,-0.16694661432109514,-1.0411218968454872,-1.0778636295725175,215,204,20,False,78.11045239126477,0.1875,5,0.03125,-54.8577497331606,189.09821791357007,0.9375,1.0
audit_pre,240,high_vol,signal5,external_cross_coin_diagnostic,175,91,164,11,175,174,1,91,28.3892830863355,8.389283086335485,-587.4222157489739,-54.06127141035285,26.857142857142858,1.0173827199911627,13.032326899308034,-78.42459581008097,-149.76826763152295,31.687682153844516,0.9092308847619504,-1.0221717425397476,-0.96592232988694,-0.03421233816307545,-2.3661955621662845,-2.4166526031041524,215,204,20,False,91.45692270938906,0.3125,5,0.03125,-114.58520639932833,309.16925965958495,0.9375,1.0
audit_seen,60,all_core,base,external_cross_coin_diagnostic,1671,207,1634,37,1671,1671,0,207,4.497354336920077,-15.502645663079933,-219.8804447397584,-26.700088160739003,24.536205864751643,0.9286903232395936,-15.502645663079933,-85.85135481084508,-35.772670757567525,10.008011692794502,1.0465329723179633,-1.0524002880537444,-0.7697175662238653,-1.6343955223893203,-6.6991406925278945,-6.847671942827027,215,215,20,False,70.34870914776512,0.125,3,0.125,64.70513068324236,73.90263884882481,0.625,
audit_seen,60,all_core,exit_chandelier,external_cross_coin_diagnostic,1671,207,1662,9,1669,1671,0,207,-19.247841569523725,-39.24784156952374,-138.77263889348177,-41.13609775717606,32.25613405146619,0.7498114490062253,-39.24784156952374,-68.56172993968526,-46.84223627482125,6.384938488754457,0.9474536763383145,-0.5238844388039559,-0.3952985432300474,-3.1530263433594885,-3.412350385917018,-3.734667274870851,215,215,20,False,29.31388837016154,0.25,3,0.125,-3.984108602406933,80.95631391051559,0.625,
audit_seen,60,all_core,exit_fixed3r,external_cross_coin_diagnostic,1671,207,1628,43,1574,1671,0,207,15.251569573659733,-4.748430426340285,-239.52942657140207,-7.773288550036151,26.98982645122681,0.9799096214785462,-4.748430426340285,-60.415181225970755,-10.478778995942161,2.4660672320906065,1.1166715574965485,-1.061326406969026,-0.7993547291638498,-0.6637116848248525,-3.6482585102796006,-3.8205593463750187,215,215,20,False,55.66675079963048,0.125,3,0.125,37.87270947411284,74.2701430760221,0.625,
audit_seen,60,all_core,exit_sma60,external_cross_coin_diagnostic,1671,207,1641,30,1671,1671,0,207,0.923805808940731,-19.07619419105928,-188.06994226661544,-21.94571931256905,24.95511669658887,0.9007480251206404,-19.07619419105928,-55.56348306884378,-31.69784762718156,7.2576796037120666,0.9643008509236,-0.8232893881676169,-0.7258064516129097,-1.6829089241030326,-4.870265588038025,-4.970934065551591,215,215,20,False,36.487288877784486,0.125,3,0.125,3.751265893434795,53.31168812698705,0.625,
audit_seen,60,all_core,gate_box_break,external_cross_coin_diagnostic,357,177,352,5,357,357,0,177,15.60607339782787,-4.393926602172146,-245.9646130888937,-26.4419358825513,23.249299719887954,0.9813983060659941,-4.393926602172146,-77.7569988038682,-60.94196766712788,24.172464299474743,1.0465329723179633,-1.0579830874542653,-0.8564376866791912,-0.10658011976685255,-1.4938604003462141,-1.509015489385468,215,215,20,False,73.36307220169606,0.25,3,0.125,-9.647211319006143,125.39821599489373,0.625,
audit_seen,60,high_vol,base,external_cross_coin_diagnostic,424,112,409,15,424,423,1,112,-29.313167715985468,-49.31316771598549,-316.1131954639773,-86.04030223689811,24.528301886792452,0.843276718501345,-50.6730232122314,-125.85977185468883,-129.863840931577,30.011463594396066,0.9775349706298793,-1.0355758936172665,-0.8435142207995755,-1.405662635771321,-2.2973327872056193,-2.4229877388669663,215,215,20,False,75.18674864245746,0.125,3,0.125,14.328603064064877,173.871002118322,0.625,1.0
audit_seen,60,high_vol,exit_chandelier,external_cross_coin_diagnostic,424,112,419,5,424,423,1,112,-11.640642402587016,-31.640642402587037,-183.05838761978887,-36.798095748836325,32.31132075471698,0.8564103946327043,-32.37829843077297,-83.9211041095739,-60.67491080599663,15.157835763024597,0.9327390101744555,-0.48895176111622785,-0.3709161200901429,-0.7343207109437255,-1.1754668848967031,-1.4701189268685244,215,215,20,False,51.54280567880094,0.125,3,0.125,21.51260228417623,186.49404996631216,0.625,1.0
audit_seen,60,high_vol,exit_fixed3r,external_cross_coin_diagnostic,424,112,411,13,406,423,1,112,-4.127194758263577,-24.12719475826359,-352.7074401256103,-32.53298092999007,27.358490566037734,0.930103773263359,-26.39787415049332,-92.6258300495665,-45.99830157778307,6.710811472767915,1.064264657123208,-1.0407367579882703,-0.8547079997261227,-0.9543283880836695,-1.3821093137122764,-1.527444375397613,215,215,20,False,66.22795589907317,0.125,3,0.125,43.869819183383335,169.01999198788766,0.625,1.0
audit_seen,60,high_vol,exit_sma60,external_cross_coin_diagnostic,424,112,418,6,424,423,1,112,-18.974612139546867,-38.97461213954689,-272.9723081774199,-44.8033146100804,26.179245283018872,0.8575318928116369,-40.93770671212159,-97.59840750554979,-87.53008249332079,20.43378200491994,0.926918828908945,-0.8005677242663114,-0.7727811179933083,-0.9750290173423992,-1.5247007572002036,-1.6880400587277578,215,215,20,False,56.66070079342823,0.125,3,0.125,11.758011126324288,179.5336786483552,0.625,1.0
audit_seen,60,high_vol,gate_box_break,external_cross_coin_diagnostic,96,63,93,3,96,95,1,63,12.189601997790087,-7.810398002209922,-355.3510561348983,-86.12174757695571,20.833333333333336,0.9767498972645934,-13.428462267454538,-123.43722846497424,-190.2489726450176,53.78938094932232,0.8319076756296154,-1.0400394939616915,-1.0896339992839161,-0.04694228783990173,-0.7363761833723448,-0.7477471467903896,215,215,20,False,110.00876619751969,0.25,3,0.125,-95.36703923477658,289.20114387834326,0.625,1.0
audit_seen,240,all_core,base,external_cross_coin_diagnostic,362,172,338,24,362,357,5,172,-174.55844363341515,-194.55844363341518,-471.2522427928411,-223.24166592244094,22.375690607734807,0.5521553984100543,-193.1035702466794,-277.5793706124508,-237.8177267540526,17.212508989040995,0.9784539246167858,-1.022447358295917,-0.7321633193977367,-3.151035530823776,-5.645612009795986,-5.812095103197789,215,205,20,False,84.47580036577136,0.25,3,0.125,-24.55354920376127,233.7565736529635,0.75,
audit_seen,240,all_core,exit_chandelier,external_cross_coin_diagnostic,362,172,345,17,362,357,5,172,-1.4795410772187187,-21.47954107721873,-203.78210909422432,-20.74857349700725,37.84530386740331,0.9272305184318147,-22.948319404691272,-93.53279062415419,-47.174972351055004,9.245575642185083,0.9780130174524129,-0.3577239954975275,-0.2500000000000053,-0.22480001143846406,-2.8438740699877063,-2.9354272590609853,215,205,20,False,70.58447121946293,0.125,3,0.125,15.065663699297678,149.55461070519945,0.625,
audit_seen,240,all_core,exit_fixed3r,external_cross_coin_diagnostic,362,172,319,43,347,357,5,172,-78.06706028285053,-98.06706028285058,-506.98996400789787,-135.98905027519817,27.624309392265197,0.7907032731080487,-99.6092580305934,-172.51187046073488,-131.93967508095042,8.847569612965234,1.0248463201336433,-1.0268381083440132,-0.7798434148837963,-1.231538972226509,-3.68077060620019,-3.906319333576125,215,205,20,False,72.90261243014153,0.125,3,0.125,38.60997651341137,96.46732765795761,0.625,
audit_seen,240,all_core,exit_sma60,external_cross_coin_diagnostic,362,172,344,18,362,357,5,172,-110.0140062696465,-130.01400626964653,-376.0734303794905,-150.33286175444428,27.348066298342545,0.6528659727858351,-130.34392639755742,-174.96055476654556,-171.40589808465828,16.346786178572355,0.8560177555438719,-0.6543931861280721,-0.7179487179487173,-2.0768992696939215,-4.244482608789646,-4.361046817959102,215,205,20,False,44.616628368988124,0.5,3,0.125,-64.52919951395698,213.21356922337586,0.75,
audit_seen,240,all_core,signal5,external_cross_coin_diagnostic,424,178,398,26,424,419,5,178,116.88542477683336,96.88542477683336,-479.1121929585407,88.5912781516759,23.11320754716981,1.2224142365229203,101.81821685252643,-300.8062648670338,-237.7865839335389,62.534020070643926,1.0056431155806043,-1.022447358295917,-0.7291666666666682,0.2047716728089899,-7.54393525479915,-7.718534420066858,215,205,20,False,402.62448171956026,0.25,3,0.125,-45.14538445652945,1086.8939858645344,0.75,
audit_seen,240,high_vol,base,external_cross_coin_diagnostic,95,68,88,7,95,95,0,68,-208.82578583017275,-228.82578583017275,-675.7448400580568,-306.02726065183435,21.052631578947366,0.6195844102232365,-228.82578583017275,-314.02653573531325,-391.41077647170505,40.30826119362566,0.8043011965927996,-1.0160701192016433,-0.9402782359685474,-0.9713515614577006,-2.001545342098665,-2.1138664147584696,215,205,20,False,85.20074990514051,0.5,3,0.125,-9.488510587706402,238.67297278259213,1.0,1.0
audit_seen,240,high_vol,exit_chandelier,external_cross_coin_diagnostic,95,68,93,2,95,95,0,68,-244.80691803676356,-264.80691803676353,-377.232867132562,-267.4219712401108,27.368421052631582,0.4010775477643954,-264.80691803676353,-303.45710463329124,-330.5077907883642,31.16402468518843,0.8530614085359903,-0.4286018527654665,-0.3617152510427887,-1.1313907708806692,-1.2560497830088058,-1.2759645540082687,215,205,20,False,38.65018659652769,0.375,3,0.125,-19.45756002322531,113.92168836462297,1.0,1.0
audit_seen,240,high_vol,exit_fixed3r,external_cross_coin_diagnostic,95,68,83,12,94,95,0,68,-154.03868264679065,-174.0386826467907,-706.4669151535629,-243.45454455452,26.31578947368421,0.7329295122271511,-174.0386826467907,-221.22660939642523,-308.6928519903741,26.151771517156963,0.9470896121539504,-1.020778687953555,-0.9977588384925395,-0.8576275134516975,-1.2351755495572214,-1.3438265716028464,215,205,20,False,47.18792674963459,0.5,3,0.125,-27.62605031008872,166.8015079276474,1.0,1.0
audit_seen,240,high_vol,exit_sma60,external_cross_coin_diagnostic,95,68,91,4,95,95,0,68,-219.8075175223085,-239.8075175223085,-648.0771789753825,-309.2655420768021,21.052631578947366,0.5619809565881653,-239.8075175223085,-257.23583867124535,-394.03709557330296,46.08322597335255,0.7075145511110829,-0.7142993213140709,-0.9389721627409002,-1.010418054805784,-1.8851957265886288,-1.9316431524415534,215,205,20,False,17.428321148936757,0.5,3,0.125,-125.1431728992884,248.9368662848109,1.0,1.0
audit_seen,240,high_vol,signal5,external_cross_coin_diagnostic,109,72,100,9,109,109,0,72,919.840718657358,899.840718657358,-684.8834082327903,931.6543781399201,21.100917431192663,2.4419772804915114,899.840718657358,78.8095363792989,-401.70749117225694,84.68499912757153,0.7662286434321285,-1.0160701192016433,-0.9687500000000036,2.77315862417038,-4.470038777304463,-4.7025993890099755,215,205,20,False,821.0311822780588,0.375,3,0.125,-57.51528928637792,2146.640696809922,1.0,1.0
external_recent,60,all_core,base,external_cross_coin_diagnostic,979,209,937,42,979,977,2,209,-16.73512220946357,-36.73512220946356,-171.80531208269235,-71.6112153598471,20.83758937691522,0.78743381415791,-38.55342341083921,-58.99786508819998,-77.7970523657426,29.99916827017645,0.8989786570869704,-1.0754872763938492,-0.8642357343618495,-1.622429993578467,-2.882904512131512,-2.9702652646312333,215,215,20,False,20.444441677360764,0.25,2,0.25,17.971618910278934,23.793179978806513,1.0,
external_recent,60,all_core,exit_chandelier,external_cross_coin_diagnostic,979,209,964,15,976,977,2,209,-14.818728504286458,-34.81872850428646,-117.59830047119334,-39.95483319645469,30.541368743615934,0.7253009801192102,-35.16367154502076,-58.007052072692524,-46.15738821038927,12.179684606799695,0.8480436098962367,-0.6312401351447975,-0.507941938628415,-1.5602148452773856,-1.9853275374104196,-2.0181521301017136,215,215,20,False,22.843380527671755,0.25,2,0.25,6.603948410361101,34.8351320021983,1.0,
external_recent,60,all_core,exit_fixed3r,external_cross_coin_diagnostic,979,209,953,26,919,977,2,209,-28.363908763120758,-48.36390876312077,-190.2353687214009,-57.94683352951205,23.595505617977526,0.7448425509117683,-50.28652575886143,-70.61675196002045,-53.951130412923376,3.8403746735009294,0.9525039456416814,-1.0838794776652256,-0.9179252277297816,-1.899001921414567,-2.4817614332026006,-2.549142019134687,215,215,20,False,20.330226201159014,0.25,2,0.25,5.915353114618239,30.97466095367578,1.0,
external_recent,60,all_core,exit_sma60,external_cross_coin_diagnostic,979,209,946,33,978,977,2,209,-3.7122916299970816,-23.71229162999709,-148.32858808653924,-50.27406034803559,23.79979570990807,0.8427672630099152,-25.78597255609448,-40.29419873386623,-67.68934709710905,34.43774294801129,0.8677888350288271,-0.8906332739115114,-0.7777811147292005,-1.0623206265167662,-2.505406370756358,-2.556001277532294,215,215,20,False,14.508226177771748,0.25,2,0.25,9.0660271166618,18.526931890157204,1.0,
external_recent,60,all_core,gate_box_break,external_cross_coin_diagnostic,196,130,189,7,196,195,1,129,25.634260946935935,5.634260946935961,-201.93273182795735,-14.109070641772314,16.83673469387755,1.028051689883517,3.0669254343979935,72.35703202842551,-144.37227266814585,71.57675680680173,0.7608407688872312,-1.0834518088448428,-1.1183693910541184,0.030693814048787793,-1.111010017437275,-1.267477101356329,215,215,20,False,-69.2901065940275,1.0,2,0.25,-104.54685230409132,-40.293904514722705,1.0,
external_recent,60,high_vol,base,external_cross_coin_diagnostic,232,81,217,15,232,230,2,81,-34.13956906108633,-54.13956906108636,-261.6600909796135,-136.90349932805734,24.137931034482758,0.7807392126230289,-62.0147393543352,-133.56802460342138,-126.60631799376362,36.741337421655466,0.8639696429513334,-1.0458062223234377,-0.7826086956521581,-0.505494745592161,-1.113741142245217,-1.1621157452992747,215,215,20,False,71.55328524908616,0.25,2,0.25,17.059665909647162,142.3949903903568,1.0,1.0
external_recent,60,high_vol,exit_chandelier,external_cross_coin_diagnostic,232,81,225,7,231,230,2,81,-20.409345393674435,-40.40934539367445,-187.37157900022504,-54.71091588260431,31.03448275862069,0.7876219637574653,-41.92321750052743,-64.73687317311385,-79.74186620873864,25.55785156980763,0.7892245440121044,-0.5840486140776312,-0.5336342106062724,-0.4017094620848316,-0.6857070751391414,-0.7065219689157298,215,215,20,False,22.813655672586428,0.25,2,0.25,18.53772242354866,26.102835094923158,1.0,1.0
external_recent,60,high_vol,exit_fixed3r,external_cross_coin_diagnostic,232,81,222,10,219,230,2,81,-57.42849722290619,-77.4284972229062,-299.24802221660605,-101.13803530603649,23.275862068965516,0.7289155016643968,-85.84817540446356,-98.32773198838898,-101.62204349184373,10.989364820619715,0.9143273184006919,-1.0554724741920243,-0.9015109447528374,-0.689829098574446,-1.0011318140242143,-1.0502061511986405,215,215,20,False,12.479556583925415,0.5,2,0.25,-7.545932310643106,27.883778810516556,1.0,1.0
external_recent,60,high_vol,exit_sma60,external_cross_coin_diagnostic,232,81,218,14,231,230,2,81,-27.517013292021794,-47.51701329202181,-234.39345806683832,-127.73546743052677,25.862068965517242,0.7836973794121788,-56.53264680559229,-96.8115552584754,-102.6064324587984,31.228031635088545,0.8226717287093706,-0.8364281892166741,-0.7789036838638764,-0.4442494737193825,-1.07606730451566,-1.1047932438259411,215,215,20,False,40.278908452883115,0.25,2,0.25,20.83367322807217,65.55771424513733,1.0,1.0
external_recent,60,high_vol,gate_box_break,external_cross_coin_diagnostic,43,33,42,1,43,42,1,32,-181.38915603927651,-201.38915603927654,-288.9126884631887,-218.23805703763634,18.6046511627907,0.31698235127470725,-218.23805703763634,-120.9755042229582,-280.97960482001173,64.18292436405349,0.4729364343776358,-1.0549201592682889,-1.7735928678487292,-0.3976205814415712,-0.4703129874031986,-0.4794326168028329,215,215,20,False,-97.26255281467809,0.75,2,0.25,-221.157185695766,39.02154335451862,1.0,1.0
external_recent,240,all_core,base,external_cross_coin_diagnostic,266,155,210,56,266,260,6,154,-134.0810318568209,-154.08103185682094,-342.74426590917176,-322.6411412218414,27.819548872180448,0.5026761064757825,-172.43162610220588,-128.06413569108653,-195.82858464816277,25.387921287995297,0.6575037977944176,-1.031496036271041,-0.9613837965700802,-1.918387342971828,-2.0442693785483135,-2.2999475270391367,215,205,20,False,-44.367490411119356,1.0,2,0.25,-54.71947846786059,-24.813735192830382,1.0,
external_recent,240,all_core,exit_chandelier,external_cross_coin_diagnostic,266,155,225,41,266,260,6,154,-82.91247490143817,-102.91247490143817,-235.7089759434883,-152.3430550663954,28.947368421052634,0.5857535417761494,-121.77094037031317,-77.59823415681998,-138.5693437127403,23.429042316784546,0.605161010178742,-0.6089076358510925,-0.7157735649988577,-1.302916942675858,-1.6468131746675163,-1.7294926194227456,215,205,20,False,-44.1727062134932,0.75,2,0.25,-67.77947619274616,0.4178593028735068,1.0,
external_recent,240,all_core,exit_fixed3r,external_cross_coin_diagnostic,266,155,212,54,257,260,6,154,-39.92010409034525,-59.920104090345276,-355.3020581620448,-135.42090761732388,32.70676691729324,0.8057967406998828,-72.78479318406603,-2.453860111802739,-88.70547637215753,11.175522245316293,0.6719395219016703,-1.0357790174777433,-0.9299868630001074,-0.6916863758382852,-1.5994994072714763,-1.7460948899660211,215,205,20,False,-70.33093307226329,0.75,2,0.25,-108.96984735745177,2.653682799759358,1.0,
external_recent,240,all_core,exit_sma60,external_cross_coin_diagnostic,266,155,216,50,266,260,6,154,-109.94588622954562,-129.94588622954566,-304.1013459414527,-254.93080791224955,28.195488721804512,0.5294353507182471,-148.87660462786644,-130.99767285870536,-167.34502146604433,24.289374663185818,0.6497275314227244,-0.7383285999721774,-0.9272457379690082,-1.6296441620452295,-1.8725184688634045,-2.0583894352357412,215,205,20,False,-17.878931769161106,0.75,2,0.25,-34.460019725575826,13.440901037400048,1.0,
external_recent,240,all_core,signal5,external_cross_coin_diagnostic,308,166,244,64,308,302,6,165,-101.26727448128138,-121.26727448128138,-334.88742561097126,-293.3333465348978,28.8961038961039,0.5990263911456137,-136.41387037382063,-125.38202758052489,-157.95049854546136,19.39932482236848,0.6983895285422597,-1.0310562660494043,-0.91196534282826,-1.7563081008202808,-1.897896410673161,-2.2060474974414657,215,205,20,False,-11.03184279329576,0.75,2,0.25,-40.31503131581977,41.56944029346034,1.0,
