symbol,timeframe,arm,bars,window_bars,common_bars,candidates,entries,first,last,partial_buckets,gaps,baseline_parity,released_parity,legacy_v9_entries,common_v9_entries,h1_unknown_window
1000PEPEUSDT,4h,dc20,5088,3588,3588,269,85,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
1000PEPEUSDT,4h,dc55,5088,3588,3588,147,42,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
1000PEPEUSDT,4h,sma20_60,5088,3588,3588,56,56,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
AAVEUSDT,15m,v9,58908,57408,57408,143,117,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,117.0,0
AAVEUSDT,15m,v9_1,58908,57408,57408,134,109,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
AAVEUSDT,15m,dc20,58908,57408,57408,5405,1275,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
AAVEUSDT,15m,dc55,58908,57408,57408,3061,661,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
AAVEUSDT,15m,sma20_60,58908,57408,57408,999,999,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
AAVEUSDT,1h,v9,15852,14352,14352,43,36,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,36.0,0
AAVEUSDT,1h,v9_1,15852,14352,14352,43,36,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
AAVEUSDT,1h,dc20,15852,14352,14352,1315,355,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
AAVEUSDT,1h,dc55,15852,14352,14352,754,168,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
AAVEUSDT,1h,sma20_60,15852,14352,14352,241,241,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
AAVEUSDT,4h,v9,5088,3588,3588,11,11,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,11.0,0
AAVEUSDT,4h,v9_1,5088,3588,3588,11,11,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
AAVEUSDT,4h,dc20,5088,3588,3588,330,95,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
AAVEUSDT,4h,dc55,5088,3588,3588,173,45,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
AAVEUSDT,4h,sma20_60,5088,3588,3588,56,56,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
AEROUSDT,15m,v9,49191,49190,48850,123,104,2024-12-04 14:15:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,104,104.0,243
AEROUSDT,15m,v9_1,49191,49190,48850,112,95,2024-12-04 14:15:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,104,,243
AEROUSDT,15m,dc20,49191,49190,48850,4627,1016,2024-12-04 14:15:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,104,,243
AEROUSDT,15m,dc55,49191,49190,48850,2764,525,2024-12-04 14:15:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,104,,243
AEROUSDT,15m,sma20_60,49191,49190,48850,770,770,2024-12-04 14:15:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,104,,243
AEROUSDT,1h,v9,12298,12297,11957,28,26,2024-12-04 14:00:00+00:00,2026-04-30 23:00:00+00:00,1,0,True,True,26,26.0,0
AEROUSDT,1h,v9_1,12298,12297,11957,28,26,2024-12-04 14:00:00+00:00,2026-04-30 23:00:00+00:00,1,0,True,True,26,,0
AEROUSDT,1h,dc20,12298,12297,11957,1193,278,2024-12-04 14:00:00+00:00,2026-04-30 23:00:00+00:00,1,0,True,True,26,,0
AEROUSDT,1h,dc55,12298,12297,11957,676,138,2024-12-04 14:00:00+00:00,2026-04-30 23:00:00+00:00,1,0,True,True,26,,0
AEROUSDT,1h,sma20_60,12298,12297,11957,188,188,2024-12-04 14:00:00+00:00,2026-04-30 23:00:00+00:00,1,0,True,True,26,,0
AEROUSDT,4h,v9,3075,3074,2734,5,5,2024-12-04 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,5,5.0,0
AEROUSDT,4h,v9_1,3075,3074,2734,5,5,2024-12-04 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,5,,0
AEROUSDT,4h,dc20,3075,3074,2734,270,62,2024-12-04 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,5,,0
AEROUSDT,4h,dc55,3075,3074,2734,149,32,2024-12-04 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,5,,0
AEROUSDT,4h,sma20_60,3075,3074,2734,43,43,2024-12-04 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,5,,0
API3USDT,15m,v9,58908,57408,57408,112,101,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,101,101.0,0
API3USDT,15m,v9_1,58908,57408,57408,106,97,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,101,,0
API3USDT,15m,dc20,58908,57408,57408,4913,1262,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,101,,0
API3USDT,15m,dc55,58908,57408,57408,2657,621,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,101,,0
API3USDT,15m,sma20_60,58908,57408,57408,970,970,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,101,,0
API3USDT,1h,v9,15852,14352,14352,25,23,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,23,23.0,0
API3USDT,1h,v9_1,15852,14352,14352,25,23,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,23,,0
API3USDT,1h,dc20,15852,14352,14352,1142,307,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,23,,0
API3USDT,1h,dc55,15852,14352,14352,644,163,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,23,,0
API3USDT,1h,sma20_60,15852,14352,14352,236,236,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,23,,0
API3USDT,4h,v9,5088,3588,3588,7,7,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,7,7.0,0
API3USDT,4h,v9_1,5088,3588,3588,7,7,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,7,,0
API3USDT,4h,dc20,5088,3588,3588,296,90,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,7,,0
API3USDT,4h,dc55,5088,3588,3588,135,33,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,7,,0
API3USDT,4h,sma20_60,5088,3588,3588,48,48,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,7,,0
APTUSDT,15m,v9,58908,57408,57408,133,117,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,117.0,0
APTUSDT,15m,v9_1,58908,57408,57408,120,106,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
APTUSDT,15m,dc20,58908,57408,57408,5209,1287,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
APTUSDT,15m,dc55,58908,57408,57408,2903,650,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
APTUSDT,15m,sma20_60,58908,57408,57408,957,957,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,117,,0
APTUSDT,1h,v9,15852,14352,14352,30,26,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,26.0,0
APTUSDT,1h,v9_1,15852,14352,14352,30,26,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
APTUSDT,1h,dc20,15852,14352,14352,1273,334,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
APTUSDT,1h,dc55,15852,14352,14352,763,180,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
APTUSDT,1h,sma20_60,15852,14352,14352,222,222,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
APTUSDT,4h,v9,5088,3588,3588,16,14,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,14,14.0,0
APTUSDT,4h,v9_1,5088,3588,3588,16,14,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,14,,0
APTUSDT,4h,dc20,5088,3588,3588,320,97,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,14,,0
APTUSDT,4h,dc55,5088,3588,3588,160,39,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,14,,0
APTUSDT,4h,sma20_60,5088,3588,3588,64,64,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,14,,0
ARBUSDT,15m,v9,58908,57408,57408,121,106,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,106.0,0
ARBUSDT,15m,v9_1,58908,57408,57408,115,100,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
ARBUSDT,15m,dc20,58908,57408,57408,4809,1212,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
ARBUSDT,15m,dc55,58908,57408,57408,2684,605,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
ARBUSDT,15m,sma20_60,58908,57408,57408,945,945,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
ARBUSDT,1h,v9,15852,14352,14352,47,38,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,38,38.0,0
ARBUSDT,1h,v9_1,15852,14352,14352,47,38,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,38,,0
ARBUSDT,1h,dc20,15852,14352,14352,1229,320,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,38,,0
ARBUSDT,1h,dc55,15852,14352,14352,725,163,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,38,,0
ARBUSDT,1h,sma20_60,15852,14352,14352,219,219,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,38,,0
ARBUSDT,4h,v9,5088,3588,3588,13,11,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,11.0,0
ARBUSDT,4h,v9_1,5088,3588,3588,13,11,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
ARBUSDT,4h,dc20,5088,3588,3588,320,82,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
ARBUSDT,4h,dc55,5088,3588,3588,162,37,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
ARBUSDT,4h,sma20_60,5088,3588,3588,61,61,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,11,,0
ARUSDT,15m,v9,58908,57408,57408,135,111,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,111,111.0,0
ARUSDT,15m,v9_1,58908,57408,57408,127,107,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,111,,0
ARUSDT,15m,dc20,58908,57408,57408,4962,1259,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,111,,0
ARUSDT,15m,dc55,58908,57408,57408,2727,640,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,111,,0
ARUSDT,15m,sma20_60,58908,57408,57408,962,961,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,111,,0
ARUSDT,1h,v9,15852,14352,14352,33,26,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,26.0,0
ARUSDT,1h,v9_1,15852,14352,14352,33,26,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
ARUSDT,1h,dc20,15852,14352,14352,1234,310,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
ARUSDT,1h,dc55,15852,14352,14352,741,162,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
ARUSDT,1h,sma20_60,15852,14352,14352,222,222,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,26,,0
ARUSDT,4h,v9,5088,3588,3588,6,6,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,6,6.0,0
ARUSDT,4h,v9_1,5088,3588,3588,6,6,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,6,,0
ARUSDT,4h,dc20,5088,3588,3588,332,92,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,6,,0
ARUSDT,4h,dc55,5088,3588,3588,156,49,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,6,,0
ARUSDT,4h,sma20_60,5088,3588,3588,57,57,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,6,,0
BOMEUSDT,15m,v9,58908,57408,57408,135,115,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,115,115.0,0
BOMEUSDT,15m,v9_1,58908,57408,57408,125,107,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,115,,0
BOMEUSDT,15m,dc20,58908,57408,57408,4951,1240,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,115,,0
BOMEUSDT,15m,dc55,58908,57408,57408,2749,641,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,115,,0
BOMEUSDT,15m,sma20_60,58908,57408,57408,966,966,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,115,,0
BOMEUSDT,1h,v9,15852,14352,14352,31,27,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,27.0,0
BOMEUSDT,1h,v9_1,15852,14352,14352,31,27,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
BOMEUSDT,1h,dc20,15852,14352,14352,1245,326,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
BOMEUSDT,1h,dc55,15852,14352,14352,704,174,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
BOMEUSDT,1h,sma20_60,15852,14352,14352,221,221,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
BOMEUSDT,4h,v9,4653,3588,3588,13,11,2024-03-16 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,11,11.0,0
BOMEUSDT,4h,v9_1,4653,3588,3588,13,11,2024-03-16 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,11,,0
BOMEUSDT,4h,dc20,4653,3588,3588,300,91,2024-03-16 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,11,,0
BOMEUSDT,4h,dc55,4653,3588,3588,142,52,2024-03-16 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,11,,0
BOMEUSDT,4h,sma20_60,4653,3588,3588,60,60,2024-03-16 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,11,,0
BTCUSDT,15m,v9,58908,57408,57408,97,88,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,88,88.0,0
BTCUSDT,15m,v9_1,58908,57408,57408,89,82,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,88,,0
BTCUSDT,15m,dc20,58908,57408,57408,4791,1286,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,88,,0
BTCUSDT,15m,dc55,58908,57408,57408,2508,650,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,88,,0
BTCUSDT,15m,sma20_60,58908,57408,57408,988,988,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,88,,0
BTCUSDT,1h,v9,15852,14352,14352,47,39,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,39,39.0,0
BTCUSDT,1h,v9_1,15852,14352,14352,47,39,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,39,,0
BTCUSDT,1h,dc20,15852,14352,14352,1098,317,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,39,,0
BTCUSDT,1h,dc55,15852,14352,14352,629,152,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,39,,0
BTCUSDT,1h,sma20_60,15852,14352,14352,225,225,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,39,,0
BTCUSDT,4h,v9,5088,3588,3588,10,8,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,8.0,0
BTCUSDT,4h,v9_1,5088,3588,3588,10,8,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
BTCUSDT,4h,dc20,5088,3588,3588,310,86,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
BTCUSDT,4h,dc55,5088,3588,3588,174,44,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
BTCUSDT,4h,sma20_60,5088,3588,3588,65,65,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
DASHUSDT,15m,v9,58908,57408,57408,140,122,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,122,122.0,0
DASHUSDT,15m,v9_1,58908,57408,57408,133,115,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,122,,0
DASHUSDT,15m,dc20,58908,57408,57408,4604,1191,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,122,,0
DASHUSDT,15m,dc55,58908,57408,57408,2552,597,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,122,,0
DASHUSDT,15m,sma20_60,58908,57408,57408,923,921,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,122,,0
DASHUSDT,1h,v9,15852,14352,14352,33,27,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,27.0,0
DASHUSDT,1h,v9_1,15852,14352,14352,33,27,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
DASHUSDT,1h,dc20,15852,14352,14352,1198,311,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
DASHUSDT,1h,dc55,15852,14352,14352,698,170,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
DASHUSDT,1h,sma20_60,15852,14352,14352,231,231,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,27,,0
DASHUSDT,4h,v9,5088,3588,3588,9,8,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,8.0,0
DASHUSDT,4h,v9_1,5088,3588,3588,9,8,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
DASHUSDT,4h,dc20,5088,3588,3588,309,82,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
DASHUSDT,4h,dc55,5088,3588,3588,136,39,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
DASHUSDT,4h,sma20_60,5088,3588,3588,66,66,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
ENAUSDT,15m,v9,58908,57408,57408,122,103,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,103,103.0,0
ENAUSDT,15m,v9_1,58908,57408,57408,114,97,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,103,,0
ENAUSDT,15m,dc20,58908,57408,57408,4977,1244,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,103,,0
ENAUSDT,15m,dc55,58908,57408,57408,2794,616,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,103,,0
ENAUSDT,15m,sma20_60,58908,57408,57408,955,955,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,103,,0
ENAUSDT,1h,v9,15852,14352,14352,36,32,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,32,32.0,0
ENAUSDT,1h,v9_1,15852,14352,14352,36,32,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,32,,0
ENAUSDT,1h,dc20,15852,14352,14352,1269,317,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,32,,0
ENAUSDT,1h,dc55,15852,14352,14352,764,168,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,32,,0
ENAUSDT,1h,sma20_60,15852,14352,14352,233,233,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,32,,0
ENAUSDT,4h,v9,4551,3588,3588,13,13,2024-04-02 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,13,13.0,0
ENAUSDT,4h,v9_1,4551,3588,3588,13,13,2024-04-02 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,13,,0
ENAUSDT,4h,dc20,4551,3588,3588,343,91,2024-04-02 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,13,,0
ENAUSDT,4h,dc55,4551,3588,3588,162,45,2024-04-02 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,13,,0
ENAUSDT,4h,sma20_60,4551,3588,3588,61,61,2024-04-02 12:00:00+00:00,2026-04-30 20:00:00+00:00,1,0,True,True,13,,0
ETHUSDT,15m,v9,58908,57408,57408,115,96,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,96,96.0,0
ETHUSDT,15m,v9_1,58908,57408,57408,110,92,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,96,,0
ETHUSDT,15m,dc20,58908,57408,57408,4088,1185,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,96,,0
ETHUSDT,15m,dc55,58908,57408,57408,2125,589,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,96,,0
ETHUSDT,15m,sma20_60,58908,57408,57408,949,949,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,96,,0
ETHUSDT,1h,v9,15852,14352,14352,37,34,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,34,34.0,0
ETHUSDT,1h,v9_1,15852,14352,14352,37,34,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,34,,0
ETHUSDT,1h,dc20,15852,14352,14352,1023,299,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,34,,0
ETHUSDT,1h,dc55,15852,14352,14352,586,153,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,34,,0
ETHUSDT,1h,sma20_60,15852,14352,14352,220,220,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,34,,0
ETHUSDT,4h,v9,5088,3588,3588,11,10,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,10,10.0,0
ETHUSDT,4h,v9_1,5088,3588,3588,11,10,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,10,,0
ETHUSDT,4h,dc20,5088,3588,3588,290,87,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,10,,0
ETHUSDT,4h,dc55,5088,3588,3588,153,41,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,10,,0
ETHUSDT,4h,sma20_60,5088,3588,3588,67,67,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,10,,0
FILUSDT,15m,v9,58908,57408,57408,146,122,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,122,122.0,0
