dimension,value,period,n,net_bp,control_net_bp,paired_excess_bp,win_rate,hit_2r_rate
touch_depth_bin,0.5–1.0,development,130,-29.83244121222993,-42.49342838152855,12.660987169298627,0.14615384615384616,0.2692307692307692
touch_depth_bin,0–0.5,development,261,34.09644009894589,-26.76770336933661,60.86414346828251,0.18773946360153257,0.3793103448275862
touch_depth_bin,miss/near,development,130,70.71519731924451,-39.18484440307722,109.90004172232175,0.2230769230769231,0.38461538461538464
touch_depth_bin,>1.0,development,37,4.609630354969166,-54.29067138068414,58.90030173565331,0.24324324324324326,0.2702702702702703
touch_depth_bin,miss/near,validation,92,-33.16994923637901,-11.48022521367263,-21.68972402270637,0.14130434782608695,0.31521739130434784
touch_depth_bin,0.5–1.0,validation,94,-22.085042521623876,-42.549161728080094,20.464119206456225,0.14893617021276595,0.2872340425531915
touch_depth_bin,0–0.5,validation,177,-6.663911148234204,-1.938816599948787,-4.725094548285403,0.14689265536723164,0.2655367231638418
touch_depth_bin,>1.0,validation,25,26.927618204685857,11.956892061338444,14.970726143347441,0.2,0.4
wick_share_bin,<0.3,development,211,44.37152032079842,-29.770174504612175,74.1416948254106,0.2037914691943128,0.3459715639810427
wick_share_bin,0.3–0.5,development,199,53.92179176268187,-39.95798361736941,93.87977538005129,0.20603015075376885,0.39195979899497485
wick_share_bin,0.5–0.7,development,108,-16.17642014164988,-35.9624425390162,19.786022397366313,0.16666666666666666,0.3148148148148148
wick_share_bin,>=0.7,development,40,-99.03221225733347,-37.40528819843719,-61.626924058896265,0.1,0.225
wick_share_bin,0.5–0.7,validation,65,-0.41617933267080454,-19.507504613376867,19.09132528070608,0.18461538461538463,0.3230769230769231
wick_share_bin,0.3–0.5,validation,152,-25.208639827396947,-15.486737534935672,-9.721902292461262,0.15789473684210525,0.29605263157894735
wick_share_bin,<0.3,validation,147,-16.095053502940317,-12.884602311564889,-3.21045119137542,0.10884353741496598,0.23809523809523808
wick_share_bin,>=0.7,validation,24,24.61610960084765,17.331595259369657,7.2845143414779985,0.25,0.5
path_variation_bin,Q3,development,145,56.43339486258408,-26.099731142794514,82.53312600537862,0.2482758620689655,0.4
path_variation_bin,Q2,development,140,32.396801166585014,-44.584685881338,76.98148704792303,0.2,0.37857142857142856
path_variation_bin,Q1,development,135,-2.2748173911667657,-36.29925182641168,34.02443443524491,0.14074074074074075,0.34814814814814815
path_variation_bin,Q4,development,138,14.298488494793842,-33.960759759585635,48.259248254379486,0.16666666666666666,0.2608695652173913
path_variation_bin,Q2,validation,96,-23.254065443493328,-21.242019584796058,-2.012045858697254,0.15625,0.3333333333333333
path_variation_bin,Q1,validation,102,-25.85392553445035,1.6404176474094658,-27.49434318185981,0.12745098039215685,0.28431372549019607
path_variation_bin,Q3,validation,91,-5.506523111209056,-5.3238094508501295,-0.18271366035891645,0.17582417582417584,0.27472527472527475
path_variation_bin,Q4,validation,99,-2.6602712595000075,-27.713860794170365,25.053589534670383,0.1414141414141414,0.2727272727272727
ma_colour_pair,not both,development,199,13.12725842202246,-33.934274600237124,47.06153302225961,0.18592964824120603,0.31155778894472363
ma_colour_pair,both aligned,development,359,32.791534977404346,-35.82278617558142,68.61432115298578,0.19220055710306408,0.36768802228412256
ma_colour_pair,not both,validation,143,-8.867738925111482,-21.78031101005867,12.912572084947202,0.13286713286713286,0.2867132867132867
ma_colour_pair,both aligned,validation,245,-17.81985501473011,-8.103941568638751,-9.715913446091351,0.15918367346938775,0.2938775510204082
osc_k2_sign,opposite/NA,development,186,26.32076545312338,-58.285328526728115,84.6060939798515,0.17204301075268819,0.34946236559139787
osc_k2_sign,aligned,development,372,25.50758900158517,-23.581262840079273,49.08885184166445,0.1989247311827957,0.3467741935483871
osc_k2_sign,opposite/NA,validation,132,-32.91432135996304,-35.42375405193399,2.5094326919709538,0.14393939393939395,0.26515151515151514
osc_k2_sign,aligned,validation,256,-5.036174708533984,-1.656697749607808,-3.37947695892616,0.15234375,0.3046875
market_break,opposite,development,280,20.57603597151356,-39.17487907774419,59.75091504925776,0.18571428571428572,0.3357142857142857
market_break,aligned,development,278,31.01868852822602,-31.094729283138648,62.113417811364684,0.19424460431654678,0.3597122302158273
market_break,aligned,validation,183,-12.070420286350123,-24.57216593038568,12.501745644035557,0.14207650273224043,0.26229508196721313
market_break,opposite,validation,205,-16.707630402428034,-2.9431404560697842,-13.764489946358239,0.15609756097560976,0.3170731707317073
volume_relation,K2<K1×0.8,development,441,10.716027258976546,-30.666487681512898,41.382514940489465,0.17006802721088435,0.3424036281179138
volume_relation,similar,development,80,82.0433445682704,-40.314117470941284,122.35746203921168,0.25,0.3625
volume_relation,K2>K1×1.2,development,37,83.65540260000923,-77.41217343941693,161.06757603942611,0.2972972972972973,0.3783783783783784
volume_relation,K2<K1×0.8,validation,301,-21.33625268319496,-9.982041972620799,-11.354210710574156,0.1461794019933555,0.29900332225913623
volume_relation,similar,validation,57,-12.003725380124736,-35.00314721517891,22.999421835054193,0.15789473684210525,0.24561403508771928
volume_relation,K2>K1×1.2,validation,30,49.08244198029914,-3.342537791027564,52.4249797713267,0.16666666666666666,0.3
