side,period,arm,comparison,metric,difference,ci_low,ci_high,p,months,p_adjusted_six
short,full,sma120,baseline,net_r,-0.03692646722082418,-0.0859618416785027,0.003519738268819152,0.9345327336331835,20,1.0
short,full,sma120,random,net_r,0.231377284819188,0.03400296055049735,0.44213180026763765,0.021989005497251374,20,0.13193403298350825
short,full,sma120,baseline,net_return,0.0006114620073832894,-0.0001140142566947199,0.0012990811405604312,0.06496751624187906,20,0.38980509745127434
short,full,sma120,random,net_return,0.006605345818644114,0.0007561009991014849,0.01236249609989641,0.02148925537231384,20,0.12893553223388304
short,full,htf_sma60,baseline,net_r,-0.01748592717537978,-0.09175824566263067,0.050063589078703875,0.672663668165917,20,1.0
short,full,htf_sma60,random,net_r,0.21873583588128637,0.04103090163696762,0.39837808454025464,0.01999000499750125,20,0.1199400299850075
short,full,htf_sma60,baseline,net_return,0.00031598937036874395,-0.0008034542155818945,0.001430356302379217,0.3078460769615192,20,1.0
short,full,htf_sma60,random,net_return,0.007095499151754082,0.0016392831039491746,0.011964295970778123,0.010994502748625687,20,0.06596701649175413
short,full,both,baseline,net_r,-0.009468388531923722,-0.09240157240836766,0.06744852851449111,0.5772113943028486,20,1.0
short,full,both,random,net_r,0.2338174831844754,0.0603275205688778,0.41888164106252357,0.013993003498250875,20,0.08395802098950525
short,full,both,baseline,net_return,0.001013835953747997,-0.00022543850838939903,0.0023505400339937942,0.08745627186406797,20,0.5247376311844079
short,full,both,random,net_return,0.008099313292182789,0.0022758325336122674,0.01345767676262155,0.008995502248875561,20,0.05397301349325337
short,earlier,baseline,random,net_r,0.15331213927328183,-0.15680440927401812,0.4861215259853592,0.22688655672163918,13,1.0
short,earlier,baseline,random,net_return,0.0017642616961478013,-0.005686542162951318,0.009330218791667993,0.33833083458270863,13,1.0
short,earlier,sma120,baseline,net_r,-0.05074905887110347,-0.11193399527040747,0.00837986464741328,0.8910544727636182,13,1.0
short,earlier,sma120,random,net_r,0.16080967969309523,-0.12679785608957894,0.4757816007586672,0.19740129935032483,13,1.0
short,earlier,sma120,baseline,net_return,0.00011847469871468543,-0.0009579258245432153,0.0011981295883281857,0.42528735632183906,13,1.0
short,earlier,sma120,random,net_return,0.004083242584728069,-0.0046088221254518775,0.012962243610490604,0.2128935532233883,13,1.0
short,earlier,htf_sma60,baseline,net_r,-0.06913894734941847,-0.13999538154830163,0.009241469427775864,0.9100449775112444,13,1.0
short,earlier,htf_sma60,random,net_r,0.1199227339150446,-0.1281121636015452,0.381310360508059,0.21689155422288856,13,1.0
short,earlier,htf_sma60,baseline,net_return,-0.0009037400343888325,-0.0018643853779268314,0.00018644264904453165,0.9260369815092454,13,1.0
short,earlier,htf_sma60,random,net_return,0.004129849725115165,-0.003429462748474621,0.011558401672490353,0.15942028985507245,13,0.9565217391304347
short,earlier,both,baseline,net_r,-0.059991308611406474,-0.1435283254877668,0.028710486550669344,0.8580709645177411,13,1.0
short,earlier,both,random,net_r,0.1449544419588446,-0.09210361827852435,0.4046938338775816,0.17041479260369816,13,1.0
short,earlier,both,baseline,net_return,-0.00011144147685511756,-0.0013857021522476792,0.00105550113781909,0.5602198900549725,13,1.0
short,earlier,both,random,net_return,0.005107162812806741,-0.002704915753029656,0.013289175774346379,0.12493753123438281,13,0.7496251874062969
short,later,baseline,random,net_r,0.3468991511967274,0.14147242250811895,0.6247002580258407,0.013493253373313344,8,0.08095952023988007
short,later,baseline,random,net_return,0.007700778468379239,0.003963781651848087,0.012600427255763094,0.0004997501249375312,8,0.0029985007496251873
short,later,sma120,baseline,net_r,-0.01807523244067885,-0.09396628317336847,0.0336390446852855,0.6986506746626686,8,1.0
short,later,sma120,random,net_r,0.3255936718924728,0.12045439497909635,0.5426152040747051,0.013993003498250875,8,0.08395802098950525
short,later,sma120,baseline,net_return,0.0012934622370162421,0.0004396690140213153,0.0023815531012935146,0.01249375312343828,8,0.07496251874062967
short,later,sma120,random,net_return,0.009994340176266738,0.004238603953860751,0.01557191845286383,0.01999000499750125,8,0.1199400299850075
short,later,htf_sma60,baseline,net_r,0.052104128541337946,-0.07562217206620257,0.1321023858206666,0.20739630184907545,8,1.0
short,later,htf_sma60,random,net_r,0.3516952374766207,0.17123437761371335,0.5307901397600251,0.004497751124437781,8,0.026986506746626684
short,later,htf_sma60,baseline,net_return,0.001991317879137018,0.0003082561686176509,0.0032703822784876696,0.053973013493253376,8,0.32383808095952027
short,later,htf_sma60,random,net_return,0.011080086301835212,0.005549223017027807,0.015482250260117124,0.006496751624187906,8,0.038980509745127435
short,later,both,baseline,net_r,0.05867617503493028,-0.06665797414049004,0.16079656677022888,0.24687656171914044,8,1.0
short,later,both,random,net_r,0.3533946041655332,0.14917858368728118,0.5691771874207312,0.006496751624187906,8,0.038980509745127435
short,later,both,baseline,net_return,0.0025655094002009363,0.000553806294656006,0.00466788484072916,0.03398300849575212,8,0.20389805097451275
short,later,both,random,net_return,0.012123457276886351,0.005753840769832109,0.017536345339638576,0.006496751624187906,8,0.038980509745127435
all,full,baseline,random,net_r,0.1377061556126963,-0.024397126598254205,0.3158418264725887,0.07396301849075462,20,0.44377811094452774
all,full,baseline,random,net_return,0.0016676319339902622,-0.001784772063791526,0.005110322942551283,0.17491254372813594,20,1.0
all,full,sma120,baseline,net_r,-0.02726792650189218,-0.06203978227386089,0.004626188480481514,0.9225387306346826,20,1.0
all,full,sma120,random,net_r,0.12527049531489975,-0.0174875536700382,0.2832664695310453,0.06096951524237881,20,0.3658170914542729
all,full,sma120,baseline,net_return,0.00032813088370811,-0.00022592435925630362,0.0010573388429915604,0.19790104947526238,20,1.0
all,full,sma120,random,net_return,0.002224438515360517,-0.001968450723636009,0.006462289106786736,0.15892053973013492,20,0.9535232383808095
all,full,htf_sma60,baseline,net_r,-0.0047951515501463565,-0.04731463506818552,0.03543664473843598,0.5747126436781609,20,1.0
all,full,htf_sma60,random,net_r,0.11664903596213752,-0.023955454153077746,0.2684247656770483,0.07446276861569215,20,0.4467766116941529
all,full,htf_sma60,baseline,net_return,0.00029880120133308975,-0.0004071736546235729,0.0010067422132923683,0.22038980509745126,20,1.0
all,full,htf_sma60,random,net_return,0.0030863327243138804,-0.0011680605922493223,0.00729127123066564,0.08595702148925537,20,0.5157421289355322
all,full,both,baseline,net_r,0.0023734962320875325,-0.045484821455483763,0.046385482062830316,0.46526736631684157,20,1.0
all,full,both,random,net_r,0.12772953166166906,-0.010683679946964477,0.280457398070454,0.054972513743128434,20,0.3298350824587706
all,full,both,baseline,net_return,0.0006526114150357555,-9.484481407723374e-05,0.0015308985563944634,0.07446276861569215,20,0.4467766116941529
all,full,both,random,net_return,0.00353525272346036,-0.0008492826639952487,0.008101057695198503,0.0704647676161919,20,0.4227886056971514
all,earlier,baseline,random,net_r,0.05575088910364904,-0.15493544500670928,0.2690738556019228,0.31134432783608196,13,1.0
all,earlier,baseline,random,net_return,-0.0002821811265197547,-0.004713944582538551,0.0044043159401995005,0.5297351324337831,13,1.0
all,earlier,sma120,baseline,net_r,-0.03483900972081128,-0.08269842500410085,0.013975503287938777,0.8980509745127436,13,1.0
all,earlier,sma120,random,net_r,0.07496180914527581,-0.08419407737682015,0.25836406581673727,0.2223888055972014,13,1.0
all,earlier,sma120,baseline,net_return,0.00022425024695866375,-0.0005491794340993775,0.0013064189348498331,0.4142928535732134,13,1.0
all,earlier,sma120,random,net_return,0.0003971938339459702,-0.004697903049529778,0.006018905454954934,0.43228385807096453,13,1.0
all,earlier,htf_sma60,baseline,net_r,-0.024676275088595892,-0.08018505886470052,0.03195610172278588,0.7681159420289855,13,1.0
all,earlier,htf_sma60,random,net_r,0.06049777625249467,-0.09024205959626445,0.2296078661181998,0.24437781109445278,13,1.0
all,earlier,htf_sma60,baseline,net_return,-0.0001087770822186278,-0.0009312487697328019,0.0007727680613807582,0.5822088955522239,13,1.0
all,earlier,htf_sma60,random,net_return,0.0010679466262248042,-0.0037889303550452565,0.006200383284485894,0.33233383308345826,13,1.0
all,earlier,both,baseline,net_r,-0.018142452611777923,-0.07841198544216443,0.04246730571084445,0.7041479260369815,13,1.0
all,earlier,both,random,net_r,0.07653374189227281,-0.07053254734053369,0.24377394647642722,0.19390304847576212,13,1.0
all,earlier,both,baseline,net_return,0.00039655874908057197,-0.0004722795236374024,0.0014829787277895684,0.239880059970015,13,1.0
all,earlier,both,random,net_return,0.0016438981356833346,-0.0034779635491629744,0.0070644495397935,0.28235882058970513,13,1.0
all,later,baseline,random,net_r,0.25401844169837284,0.01820911828062758,0.5225966032663608,0.037481259370314844,8,0.22488755622188905
all,later,baseline,random,net_return,0.004440598391275641,0.0002116533383705887,0.0088848474650054,0.044977511244377814,8,0.2698650674662669
all,later,sma120,baseline,net_r,-0.016472518920768925,-0.06893368937058303,0.02139534174214967,0.7411294352823589,8,1.0
all,later,sma120,random,net_r,0.19322453408847892,-0.05805044395938985,0.45084629423070205,0.08995502248875563,8,0.5397301349325337
all,later,sma120,baseline,net_return,0.00048243501853371604,-0.00028281398120682437,0.001585281561475661,0.19090454772613694,8,1.0
all,later,sma120,random,net_return,0.004775851398023262,-0.0015325748630007445,0.010738386623171847,0.08545727136431784,8,0.512743628185907
all,later,htf_sma60,baseline,net_r,0.02353546704679506,-0.051506433339501244,0.08285483380353782,0.25337331334332835,8,1.0
all,later,htf_sma60,random,net_r,0.1926910807661127,-0.04812801575676056,0.44178468906273466,0.09195402298850575,8,0.5517241379310345
all,later,htf_sma60,baseline,net_return,0.0008890147150682013,-0.00021422657755124303,0.002127895985956493,0.10694652673663169,8,0.6416791604197901
all,later,htf_sma60,random,net_return,0.005930086276825354,-0.0008374364775554379,0.012181247791625598,0.06846576711644178,8,0.4107946026986507
all,later,both,baseline,net_r,0.031676283781713666,-0.04210248179443661,0.08957267140420036,0.17491254372813594,8,1.0
all,later,both,random,net_r,0.19682021601489452,-0.04913840491172868,0.45647381562854134,0.09295352323838081,8,0.5577211394302849
all,later,both,baseline,net_return,0.0010298927907101776,-0.00026049215030890315,0.0025206896219495097,0.13093453273363317,8,0.785607196401799
all,later,both,random,net_return,0.00620318518511811,-0.0013668442637139596,0.013230183876075295,0.08545727136431784,8,0.512743628185907
