timeframe,period,arm,known_bars,bars,episodes,overlap,removed,added
1h,earlier,group_edges_2,214800,44103,3110,44103,60393,0
1h,earlier,legacy,214800,104496,4230,104496,0,0
1h,earlier,max_width_3,214800,87000,3719,87000,17496,0
1h,earlier,memory_12,214800,134746,1929,134746,0,0
1h,earlier,memory_3,214800,112420,3271,112420,22326,0
1h,earlier,memory_6,214800,121295,2540,121295,13451,0
1h,earlier,relative_p20,214800,49294,2233,49294,55202,0
1h,earlier,stable_atr_3,214800,107504,4353,97561,6935,9943
1h,earlier,width_0.5,214800,759,86,759,103737,0
1h,earlier,width_1,214800,10990,728,10990,93506,0
1h,earlier,width_1.5,214800,34756,1741,34756,69740,0
1h,earlier,width_2,214800,61617,2629,61617,42879,0
1h,full,contraction_20pct,374938,46274,6393,46274,135627,0
1h,full,coverage_10of12,374938,164009,6779,164009,17892,0
1h,full,distinct_pairs_2,374938,176904,7478,176904,4997,0
1h,full,group_edges_2,374938,76781,5388,76781,105120,0
1h,full,legacy,374938,181901,7344,181901,0,0
1h,full,max_width_3,374938,152005,6463,152005,29896,0
1h,full,memory_12,374938,234293,3319,234293,0,0
1h,full,memory_3,374938,195627,5649,195627,38666,0
1h,full,memory_6,374938,211045,4426,211045,23248,0
1h,full,relative_p20,374938,86653,3948,86653,95248,0
1h,full,stable_atr_3,374938,188291,7669,169979,11922,18312
1h,full,width_0.5,374938,1282,142,1282,180619,0
1h,full,width_1,374938,19387,1301,19387,162514,0
1h,full,width_1.5,374938,61306,3113,61306,120595,0
1h,full,width_2,374938,108811,4650,108811,73090,0
1h,later,contraction_20pct,160138,19714,2733,19714,57691,0
1h,later,coverage_10of12,160138,70036,2884,70036,7369,0
1h,later,distinct_pairs_2,160138,75255,3149,75255,2150,0
1h,later,group_edges_2,160138,32678,2278,32678,44727,0
1h,later,legacy,160138,77405,3114,77405,0,0
1h,later,max_width_3,160138,65005,2744,65005,12400,0
1h,later,memory_12,160138,99547,1401,99547,0,0
1h,later,memory_3,160138,83207,2387,83207,16340,0
1h,later,memory_6,160138,89750,1896,89750,9797,0
1h,later,relative_p20,160138,37359,1715,37359,40046,0
1h,later,stable_atr_3,160138,80787,3316,72418,4987,8369
1h,later,width_0.5,160138,523,56,523,76882,0
1h,later,width_1,160138,8397,573,8397,69008,0
1h,later,width_1.5,160138,26550,1372,26550,50855,0
1h,later,width_2,160138,47194,2021,47194,30211,0
4h,earlier,contraction_20pct,52345,6705,970,6705,19673,0
4h,earlier,coverage_10of12,52345,23621,976,23621,2757,0
4h,earlier,distinct_pairs_2,52345,25807,1064,25807,571,0
4h,earlier,group_edges_2,52345,11380,791,11380,14998,0
4h,earlier,legacy,52345,26378,1061,26378,0,0
4h,earlier,max_width_3,52345,21678,923,21678,4700,0
4h,earlier,memory_12,52345,33523,475,33523,0,0
4h,earlier,memory_3,52345,28286,790,28286,5237,0
4h,earlier,memory_6,52345,30360,615,30360,3163,0
4h,earlier,relative_p20,52345,12141,553,12141,14237,0
4h,earlier,stable_atr_3,52345,26982,1083,24374,2004,2608
4h,earlier,width_0.5,52345,85,13,85,26293,0
4h,earlier,width_1,52345,1965,129,1965,24413,0
4h,earlier,width_1.5,52345,7267,399,7267,19111,0
4h,earlier,width_2,52345,14605,660,14605,11773,0
4h,full,contraction_20pct,91696,11312,1618,11312,32917,0
4h,full,coverage_10of12,91696,39616,1649,39616,4613,0
4h,full,distinct_pairs_2,91696,43128,1809,43128,1101,0
4h,full,group_edges_2,91696,18853,1291,18853,25376,0
4h,full,legacy,91696,44229,1789,44229,0,0
4h,full,max_width_3,91696,36412,1562,36412,7817,0
4h,full,memory_12,91696,56732,827,56732,0,0
4h,full,memory_3,91696,47491,1360,47491,9241,0
4h,full,memory_6,91696,51144,1081,51144,5588,0
4h,full,relative_p20,91696,21275,953,21275,22954,0
4h,full,stable_atr_3,91696,45070,1839,40612,3617,4458
4h,full,width_0.5,91696,139,22,139,44090,0
4h,full,width_1,91696,3436,252,3436,40793,0
4h,full,width_1.5,91696,12850,695,12850,31379,0
4h,full,width_2,91696,25171,1135,25171,19058,0
4h,later,contraction_20pct,39351,4607,648,4607,13244,0
4h,later,coverage_10of12,39351,15995,673,15995,1856,0
4h,later,distinct_pairs_2,39351,17321,745,17321,530,0
4h,later,group_edges_2,39351,7473,500,7473,10378,0
4h,later,legacy,39351,17851,728,17851,0,0
4h,later,max_width_3,39351,14734,639,14734,3117,0
4h,later,memory_12,39351,23209,372,23209,0,0
4h,later,memory_3,39351,19205,588,19205,4004,0
4h,later,memory_6,39351,20784,485,20784,2425,0
4h,later,relative_p20,39351,9134,400,9134,8717,0
4h,later,stable_atr_3,39351,18088,756,16238,1613,1850
4h,later,width_0.5,39351,54,9,54,17797,0
4h,later,width_1,39351,1471,123,1471,16380,0
4h,later,width_1.5,39351,5583,296,5583,12268,0
4h,later,width_2,39351,10566,475,10566,7285,0
