period,timeframe_min,arm,policy,side,year,closed,wins,win_rate,mean_gross_bp,mean_net_bp,mean_net_r,pf_net_r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate
all,15,v9_both,twap_near,-1,2025,7350,2621,0.3565986394557823,57.5227859438839,37.522785943883896,0.20631764834238267,1.3123761244551337,655,0.0891156462585034,278,0.03782312925170068,56,0.007619047619047619
all,15,v9_both,twap_near,-1,2026,6847,1990,0.2906382357236746,-1.3373448250392164,-21.33734482503922,-0.11675750588306,0.8441152448820024,454,0.06630641156710969,169,0.024682342631809552,33,0.0048196290346137
all,15,v9_both,twap_near,1,2023,2713,729,0.2687062292664947,-13.702771940717906,-33.70277194071791,-0.21730741537618778,0.7236472733856248,151,0.05565794323626981,62,0.02285293033542204,13,0.004791743457427202
all,15,v9_both,twap_near,1,2024,4234,1284,0.30325932923948984,9.902951795472484,-10.097048204527523,-0.06382378692978632,0.9116883997333676,280,0.06613131790269249,105,0.024799244213509684,25,0.005904581955597544
all,15,v9_both,twap_near,1,2025,6876,1918,0.2789412449098313,-15.927488591576456,-35.92748859157646,-0.1480932795507904,0.8001902482408044,341,0.049592786503781267,145,0.02108784176847004,45,0.006544502617801047
all,15,v9_both,twap_near,1,2026,7350,1856,0.2525170068027211,-4.80988845915191,-24.80988845915191,-0.1741367467502882,0.7752742524623848,384,0.052244897959183675,170,0.02312925170068027,51,0.0069387755102040816
all,15,v9_both,vwap_near,-1,2023,2740,846,0.30875912408759126,32.089342469686464,12.089342469686459,0.11043719336259979,1.1528991079827522,239,0.08722627737226277,122,0.04452554744525548,26,0.00948905109489051
all,15,v9_both,vwap_near,-1,2024,4077,1278,0.31346578366445915,45.89644548338874,25.896445483388717,0.1661868083585734,1.2364126981726948,384,0.094186902133922,197,0.048319843021829775,44,0.010792249202845229
all,15,v9_both,vwap_near,-1,2025,7153,2521,0.3524395358590801,54.71536856860388,34.71536856860387,0.19905560366329655,1.2999917824679281,640,0.08947294841325318,268,0.03746679714804977,57,0.007968684468055362
all,15,v9_both,vwap_near,-1,2026,6649,1951,0.2934275830952023,0.7812292116183108,-19.218770788381693,-0.10008516050232248,0.8656896334972691,450,0.06767935027823734,170,0.025567754549556326,33,0.004963152353737404
all,15,v9_both,vwap_near,1,2023,2738,724,0.26442658875091307,-17.77300688135273,-37.77300688135274,-0.23646002805755473,0.7002196038233013,150,0.0547845142439737,61,0.022279035792549307,13,0.004747991234477721
all,15,v9_both,vwap_near,1,2024,4234,1274,0.30089749645725083,9.072260588745685,-10.927739411254324,-0.07267188297035965,0.8995104956895555,275,0.06495040151157298,107,0.025271610769957487,22,0.0051960321209258385
all,15,v9_both,vwap_near,1,2025,7082,1963,0.27718158712228186,-16.400607593895376,-36.40060759389538,-0.14547147574866204,0.8031452400317874,347,0.048997458345100255,156,0.02202767579779723,52,0.0073425585992657446
all,15,v9_both,vwap_near,1,2026,7665,1964,0.2562296151337247,-9.267642954556726,-29.267642954556734,-0.15454825405498665,0.7989961266449747,404,0.05270711024135682,182,0.023744292237442923,53,0.006914546640574038
earlier,15,v9_both,baseline,-1,2023,5174,1490,0.28797835330498645,1.7493943654364044,-18.250605634563602,-0.04773778993729126,0.9355011413289415,350,0.0676459219172787,166,0.03208349439505218,38,0.007344414379590259
earlier,15,v9_both,baseline,-1,2024,7785,2478,0.3183044315992293,30.804571139415586,10.804571139415577,0.11590721105439326,1.166275405721766,647,0.08310854206807965,303,0.03892100192678227,74,0.009505459216441876
earlier,15,v9_both,baseline,1,2023,4597,1250,0.27191646726125734,-13.608576564851262,-33.60857656485127,-0.20756157952609017,0.732642569416896,251,0.05460082662606047,110,0.023928649118990647,21,0.004568196649989123
earlier,15,v9_both,baseline,1,2024,7572,2432,0.32118330692023245,23.373346928876227,3.3733469288762197,-0.010472282104911334,0.9848233036520689,499,0.06590068674062335,202,0.026677231907025884,40,0.005282620179609086
earlier,15,v9_both,twap_near,-1,2023,2783,858,0.308300395256917,34.63910952503142,14.639109525031419,0.12374073740113868,1.1703634008132253,249,0.08947179302910528,128,0.045993532159540065,29,0.010420409629895796
earlier,15,v9_both,twap_near,-1,2024,4089,1290,0.31548055759354365,44.804443760582984,24.804443760582977,0.15809049094811187,1.2252374168430407,371,0.09073123012961604,190,0.04646612863780875,46,0.011249694301785278
earlier,15,v9_both,twap_near,1,2023,2713,729,0.2687062292664947,-13.702771940717906,-33.70277194071791,-0.21730741537618778,0.7236472733856248,151,0.05565794323626981,62,0.02285293033542204,13,0.004791743457427202
earlier,15,v9_both,twap_near,1,2024,4234,1284,0.30325932923948984,9.902951795472484,-10.097048204527523,-0.06382378692978632,0.9116883997333676,280,0.06613131790269249,105,0.024799244213509684,25,0.005904581955597544
earlier,15,v9_both,vwap_near,-1,2023,2740,846,0.30875912408759126,32.089342469686464,12.089342469686459,0.11043719336259979,1.1528991079827522,239,0.08722627737226277,122,0.04452554744525548,26,0.00948905109489051
earlier,15,v9_both,vwap_near,-1,2024,4077,1278,0.31346578366445915,45.89644548338874,25.896445483388717,0.1661868083585734,1.2364126981726948,384,0.094186902133922,197,0.048319843021829775,44,0.010792249202845229
earlier,15,v9_both,vwap_near,1,2023,2738,724,0.26442658875091307,-17.77300688135273,-37.77300688135274,-0.23646002805755473,0.7002196038233013,150,0.0547845142439737,61,0.022279035792549307,13,0.004747991234477721
earlier,15,v9_both,vwap_near,1,2024,4234,1274,0.30089749645725083,9.072260588745685,-10.927739411254324,-0.07267188297035965,0.8995104956895555,275,0.06495040151157298,107,0.025271610769957487,22,0.0051960321209258385
later,15,v9_both,baseline,-1,2025,13240,4628,0.3495468277945619,61.64882719367235,41.64882719367234,0.2075795675075092,1.3132105095538693,1167,0.08814199395770393,516,0.03897280966767372,131,0.009894259818731118
later,15,v9_both,baseline,-1,2026,12321,3665,0.2974596217839461,0.35372020538317583,-19.64627979461683,-0.09264254979857994,0.8737988619381452,799,0.06484863241619998,302,0.024510997483970457,53,0.004301598896193491
later,15,v9_both,baseline,1,2025,12563,3603,0.28679455544057947,-9.8344714418131,-29.83447144181311,-0.1089428846930836,0.8499642025372316,652,0.05189843190320783,286,0.022765263074106503,82,0.006527103398869697
later,15,v9_both,baseline,1,2026,12694,3334,0.2626437687096266,-5.651153580448137,-25.65115358044815,-0.1398823774433553,0.8161112091885154,655,0.051599180715298565,303,0.023869544666771703,90,0.007089963762407437
later,15,v9_both,twap_near,-1,2025,7350,2621,0.3565986394557823,57.5227859438839,37.522785943883896,0.20631764834238267,1.3123761244551337,655,0.0891156462585034,278,0.03782312925170068,56,0.007619047619047619
later,15,v9_both,twap_near,-1,2026,6847,1990,0.2906382357236746,-1.3373448250392164,-21.33734482503922,-0.11675750588306,0.8441152448820024,454,0.06630641156710969,169,0.024682342631809552,33,0.0048196290346137
later,15,v9_both,twap_near,1,2025,6876,1918,0.2789412449098313,-15.927488591576456,-35.92748859157646,-0.1480932795507904,0.8001902482408044,341,0.049592786503781267,145,0.02108784176847004,45,0.006544502617801047
later,15,v9_both,twap_near,1,2026,7350,1856,0.2525170068027211,-4.80988845915191,-24.80988845915191,-0.1741367467502882,0.7752742524623848,384,0.052244897959183675,170,0.02312925170068027,51,0.0069387755102040816
later,15,v9_both,vwap_near,-1,2025,7153,2521,0.3524395358590801,54.71536856860388,34.71536856860387,0.19905560366329655,1.2999917824679281,640,0.08947294841325318,268,0.03746679714804977,57,0.007968684468055362
later,15,v9_both,vwap_near,-1,2026,6649,1951,0.2934275830952023,0.7812292116183108,-19.218770788381693,-0.10008516050232248,0.8656896334972691,450,0.06767935027823734,170,0.025567754549556326,33,0.004963152353737404
later,15,v9_both,vwap_near,1,2025,7082,1963,0.27718158712228186,-16.400607593895376,-36.40060759389538,-0.14547147574866204,0.8031452400317874,347,0.048997458345100255,156,0.02202767579779723,52,0.0073425585992657446
later,15,v9_both,vwap_near,1,2026,7665,1964,0.2562296151337247,-9.267642954556726,-29.267642954556734,-0.15454825405498665,0.7989961266449747,404,0.05270711024135682,182,0.023744292237442923,53,0.006914546640574038
all,60,joint,baseline,1,2023,1261,374,0.2965900079302141,-10.125864848560987,-30.125864848561,-0.1126331402191841,0.8381392774063611,65,0.05154639175257732,27,0.02141157811260904,6,0.004758128469468675
all,60,joint,baseline,1,2024,1969,609,0.3092940578974099,32.11093713345661,12.1109371334566,0.0025964304005986196,1.0037914802109211,134,0.0680548501777552,57,0.028948704926358558,14,0.007110208227526663
all,60,joint,baseline,1,2025,3744,1146,0.3060897435897436,-27.315403212540847,-47.31540321254085,0.015022210016885163,1.0224838948726114,245,0.06543803418803419,115,0.030715811965811964,26,0.006944444444444444
all,60,joint,baseline,1,2026,3460,980,0.2832369942196532,10.831233355075046,-9.16876664492497,0.006383641331747208,1.009108317453586,226,0.0653179190751445,108,0.03121387283236994,33,0.00953757225433526
all,60,joint,twap_near,1,2023,664,186,0.28012048192771083,-38.30715692050906,-58.307156920509065,-0.15539712010875373,0.7879587848855207,38,0.0572289156626506,13,0.01957831325301205,3,0.004518072289156626
all,60,joint,twap_near,1,2024,1012,308,0.30434782608695654,12.066718322553148,-7.933281677446861,-0.03560799359658582,0.9488500828202466,67,0.06620553359683795,32,0.03162055335968379,8,0.007905138339920948
all,60,joint,twap_near,1,2025,1815,562,0.3096418732782369,24.626553625524057,4.626553625524055,0.09716747836317413,1.1399770945089582,152,0.0837465564738292,75,0.04132231404958678,19,0.01046831955922865
all,60,joint,twap_near,1,2026,1918,538,0.2805005213764338,26.704680269983115,6.704680269983105,0.027478571410307177,1.038485376490865,130,0.06777893639207508,67,0.034932221063607924,22,0.011470281543274244
all,60,joint,vwap_near,1,2023,690,192,0.2782608695652174,-35.03705406567751,-55.03705406567754,-0.14257330749439046,0.8059779106241938,42,0.06086956521739131,15,0.021739130434782608,5,0.007246376811594203
all,60,joint,vwap_near,1,2024,1056,319,0.3020833333333333,4.5353141403695005,-15.464685859630512,-0.038708521352855824,0.9442799912813505,69,0.06534090909090909,32,0.030303030303030304,7,0.006628787878787879
all,60,joint,vwap_near,1,2025,1880,590,0.31382978723404253,17.66627904823292,-2.333720951767091,0.09463257611368933,1.1376404868195045,153,0.08138297872340426,78,0.04148936170212766,18,0.009574468085106383
all,60,joint,vwap_near,1,2026,2027,573,0.28268376911692156,41.71299186656786,21.712991866567865,0.0440542029427093,1.062016543400427,144,0.0710409472126295,71,0.03502713369511593,22,0.010853478046373951
earlier,60,joint,baseline,1,2023,1261,374,0.2965900079302141,-10.125864848560987,-30.125864848561,-0.1126331402191841,0.8381392774063611,65,0.05154639175257732,27,0.02141157811260904,6,0.004758128469468675
earlier,60,joint,baseline,1,2024,1969,609,0.3092940578974099,32.11093713345661,12.1109371334566,0.0025964304005986196,1.0037914802109211,134,0.0680548501777552,57,0.028948704926358558,14,0.007110208227526663
earlier,60,joint,twap_near,1,2023,664,186,0.28012048192771083,-38.30715692050906,-58.307156920509065,-0.15539712010875373,0.7879587848855207,38,0.0572289156626506,13,0.01957831325301205,3,0.004518072289156626
earlier,60,joint,twap_near,1,2024,1012,308,0.30434782608695654,12.066718322553148,-7.933281677446861,-0.03560799359658582,0.9488500828202466,67,0.06620553359683795,32,0.03162055335968379,8,0.007905138339920948
earlier,60,joint,vwap_near,1,2023,690,192,0.2782608695652174,-35.03705406567751,-55.03705406567754,-0.14257330749439046,0.8059779106241938,42,0.06086956521739131,15,0.021739130434782608,5,0.007246376811594203
earlier,60,joint,vwap_near,1,2024,1056,319,0.3020833333333333,4.5353141403695005,-15.464685859630512,-0.038708521352855824,0.9442799912813505,69,0.06534090909090909,32,0.030303030303030304,7,0.006628787878787879
later,60,joint,baseline,1,2025,3744,1146,0.3060897435897436,-27.315403212540847,-47.31540321254085,0.015022210016885163,1.0224838948726114,245,0.06543803418803419,115,0.030715811965811964,26,0.006944444444444444
later,60,joint,baseline,1,2026,3460,980,0.2832369942196532,10.831233355075046,-9.16876664492497,0.006383641331747208,1.009108317453586,226,0.0653179190751445,108,0.03121387283236994,33,0.00953757225433526
later,60,joint,twap_near,1,2025,1815,562,0.3096418732782369,24.626553625524057,4.626553625524055,0.09716747836317413,1.1399770945089582,152,0.0837465564738292,75,0.04132231404958678,19,0.01046831955922865
later,60,joint,twap_near,1,2026,1918,538,0.2805005213764338,26.704680269983115,6.704680269983105,0.027478571410307177,1.038485376490865,130,0.06777893639207508,67,0.034932221063607924,22,0.011470281543274244
later,60,joint,vwap_near,1,2025,1880,590,0.31382978723404253,17.66627904823292,-2.333720951767091,0.09463257611368933,1.1376404868195045,153,0.08138297872340426,78,0.04148936170212766,18,0.009574468085106383
later,60,joint,vwap_near,1,2026,2027,573,0.28268376911692156,41.71299186656786,21.712991866567865,0.0440542029427093,1.062016543400427,144,0.0710409472126295,71,0.03502713369511593,22,0.010853478046373951
all,60,v9_both,baseline,-1,2023,1454,364,0.25034387895460797,-89.72057452286626,-109.72057452286627,-0.2212846044924377,0.6910305531327604,63,0.04332874828060523,37,0.02544704264099037,6,0.0041265474552957355
all,60,v9_both,baseline,-1,2024,2498,1013,0.4055244195356285,171.01992644519714,151.01992644519714,0.4295363343605339,1.75738247426522,313,0.12530024019215372,128,0.051240992794235385,9,0.003602882305844676
all,60,v9_both,baseline,-1,2025,4076,1442,0.3537782139352306,65.5631650971387,45.56316509713869,0.06785093704235692,1.109481230586316,255,0.06256133464180569,63,0.015456329735034347,3,0.0007360157016683023
all,60,v9_both,baseline,-1,2026,2762,869,0.3146270818247647,7.155386888354004,-12.84461311164601,-0.012545204961024126,0.9808155874796544,178,0.06444605358435916,58,0.020999275887038378,9,0.0032585083272990588
all,60,v9_both,baseline,1,2023,1332,394,0.2957957957957958,-6.090037488506667,-26.09003748850668,-0.08981545007207668,0.8700355521372569,71,0.0533033033033033,31,0.023273273273273273,8,0.006006006006006006
all,60,v9_both,baseline,1,2024,2066,625,0.30251694094869314,18.02167999685439,-1.9783200031456292,-0.021477247013159173,0.9687943865699614,134,0.06485963213939981,56,0.027105517909002903,14,0.006776379477250726
all,60,v9_both,baseline,1,2025,3904,1182,0.30276639344262296,-30.695138592533514,-50.69513859253353,0.019268661177429126,1.0289568018605872,251,0.06429303278688525,116,0.02971311475409836,28,0.007172131147540984
all,60,v9_both,baseline,1,2026,3595,1026,0.28539638386648125,11.831835828396976,-8.16816417160304,0.009147995842512429,1.0131609584761527,233,0.06481223922114047,110,0.030598052851182198,35,0.009735744089012517
all,60,v9_both,twap_near,-1,2023,876,214,0.24429223744292236,-81.38826025440889,-101.3882602544089,-0.19465119890858984,0.7373289540880688,45,0.05136986301369863,24,0.0273972602739726,7,0.007990867579908675
all,60,v9_both,twap_near,-1,2024,1306,551,0.4218989280245023,209.54595529104503,189.545955291045,0.5654518422290966,2.002186693867915,184,0.14088820826952528,85,0.06508422664624809,6,0.004594180704441042
all,60,v9_both,twap_near,-1,2025,2125,737,0.3468235294117647,57.1941233403128,37.19412334031279,0.07479147752814766,1.1176879154730979,149,0.07011764705882353,36,0.016941176470588234,2,0.0009411764705882353
all,60,v9_both,twap_near,-1,2026,1554,484,0.31145431145431146,16.94666164161409,-3.053338358385928,0.0159714083050641,1.0232990445590162,122,0.07850707850707851,41,0.026383526383526385,9,0.005791505791505791
all,60,v9_both,twap_near,1,2023,741,215,0.2901484480431849,-24.20246275787117,-44.20246275787119,-0.13604874200523864,0.8107200854764927,39,0.05263157894736842,16,0.021592442645074223,3,0.004048582995951417
all,60,v9_both,twap_near,1,2024,1163,347,0.29836629406706794,6.632515292546699,-13.367484707453317,-0.046305660986941714,0.9334038071438115,74,0.06362854686156492,36,0.030954428202923472,9,0.007738607050730868
all,60,v9_both,twap_near,1,2025,2028,612,0.30177514792899407,15.0268791920727,-4.973120807927306,0.08892934485929616,1.1276573741864668,162,0.07988165680473373,76,0.03747534516765286,21,0.010355029585798817
all,60,v9_both,twap_near,1,2026,2128,610,0.2866541353383459,32.37976063563104,12.379760635631033,0.04140769301141667,1.0588539571993811,151,0.07095864661654136,76,0.03571428571428571,24,0.011278195488721804
all,60,v9_both,vwap_near,-1,2023,850,210,0.24705882352941178,-83.83720750790289,-103.8372075079029,-0.19297457545950464,0.7359843272627538,42,0.04941176470588235,22,0.02588235294117647,7,0.00823529411764706
all,60,v9_both,vwap_near,-1,2024,1267,540,0.4262036306235201,209.44535062193154,189.44535062193148,0.5428158690216314,1.9676387667620368,168,0.13259668508287292,79,0.062352012628255724,7,0.0055248618784530384
all,60,v9_both,vwap_near,-1,2025,2078,711,0.3421559191530318,60.889174071333485,40.889174071333485,0.08192582498476668,1.1277609435097122,156,0.07507218479307026,40,0.019249278152069296,2,0.0009624639076034649
all,60,v9_both,vwap_near,-1,2026,1472,469,0.3186141304347826,24.83775808969232,4.8377580896923105,0.04879032111254069,1.0718358994141604,120,0.08152173913043478,40,0.02717391304347826,9,0.006114130434782609
all,60,v9_both,vwap_near,1,2023,774,223,0.28811369509043927,-18.29173839664298,-38.291738396642984,-0.11106643051366047,0.8457845905855144,45,0.05813953488372093,18,0.023255813953488372,5,0.006459948320413436
all,60,v9_both,vwap_near,1,2024,1217,356,0.29252259654889073,-10.204971757753352,-30.204971757753373,-0.07386156543271809,0.8941901619066832,72,0.05916187345932621,36,0.029580936729663106,7,0.005751848808545604
all,60,v9_both,vwap_near,1,2025,2076,637,0.30684007707129096,20.154464591677097,0.154464591677092,0.10856601765377197,1.1575305421352087,166,0.07996146435452794,81,0.03901734104046243,21,0.010115606936416185
all,60,v9_both,vwap_near,1,2026,2244,648,0.2887700534759358,42.9105999989847,22.910599998984694,0.05706643921017945,1.08138154823115,164,0.07308377896613191,80,0.035650623885918005,25,0.011140819964349376
earlier,60,v9_both,baseline,-1,2023,1454,364,0.25034387895460797,-89.72057452286626,-109.72057452286627,-0.2212846044924377,0.6910305531327604,63,0.04332874828060523,37,0.02544704264099037,6,0.0041265474552957355
earlier,60,v9_both,baseline,-1,2024,2498,1013,0.4055244195356285,171.01992644519714,151.01992644519714,0.4295363343605339,1.75738247426522,313,0.12530024019215372,128,0.051240992794235385,9,0.003602882305844676
earlier,60,v9_both,baseline,1,2023,1332,394,0.2957957957957958,-6.090037488506667,-26.09003748850668,-0.08981545007207668,0.8700355521372569,71,0.0533033033033033,31,0.023273273273273273,8,0.006006006006006006
earlier,60,v9_both,baseline,1,2024,2066,625,0.30251694094869314,18.02167999685439,-1.9783200031456292,-0.021477247013159173,0.9687943865699614,134,0.06485963213939981,56,0.027105517909002903,14,0.006776379477250726
earlier,60,v9_both,twap_near,-1,2023,876,214,0.24429223744292236,-81.38826025440889,-101.3882602544089,-0.19465119890858984,0.7373289540880688,45,0.05136986301369863,24,0.0273972602739726,7,0.007990867579908675
earlier,60,v9_both,twap_near,-1,2024,1306,551,0.4218989280245023,209.54595529104503,189.545955291045,0.5654518422290966,2.002186693867915,184,0.14088820826952528,85,0.06508422664624809,6,0.004594180704441042
earlier,60,v9_both,twap_near,1,2023,741,215,0.2901484480431849,-24.20246275787117,-44.20246275787119,-0.13604874200523864,0.8107200854764927,39,0.05263157894736842,16,0.021592442645074223,3,0.004048582995951417
earlier,60,v9_both,twap_near,1,2024,1163,347,0.29836629406706794,6.632515292546699,-13.367484707453317,-0.046305660986941714,0.9334038071438115,74,0.06362854686156492,36,0.030954428202923472,9,0.007738607050730868
earlier,60,v9_both,vwap_near,-1,2023,850,210,0.24705882352941178,-83.83720750790289,-103.8372075079029,-0.19297457545950464,0.7359843272627538,42,0.04941176470588235,22,0.02588235294117647,7,0.00823529411764706
earlier,60,v9_both,vwap_near,-1,2024,1267,540,0.4262036306235201,209.44535062193154,189.44535062193148,0.5428158690216314,1.9676387667620368,168,0.13259668508287292,79,0.062352012628255724,7,0.0055248618784530384
earlier,60,v9_both,vwap_near,1,2023,774,223,0.28811369509043927,-18.29173839664298,-38.291738396642984,-0.11106643051366047,0.8457845905855144,45,0.05813953488372093,18,0.023255813953488372,5,0.006459948320413436
earlier,60,v9_both,vwap_near,1,2024,1217,356,0.29252259654889073,-10.204971757753352,-30.204971757753373,-0.07386156543271809,0.8941901619066832,72,0.05916187345932621,36,0.029580936729663106,7,0.005751848808545604
later,60,v9_both,baseline,-1,2025,4076,1442,0.3537782139352306,65.5631650971387,45.56316509713869,0.06785093704235692,1.109481230586316,255,0.06256133464180569,63,0.015456329735034347,3,0.0007360157016683023
later,60,v9_both,baseline,-1,2026,2762,869,0.3146270818247647,7.155386888354004,-12.84461311164601,-0.012545204961024126,0.9808155874796544,178,0.06444605358435916,58,0.020999275887038378,9,0.0032585083272990588
