period,timeframe_min,arm,policy,feature,control_mode,target_closed,draw_assigned,matched_draws,control_gate_pass_draws,control_gate_rejected,control_censored_or_missing,paired_closed,paired_coverage,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,target_mean_net_bp,random_mean_net_bp,target_win_rate,random_win_rate,win_rate_excess,holm_primary_p
all,60,joint,baseline,none,unconditional,10434,10434,10425,10425,0,9,10416,0.9982748706152962,10416,188,-75.24967670502768,1.0,-108.96851266636847,-42.002718809308874,9.999000099990002e-05,-20.73810408667073,54.51157261835696,0.29819508448540705,0.3290130568356375,-0.030817972350230427,
all,60,joint,vwap_near,vwap,unconditional,5653,5653,5650,5650,0,6,5644,0.9984079249955776,5644,184,-59.81216753316981,0.9992000799920008,-98.19525970758795,-22.43476037708926,9.999000099990002e-05,-1.891430064526797,57.92073746864303,0.29659815733522327,0.3253012048192771,-0.028703047484053834,
all,60,joint,vwap_near,vwap,same_gate,5653,5653,5650,4932,718,6,4927,0.8715726163099239,4927,184,-67.01498090486692,0.9998000199980002,-108.33580616847082,-26.388548058858884,9.999000099990002e-05,-0.831346228412796,66.18363467645413,0.2947026588187538,0.32392936878425005,-0.029226709965496256,
all,60,joint,twap_near,twap,unconditional,5409,5409,5405,5405,0,5,5400,0.9983361064891847,5400,182,-61.26157042302061,0.9988001199880012,-99.45108782661413,-21.665001402928386,9.999000099990002e-05,-3.9344072827422973,57.327163140278316,0.29518518518518516,0.32611111111111113,-0.030925925925925968,
all,60,joint,twap_near,twap,same_gate,5409,5409,5405,4878,527,5,4874,0.9010907746348679,4874,182,-70.40457032565251,0.9998000199980002,-107.87017114494029,-30.64096518608395,9.999000099990002e-05,-4.960227230241408,65.44434309541111,0.29298317603610996,0.327041444398851,-0.03405826836274106,
earlier,60,joint,baseline,none,unconditional,3230,3230,3227,3227,0,9,3218,0.9962848297213622,3218,99,-49.567717594073734,0.938906109389061,-110.60635349488756,12.614139336171696,9.999000099990002e-05,-3.1949972657169785,46.372720328356756,0.3048477315102548,0.3151025481665631,-0.010254816656308285,
earlier,60,joint,vwap_near,vwap,unconditional,1746,1746,1745,1745,0,6,1739,0.9959908361970218,1739,95,-58.60171348182133,0.9526047395260474,-123.5365818657679,11.698753450845192,9.999000099990002e-05,-29.66042861619249,28.941284865628834,0.29384703852788957,0.3064979873490512,-0.012650948821161634,
earlier,60,joint,vwap_near,vwap,same_gate,1746,1746,1745,1518,227,6,1513,0.8665521191294387,1513,95,-54.23431492085892,0.9298070192980702,-120.52619951334658,19.02268258113126,9.999000099990002e-05,-30.25895859014781,23.975356330711122,0.29345670852610706,0.30006609385327165,-0.006609385327164596,
earlier,60,joint,twap_near,twap,unconditional,1676,1676,1675,1675,0,5,1670,0.9964200477326969,1670,93,-48.38785654122098,0.9016098390160984,-116.77362367621923,22.870343688288138,9.999000099990002e-05,-26.706408681290657,21.68144785993031,0.2958083832335329,0.3011976047904192,-0.005389221556886259,
earlier,60,joint,twap_near,twap,same_gate,1676,1676,1675,1507,168,5,1503,0.8967780429594272,1503,93,-38.67620696244156,0.845015498450155,-107.28268695839995,37.1831963958596,9.999000099990002e-05,-18.546494987064655,20.1297119753769,0.3013972055888224,0.3013972055888224,0.0,
later,60,joint,baseline,none,unconditional,7204,7204,7198,7198,0,0,7198,0.9991671293725708,7198,90,-86.73127498497348,1.0,-128.97922201900525,-47.84249113923465,9.999000099990002e-05,-28.581076822129077,58.150198162844404,0.29522089469297025,0.33523200889135873,-0.04001111419838849,
later,60,joint,vwap_near,vwap,unconditional,3907,3907,3905,3905,0,0,3905,0.9994880982851293,3905,90,-60.351214804692226,0.9942005799420058,-107.81130607042351,-17.18955238211509,9.999000099990002e-05,10.474840993436503,70.82605579812872,0.2978233034571063,0.33367477592829703,-0.03585147247119075,
later,60,joint,vwap_near,vwap,same_gate,3907,3907,3905,3414,491,0,3414,0.8738162272843614,3414,90,-72.67905461131217,0.9977002299770023,-123.2628945358308,-24.908333070961522,9.999000099990002e-05,12.21024062082711,84.88929523213929,0.29525483304042177,0.3345049794961921,-0.03925014645577035,
later,60,joint,twap_near,twap,unconditional,3733,3733,3730,3730,0,0,3730,0.999196356817573,3730,90,-67.02540478833038,0.9981001899810019,-113.4651935124072,-22.103298254865134,9.999000099990002e-05,6.261100045830292,73.28650483416068,0.2949061662198391,0.3372654155495979,-0.042359249329758764,
later,60,joint,twap_near,twap,same_gate,3733,3733,3730,3371,359,0,3371,0.9030270559871417,3371,90,-84.55103432295482,0.9997000299970003,-131.47510445141307,-40.03297619710712,9.999000099990002e-05,1.0973700520206355,85.64840437497547,0.28923168199347377,0.3384752299021062,-0.049243547908632446,
all,60,v9_both,baseline,none,unconditional,21687,21687,21660,21660,0,78,21582,0.9951583898187855,21582,195,-45.175488959936516,0.9999000099990001,-69.67380788786679,-20.67490407880042,9.999000099990002e-05,6.436075494937699,51.61156445487421,0.3199425447131869,0.33666944676118987,-0.01672690204800298,
all,60,v9_both,vwap_near,vwap,unconditional,11978,11978,11965,11965,0,18,11947,0.9974119218567373,11947,191,-31.474162601057063,0.9896010398960104,-57.555374624196034,-6.662329754209232,9.999000099990002e-05,20.088834047231735,51.5629966482888,0.3173181551854022,0.33196618397924166,-0.014648028793839474,
all,60,v9_both,vwap_near,vwap,same_gate,11978,11978,11965,10378,1587,18,10364,0.865252963766906,10364,189,-36.29770754179479,0.9954004599540046,-62.1540711887739,-9.198457684385644,9.999000099990002e-05,11.345722565459987,47.64343010725479,0.31281358548822846,0.32950598224623695,-0.016692396758008488,
all,60,v9_both,twap_near,twap,unconditional,11921,11921,11904,11904,0,18,11886,0.9970640046975925,11886,192,-23.772470756939864,0.961003899610039,-50.82886812594286,2.7221438691092428,9.999000099990002e-05,17.958816039620963,41.73128679656082,0.31692747770486285,0.3320713444388356,-0.015143866733972777,
all,60,v9_both,twap_near,twap,same_gate,11921,11921,11904,10635,1269,18,10620,0.8908648603305092,10620,190,-30.46979603335974,0.9844015598440156,-56.643153314758976,-5.897651810546082,9.999000099990002e-05,9.270976727593602,39.74077276095334,0.31186440677966104,0.32984934086629003,-0.01798493408662899,
earlier,60,v9_both,baseline,none,unconditional,7350,7350,7342,7342,0,78,7264,0.9882993197278912,7264,105,-17.182220737741314,0.7793220677932207,-57.77472654326871,25.76670471356739,9.999000099990002e-05,30.131658711538254,47.313879449279575,0.32915748898678415,0.33259911894273125,-0.003441629955947101,
earlier,60,v9_both,vwap_near,vwap,unconditional,4108,4108,4105,4105,0,18,4087,0.994888023369036,4087,101,-10.646830970317868,0.6899310068993101,-49.48546095125035,32.01651675609134,9.999000099990002e-05,23.09550651987135,33.74233749018922,0.3251773917298752,0.3183264007829704,0.006850990946904778,
earlier,60,v9_both,vwap_near,vwap,same_gate,4108,4108,4105,3561,544,18,3547,0.8634371957156767,3547,100,-12.739927436285711,0.7277272272772722,-54.072093692134274,30.75384737015531,9.999000099990002e-05,17.204114036095895,29.944041472381606,0.3213983648153369,0.31265858471948127,0.008739780095855632,
earlier,60,v9_both,twap_near,twap,unconditional,4086,4086,4083,4083,0,18,4065,0.9948604992657856,4065,102,-8.284876771682429,0.6486351364863514,-48.54033863489378,35.645714211011466,9.999000099990002e-05,29.368943435619478,37.65382020730191,0.32644526445264455,0.32693726937269374,-0.0004920049200491938,
earlier,60,v9_both,twap_near,twap,same_gate,4086,4086,4083,3637,446,18,3622,0.886441507586882,3622,101,-14.831739639088664,0.7473252674732527,-54.26183263529444,29.882407393962534,9.999000099990002e-05,20.19535019691461,35.02708983600327,0.3210933186085036,0.3219215902816124,-0.0008282716731087825,
later,60,v9_both,baseline,none,unconditional,14337,14337,14318,14318,0,0,14318,0.9986747576201437,14318,91,-59.37740964481052,0.9997000299970003,-86.20014751421114,-28.887219018656875,9.999000099990002e-05,-5.585485930218499,53.79192371459203,0.31526749546025984,0.33873446012012853,-0.023466964659868694,
later,60,v9_both,vwap_near,vwap,unconditional,7870,7870,7860,7860,0,0,7860,0.9987293519695044,7860,91,-42.303845091493585,0.9925007499250075,-73.27988437157143,-6.469609744244061,9.999000099990002e-05,18.52544086712002,60.82928595861361,0.31323155216284987,0.339058524173028,-0.02582697201017814,
later,60,v9_both,vwap_near,vwap,same_gate,7870,7870,7860,6817,1043,0,6817,0.8662007623888183,6817,90,-48.55521759522602,0.9959004099590041,-81.14519323095357,-13.638097271669078,9.999000099990002e-05,8.297502740559656,56.85272033578568,0.30834678010855215,0.3382719671409711,-0.02992518703241892,1.0
later,60,v9_both,twap_near,twap,unconditional,7835,7835,7821,7821,0,0,7821,0.9982131461391194,7821,91,-31.822217534854644,0.9674032596740326,-63.8624046936036,4.631000471355052,9.999000099990002e-05,12.028350899008005,43.85056843386265,0.3119805651451221,0.33473980309423346,-0.022759237949111333,
later,60,v9_both,twap_near,twap,same_gate,7835,7835,7821,6998,823,0,6998,0.8931716656030632,6998,90,-38.56368575328684,0.9827017298270173,-72.08738412521545,-3.4399173071947646,9.999000099990002e-05,3.616778284341147,42.18046403762799,0.30708773935410116,0.33395255787367817,-0.026864818519577005,1.0
