symbol,period,arm,entries,complete,net_profit_sum_independent_accounts,win_rate,mean_final_balance,max_adds
NEARUSDT,later,none,7.0,7.0,-105.75722100000006,0.2857142857142857,84.89182557142856,0.0
NEARUSDT,later,two,7.0,7.0,-105.83326800000036,0.2857142857142857,84.88096171428565,2.0
ONEUSDT,earlier,continuous,6.0,5.0,79.70508576759538,0.6,115.94101715351908,1.0
ONEUSDT,earlier,continuous_unprotected,6.0,5.0,79.70508576759538,0.6,115.94101715351908,1.0
ONEUSDT,earlier,none,6.0,5.0,131.76135703829573,0.6,126.35227140765917,0.0
ONEUSDT,earlier,two,6.0,5.0,79.70508576759538,0.6,115.94101715351908,1.0
ONEUSDT,later,continuous,7.0,7.0,-15.760908989099846,0.42857142857142855,97.74844157298573,2.0
ONEUSDT,later,continuous_unprotected,7.0,6.0,-88.10086561399993,0.3333333333333333,85.31652239766667,2.0
ONEUSDT,later,none,7.0,7.0,16.798479088300056,0.42857142857142855,102.3997827269,0.0
ONEUSDT,later,two,7.0,7.0,-15.760908989099846,0.42857142857142855,97.74844157298573,2.0
OPUSDT,earlier,continuous,15.0,15.0,-239.06514987699956,0.4,84.06232334153337,1.0
OPUSDT,earlier,continuous_unprotected,15.0,14.0,-275.71488896399916,0.35714285714285715,80.30607935971435,1.0
OPUSDT,earlier,none,15.0,15.0,-228.58882632999925,0.4,84.76074491133339,0.0
OPUSDT,earlier,two,15.0,15.0,-239.06514987699956,0.4,84.06232334153337,1.0
OPUSDT,later,continuous,8.0,8.0,-68.07255910800052,0.375,91.49093011149994,0.0
OPUSDT,later,continuous_unprotected,8.0,8.0,-68.07255910800052,0.375,91.49093011149994,0.0
OPUSDT,later,none,8.0,8.0,-68.07255910800052,0.375,91.49093011149994,0.0
OPUSDT,later,two,8.0,8.0,-68.07255910800052,0.375,91.49093011149994,0.0
PENDLEUSDT,earlier,continuous,9.0,9.0,48.65019460000064,0.3333333333333333,105.40557717777784,3.0
PENDLEUSDT,earlier,continuous_unprotected,9.0,8.0,-100.80332059999952,0.25,87.39958492500006,3.0
PENDLEUSDT,earlier,none,9.0,9.0,94.60659620000067,0.3333333333333333,110.5118440222223,0.0
PENDLEUSDT,earlier,two,9.0,9.0,142.93801540000052,0.3333333333333333,115.88200171111117,2.0
PENDLEUSDT,later,continuous,8.0,8.0,432.5634792000002,0.5,154.0704349,6.0
PENDLEUSDT,later,continuous_unprotected,8.0,6.0,-130.41767659999985,0.3333333333333333,78.26372056666669,6.0
PENDLEUSDT,later,none,8.0,8.0,308.5211596000004,0.5,138.56514495000005,0.0
PENDLEUSDT,later,two,8.0,8.0,427.05888140000104,0.5,153.38236017500014,2.0
PIEVERSEUSDT,later,continuous,5.0,5.0,-17.22363440000011,0.4,96.55527312,1.0
PIEVERSEUSDT,later,continuous_unprotected,5.0,5.0,-17.22363440000011,0.4,96.55527312,1.0
PIEVERSEUSDT,later,none,5.0,5.0,74.91167880000013,0.4,114.98233576000003,0.0
PIEVERSEUSDT,later,two,5.0,5.0,-17.22363440000011,0.4,96.55527312,1.0
