candidate,timeframe,name,return_pct,max_drawdown_pct,trades,winrate,winrate_pct,PF,gross_trade_mean_bp,net_trade_mean_bp,exposure_time,exposure_fraction,bankrupt,final_equity,observed_minutes,cost_bp,price_model,ledger_checks,actual_n,matched_n,unmatched_n,controls_n,n_controls,seed,scope,matching,actual_mean_gross_bp,actual_mean_net_bp,matched_actual_mean_gross_bp,matched_actual_mean_net_bp,control_mean_gross_bp,control_mean_net_bp,excess_bp,actual_bankruptcy_n,actual_floor_adjustment_n,score_n,score_auc,score_auc_status,score_top_decile_n,score_top_decile_gross_bp,score_top_decile_net_bp,score_top_decile_win_pct,months,monthly_mean_excess_bp,p,ci_low,ci_high,inference_status,inference_estimand,inference_draws,p_method,paired_p,top_decile_gross_bp,top_decile_net_bp,holm_p
C03,720,现有密集共振,59.07839187111974,12.92541268886086,12,0.3333333333333333,33.33333333333333,4.203659778600033,459.09589317311674,439.09589317311674,48704280.0,0.7711449308405532,False,1.5907839187111974,709543,20.0,BID plus fixed round-trip cost; no swap,132,12,12,0,36,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,459.09589317311674,439.09589317311674,459.09589317311674,439.09589317311674,215.54291990456807,195.54291990456807,243.5529732685487,0,0,12,0.6875,ok,2,902.015272103195,882.0152721031959,50.0,9,266.35547800023096,0.11328125,-42.413879024946375,624.7203865364023,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.11328125,902.015272103195,882.0152721031959,1.0
N04,1440,近零共振＋蓄势内同向影线回踩,58.82005485006281,11.272219641289706,1,1.0,100.0,inf,5907.887490491287,5887.8874904912855,30128280.0,0.47702728378172976,False,1.588200548500628,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,1,0,3,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,5907.887490491287,5887.8874904912855,5907.887490491287,5887.8874904912855,5901.389818356634,5881.389818356634,6.497672134651414,0,0,1,,single_profit_class,1,5907.887490491287,5887.8874904912855,100.0,1,6.497672134651414,0.5,,,one_month_no_bootstrap_ci,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,5907.887490491287,5887.8874904912855,1.0
T02,1440,Donchian55突破/20退出,54.30570632343359,16.11294628557769,5,0.8,80.0,9.312203026038729,976.530921634725,956.5309216347243,37299480.0,0.5905703754369965,False,1.543057063234336,709543,20.0,BID plus fixed round-trip cost; no swap,55,5,5,0,15,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,976.530921634725,956.5309216347243,976.530921634725,956.5309216347243,1137.0557709552882,1117.0557709552882,-160.5248493205639,0,0,5,0.0,ok,1,-586.9690435399061,-606.9690435399066,0.0,5,-160.5248493205639,0.9375,-291.17849110940716,29.649559635238138,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.9375,-586.9690435399061,-606.9690435399066,1.0
C01,720,离零即入场,52.40941205416989,12.925412688860828,13,0.3076923076923077,30.76923076923077,3.3029801229638593,393.03888388061864,373.03888388061876,50907480.0,0.8060286517707859,False,1.524094120541699,709543,20.0,BID plus fixed round-trip cost; no swap,143,13,13,0,39,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,393.03888388061864,373.03888388061876,393.03888388061864,373.03888388061876,175.65348786915501,155.65348786915501,217.38539601146374,0,0,13,0.6944444444444444,ok,2,902.0152721031951,882.0152721031945,50.0,10,230.0573770928523,0.1162109375,-51.82735583290886,560.8707909416942,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.1162109375,902.0152721031951,882.0152721031945,1.0
T00,720,EMA20/60趋势交叉,47.991512517475044,19.34887310240787,20,0.2,20.0,2.4887017017735857,251.9357677450701,231.93576774507,61621080.0,0.9756592947256422,False,1.4799151251747504,709543,20.0,BID plus fixed round-trip cost; no swap,220,20,19,1,57,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,251.9357677450701,231.93576774507,279.5934651010874,259.5934651010875,222.9888477162784,202.98884771627843,56.60461738480899,0,0,20,0.46875,ok,2,-237.22699918889887,-257.2269991888989,0.0,9,17.201397694410932,0.462890625,-191.181647733483,290.4479784131416,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.462890625,-237.22699918889887,-257.2269991888989,1.0
F04,720,长零轴＋严格高周期同向,36.374710546322355,11.573489865247744,2,1.0,100.0,inf,1741.3824100430638,1721.3824100430634,25225080.0,0.3993939048487612,False,1.3637471054632235,709543,20.0,BID plus fixed round-trip cost; no swap,22,2,2,0,6,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,1741.3824100430638,1721.3824100430634,1741.3824100430638,1721.3824100430634,1853.799423073403,1833.799423073403,-112.41701303033966,0,0,2,,single_profit_class,1,752.5766108376533,732.5766108376524,100.0,2,-112.41701303033966,1.0,-135.38433431079207,-89.44969174988724,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,1.0,752.5766108376533,732.5766108376524,1.0
F01,360,零轴12根·反向才退,36.373511294584596,14.597876546563493,11,0.36363636363636365,36.36363636363637,2.987694468288258,334.607986318811,314.6079863188108,39977880.0,0.6329780361757106,False,1.363735112945846,709543,20.0,BID plus fixed round-trip cost; no swap,121,11,11,0,33,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,334.607986318811,314.6079863188108,334.607986318811,314.6079863188108,275.544960035119,255.54496003511898,59.06302628369181,0,0,11,0.39285714285714285,ok,2,-282.3369268962125,-302.3369268962122,0.0,9,56.137556791706,0.337890625,-120.62849550072927,277.9156426152003,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.337890625,-282.3369268962125,-302.3369268962122,1.0
F02,360,长零轴＋密集,36.373511294584596,14.597876546563493,11,0.36363636363636365,36.36363636363637,2.987694468288258,334.607986318811,314.6079863188108,39977880.0,0.6329780361757106,False,1.363735112945846,709543,20.0,BID plus fixed round-trip cost; no swap,121,11,11,0,33,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,334.607986318811,314.6079863188108,334.607986318811,314.6079863188108,275.544960035119,255.54496003511898,59.06302628369181,0,0,11,0.39285714285714285,ok,2,-282.3369268962125,-302.3369268962122,0.0,9,56.137556791706,0.337890625,-120.62849550072927,277.9156426152003,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.337890625,-282.3369268962125,-302.3369268962122,1.0
F03,360,长零轴＋密集＋高周期许可,36.373511294584596,14.597876546563493,11,0.36363636363636365,36.36363636363637,2.987694468288258,334.607986318811,314.6079863188108,39977880.0,0.6329780361757106,False,1.363735112945846,709543,20.0,BID plus fixed round-trip cost; no swap,121,11,11,0,33,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,334.607986318811,314.6079863188108,334.607986318811,314.6079863188108,275.544960035119,255.54496003511898,59.06302628369181,0,0,11,0.39285714285714285,ok,2,-282.3369268962125,-302.3369268962122,0.0,9,56.137556791706,0.337890625,-120.62849550072927,277.9156426152003,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.337890625,-282.3369268962125,-302.3369268962122,1.0
C02,120,现有密集启动,32.83451023008266,18.355139480623105,66,0.36363636363636365,36.36363636363637,1.6609020084209822,67.17560732488263,47.17560732488246,46915200.0,0.7428180574555403,False,1.3283451023008266,709543,20.0,BID plus fixed round-trip cost; no swap,726,66,66,0,198,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,67.17560732488263,47.17560732488246,67.17560732488263,47.17560732488246,8.62908915561545,-11.370910844384548,58.546518169267024,0,0,66,0.4573412698412698,ok,7,77.15290599496953,57.15290599496968,42.857142857142854,23,128.52175824335168,0.0015,46.01311951130528,225.05728179383257,ok,equal-weight monthly mean of per-trade net excess,1999,monte_carlo_monthly_sign_flip,0.0015,77.15290599496953,57.15290599496968,0.2805
C01,120,离零即入场,30.925219672377956,18.274439995512036,79,0.35443037974683544,35.44303797468354,1.5724293053411327,57.64524652480379,37.6452465248039,52995480.0,0.8390883872929017,False,1.3092521967237796,709543,20.0,BID plus fixed round-trip cost; no swap,869,79,79,0,237,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,57.64524652480379,37.6452465248039,57.64524652480379,37.6452465248039,5.79087647106699,-14.209123528933004,51.8543700537369,0,0,79,0.5105042016806722,ok,8,71.84908830423254,51.84908830423281,37.5,24,106.01616577046053,0.0035,36.47956187745108,192.89902464147838,ok,equal-weight monthly mean of per-trade net excess,1999,monte_carlo_monthly_sign_flip,0.0035,71.84908830423254,51.84908830423281,0.6475
T03,240,EMA120趋势＋SMA20影线回踩,29.662077406559927,17.54798636922651,72,0.19444444444444445,19.444444444444446,1.6047353286186747,62.2802132509758,42.2802132509759,37674000.0,0.596500227998176,False,1.2966207740655993,709543,20.0,BID plus fixed round-trip cost; no swap,792,72,72,0,216,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,62.2802132509758,42.2802132509759,62.2802132509758,42.2802132509759,36.73385796741857,16.733857967418572,25.546355283557325,0,0,72,0.5178571428571429,ok,8,-54.909658194325424,-74.90965819432509,25.0,20,51.67841725946005,0.021,8.90763340687481,97.17332905628112,ok,equal-weight monthly mean of per-trade net excess,1999,monte_carlo_monthly_sign_flip,0.021,-54.909658194325424,-74.90965819432509,1.0
F00,720,精确零轴12根,28.734626110905424,11.323391813478134,6,0.3333333333333333,33.33333333333333,4.791453920270496,501.4180514038533,481.41805140385435,25441080.0,0.40281387748898007,False,1.2873462611090543,709543,20.0,BID plus fixed round-trip cost; no swap,66,6,6,0,18,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,501.4180514038533,481.41805140385435,501.4180514038533,481.41805140385435,187.51619007704255,167.51619007704255,313.9018613268118,0,0,6,0.75,ok,1,-227.18891350213602,-247.18891350213482,0.0,5,210.02632582256396,0.25,-162.33914308851394,599.1236041396481,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.25,-227.18891350213602,-247.18891350213482,1.0
F05,1440,长零轴共振·EMA60退出,27.489846164193988,10.026216206558946,2,1.0,100.0,inf,1316.1163672217062,1296.1163672217072,18640800.0,0.2951436388508892,False,1.2748984616419399,709543,20.0,BID plus fixed round-trip cost; no swap,22,2,1,1,3,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,1316.1163672217062,1296.1163672217072,1604.7579491014385,1584.7579491014405,1600.01791605806,1580.01791605806,4.740033043380511,0,0,2,,single_profit_class,1,1027.4747853419738,1007.4747853419736,100.0,1,4.740033043380511,0.5,,,one_month_no_bootstrap_ci,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,1027.4747853419738,1007.4747853419736,1.0
F01,720,零轴12根·反向才退,26.826025372335536,13.798189701703267,4,0.5,50.0,4.737542286341201,702.573928850353,682.5739288503538,28637880.0,0.4534294725642195,False,1.2682602537233554,709543,20.0,BID plus fixed round-trip cost; no swap,44,4,4,0,12,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,702.573928850353,682.5739288503538,702.573928850353,682.5739288503538,852.0433333829568,832.0433333829568,-149.46940453260302,0,0,4,0.5,ok,1,-440.63008798051203,-460.63008798051095,0.0,4,-149.46940453260302,1.0,-200.64083470817073,-104.74991645302309,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,1.0,-440.63008798051203,-460.63008798051095,1.0
F02,720,长零轴＋密集,26.826025372335536,13.798189701703267,4,0.5,50.0,4.737542286341201,702.573928850353,682.5739288503538,28637880.0,0.4534294725642195,False,1.2682602537233554,709543,20.0,BID plus fixed round-trip cost; no swap,44,4,4,0,12,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,702.573928850353,682.5739288503538,702.573928850353,682.5739288503538,852.0433333829568,832.0433333829568,-149.46940453260302,0,0,4,0.5,ok,1,-440.63008798051203,-460.63008798051095,0.0,4,-149.46940453260302,1.0,-200.64083470817073,-104.74991645302309,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,1.0,-440.63008798051203,-460.63008798051095,1.0
F03,720,长零轴＋密集＋高周期许可,26.826025372335536,13.798189701703267,4,0.5,50.0,4.737542286341201,702.573928850353,682.5739288503538,28637880.0,0.4534294725642195,False,1.2682602537233554,709543,20.0,BID plus fixed round-trip cost; no swap,44,4,4,0,12,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,702.573928850353,682.5739288503538,702.573928850353,682.5739288503538,852.0433333829568,832.0433333829568,-149.46940453260302,0,0,4,0.5,ok,1,-440.63008798051203,-460.63008798051095,0.0,4,-149.46940453260302,1.0,-200.64083470817073,-104.74991645302309,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,1.0,-440.63008798051203,-460.63008798051095,1.0
C03,120,现有密集共振,26.124781703954913,16.396302232746194,64,0.359375,35.9375,1.571754175139022,60.19063636115653,40.19063636115689,44676000.0,0.7073643410852714,False,1.2612478170395491,709543,20.0,BID plus fixed round-trip cost; no swap,704,64,64,0,192,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,60.19063636115653,40.19063636115689,60.19063636115653,40.19063636115689,4.616934822129014,-15.383065177870982,55.57370153902788,0,0,64,0.45705196182396607,ok,7,77.15290599496953,57.152905994970396,42.857142857142854,23,128.45067259590712,0.003,43.55161035007566,228.8731539923044,ok,equal-weight monthly mean of per-trade net excess,1999,monte_carlo_monthly_sign_flip,0.003,77.15290599496953,57.152905994970396,0.558
T02,720,Donchian55突破/20退出,26.064151709638985,14.941529935723485,13,0.46153846153846156,46.15384615384615,2.167361064135157,219.4861591438303,199.48615914382992,31402680.0,0.49720512235902115,False,1.2606415170963898,709543,20.0,BID plus fixed round-trip cost; no swap,143,13,13,0,39,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,219.4861591438303,199.48615914382992,219.4861591438303,199.48615914382992,146.6761728036777,126.67617280367767,72.80998634015224,0,0,13,0.5952380952380952,ok,2,-269.73112814493294,-289.7311281449341,0.0,13,72.80998634015224,0.461,-138.96121480519236,408.4259562781031,ok,equal-weight monthly mean of per-trade net excess,1999,monte_carlo_monthly_sign_flip,0.461,-269.73112814493294,-289.7311281449341,1.0
N03,720,近零共振＋离开均线带,25.728961064647528,14.638571372409325,4,0.5,50.0,4.593179511359342,674.407005526157,654.4070055261574,28357080.0,0.44898350813193494,False,1.2572896106464753,709543,20.0,BID plus fixed round-trip cost; no swap,44,4,4,0,12,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,674.407005526157,654.4070055261574,674.407005526157,654.4070055261574,839.9272382917629,819.9272382917629,-165.52023276560558,0,0,4,1.0,ok,1,764.5934359701787,744.5934359701788,100.0,4,-165.52023276560558,1.0,-234.1669510070409,-101.07258397819923,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,1.0,764.5934359701787,744.5934359701788,1.0
F04,120,长零轴＋严格高周期同向,24.332820218539062,8.590898350955333,9,0.5555555555555556,55.55555555555556,4.6894251415504735,274.3714401551339,254.37144015513343,12664800.0,0.20052439580483356,False,1.2433282021853906,709543,20.0,BID plus fixed round-trip cost; no swap,99,9,9,0,27,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,274.3714401551339,254.37144015513343,274.3714401551339,254.37144015513343,254.5361996437888,234.5361996437888,19.835240511344637,0,0,9,0.55,ok,1,645.7495846369384,625.7495846369371,100.0,9,19.835240511344637,0.37109375,-77.27073701496992,131.36940864812695,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.37109375,645.7495846369384,625.7495846369371,1.0
