stream_key,symbol,timeframe,asset,tick,bars,bars_in_window,first_bar,last_bar,gaps,ready_in_window,v9_long_in_window,v9_any_in_window,breaks_in_window,lines_born_in_window,joint_in_window,pivot_ties,store_codes,pair_refusals,serial,partial_buckets
binance_um:1000000BOBUSDT:4h,1000000BOBUSDT,4h,1000000BOB,1e-05,1978,1977,2025-06-05 08:00:00+00:00,2026-04-30 20:00:00+00:00,0,1637,1,2,14,14,1,7,"{'0': 5, '1': 19, '2': 120, '3': 13, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000000BOBUSDT:1d,1000000BOBUSDT,1d,1000000BOB,1e-05,330,329,2025-06-05 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000CHEEMSUSDT:5m,1000CHEEMSUSDT,5m,1000CHEEMS,1e-07,150195,150194,2024-11-25 11:45:00+00:00,2026-04-30 23:55:00+00:00,0,149854,183,390,527,493,37,1168,"{'0': 527, '1': 691, '2': 8515, '3': 756, '4': 0, '5': 33}","{'momentum': 5, 'gate': 2}","{'joint': {'candidates': 37, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 183, 'skipped_in_position': 26, 'invalid_initial': 0}}",0
binance_um:1000CHEEMSUSDT:15m,1000CHEEMSUSDT,15m,1000CHEEMS,1e-07,50065,50064,2024-11-25 11:45:00+00:00,2026-04-30 23:45:00+00:00,0,49724,71,124,209,194,15,226,"{'0': 152, '1': 266, '2': 2985, '3': 303, '4': 0, '5': 8}","{'gate': 4, 'momentum': 2, 'parent_not_recovered': 1}","{'joint': {'candidates': 15, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 71, 'skipped_in_position': 13, 'invalid_initial': 0}}",0
binance_um:1000CHEEMSUSDT:30m,1000CHEEMSUSDT,30m,1000CHEEMS,1e-07,25033,25032,2024-11-25 11:30:00+00:00,2026-04-30 23:30:00+00:00,0,24692,36,64,111,100,13,72,"{'0': 71, '1': 149, '2': 1397, '3': 187, '4': 0, '5': 5}",{'gate': 1},"{'joint': {'candidates': 13, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 36, 'skipped_in_position': 8, 'invalid_initial': 0}}",1
binance_um:1000CHEEMSUSDT:1h,1000CHEEMSUSDT,1h,1000CHEEMS,1e-07,12517,12516,2024-11-25 11:00:00+00:00,2026-04-30 23:00:00+00:00,0,12176,14,25,60,46,6,24,"{'0': 48, '1': 81, '2': 776, '3': 72, '4': 0, '5': 1}",{'gate': 1},"{'joint': {'candidates': 6, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 14, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:1000CHEEMSUSDT:4h,1000CHEEMSUSDT,4h,1000CHEEMS,1e-07,3130,3129,2024-11-25 08:00:00+00:00,2026-04-30 20:00:00+00:00,0,2789,4,7,20,21,2,0,"{'0': 4, '1': 28, '2': 248, '3': 34, '4': 0, '5': 0}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 4, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000CHEEMSUSDT:1d,1000CHEEMSUSDT,1d,1000CHEEMS,1e-07,522,521,2024-11-25 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,181,0,0,1,1,0,0,"{'0': 0, '1': 2, '2': 3, '3': 3, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000000MOGUSDT:5m,1000000MOGUSDT,5m,1000000MOG,0.0001,155370,155369,2024-11-07 12:30:00+00:00,2026-04-30 23:55:00+00:00,0,155029,171,386,487,463,28,1934,"{'0': 430, '1': 649, '2': 8741, '3': 481, '4': 0, '5': 17}","{'momentum': 4, 'gate': 3}","{'joint': {'candidates': 28, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 171, 'skipped_in_position': 25, 'invalid_initial': 0}}",0
binance_um:1000000MOGUSDT:15m,1000000MOGUSDT,15m,1000000MOG,0.0001,51790,51789,2024-11-07 12:30:00+00:00,2026-04-30 23:45:00+00:00,0,51449,64,131,155,153,11,373,"{'0': 159, '1': 207, '2': 3404, '3': 277, '4': 0, '5': 2}","{'momentum': 3, 'gate': 1}","{'joint': {'candidates': 11, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 64, 'skipped_in_position': 9, 'invalid_initial': 0}}",0
binance_um:1000000MOGUSDT:30m,1000000MOGUSDT,30m,1000000MOG,0.0001,25895,25894,2024-11-07 12:30:00+00:00,2026-04-30 23:30:00+00:00,0,25554,37,68,101,88,3,130,"{'0': 100, '1': 129, '2': 1627, '3': 148, '4': 0, '5': 4}","{'gate': 1, 'momentum': 1, 'parent_not_recovered': 1}","{'joint': {'candidates': 3, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 37, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
binance_um:1000000MOGUSDT:1h,1000000MOGUSDT,1h,1000000MOG,0.0001,12948,12947,2024-11-07 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,12607,15,28,49,42,4,54,"{'0': 48, '1': 67, '2': 885, '3': 65, '4': 0, '5': 3}",{},"{'joint': {'candidates': 4, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 15, 'skipped_in_position': 2, 'invalid_initial': 0}}",1
binance_um:1000000MOGUSDT:4h,1000000MOGUSDT,4h,1000000MOG,0.0001,3237,3236,2024-11-07 12:00:00+00:00,2026-04-30 20:00:00+00:00,0,2896,4,8,17,18,1,2,"{'0': 12, '1': 24, '2': 138, '3': 20, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 4, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:1000000MOGUSDT:1d,1000000MOGUSDT,1d,1000000MOG,0.0001,540,539,2024-11-07 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,199,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000CATUSDT:5m,1000CATUSDT,5m,1000CAT,1e-06,160266,160265,2024-10-21 12:30:00+00:00,2026-04-30 23:55:00+00:00,0,159925,179,402,434,420,27,3420,"{'0': 452, '1': 596, '2': 7905, '3': 420, '4': 0, '5': 14}",{'momentum': 2},"{'joint': {'candidates': 27, 'skipped_in_position': 2, 'invalid_initial': 0}, 'v9_long': {'candidates': 179, 'skipped_in_position': 27, 'invalid_initial': 0}}",0
binance_um:1000CATUSDT:15m,1000CATUSDT,15m,1000CAT,1e-06,53422,53421,2024-10-21 12:30:00+00:00,2026-04-30 23:45:00+00:00,0,53081,59,120,218,197,15,603,"{'0': 194, '1': 282, '2': 2330, '3': 227, '4': 0, '5': 10}",{'gate': 1},"{'joint': {'candidates': 15, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 59, 'skipped_in_position': 7, 'invalid_initial': 0}}",0
binance_um:1000CATUSDT:30m,1000CATUSDT,30m,1000CAT,1e-06,26711,26710,2024-10-21 12:30:00+00:00,2026-04-30 23:30:00+00:00,0,26370,25,54,89,89,2,202,"{'0': 82, '1': 119, '2': 1305, '3': 118, '4': 0, '5': 3}",{'momentum': 2},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 25, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:1000CATUSDT:1h,1000CATUSDT,1h,1000CAT,1e-06,13356,13355,2024-10-21 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,13015,15,29,48,42,1,55,"{'0': 30, '1': 57, '2': 704, '3': 46, '4': 0, '5': 0}","{'momentum': 1, 'gate': 1}","{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 15, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:1000CATUSDT:4h,1000CATUSDT,4h,1000CAT,1e-06,3339,3338,2024-10-21 12:00:00+00:00,2026-04-30 20:00:00+00:00,0,2998,7,11,14,15,1,4,"{'0': 1, '1': 19, '2': 175, '3': 21, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 7, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:1000CATUSDT:1d,1000CATUSDT,1d,1000CAT,1e-06,557,556,2024-10-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,216,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000LUNCUSDT:5m,1000LUNCUSDT,5m,1000LUNC,1e-05,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,244,506,552,518,42,2494,"{'0': 601, '1': 756, '2': 9189, '3': 686, '4': 0, '5': 11}","{'momentum': 2, 'gate': 2}","{'joint': {'candidates': 42, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 244, 'skipped_in_position': 38, 'invalid_initial': 0}}",0
binance_um:1000LUNCUSDT:15m,1000LUNCUSDT,15m,1000LUNC,1e-05,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,63,126,188,186,9,484,"{'0': 273, '1': 282, '2': 3342, '3': 342, '4': 0, '5': 3}","{'parent_not_recovered': 1, 'momentum': 1}","{'joint': {'candidates': 9, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 63, 'skipped_in_position': 8, 'invalid_initial': 0}}",0
binance_um:1000LUNCUSDT:30m,1000LUNCUSDT,30m,1000LUNC,1e-05,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,33,66,116,118,7,169,"{'0': 122, '1': 176, '2': 2004, '3': 195, '4': 0, '5': 2}",{},"{'joint': {'candidates': 7, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 33, 'skipped_in_position': 3, 'invalid_initial': 0}}",0
binance_um:1000LUNCUSDT:1h,1000LUNCUSDT,1h,1000LUNC,1e-05,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,14,34,65,63,5,63,"{'0': 68, '1': 103, '2': 1034, '3': 111, '4': 0, '5': 2}",{},"{'joint': {'candidates': 5, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 14, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:1000LUNCUSDT:4h,1000LUNCUSDT,4h,1000LUNC,1e-05,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,8,14,17,18,2,0,"{'0': 23, '1': 30, '2': 406, '3': 62, '4': 0, '5': 1}",{'gate': 1},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}}",0
binance_um:1000LUNCUSDT:1d,1000LUNCUSDT,1d,1000LUNC,1e-05,1330,598,2022-09-09 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,0,0,1,1,0,0,"{'0': 0, '1': 1, '2': 89, '3': 8, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000FLOKIUSDT:5m,1000FLOKIUSDT,5m,1000FLOKI,1e-05,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,215,466,583,567,37,1777,"{'0': 667, '1': 802, '2': 10041, '3': 666, '4': 0, '5': 17}","{'momentum': 2, 'gate': 1, 'parent_not_recovered': 1}","{'joint': {'candidates': 37, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 215, 'skipped_in_position': 38, 'invalid_initial': 0}}",0
binance_um:1000FLOKIUSDT:15m,1000FLOKIUSDT,15m,1000FLOKI,1e-05,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,71,133,213,201,18,283,"{'0': 251, '1': 295, '2': 3683, '3': 317, '4': 0, '5': 8}","{'gate': 2, 'momentum': 1}","{'joint': {'candidates': 18, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 71, 'skipped_in_position': 15, 'invalid_initial': 0}}",0
binance_um:1000FLOKIUSDT:30m,1000FLOKIUSDT,30m,1000FLOKI,1e-05,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,35,61,116,113,8,79,"{'0': 152, '1': 159, '2': 2179, '3': 216, '4': 0, '5': 2}",{'gate': 2},"{'joint': {'candidates': 8, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 35, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
binance_um:1000FLOKIUSDT:1h,1000FLOKIUSDT,1h,1000FLOKI,1e-05,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,23,40,64,60,4,33,"{'0': 94, '1': 113, '2': 1161, '3': 88, '4': 0, '5': 4}",{'gate': 1},"{'joint': {'candidates': 4, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 23, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
binance_um:1000FLOKIUSDT:4h,1000FLOKIUSDT,4h,1000FLOKI,1e-05,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,7,14,13,12,0,0,"{'0': 2, '1': 18, '2': 214, '3': 24, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 7, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:1000FLOKIUSDT:1d,1000FLOKIUSDT,1d,1000FLOKI,1e-05,1091,598,2023-05-06 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,1,1,4,3,0,0,"{'0': 0, '1': 4, '2': 7, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000BONKUSDT:5m,1000BONKUSDT,5m,1000BONK,1e-06,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,234,462,615,599,44,913,"{'0': 735, '1': 858, '2': 10929, '3': 808, '4': 0, '5': 23}","{'gate': 1, 'parent_not_recovered': 1, 'momentum': 1}","{'joint': {'candidates': 44, 'skipped_in_position': 2, 'invalid_initial': 0}, 'v9_long': {'candidates': 234, 'skipped_in_position': 42, 'invalid_initial': 0}}",0
binance_um:1000BONKUSDT:15m,1000BONKUSDT,15m,1000BONK,1e-06,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,67,135,206,204,10,156,"{'0': 229, '1': 302, '2': 3931, '3': 352, '4': 0, '5': 9}",{'gate': 1},"{'joint': {'candidates': 10, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 67, 'skipped_in_position': 8, 'invalid_initial': 0}}",0
binance_um:1000BONKUSDT:30m,1000BONKUSDT,30m,1000BONK,1e-06,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,43,81,108,100,15,40,"{'0': 108, '1': 159, '2': 2043, '3': 204, '4': 0, '5': 5}",{},"{'joint': {'candidates': 15, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 43, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:1000BONKUSDT:1h,1000BONKUSDT,1h,1000BONK,1e-06,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,14,39,63,64,3,9,"{'0': 71, '1': 128, '2': 1141, '3': 98, '4': 0, '5': 3}",{},"{'joint': {'candidates': 3, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 14, 'skipped_in_position': 1, 'invalid_initial': 0}}",0
binance_um:1000BONKUSDT:4h,1000BONKUSDT,4h,1000BONK,1e-06,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,9,11,19,20,2,4,"{'0': 18, '1': 32, '2': 228, '3': 3, '4': 0, '5': 5}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 9, 'skipped_in_position': 3, 'invalid_initial': 0}}",0
binance_um:1000BONKUSDT:1d,1000BONKUSDT,1d,1000BONK,1e-06,891,598,2023-11-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,550,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 4, '3': 1, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000PEPEUSDT:5m,1000PEPEUSDT,5m,1000PEPE,1e-07,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,266,488,677,638,62,254,"{'0': 807, '1': 934, '2': 11815, '3': 819, '4': 0, '5': 25}",{'momentum': 3},"{'joint': {'candidates': 62, 'skipped_in_position': 6, 'invalid_initial': 0}, 'v9_long': {'candidates': 266, 'skipped_in_position': 52, 'invalid_initial': 0}}",0
binance_um:1000PEPEUSDT:15m,1000PEPEUSDT,15m,1000PEPE,1e-07,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,53,120,196,195,8,71,"{'0': 270, '1': 301, '2': 3989, '3': 467, '4': 0, '5': 8}",{},"{'joint': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 53, 'skipped_in_position': 3, 'invalid_initial': 0}}",0
binance_um:1000PEPEUSDT:30m,1000PEPEUSDT,30m,1000PEPE,1e-07,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,50,87,100,100,8,19,"{'0': 125, '1': 159, '2': 1967, '3': 249, '4': 0, '5': 14}",{},"{'joint': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 50, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
binance_um:1000PEPEUSDT:1h,1000PEPEUSDT,1h,1000PEPE,1e-07,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,22,42,50,46,6,4,"{'0': 45, '1': 85, '2': 1095, '3': 107, '4': 0, '5': 5}",{},"{'joint': {'candidates': 6, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 22, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:1000PEPEUSDT:4h,1000PEPEUSDT,4h,1000PEPE,1e-07,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,4,10,22,18,2,0,"{'0': 27, '1': 31, '2': 259, '3': 14, '4': 0, '5': 1}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 4, 'skipped_in_position': 1, 'invalid_initial': 0}}",0
binance_um:1000PEPEUSDT:1d,1000PEPEUSDT,1d,1000PEPE,1e-07,1092,598,2023-05-05 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,0,1,4,4,0,0,"{'0': 2, '1': 5, '2': 18, '3': 5, '4': 0, '5': 1}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000RATSUSDT:5m,1000RATSUSDT,5m,1000RATS,1e-05,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,212,447,506,486,24,2199,"{'0': 467, '1': 693, '2': 8184, '3': 718, '4': 0, '5': 18}","{'momentum': 3, 'gate': 1}","{'joint': {'candidates': 24, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 212, 'skipped_in_position': 36, 'invalid_initial': 0}}",0
binance_um:1000RATSUSDT:15m,1000RATSUSDT,15m,1000RATS,1e-05,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,72,126,196,185,13,442,"{'0': 232, '1': 272, '2': 2862, '3': 327, '4': 0, '5': 5}","{'gate': 3, 'momentum': 1}","{'joint': {'candidates': 13, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 72, 'skipped_in_position': 13, 'invalid_initial': 0}}",0
binance_um:1000RATSUSDT:30m,1000RATSUSDT,30m,1000RATS,1e-05,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,39,64,112,100,8,149,"{'0': 95, '1': 144, '2': 1486, '3': 197, '4': 0, '5': 5}",{},"{'joint': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 39, 'skipped_in_position': 7, 'invalid_initial': 0}}",0
binance_um:1000RATSUSDT:1h,1000RATSUSDT,1h,1000RATS,1e-05,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,22,38,57,55,2,85,"{'0': 33, '1': 77, '2': 685, '3': 84, '4': 0, '5': 0}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 22, 'skipped_in_position': 3, 'invalid_initial': 0}}",0
