period,name,policy_id,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf
validation,user_reference_debt,d86ce25949d4,653,479,479,96,78,0,97,382,22,14,65.96977428880473,9.792838589893542,0.887052813296597,88,83,78,5,-225.54547633897943,891.2929034631626,-1776.644956934431,0,0.0,1000.0,114.64794652873033,-885.3520534712696,114.64794652873033,0.20250521920668058,12,False,0.5016719294332574
validation,user_reference_double,0713eb5431f4,653,533,533,101,19,0,111,422,27,17,32.0,9.708077419102702,0.7032518376270718,90,56,19,16,-254.63966528417052,1735.9762583919646,-2399.948189506461,0,0.0,1000.0,336.02806888550367,-663.9719311144963,336.02806888550367,0.20825515947467166,12,False,0.7233390562272766
preholdout,primary,fe47d0350b83,233,189,189,44,0,0,50,139,13,12,1.0,1.3727116000347641,0.12008068410290984,13,19,0,19,-120.0806841029094,95.60092977787428,-215.68161388078408,0,0.0,1000.0,879.9193158970902,-120.0806841029098,879.9193158970902,0.26455026455026454,4,False,0.44325025234054843
preholdout,closest_streak,837eaef04fea,233,184,184,41,8,0,67,117,10,10,89.30048300052533,9.04279346944694,0.4611295713086859,39,37,8,1,-103.26254115259589,219.53118854225295,-678.5794704091885,0,0.0,1000.0,540.9517181330644,-459.04828186693555,540.9517181330644,0.3641304347826087,4,False,0.3235158122450625
preholdout,best_escalation,62ee4a3e50a6,233,207,207,26,0,0,35,172,19,19,5.0625,3.156355786094607,0.1771534207347707,31,109,0,0,-130.47050379243964,55.08858208558968,-232.24200282036043,0,0.0,1000.0,822.8465792652293,-177.15342073477075,822.8465792652293,0.16908212560386474,4,False,0.23720335433121797
preholdout,same_exit_fixed_1u,e0cc9e3c851d,233,189,189,44,0,0,50,139,13,12,1.0,1.3727116000347641,0.12008068410290984,13,19,0,19,-120.0806841029094,95.60092977787428,-215.68161388078408,0,0.0,1000.0,879.9193158970902,-120.0806841029098,879.9193158970902,0.26455026455026454,4,False,0.44325025234054843
preholdout,original_v8_fixed_1u,7f6318b135c7,233,185,185,48,0,0,49,136,13,12,1.0,1.3771960595404833,0.08507818029049785,12,20,0,20,-85.07818029049797,126.55870318299537,-211.63688347349319,0,0.0,1000.0,914.9218197095022,-85.07818029049781,914.9218197095022,0.2648648648648649,4,False,0.5979992764297459
preholdout,user_reference_factorial,7b85d5849e51,233,190,190,35,8,0,37,153,13,13,24.0,9.138764776819038,0.33308174463287277,35,64,8,0,-124.0995978782737,177.7375435769619,-510.81928820983467,0,0.0,1000.0,666.9182553671272,-333.08174463287276,666.9182553671272,0.19473684210526315,4,False,0.3479460303855065
preholdout,user_reference_debt,d86ce25949d4,233,175,175,28,30,0,32,143,12,12,43.20367091288358,8.968118319622572,0.42736339518789745,29,32,30,2,-125.11614935694283,363.38375053532286,-775.3732156439298,0,0.0,1000.0,588.010534891393,-411.98946510860696,588.010534891393,0.18285714285714286,4,False,0.4686565684804329
preholdout,user_reference_double,0713eb5431f4,233,184,184,34,15,0,35,149,13,12,32.0,9.374256664768042,0.5994761619613684,30,24,15,4,-124.89087101887127,297.1450434966777,-896.6212054580462,0,0.0,1000.0,400.5238380386315,-599.4761619613685,400.5238380386315,0.19021739130434784,4,False,0.331405326672905
continuous_pre,primary,fe47d0350b83,1809,1466,1466,343,0,0,390,1076,17,13,1.0,8.45941803261999,0.8682038323050115,172,147,0,147,-868.2038323050124,753.0020730495827,-1621.2059053545938,0,0.0,1000.0,131.79616769498847,-868.2038323050115,131.79616769498847,0.2660300136425648,33,False,0.46447034923974345
continuous_pre,closest_streak,837eaef04fea,1809,692,692,152,965,0,270,420,9,9,29.265962050121573,9.803888587920321,0.9943425897625775,177,213,120,0,-447.0131274801308,390.4955295492604,-1377.2141066139538,0,0.0,1000.0,13.281422935307209,-986.7185770646928,13.281422935307209,0.3901734104046243,29,False,0.2835401755427415
continuous_pre,best_escalation,62ee4a3e50a6,1809,1335,1335,163,311,0,252,1083,28,28,7.59375,9.798032100755574,0.9896929813784744,219,656,34,1,-755.4148174989725,463.8403920676383,-1453.5326572710612,0,0.0,1000.0,10.307734796577442,-989.6922652034226,10.307734796577442,0.18876404494382024,33,False,0.3191124669592747
continuous_pre,same_exit_fixed_1u,e0cc9e3c851d,1809,1466,1466,343,0,0,390,1076,17,13,1.0,8.45941803261999,0.8682038323050115,172,147,0,147,-868.2038323050124,753.0020730495827,-1621.2059053545938,0,0.0,1000.0,131.79616769498847,-868.2038323050115,131.79616769498847,0.2660300136425648,33,False,0.46447034923974345
continuous_pre,original_v8_fixed_1u,7f6318b135c7,1809,1455,1455,353,1,0,354,1101,27,13,1.0,8.72178183993803,0.905596088495065,128,161,1,160,-905.5960884950658,729.4645507254588,-1635.060639220523,0,0.0,1000.0,94.403911504935,-905.596088495065,94.403911504935,0.24329896907216494,33,False,0.44613914201568333
continuous_pre,user_reference_factorial,7b85d5849e51,1809,796,796,151,862,0,152,644,42,15,24.0,9.787073329555453,0.9949414193152033,141,365,116,0,-514.3253427505201,527.6502080628735,-1522.591627378079,0,0.0,1000.0,5.05858068479666,-994.9414193152033,5.05858068479666,0.19095477386934673,24,False,0.34654742517630516
continuous_pre,user_reference_debt,d86ce25949d4,1809,656,656,121,1032,0,131,525,40,16,19.637488102720795,9.779873609393084,0.9941428476828938,126,234,234,0,-377.76138736042077,516.0991731366446,-1509.8697283825347,0,0.0,1000.0,6.229444754107627,-993.7705552458924,6.229444754107627,0.19969512195121952,27,False,0.3418170213197941
continuous_pre,user_reference_double,0713eb5431f4,1809,581,581,113,1115,0,111,470,24,14,16.0,9.80369238142339,0.9949228561462938,103,190,182,0,-365.67366892319023,486.2019548524574,-1481.1248109987516,0,0.0,1000.0,5.077143853706222,-994.9228561462937,5.077143853706222,0.19104991394148021,24,False,0.3282653502540423
