entry_day,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-11-05,1,-40.60755172581308,-40.60755172581308,-40.60755172581308,0.0,False,0.0,1,0
2023-11-10,1,38.498774195809844,38.498774195809844,38.498774195809844,inf,True,1.0,0,0
2023-11-11,1,-30.27732595308084,-30.27732595308084,-30.27732595308084,0.0,False,0.0,1,0
2023-11-13,1,-46.13186164465598,-46.13186164465598,-46.13186164465598,0.0,False,0.0,1,0
2023-11-17,1,-46.37361428520446,-46.37361428520446,-46.37361428520446,0.0,False,0.0,1,0
2023-11-21,1,-42.75713084251008,-42.75713084251008,-42.75713084251008,0.0,False,0.0,1,0
2023-12-03,1,456.6964087897052,456.6964087897052,456.6964087897052,inf,True,1.0,0,0
2023-12-08,1,-53.10952287577273,-53.10952287577273,-53.10952287577273,0.0,False,0.0,1,0
2023-12-09,1,-78.72653504320758,-78.72653504320758,-78.72653504320758,0.0,False,0.0,1,0
2023-12-10,1,-62.06840094597042,-62.06840094597042,-62.06840094597042,0.0,False,0.0,1,0
2023-12-12,1,-91.66293971445081,-91.66293971445081,-91.66293971445081,0.0,False,0.0,1,0
2023-12-18,1,12.044465925568089,12.044465925568089,12.044465925568089,inf,True,1.0,0,0
2023-12-19,1,-12.96707031277709,-12.96707031277709,-12.96707031277709,0.0,False,0.0,1,0
2023-12-20,2,39.5114093202137,39.5114093202137,79.0228186404274,2.0554224916326223,False,0.5,1,0
2023-12-21,1,-20.93546009806378,-20.93546009806378,-20.93546009806378,0.0,False,0.0,1,0
2023-12-23,1,-27.777472778844885,-27.777472778844885,-27.777472778844885,0.0,False,0.0,1,0
2023-12-24,1,-52.57336430772418,-52.57336430772418,-52.57336430772418,0.0,False,0.0,1,0
2023-12-26,1,54.874585653439404,54.874585653439404,54.874585653439404,inf,True,1.0,0,0
2023-12-27,2,36.88452046519743,36.88452046519743,73.76904093039487,2.534353675646569,False,0.5,1,0
2024-01-03,1,-84.93968141121131,-84.93968141121131,-84.93968141121131,0.0,False,0.0,1,0
2024-01-07,1,-101.89190359918719,-101.89190359918719,-101.89190359918719,0.0,False,0.0,1,0
2024-01-08,1,415.28035917518747,415.28035917518747,415.28035917518747,inf,True,1.0,0,0
2024-01-14,1,-11.631446072054556,-11.631446072054556,-11.631446072054556,0.0,False,0.0,1,0
2024-01-24,1,0.2741140412654448,0.2741140412654448,0.2741140412654448,inf,True,1.0,0,0
