bar,arm_id,feature,operator,quantile,threshold,kind,events,retention,2023H1_events,2023H2_events,2023H1_net_bp,2023H2_net_bp,2023H1_improvement_bp,2023H2_improvement_bp,stable_improvement_bp,combined_net_bp,eligible
5m,prior_native_colour_share_12_dir__le_q50,prior_native_colour_share_12_dir,<=,0.5,0.5,continuous,156,0.5324232081911263,105,51,-21.32036654602809,-16.634125240594884,-0.25222432138016515,-0.5827157797163416,-0.5827157797163416,-19.78832611925185,True
5m,prior_native_colour_share_12_dir__ge_q50,prior_native_colour_share_12_dir,>=,0.5,0.5,continuous,224,0.764505119453925,137,87,-22.273646584547567,-17.55258242467435,-1.205504359899642,-1.5011729637958062,-1.5011729637958062,-20.440018986739663,True
5m,prior_native_colour_share_12_dir__ge_q75,prior_native_colour_share_12_dir,>=,0.75,0.5833333333333334,continuous,137,0.46757679180887374,75,62,-20.71502817471569,-15.57207873885381,0.35311404993223405,0.4793307220247325,0.35311404993223405,-18.387562006661412,True
5m,entry_gap_dir_atr__le_q25,entry_gap_dir_atr,<=,0.25,-0.001509985805004395,continuous,65,0.22184300341296928,45,20,-17.490279511717418,-5.180543477269412,3.577862712930507,10.87086598360913,,-13.702668424194954,False
5m,entry_gap_dir_atr__le_q50,entry_gap_dir_atr,<=,0.5,-0.0,continuous,216,0.7372013651877133,126,90,-17.245896762649988,-16.14537975454265,3.8222454619979374,-0.09397029366410692,-0.09397029366410692,-16.78734800927193,True
5m,entry_gap_dir_atr__ge_q50,entry_gap_dir_atr,>=,0.5,-0.0,continuous,202,0.689419795221843,125,77,-23.560650443038472,-15.461460300050934,-2.4925082183905474,0.589949160827608,-2.4925082183905474,-20.47333538853332,True
5m,entry_gap_dir_atr__ge_q75,entry_gap_dir_atr,>=,0.75,0.0014781911932078226,continuous,59,0.20136518771331058,45,14,-28.69846380922103,-20.979287955367486,-7.630321584573103,-4.927878494488944,,-26.866794962543917,False
5m,long_only,long_only,is_true,,,binary,138,0.4709897610921502,88,50,-19.831700127768777,-14.157440335322827,1.2364420968791485,1.8939691255557154,1.2364420968791485,-17.77580889862169,True
5m,short_only,short_only,is_true,,,binary,155,0.5290102389078498,92,63,-22.250825969488854,-17.554559560525938,-1.1826837448409293,-1.5031500996473959,-1.5031500996473959,-20.342020912942637,True
5m,structure_aligned,structure_aligned,is_true,,,binary,167,0.5699658703071673,97,70,-24.15164930216766,-19.501396540021332,-3.0835070775197337,-3.4499870791427902,-3.4499870791427902,-22.202441557555428,True
5m,structure_not_opposite,structure_not_opposite,is_true,,,binary,167,0.5699658703071673,97,70,-24.15164930216766,-19.501396540021332,-3.0835070775197337,-3.4499870791427902,-3.4499870791427902,-22.202441557555428,True
5m,weekend,weekend,is_true,,,binary,44,0.15017064846416384,31,13,-22.444982903041268,-14.375913505862448,-1.376840678393343,1.6754959550160944,,-20.060939672056612,False
5m,weekday,weekday,is_true,,,binary,249,0.8498293515358362,149,100,-20.78168543921039,-16.269223935030634,0.2864567854375366,-0.21781447415209243,-0.21781447415209243,-18.969451903395225,True
5m,utc_00_06,utc_00_06,is_true,,,binary,47,0.16040955631399317,33,14,-20.244063042179572,-14.77642680461845,0.8240791824683527,1.2749826562600912,,-18.6154054395018,False
5m,utc_06_12,utc_06_12,is_true,,,binary,55,0.18771331058020477,39,16,-16.29953144292164,-20.094094871286522,4.768610781726284,-4.04268541040798,,-17.403404440264147,False
5m,utc_12_18,utc_12_18,is_true,,,binary,118,0.40273037542662116,62,56,-19.984459047746142,-13.004835081070498,1.0836831769017827,3.0465743798080442,1.0836831769017827,-16.67209513135771,True
5m,utc_18_24,utc_18_24,is_true,,,binary,73,0.24914675767918087,46,27,-27.162898539358594,-20.635667086447583,-6.0947563147106685,-4.584257625569041,-6.0947563147106685,-24.74871704307644,True
