arm,period,candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,holm_p
v1,week_2026-08-17,20,20,19,0,20,0,2037.5974643630702,2057.5974643630702,18,0.9,18,0.9,10.260817899892773,6.708416021795216,40.166666666666636,20.098083333333317,2045.471449705931,969.7915070862896,1075.6799426196415,1075.6799426196415,19,0.0084991500849915,True,
v1,week_2026-08-24,9,9,9,0,9,0,2207.828513682486,2227.828513682486,4,0.4444444444444444,4,0.4444444444444444,1.1047573282075938,-1.0119944367176639,44.34215167548499,26.149044091710756,2207.828513682486,31.734334832791205,2176.094178849695,2176.094178849695,9,0.4517548245175482,True,
v1,week_2026-08-31,10,10,10,0,6,4,305.6413552425221,325.6413552425221,4,0.4,3,0.5,1.6124593559890954,-0.37732317850047564,3.9259922411220525,2.066225255972689,305.6413552425221,165.24802116554676,140.39333407697535,140.39333407697535,10,0.42845715428457154,True,
v1,week_2026-09-07,5,5,2,0,1,4,-55.82094605905818,-35.82094605905817,3,0.6,0,0.0,0.8437500000000006,0.13268797953964026,1.3491048593350399,0.4194338624338619,-114.14590704032832,-92.04206717868887,-22.103839861639457,-22.103839861639457,2,,True,
v2,full,1414,1414,1394,0,1290,124,121.32145806194909,141.3214580619491,511,0.3613861386138614,431,0.33410852713178296,1.1068540244792584,-1.0283648279583626,56.23333333333337,33.31074222222226,115.19797391519582,180.38609330069664,-65.1881193855008,4.3758634581249245,271,0.43625637436256376,True,0.43625637436256376
v2,first31,656,656,645,0,656,0,-139.87820301009677,-119.87820301009678,158,0.24085365853658536,158,0.24085365853658536,0.8709775349119604,-1.0410498866213156,19.732544378698222,12.039725190839707,-139.98085155004466,43.33681477164865,-183.31766632169334,-152.98272044293475,257,1.0,True,
v2,last30,758,758,749,0,634,124,347.3728797812922,367.3728797812922,353,0.4656992084432718,273,0.4305993690851735,1.4116584564860437,-0.466065149253731,56.23333333333337,33.31074222222226,334.94475952945504,298.40583248792757,36.53892704152748,137.27049619749764,268,0.0007999200079992001,True,
v2,case_night,80,80,77,0,80,0,1896.2668864024577,1916.2668864024577,77,0.9625,77,0.9625,7.82619868190341,4.784361140724951,40.166666666666636,20.098083333333317,1909.0049023112692,913.0412922291297,995.9636100821402,995.9636100821402,77,9.999000099990002e-05,True,
v2,week_2026-07-06,65,65,61,0,65,0,-353.0771239694763,-333.0771239694763,8,0.12307692307692308,8,0.12307692307692308,0.6007604562737637,-1.039677419354838,4.753378378378386,2.2122229729729805,-349.6570769929254,-77.76031235649995,-271.8967646364255,-261.57041815176933,58,1.0,True,
v2,week_2026-07-13,135,135,135,0,135,0,-162.25336762212862,-142.25336762212865,28,0.2074074074074074,28,0.2074074074074074,0.6104783599088857,-1.043425,19.6259541984733,12.039725190839707,-162.25336762212862,19.35793198685466,-181.61129960898333,-145.72232988762752,116,0.9935006499350065,True,
v2,week_2026-07-20,134,134,133,0,134,0,-217.01251797998165,-197.01251797998165,26,0.19402985074626866,26,0.19402985074626866,0.872551243007408,-1.041625747442087,11.849206349206336,5.669380952380943,-216.23480435206216,61.39360618714054,-277.6284105392027,-291.9401305124864,112,1.0,True,
v2,week_2026-07-27,123,123,120,0,123,0,-195.2859059740458,-175.28590597404573,31,0.25203252032520324,31,0.25203252032520324,0.8703703703703692,-1.0339194630872481,16.97468354430382,7.28905000000002,-212.27957093396793,85.78618793587796,-298.06575886984587,-273.457219297053,106,0.9997000299970003,True,
v2,week_2026-08-03,199,199,196,0,199,0,31.12542892716084,51.12542892716085,65,0.32663316582914576,65,0.32663316582914576,1.3183640737770663,-1.0437971014492746,19.732544378698222,8.827928994082837,36.62456411570111,59.299038714486954,-22.67447459878581,16.625484870474796,165,0.44445555444455553,True,
v2,week_2026-08-10,111,111,111,0,110,1,-96.43343625895939,-76.43343625895936,27,0.24324324324324326,26,0.23636363636363636,0.491891891891894,-1.0426081504702198,37.129554655870464,23.58127327935224,-96.43343625895939,131.1512049280159,-227.5846411869752,-237.03405357262278,93,0.999000099990001,True,
v2,week_2026-08-17,233,233,229,0,231,2,1126.9153223837209,1146.9153223837209,177,0.759656652360515,176,0.7619047619047619,5.025773195876297,2.781525252525255,40.166666666666636,20.098083333333317,1113.733853904264,652.7772032938891,460.9566506103748,531.5280077502357,208,9.999000099990002e-05,True,
v2,week_2026-08-24,150,150,150,0,144,6,-140.2375650041185,-120.2375650041185,30,0.2,26,0.18055555555555555,0.6649916247906209,-1.0329365197490565,56.23333333333337,33.31074222222226,-140.2375650041185,78.0693017222318,-218.30686672635036,-201.33368261675508,123,1.0,True,
v2,week_2026-08-31,223,223,222,0,133,90,128.2739816930292,148.2739816930292,106,0.47533632286995514,44,0.3308270676691729,1.2659176029962558,-0.03838709677419725,15.952380952380919,8.422725853658534,109.3794629490467,202.41913087742714,-93.03966792838047,-8.704497632791556,179,0.5535446455354465,True,
v2,week_2026-09-07,41,41,37,0,16,25,94.43953699095908,114.43953699095908,13,0.3170731707317073,1,0.0625,0.4831932773109285,-0.5427948463825563,17.53421633554083,7.070450331125822,88.81291200430428,76.07467348712818,12.738238517176132,17.54462653416144,36,0.46715328467153283,True,
