id,bb_length,bb_mult,stop_fraction,stoch_length,k_smooth,d_smooth,oversold,partial_fraction,be_cost_fraction,eligible,neighborhood_median_usdt,worst_net_mark,tv_stats_total_entries,tv_stats_natural,tv_stats_censored,tv_stats_wins,tv_stats_losses,tv_stats_win_rate,tv_stats_gross_r,tv_stats_net_r,tv_stats_mean_net_r,tv_stats_profit_factor,tv_stats_avg_win_r,tv_stats_avg_loss_r,tv_stats_max_realized_drawdown_r,tv_stats_max_realized_drawdown_usdt,tv_stats_max_loss_streak,tv_stats_gross_pnl,tv_stats_fees,tv_stats_net_pnl,tv_stats_partial,tv_stats_mean_hold_hours,tv_stats_boundary_mark_net_r,tv_stats_boundary_mark_net_pnl,tv_stats_ambiguous_bar_count,tv_stats_entries_open_beyond_target,tv_stats_same_open_be_approximations,tv_stats_marketable_be_approximations,tv_stats_cash_profit_factor,tv_equity_net_liquidation_mark_usdt,tv_equity_gross_mark_usdt,tv_equity_close_mtm_drawdown_usdt,tv_equity_close_mtm_drawdown_percent,tv_equity_ending_equity,tv_control_paired_n,tv_control_unpaired_n,tv_control_drawn,tv_control_censored,tv_control_paired_actual_mean_bp,tv_control_random_mean_bp,tv_control_excess_mean_bp,tv_control_month_blocks,tv_control_p,tv_control_all_boundary_mark_excess_bp,adverse_first_stats_total_entries,adverse_first_stats_natural,adverse_first_stats_censored,adverse_first_stats_wins,adverse_first_stats_losses,adverse_first_stats_win_rate,adverse_first_stats_gross_r,adverse_first_stats_net_r,adverse_first_stats_mean_net_r,adverse_first_stats_profit_factor,adverse_first_stats_avg_win_r,adverse_first_stats_avg_loss_r,adverse_first_stats_max_realized_drawdown_r,adverse_first_stats_max_realized_drawdown_usdt,adverse_first_stats_max_loss_streak,adverse_first_stats_gross_pnl,adverse_first_stats_fees,adverse_first_stats_net_pnl,adverse_first_stats_partial,adverse_first_stats_mean_hold_hours,adverse_first_stats_boundary_mark_net_r,adverse_first_stats_boundary_mark_net_pnl,adverse_first_stats_ambiguous_bar_count,adverse_first_stats_entries_open_beyond_target,adverse_first_stats_same_open_be_approximations,adverse_first_stats_marketable_be_approximations,adverse_first_stats_cash_profit_factor,adverse_first_equity_net_liquidation_mark_usdt,adverse_first_equity_gross_mark_usdt,adverse_first_equity_close_mtm_drawdown_usdt,adverse_first_equity_close_mtm_drawdown_percent,adverse_first_equity_ending_equity,adverse_first_control_paired_n,adverse_first_control_unpaired_n,adverse_first_control_drawn,adverse_first_control_censored,adverse_first_control_paired_actual_mean_bp,adverse_first_control_random_mean_bp,adverse_first_control_excess_mean_bp,adverse_first_control_month_blocks,adverse_first_control_p,adverse_first_control_all_boundary_mark_excess_bp
bb20_m1.5_sl0.5,20,1.5,0.005,5,3,3,20.0,0.5,0.0,True,-255410.45013849996,-255496.04293500006,1644,1643,1,455,1188,0.27693244065733413,45.17833131010584,-612.028434819712,-0.37250665539848565,0.43456649184443874,1.0337961196589431,-0.9111158832193023,626.8669832734818,258735.5362705002,24,15430.634499999898,270539.79496450006,-255109.16046450014,965,3.1280178535199834,-0.21404711142410135,-115.80730000000582,221,0,1,74,0.42022456840117633,-255333.16746450003,15423.034499999892,259174.64500050008,250.0300587435883,-155333.16746450003,1643,1,0,0,-18.625332769924285,,,20,1.0,,1644,1643,1,456,1187,0.27754108338405353,44.513015845568894,-612.6953474123701,-0.37291256689736463,0.4344553010762795,1.0321858582060268,-0.9126976400626102,627.5338958661398,258898.41174100016,24,15268.363999999892,270540.39993500005,-255272.0359350001,964,3.1294887401095557,-0.21404711142410135,-115.80730000000582,221,0,1,74,0.4202564935910942,-255496.04293500006,15260.76399999988,259337.5204710001,250.18718739888922,-155496.04293500006,1643,1,0,0,-18.64562834486823,,,20,1.0,
bb20_m1.5_sl0.75,20,1.5,0.0075,5,3,3,20.0,0.5,0.0,True,-255410.45013849996,-255324.85734199986,1604,1603,1,481,1122,0.30006238303181537,25.056605863294433,-402.42738575804447,-0.25104640409110696,0.4568014805329522,0.7035765826890917,-0.6602920873721012,411.4657970471676,258096.0224670001,19,8959.861749999782,263728.10681125004,-254768.24506125023,1134,3.569193179455188,-0.14269807428273426,-115.80730000000582,356,0,3,172,0.4365745932233556,-254992.25206124986,8952.261749999772,258535.1311969999,250.13365123482032,-154992.25206124986,1603,1,0,0,-18.828480306833022,,,20,1.0,,1604,1603,1,482,1121,0.3006862133499688,24.279728886936486,-403.2056608198165,-0.2515319156705031,0.4564684475144417,0.7025311498026401,-0.661753501360115,412.2440721089397,258428.62774775006,19,8628.03099999978,263728.88134200004,-255100.85034200022,1133,3.5711166562694947,-0.14269807428273426,-115.80730000000582,356,0,3,172,0.43643092430379166,-255324.85734199986,8620.430999999779,258867.7364777499,250.45544801697827,-155324.85734199986,1603,1,0,0,-18.864893675287735,,,20,1.0,
bb20_m1.5_sl1,20,1.5,0.01,5,3,3,20.0,0.5,0.0,True,-255024.55973100004,-254724.26212000026,1572,1571,1,482,1089,0.3068109484404838,12.105738247896417,-302.09542352226276,-0.19229498632862047,0.4599060681940825,0.5336996892903604,-0.5136259630488672,310.4696793218343,258425.47069100014,19,3628.3719999996283,258128.62712,-254500.2551200004,1228,3.8361447061319756,-0.10702355571205067,-115.80730000000582,444,0,5,239,0.4394362099990637,-254724.26212000026,3620.771999999619,259078.4962510003,248.70703641203184,-154724.26212000026,1571,1,0,0,-19.229498632862043,,,20,1.0,,1572,1571,1,483,1088,0.30744748567791214,12.338691412049743,-301.86270331127355,-0.19214685124842365,0.46024207382174137,0.5329047798892717,-0.5140217941156174,310.23695911084513,258204.34204100014,19,3849.721999999627,258128.84847,-254279.1264700004,1228,3.8389560789306176,-0.10702355571205067,-115.80730000000582,444,0,5,239,0.4398260060711519,-254503.13347000026,3842.1219999996247,258857.3676010003,248.49476000930792,-154503.13347000026,1571,1,0,0,-19.21468512484236,,,20,1.0,
bb20_m1.5_sl1.5,20,1.5,0.015,5,3,3,20.0,0.5,0.0,True,-247487.78050375066,-242373.4219815002,1520,1519,1,482,1037,0.3173140223831468,12.509071516677253,-190.02071610425097,-0.1250959289692238,0.47594112802522115,0.3580363079568766,-0.3496569108384431,195.64246900608262,246126.07040650025,19,7409.449499999697,249558.86448149994,-242149.41498150033,1329,4.0915075707702435,-0.07134903714136713,-115.80730000000582,558,0,6,339,0.45206073690793475,-242373.4219815002,7401.849499999691,246779.09596650023,236.78308219368373,-142373.4219815002,1519,1,0,0,-18.76438934538357,,,20,1.0,,1520,1519,1,483,1036,0.31797235023041476,12.664373626112805,-189.86556929692486,-0.12499379150554632,0.4762891244449444,0.3575017378901122,-0.34994103156163037,195.48732219875652,245904.94175650028,19,7630.799499999695,249559.08583149995,-241928.2863315003,1329,4.0944151854290105,-0.07134903714136713,-115.80730000000582,558,0,6,339,0.4524634423654007,-242152.29333150014,7623.199499999697,246557.96731650017,236.570910562601,-142152.29333150014,1519,1,0,0,-18.749068725831947,,,20,1.0,
bb20_m1.5_sl2,20,1.5,0.02,5,3,3,20.0,0.5,0.0,True,-235090.13931150045,-237558.12120100003,1504,1503,1,478,1025,0.3180306054557552,8.326100706357197,-141.9752332680139,-0.09446123304591744,0.47254004305297664,0.2660932242138017,-0.262602726285084,146.0987529508456,241274.54673100036,19,9692.352999999654,247026.4672009999,-237334.11420100037,1387,4.182911953870038,-0.05351177785602534,-115.80730000000582,622,0,6,399,0.4530950130819291,-237558.12120100003,9684.752999999648,242115.96034600004,231.97015109747414,-137558.12120100003,1503,1,0,0,-18.892246609183488,,,20,1.0,,1504,1503,1,479,1024,0.31869594145043245,8.44257728843385,-141.85887316251933,-0.09438381447938744,0.4728911072072991,0.26569403005945613,-0.2628186655869129,145.98239284535103,241053.41808100033,19,9913.702999999652,247026.68855099988,-237112.98555100037,1387,4.185850521179863,-0.05351177785602534,-115.80730000000582,622,0,6,399,0.45350530277667933,-237336.99255100003,9906.102999999654,241894.83169600007,231.75828878868967,-137336.99255100003,1503,1,0,0,-18.87676289587749,,,20,1.0,
bb20_m1.5_sl3,20,1.5,0.03,5,3,3,20.0,0.5,0.0,True,-231621.32120650014,-228979.35758800016,1482,1481,1,473,1008,0.3193787981093856,7.907578042439373,-90.83364989364392,-0.061332646788415886,0.48018484300142206,0.17739653530542632,-0.17335536814792715,93.24899634886508,232236.72451800038,19,14952.47999999964,243707.83058799992,-228755.35058800038,1432,4.295971190636957,-0.035674518570683565,-115.80730000000582,672,0,6,453,0.45852270531311334,-228979.35758800016,14944.879999999626,233078.13813300015,224.29756631742265,-128979.35758800016,1481,1,0,0,-18.399794036524764,,,20,1.0,,1482,1481,1,474,1007,0.3200540175557056,7.985229097157146,-90.75607648998087,-0.061280267717745356,0.4805465671616715,0.17712759637620568,-0.1735000567748782,93.17142294520202,232015.59586800038,19,15173.829999999638,243708.05193799993,-228534.22193800035,1432,4.29805311726311,-0.035674518570683565,-115.80730000000582,672,0,6,453,0.4589451721311219,-228758.22893800022,15166.229999999632,232857.0094830002,224.08476807544537,-128758.22893800022,1481,1,0,0,-18.384080315323605,,,20,1.0,
bb20_m1.5_sl4,20,1.5,0.04,5,3,3,20.0,0.5,0.0,True,-231621.32120650014,-234263.28482500013,1471,1470,1,468,1002,0.3183673469387755,3.9340145106164237,-69.5677687192671,-0.0473250127341953,0.470243408259474,0.13194974895920675,-0.13105813496225135,71.63084911236191,237982.13277500027,19,8180.576999999634,242219.85482500005,-234039.27782500038,1445,4.341326530612245,-0.02675588892801267,-115.80730000000582,693,0,6,473,0.448937216630409,-234263.28482500013,8172.976999999635,238823.54639000015,228.81039445019587,-134263.28482500013,1470,1,0,0,-18.93000509367812,,,20,1.0,,1471,1470,1,469,1001,0.319047619047619,3.992252801654749,-69.5095886665198,-0.04728543446702028,0.4706028358562416,0.13174823480820874,-0.1311683424491206,71.57266905961463,237761.00412500024,19,8401.926999999632,242220.07617500002,-233818.14917500038,1445,4.343424036281179,-0.02675588892801267,-115.80730000000582,693,0,6,473,0.4493556753297443,-234042.1561750002,8394.326999999626,238602.41774000018,228.59853705842886,-134042.1561750002,1470,1,0,0,-18.914173786808107,,,20,1.0,
bb20_m1.5_sl5,20,1.5,0.05,5,3,3,20.0,0.5,0.0,True,-234263.28482500013,-234330.46153000012,1470,1469,1,468,1001,0.3185840707964602,3.3384161595794217,-55.42310445373385,-0.037728457762922975,0.4720115522109896,0.1058700706633119,-0.10486543209207175,57.07356876820971,238049.30948000032,19,7938.049999999694,242044.50453,-234106.4545300003,1454,4.359144542772861,-0.021404711142410136,-115.80730000000582,703,0,6,482,0.4494412275999578,-234330.46153000012,7930.4499999996915,238890.72309500014,228.87475463829819,-134330.46153000012,1469,1,0,0,-18.86422888146149,,,20,1.0,,1470,1469,1,469,1000,0.3192648059904697,3.3850067924100835,-55.37656041153602,-0.03769677359532745,0.47237155352492466,0.10570819778282066,-0.1049537051716789,57.02702472601189,237828.18083000035,19,8159.399999999692,242044.72587999998,-233885.32588000034,1454,4.361243476287724,-0.021404711142410136,-115.80730000000582,703,0,6,482,0.449859276964702,-234109.33288000012,8151.799999999683,238669.5944450001,228.66289724653112,-134109.33288000012,1469,1,0,0,-18.84838679766372,,,20,1.0,
bb20_m2_sl0.3,20,2.0,0.003,5,3,3,20.0,0.5,0.0,True,-98758.68056099996,-35040.919691699935,199,199,0,39,160,0.19597989949748743,8.737557078894872,-124.01129482819039,-0.6231723358200522,0.44228048142279247,2.5216137554092484,-1.3897139455571943,139.1343017777057,36812.52411949993,17,-2913.531999999923,31863.111379399998,-34776.64337939993,72,5.270938023450586,0.0,0.0,9,0,0,1,0.351596787047357,-34776.64337939994,-2913.531999999919,37316.911037699945,36.5009708579783,65223.35662060006,199,0,0,0,-18.69517007460157,,,20,1.0,,199,199,0,39,160,0.19597989949748743,7.44002272163841,-125.3101267198041,-0.6296991292452467,0.43971200332488286,2.5216137554092484,-1.39783164487978,140.43313366931943,37076.80043179992,17,-3177.5442999999177,31863.3753917,-35040.91969169992,71,5.272194304857621,0.0,0.0,9,0,0,1,0.3498728319309744,-35040.919691699935,-3177.5442999999213,37581.18734999994,36.75946872678557,64959.080308300065,199,0,0,0,-18.890973877357407,,,20,1.0,
bb20_m2_sl0.5,20,2.0,0.005,5,3,3,20.0,0.5,0.0,True,-44372.27502199996,-41119.07295550004,199,199,0,49,150,0.24623115577889448,-6.334314035114832,-85.99043542425271,-0.4321127408253905,0.43895392792012505,1.373012469481232,-1.0217869761922205,94.16039688879837,42588.619872500036,15,-8853.387000000024,31865.625795000014,-40719.012795000024,99,6.023031825795646,0.0,0.0,21,0,0,9,0.34657710887118987,-40719.01279500004,-8853.387000000017,42893.49444250003,42.10627259008437,59280.98720499996,199,0,0,0,-21.605637041269528,,,20,1.0,,199,199,0,49,150,0.24623115577889448,-7.512834649468751,-87.17013455922097,-0.4380408771820149,0.43560112035943205,1.373012469481232,-1.0296516370920088,95.34009602376663,42988.68003300003,15,-9253.04750000003,31866.025455500014,-41119.07295550003,98,6.024288107202681,0.0,0.0,21,0,0,9,0.344366341196437,-41119.07295550004,-9253.04750000003,43293.55460300003,42.49899046931959,58880.92704449996,199,0,0,0,-21.90204385910075,,,20,1.0,
bb20_m2_sl0.75,20,2.0,0.0075,5,3,3,20.0,0.5,0.0,True,-49155.260385000016,-44372.27502199996,199,199,0,53,146,0.2663316582914573,-7.832193635534405,-60.9332590679216,-0.30619728174834976,0.4497884152469701,0.9398468129480598,-0.7585283572203341,72.0201511098357,48608.01322299994,15,-11938.841749999938,31863.643301250002,-43802.48505124994,123,6.835845896147404,0.0,0.0,38,0,0,18,0.35571773092518516,-43802.48505124995,-11938.841749999934,48931.71894299993,46.67972144986637,56197.51494875005,199,0,0,0,-22.964796131126235,,,20,1.0,,199,199,0,53,146,0.2663316582914573,-8.951207378437006,-62.0533918245671,-0.31182608957068897,0.4452845801928199,0.9398468129480598,-0.7662004993891389,73.1402838664812,49177.80319374994,15,-12508.062499999938,31864.212522,-44372.275021999936,122,6.837102177554439,0.0,0.0,38,0,0,18,0.3527612633558461,-44372.27502199996,-12508.062499999942,49501.50891374994,47.223287825503434,55627.72497800004,199,0,0,0,-23.386956717801677,,,20,1.0,
