candidates,chart_bars_total,chart_gaps,first,higher_bars,joint_candidates,last,minutes,partial_chart_buckets,partial_higher_buckets,symbol,v9_candidates,valid_ready_window_bars,window_bars_actual,window_bars_expected,window_gap_count,zero_activity,timeframe_min,stream_key,asset,current_status,delivery_ms,inherited,onboard_ms,tick,tail_status,recent_rows,recent_positive_volume_rows,window_missing_5m,gap_count,ready_signal_bars,coverage_status
3,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,LAUSDT,2,1488,1488,1488,0,False,60,LAUSDT_60m,LA,TRADING,4133404800000,True,1749114000000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
59,90432,0,2025-11-15 00:00:00+00:00,30144,18,2026-09-24 23:55:00+00:00,5,0,0,LAYERUSDT,41,17856,17856,17856,0,False,5,LAYERUSDT_5m,LAYER,TRADING,4133404800000,True,1739288700000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
31,30144,0,2025-11-15 00:00:00+00:00,7536,9,2026-09-24 23:45:00+00:00,15,0,0,LAYERUSDT,22,5952,5952,5952,0,False,15,LAYERUSDT_15m,LAYER,TRADING,4133404800000,True,1739288700000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,LAYERUSDT,0,1488,1488,1488,0,False,60,LAYERUSDT_60m,LAYER,TRADING,4133404800000,True,1739288700000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
54,90432,0,2025-11-15 00:00:00+00:00,30144,13,2026-09-24 23:55:00+00:00,5,0,0,LDOUSDT,41,17856,17856,17856,0,False,5,LDOUSDT_5m,LDO,TRADING,4133404800000,True,1663743600000,0.0001,ok,17856,17856,0,0,17856,complete_raw_window_bars
24,30144,0,2025-11-15 00:00:00+00:00,7536,8,2026-09-24 23:45:00+00:00,15,0,0,LDOUSDT,16,5952,5952,5952,0,False,15,LDOUSDT_15m,LDO,TRADING,4133404800000,True,1663743600000,0.0001,ok,17856,17856,0,0,5952,complete_raw_window_bars
7,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,LDOUSDT,5,1488,1488,1488,0,False,60,LDOUSDT_60m,LDO,TRADING,4133404800000,True,1663743600000,0.0001,ok,17856,17856,0,0,1488,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,LEVERUSDT,0,0,17856,17856,0,True,5,LEVERUSDT_5m,LEVER,SETTLING,1756890000000,True,1680048000000,1e-07,ok,17856,0,0,0,0,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,LEVERUSDT,0,0,5952,5952,0,True,15,LEVERUSDT_15m,LEVER,SETTLING,1756890000000,True,1680048000000,1e-07,ok,17856,0,0,0,0,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,LEVERUSDT,0,0,1488,1488,0,True,60,LEVERUSDT_60m,LEVER,SETTLING,1756890000000,True,1680048000000,1e-07,ok,17856,0,0,0,0,complete_raw_window_bars
52,90432,0,2025-11-15 00:00:00+00:00,30144,12,2026-09-24 23:55:00+00:00,5,0,0,LIGHTUSDT,40,17856,17856,17856,0,False,5,LIGHTUSDT_5m,LIGHT,TRADING,4133404800000,True,1758972600000,0.0001,ok,17856,17856,0,0,17856,complete_raw_window_bars
18,30144,0,2025-11-15 00:00:00+00:00,7536,6,2026-09-24 23:45:00+00:00,15,0,0,LIGHTUSDT,12,5952,5952,5952,0,False,15,LIGHTUSDT_15m,LIGHT,TRADING,4133404800000,True,1758972600000,0.0001,ok,17856,17856,0,0,5952,complete_raw_window_bars
6,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,LIGHTUSDT,5,1488,1488,1488,0,False,60,LIGHTUSDT_60m,LIGHT,TRADING,4133404800000,True,1758972600000,0.0001,ok,17856,17856,0,0,1488,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,LINAUSDT,0,0,17856,17856,0,True,5,LINAUSDT_5m,LINA,SETTLING,1743066000000,True,1615964400000,1e-06,ok,17856,0,0,0,0,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,LINAUSDT,0,0,5952,5952,0,True,15,LINAUSDT_15m,LINA,SETTLING,1743066000000,True,1615964400000,1e-06,ok,17856,0,0,0,0,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,LINAUSDT,0,0,1488,1488,0,True,60,LINAUSDT_60m,LINA,SETTLING,1743066000000,True,1615964400000,1e-06,ok,17856,0,0,0,0,complete_raw_window_bars
44,90432,0,2025-11-15 00:00:00+00:00,30144,11,2026-09-24 23:55:00+00:00,5,0,0,LINEAUSDT,33,17856,17856,17856,0,False,5,LINEAUSDT_5m,LINEA,TRADING,4133404800000,True,1756715400000,1e-06,ok,17856,17856,0,0,17856,complete_raw_window_bars
11,30144,0,2025-11-15 00:00:00+00:00,7536,2,2026-09-24 23:45:00+00:00,15,0,0,LINEAUSDT,9,5952,5952,5952,0,False,15,LINEAUSDT_15m,LINEA,TRADING,4133404800000,True,1756715400000,1e-06,ok,17856,17856,0,0,5952,complete_raw_window_bars
3,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,LINEAUSDT,2,1488,1488,1488,0,False,60,LINEAUSDT_60m,LINEA,TRADING,4133404800000,True,1756715400000,1e-06,ok,17856,17856,0,0,1488,complete_raw_window_bars
65,90432,0,2025-11-15 00:00:00+00:00,30144,16,2026-09-24 23:55:00+00:00,5,0,0,LINKUSDT,49,17856,17856,17856,0,False,5,LINKUSDT_5m,LINK,TRADING,4133404800000,True,1579248000000,0.001,ok,17856,17856,0,0,17856,complete_raw_window_bars
18,30144,0,2025-11-15 00:00:00+00:00,7536,6,2026-09-24 23:45:00+00:00,15,0,0,LINKUSDT,12,5952,5952,5952,0,False,15,LINKUSDT_15m,LINK,TRADING,4133404800000,True,1579248000000,0.001,ok,17856,17856,0,0,5952,complete_raw_window_bars
8,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,LINKUSDT,6,1488,1488,1488,0,False,60,LINKUSDT_60m,LINK,TRADING,4133404800000,True,1579248000000,0.001,ok,17856,17856,0,0,1488,complete_raw_window_bars
70,90432,0,2025-11-15 00:00:00+00:00,30144,20,2026-09-24 23:55:00+00:00,5,0,0,LISTAUSDT,50,17856,17856,17856,0,False,5,LISTAUSDT_5m,LISTA,TRADING,4133404800000,True,1718886600000,1e-05,ok,17856,17855,0,0,17856,complete_raw_window_bars
20,30144,0,2025-11-15 00:00:00+00:00,7536,6,2026-09-24 23:45:00+00:00,15,0,0,LISTAUSDT,14,5952,5952,5952,0,False,15,LISTAUSDT_15m,LISTA,TRADING,4133404800000,True,1718886600000,1e-05,ok,17856,17855,0,0,5952,complete_raw_window_bars
5,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,LISTAUSDT,4,1488,1488,1488,0,False,60,LISTAUSDT_60m,LISTA,TRADING,4133404800000,True,1718886600000,1e-05,ok,17856,17855,0,0,1488,complete_raw_window_bars
59,85614,1,2025-12-01 00:00:00+00:00,28538,13,2026-09-24 23:55:00+00:00,5,0,0,LITUSDT,46,17856,17856,17856,0,False,5,LITUSDT_5m,LIT,TRADING,4133404800000,True,1766511000000,0.0001,ok,17856,17856,0,1,17856,complete_raw_window_bars
20,28538,1,2025-12-01 00:00:00+00:00,7134,6,2026-09-24 23:45:00+00:00,15,0,1,LITUSDT,14,5952,5952,5952,0,False,15,LITUSDT_15m,LIT,TRADING,4133404800000,True,1766511000000,0.0001,ok,17856,17856,0,1,5952,complete_raw_window_bars
2,7134,1,2025-12-01 00:00:00+00:00,1783,1,2026-09-24 23:00:00+00:00,60,1,1,LITUSDT,1,1488,1488,1488,0,False,60,LITUSDT_60m,LIT,TRADING,4133404800000,True,1766511000000,0.0001,ok,17856,17856,0,1,1488,complete_raw_window_bars
