instrument,asset,positive_events,hits_1,misses_1,already_tracking
okx:CHIP-USDT-SWAP:segment0,CHIP,7,2,5,3
okx:CHZ-USDT-SWAP:segment0,CHZ,3,0,3,2
okx:CNPY-USDT-SWAP:segment0,CNPY,0,0,0,0
okx:COAI-USDT-SWAP:segment0,COAI,8,1,7,3
okx:COMP-USDT-SWAP:segment0,COMP,6,1,5,1
okx:CORE-USDT-SWAP:segment0,CORE,6,0,6,3
okx:CP-USDT-SWAP:segment0,CP,0,0,0,0
okx:CRO-USDT-SWAP:segment0,CRO,6,0,6,1
okx:CRV-USDT-SWAP:segment0,CRV,10,2,8,3
okx:CVX-USDT-SWAP:segment0,CVX,10,2,8,6
okx:DASH-USDT-SWAP:segment0,DASH,7,1,6,2
okx:DATA-USDT-SWAP:segment0,DATA,1,0,1,0
okx:DGAI-USDT-SWAP:segment0,DGAI,0,0,0,0
okx:DOGE-USDT-SWAP:segment0,DOGE,7,0,7,3
okx:DOOD-USDT-SWAP:segment0,DOOD,8,0,8,1
okx:DOS-USDT-SWAP:segment0,DOS,1,0,1,1
okx:DOT-USDT-SWAP:segment0,DOT,8,0,8,3
okx:DYDX-USDT-SWAP:segment0,DYDX,5,1,4,2
okx:EDEN-USDT-SWAP:segment0,EDEN,10,0,10,3
okx:EDGE-USDT-SWAP:segment0,EDGE,4,0,4,2
okx:EGLD-USDT-SWAP:segment0,EGLD,9,0,9,5
okx:EIGEN-USDT-SWAP:segment0,EIGEN,3,0,3,3
okx:ENA-USDT-SWAP:segment0,ENA,7,2,5,2
okx:ENJ-USDT-SWAP:segment0,ENJ,7,2,5,2
okx:ENS-USDT-SWAP:segment0,ENS,7,0,7,3
okx:ENSO-USDT-SWAP:segment0,ENSO,8,0,8,5
okx:ESP-USDT-SWAP:segment0,ESP,7,2,5,4
okx:ETC-USDT-SWAP:segment0,ETC,5,0,5,2
okx:ETHFI-USDT-SWAP:segment0,ETHFI,7,0,7,3
okx:ETHW-USDT-SWAP:segment0,ETHW,8,0,8,2
okx:F-USDT-SWAP:segment0,F,4,1,3,0
okx:FARTCOIN-USDT-SWAP:segment0,FARTCOIN,8,2,6,0
okx:FET-USDT-SWAP:segment0,FET,0,0,0,0
okx:FIL-USDT-SWAP:segment0,FIL,9,0,9,2
okx:FLOKI-USDT-SWAP:segment0,FLOKI,6,1,5,3
okx:FLOW-USDT-SWAP:segment0,FLOW,8,0,8,1
okx:FOGO-USDT-SWAP:segment0,FOGO,6,1,5,2
okx:GALA-USDT-SWAP:segment0,GALA,3,1,2,0
okx:GAS-USDT-SWAP:segment0,GAS,5,1,4,2
okx:GIGGLE-USDT-SWAP:segment0,GIGGLE,7,1,6,1
okx:GLM-USDT-SWAP:segment0,GLM,6,0,6,2
okx:GMT-USDT-SWAP:segment0,GMT,4,0,4,0
okx:GMX-USDT-SWAP:segment0,GMX,9,0,9,5
okx:GPS-USDT-SWAP:segment0,GPS,6,2,4,1
okx:GRAM-USDT-SWAP:segment0,GRAM,2,0,2,1
okx:GRASS-USDT-SWAP:segment0,GRASS,1,0,1,0
okx:GRT-USDT-SWAP:segment0,GRT,5,0,5,2
okx:GRVT-USDT-SWAP:segment0,GRVT,1,0,1,0
okx:H-USDT-SWAP:segment0,H,11,1,10,4
okx:HBAR-USDT-SWAP:segment0,HBAR,8,1,7,3
okx:HMSTR-USDT-SWAP:segment0,HMSTR,9,0,9,3
okx:HOME-USDT-SWAP:segment0,HOME,5,1,4,0
okx:HUMA-USDT-SWAP:segment0,HUMA,7,0,7,2
okx:HYPE-USDT-SWAP:segment0,HYPE,6,0,6,3
okx:ICP-USDT-SWAP:segment0,ICP,6,1,5,0
okx:ICX-USDT-SWAP:segment0,ICX,7,0,7,1
okx:IMX-USDT-SWAP:segment0,IMX,4,0,4,0
okx:INIT-USDT-SWAP:segment0,INIT,3,1,2,2
okx:INJ-USDT-SWAP:segment0,INJ,7,0,7,3
okx:IOST-USDT-SWAP:segment0,IOST,5,0,5,2
okx:IOTA-USDT-SWAP:segment0,IOTA,7,2,5,3
okx:IRYS-USDT-SWAP:segment0,IRYS,7,1,6,3
okx:JELLYJELLY-USDT-SWAP:segment0,JELLYJELLY,1,0,1,0
okx:JTO-USDT-SWAP:segment0,JTO,8,0,8,1
okx:JUP-USDT-SWAP:segment0,JUP,3,0,3,0
okx:KAITO-USDT-SWAP:segment0,KAITO,7,1,6,4
okx:KAT-USDT-SWAP:segment0,KAT,8,1,7,1
okx:KGEN-USDT-SWAP:segment0,KGEN,6,0,6,2
okx:KITE-USDT-SWAP:segment0,KITE,7,1,6,1
okx:KMNO-USDT-SWAP:segment0,KMNO,7,1,6,0
okx:KSM-USDT-SWAP:segment0,KSM,5,1,4,2
okx:LA-USDT-SWAP:segment0,LA,8,1,7,1
okx:LAB-USDT-SWAP:segment0,LAB,5,1,4,0
okx:LAYER-USDT-SWAP:segment0,LAYER,4,0,4,2
okx:LDO-USDT-SWAP:segment0,LDO,4,1,3,1
okx:LIGHT-USDT-SWAP:segment0,LIGHT,10,1,9,2
okx:LINEA-USDT-SWAP:segment0,LINEA,6,0,6,2
okx:LINK-USDT-SWAP:segment0,LINK,8,1,7,4
okx:LIT-USDT-SWAP:segment0,LIT,7,0,7,2
okx:LPT-USDT-SWAP:segment0,LPT,6,0,6,2
okx:LQTY-USDT-SWAP:segment0,LQTY,8,0,8,2
okx:LTC-USDT-SWAP:segment0,LTC,9,1,8,3
okx:LUNA-USDT-SWAP:segment0,LUNA,3,1,2,1
okx:MAGIC-USDT-SWAP:segment0,MAGIC,8,0,8,3
okx:MANA-USDT-SWAP:segment0,MANA,2,0,2,2
okx:MASK-USDT-SWAP:segment0,MASK,5,0,5,2
okx:ME-USDT-SWAP:segment0,ME,8,0,8,5
okx:MEGA-USDT-SWAP:segment0,MEGA,5,0,5,3
okx:MEME-USDT-SWAP:segment0,MEME,4,0,4,1
okx:MERL-USDT-SWAP:segment0,MERL,8,1,7,2
okx:MET-USDT-SWAP:segment0,MET,7,1,6,1
okx:METIS-USDT-SWAP:segment0,METIS,9,1,8,2
okx:MEW-USDT-SWAP:segment0,MEW,7,1,6,2
okx:MINA-USDT-SWAP:segment0,MINA,9,1,8,4
okx:MMT-USDT-SWAP:segment0,MMT,7,1,6,2
okx:MON-USDT-SWAP:segment0,MON,6,0,6,2
okx:MOODENG-USDT-SWAP:segment0,MOODENG,9,1,8,4
okx:MORPHO-USDT-SWAP:segment0,MORPHO,6,0,6,0
okx:MOVE-USDT-SWAP:segment0,MOVE,4,0,4,3
okx:MUBARAK-USDT-SWAP:segment0,MUBARAK,12,1,11,4
okx:NEAR-USDT-SWAP:segment0,NEAR,6,0,6,3
okx:NEIRO-USDT-SWAP:segment0,NEIRO,9,1,8,3
okx:NEO-USDT-SWAP:segment0,NEO,3,1,2,1
okx:NES-USDT-SWAP:segment0,NES,4,0,4,0
okx:NIGHT-USDT-SWAP:segment0,NIGHT,4,1,3,0
okx:NMR-USDT-SWAP:segment0,NMR,6,0,6,0
okx:NOT-USDT-SWAP:segment0,NOT,9,1,8,4
okx:O-USDT-SWAP:segment0,O,4,0,4,2
okx:OFC-USDT-SWAP:segment0,OFC,5,2,3,0
okx:OKB-USDT-SWAP:segment0,OKB,4,1,3,1
okx:OL-USDT-SWAP:segment0,OL,7,0,7,1
okx:ONDO-USDT-SWAP:segment0,ONDO,6,1,5,2
okx:ONE-USDT-SWAP:segment0,ONE,6,1,5,3
okx:ONT-USDT-SWAP:segment0,ONT,4,0,4,1
okx:OP-USDT-SWAP:segment0,OP,5,0,5,2
okx:OPG-USDT-SWAP:segment0,OPG,3,1,2,1
okx:OPN-USDT-SWAP:segment0,OPN,6,1,5,0
okx:ORDER-USDT-SWAP:segment0,ORDER,4,0,4,1
okx:ORDI-USDT-SWAP:segment0,ORDI,5,0,5,4
okx:PARTI-USDT-SWAP:segment0,PARTI,2,0,2,0
okx:PENDLE-USDT-SWAP:segment0,PENDLE,8,2,6,3
okx:PENGU-USDT-SWAP:segment0,PENGU,10,2,8,4
okx:PEOPLE-USDT-SWAP:segment0,PEOPLE,9,1,8,4
okx:PEPE-USDT-SWAP:segment0,PEPE,6,0,6,4
okx:PI-USDT-SWAP:segment0,PI,4,2,2,1
okx:PIEVERSE-USDT-SWAP:segment0,PIEVERSE,10,1,9,4
okx:PIPPIN-USDT-SWAP:segment0,PIPPIN,6,3,3,1
okx:PLUME-USDT-SWAP:segment0,PLUME,5,0,5,1
okx:PNUT-USDT-SWAP:segment0,PNUT,8,2,6,2
okx:POL-USDT-SWAP:segment0,POL,5,1,4,2
okx:PONS-USDT-SWAP:segment0,PONS,0,0,0,0
okx:POPCAT-USDT-SWAP:segment0,POPCAT,7,0,7,2
okx:PROS-USDT-SWAP:segment0,PROS,5,1,4,1
okx:PROVE-USDT-SWAP:segment0,PROVE,9,1,8,3
okx:PUMP-USDT-SWAP:segment0,PUMP,9,2,7,4
okx:PYTH-USDT-SWAP:segment0,PYTH,6,0,6,4
okx:QTUM-USDT-SWAP:segment0,QTUM,7,1,6,3
okx:RAVE-USDT-SWAP:segment0,RAVE,4,2,2,2
okx:RAY-USDT-SWAP:segment0,RAY,5,1,4,3
okx:RE-USDT-SWAP:segment0,RE,5,0,5,0
okx:RECALL-USDT-SWAP:segment0,RECALL,4,1,3,1
okx:RENDER-USDT-SWAP:segment0,RENDER,5,1,4,3
okx:RESOLV-USDT-SWAP:segment0,RESOLV,3,1,2,1
okx:RIVER-USDT-SWAP:segment0,RIVER,4,1,3,1
okx:RLS-USDT-SWAP:segment0,RLS,7,1,6,2
okx:ROBO-USDT-SWAP:segment0,ROBO,9,1,8,2
okx:RSR-USDT-SWAP:segment0,RSR,7,1,6,2
okx:RVN-USDT-SWAP:segment0,RVN,7,0,7,1
okx:S-USDT-SWAP:segment0,S,5,1,4,1
okx:SAHARA-USDT-SWAP:segment0,SAHARA,6,1,5,2
okx:SAND-USDT-SWAP:segment0,SAND,3,0,3,1
okx:SAPIEN-USDT-SWAP:segment0,SAPIEN,6,1,5,1
okx:SATS-USDT-SWAP:segment0,SATS,6,1,5,0
okx:SEI-USDT-SWAP:segment0,SEI,4,0,4,2
okx:SENT-USDT-SWAP:segment0,SENT,4,0,4,0
okx:SHELL-USDT-SWAP:segment0,SHELL,7,0,7,2
okx:SHIB-USDT-SWAP:segment0,SHIB,6,0,6,2
okx:SIGN-USDT-SWAP:segment0,SIGN,4,0,4,1
okx:SKY-USDT-SWAP:segment0,SKY,8,1,7,3
okx:SLX-USDT-SWAP:segment0,SLX,4,1,3,0
okx:SNX-USDT-SWAP:segment0,SNX,4,2,2,0
okx:SOL-USDT-SWAP:segment0,SOL,6,1,5,4
okx:SOON-USDT-SWAP:segment0,SOON,3,0,3,3
okx:SOPH-USDT-SWAP:segment0,SOPH,6,1,5,0
okx:SPACE-USDT-SWAP:segment0,SPACE,6,0,6,0
okx:SPK-USDT-SWAP:segment0,SPK,9,2,7,1
okx:SPX-USDT-SWAP:segment0,SPX,7,0,7,3
okx:SSV-USDT-SWAP:segment0,SSV,4,0,4,2
okx:STABLE-USDT-SWAP:segment0,STABLE,7,1,6,1
okx:STRK-USDT-SWAP:segment0,STRK,7,0,7,3
okx:STX-USDT-SWAP:segment0,STX,4,0,4,2
okx:SUI-USDT-SWAP:segment0,SUI,6,0,6,2
okx:SUSHI-USDT-SWAP:segment0,SUSHI,5,1,4,4
okx:SYRUP-USDT-SWAP:segment0,SYRUP,8,1,7,4
okx:TAO-USDT-SWAP:segment0,TAO,9,0,9,2
okx:THETA-USDT-SWAP:segment0,THETA,7,1,6,3
okx:TIA-USDT-SWAP:segment0,TIA,5,0,5,3
okx:TRB-USDT-SWAP:segment0,TRB,6,2,4,2
okx:TRIA-USDT-SWAP:segment0,TRIA,3,0,3,0
okx:TRUMP-USDT-SWAP:segment0,TRUMP,4,0,4,0
okx:TRUST-USDT-SWAP:segment0,TRUST,5,1,4,1
okx:TRUTH-USDT-SWAP:segment0,TRUTH,3,2,1,1
okx:TRX-USDT-SWAP:segment0,TRX,8,0,8,0
okx:TURBO-USDT-SWAP:segment0,TURBO,9,0,9,2
okx:UB-USDT-SWAP:segment0,UB,5,1,4,2
okx:UMA-USDT-SWAP:segment0,UMA,5,0,5,2
okx:UNI-USDT-SWAP:segment0,UNI,10,2,8,3
okx:UP-USDT-SWAP:segment0,UP,6,0,6,5
okx:USELESS-USDT-SWAP:segment0,USELESS,7,0,7,5
okx:VANA-USDT-SWAP:segment0,VANA,7,1,6,3
okx:VIRTUAL-USDT-SWAP:segment0,VIRTUAL,11,3,8,3
okx:VVV-USDT-SWAP:segment0,VVV,9,2,7,5
okx:W-USDT-SWAP:segment0,W,5,0,5,1
okx:WAL-USDT-SWAP:segment0,WAL,5,1,4,0
okx:WCT-USDT-SWAP:segment0,WCT,5,1,4,1
okx:WET-USDT-SWAP:segment0,WET,5,0,5,3
okx:WIF-USDT-SWAP:segment0,WIF,7,0,7,2
okx:WLD-USDT-SWAP:segment0,WLD,6,0,6,1
okx:WLFI-USDT-SWAP:segment0,WLFI,5,2,3,1
okx:WOO-USDT-SWAP:segment0,WOO,8,0,8,2
okx:XLM-USDT-SWAP:segment0,XLM,6,1,5,3
okx:XPL-USDT-SWAP:segment0,XPL,5,1,4,1
okx:XRP-USDT-SWAP:segment0,XRP,7,0,7,3
okx:XTZ-USDT-SWAP:segment0,XTZ,5,1,4,2
okx:YB-USDT-SWAP:segment0,YB,5,1,4,2
okx:YFI-USDT-SWAP:segment0,YFI,10,0,10,3
okx:YGG-USDT-SWAP:segment0,YGG,7,0,7,1
okx:ZAMA-USDT-SWAP:segment0,ZAMA,7,1,6,4
okx:ZBT-USDT-SWAP:segment0,ZBT,7,0,7,4
okx:ZEC-USDT-SWAP:segment0,ZEC,8,1,7,6
okx:ZEN-USDT-SWAP:segment0,ZEN,8,2,6,4
okx:ZETA-USDT-SWAP:segment0,ZETA,6,1,5,3
okx:ZIL-USDT-SWAP:segment0,ZIL,6,1,5,2
okx:ZK-USDT-SWAP:segment0,ZK,5,1,4,2
okx:ZKP-USDT-SWAP:segment0,ZKP,4,2,2,0
okx:ZORA-USDT-SWAP:segment0,ZORA,6,2,4,1
okx:ZRO-USDT-SWAP:segment0,ZRO,6,0,6,4
okx:ZRX-USDT-SWAP:segment0,ZRX,5,0,5,4
