variant,feature,gain_importance,split_importance
lgb_arm_all103,k2_to_k1_volume_ratio,20.311959743499756,4
lgb_arm_all103,breakout_prior24_atr,17.91403031349182,3
lgb_arm_all103,ma_bundle_width_atr,16.154670476913452,3
lgb_arm_all103,ret_autocorr1_32,13.959169864654541,2
lgb_arm_all103,adx14,13.100450038909912,2
lgb_arm_all103,return_accel_dir_atr,11.16112995147705,3
lgb_arm_all103,eth_btc_relative16_dir,10.83329963684082,1
lgb_arm_all103,bb_width_atr,10.707089900970459,3
lgb_arm_all103,ema30_sma60_alignment_age,9.530989646911621,1
lgb_arm_all103,k1_to_k2_move_atr,9.039549827575684,1
lgb_arm_all103,eth_return4_dir,8.669309616088867,1
lgb_arm_all103,ma_order_score_dir,8.584190368652344,1
lgb_arm_all103,close_location_dir,8.102709770202637,1
lgb_arm_all103,signed_return8_atr,7.390920162200928,1
lgb_arm_all103,ema30_accel4_dir_atr,5.725840091705322,1
lgb_arm_all103,signed_close_atr,5.406760215759277,1
lgb_arm_all103,atr_pct,0.0,0
lgb_arm_all103,ema30_side_age,0.0,0
lgb_arm_all103,ema30_slope4_dir_atr,0.0,0
lgb_arm_all103,eth_return16_dir,0.0,0
lgb_arm_all103,family_has_coil,0.0,0
lgb_arm_all103,family_has_rejection,0.0,0
lgb_arm_all103,htf_ma_alignment,0.0,0
lgb_arm_all103,k1_close_location,0.0,0
lgb_arm_all103,k1_found,0.0,0
lgb_arm_all103,k1_gap_bars,0.0,0
lgb_arm_all103,k1_to_k2_retrace_atr,0.0,0
lgb_arm_all103,macd_hist_dir_atr,0.0,0
lgb_arm_all103,prior_near_ma_share,0.0,0
lgb_arm_all103,range_percentile96,0.0,0
lgb_arm_all103,return_sign_entropy32,0.0,0
lgb_arm_all103,signal_score,0.0,0
lgb_arm_all103,weekend,0.0,0
