variant,feature,gain_importance,split_importance
lgb_profitable_runner_all103,path_efficiency32,77.13842010498047,10
lgb_profitable_runner_all103,close_location_dir,66.85855007171631,6
lgb_profitable_runner_all103,price_volume_corr24,58.83280575275421,11
lgb_profitable_runner_all103,breakout_prior24_atr,57.31779956817627,5
lgb_profitable_runner_all103,obv_slope12_norm,54.21183919906616,6
lgb_profitable_runner_all103,ema30_sma60_spread_delta4_dir_atr,53.27858114242554,4
lgb_profitable_runner_all103,drawdown_from_high32_dir,50.02179002761841,4
lgb_profitable_runner_all103,pullback_from_extreme8_atr,49.55903935432434,8
lgb_profitable_runner_all103,rsi14_dir,48.46997117996216,6
lgb_profitable_runner_all103,k1_close_location,46.10366916656494,4
lgb_profitable_runner_all103,breakout_atr,40.368499755859375,4
lgb_profitable_runner_all103,donchian20_position_dir,34.85866975784302,5
lgb_profitable_runner_all103,ret_autocorr4_32,33.72210121154785,2
lgb_profitable_runner_all103,sma60_accel4_dir_atr,33.6496000289917,3
lgb_profitable_runner_all103,return_sign_change32,30.491899490356445,2
lgb_profitable_runner_all103,adx14,29.89869976043701,2
lgb_profitable_runner_all103,k2_to_k1_volume_ratio,29.221999168395996,3
lgb_profitable_runner_all103,htf_close_ema30_dir_atr,29.15119981765747,4
lgb_profitable_runner_all103,utc_hour_cos,28.297200202941895,2
lgb_profitable_runner_all103,ema30_slope4_dir_atr,27.160400390625,2
lgb_profitable_runner_all103,k1_to_k2_peak_atr,26.57610034942627,2
lgb_profitable_runner_all103,macd_hist_dir_atr,26.521830558776855,2
lgb_profitable_runner_all103,eth_close_ema30_dir_atr,26.470280170440674,4
lgb_profitable_runner_all103,signal_score,24.120200157165527,2
lgb_profitable_runner_all103,signed_return24_atr,21.269599437713623,2
lgb_profitable_runner_all103,utc_hour_sin,19.56820011138916,2
lgb_profitable_runner_all103,volume_impulse4,18.796459674835205,2
lgb_profitable_runner_all103,signed_return8_atr,18.677040100097656,2
lgb_profitable_runner_all103,return_accel_dir_atr,16.592089891433716,4
lgb_profitable_runner_all103,eth_return4_dir,14.767800331115723,1
lgb_profitable_runner_all103,k2_touch_depth_atr,13.337900161743164,1
lgb_profitable_runner_all103,signed_close_atr,11.101499557495117,1
lgb_profitable_runner_all103,between_wrong_side_share,10.312399864196777,1
lgb_profitable_runner_all103,k1_to_k2_move_atr,8.576959609985352,1
lgb_profitable_runner_all103,ema20_sma60_spread_atr,7.881100177764893,1
lgb_profitable_runner_all103,k1_to_k2_retrace_atr,5.8614301681518555,1
lgb_profitable_runner_all103,bb_width_atr,0.0,0
lgb_profitable_runner_all103,between_ma_side_continuity,0.0,0
lgb_profitable_runner_all103,candle_streak_dir,0.0,0
lgb_profitable_runner_all103,ema30_accel4_dir_atr,0.0,0
lgb_profitable_runner_all103,ema30_side_age,0.0,0
lgb_profitable_runner_all103,ema30_sma60_alignment_age,0.0,0
lgb_profitable_runner_all103,eth_rsi14_dir,0.0,0
lgb_profitable_runner_all103,family_has_coil,0.0,0
lgb_profitable_runner_all103,family_has_direct,0.0,0
lgb_profitable_runner_all103,family_has_rejection,0.0,0
lgb_profitable_runner_all103,htf_ma_alignment,0.0,0
lgb_profitable_runner_all103,htf_rsi14_dir,0.0,0
lgb_profitable_runner_all103,k1_found,0.0,0
lgb_profitable_runner_all103,k1_gap_bars,0.0,0
lgb_profitable_runner_all103,k1_range_atr,0.0,0
lgb_profitable_runner_all103,ma_order_score_dir,0.0,0
lgb_profitable_runner_all103,prior_near_ma_share,0.0,0
lgb_profitable_runner_all103,range_percentile96,0.0,0
lgb_profitable_runner_all103,range_ratio20,0.0,0
lgb_profitable_runner_all103,return_sign_entropy32,0.0,0
lgb_profitable_runner_all103,volume_ratio20,0.0,0
lgb_profitable_runner_all103,volume_ratio96,0.0,0
lgb_profitable_runner_all103,weekend,0.0,0
