arm,period,start,end,anchors,positive_events,negative_events,unknown_events,already_tracking,new_tracking_opportunities,signals,unique_matched,unmatched,duplicates,unknown_signals,precision_all,precision_adjudicated,eligible_asset_hours,alerts_per_day,alerts_per_100_asset_days,false_alerts_per_100_asset_days,matched_median_lag,matched_p90_lag,child_median_age,hits_0,recall_0,hits_1,recall_1,hits_2,recall_2,hits_6,recall_6,large_positive_events,large_recall_1,target_80_met
confirmed,full,2026-07-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,8046,1660,6240,146,0,1660,3809,658,3078,0,73,0.17274875295353112,0.17612419700214133,395158,62.442622950819676,23.134037524230813,18.694294434125084,1.0,2.0,0.0,288,0.17349397590361446,488,0.29397590361445786,608,0.36626506024096384,658,0.3963855421686747,947,0.30623020063357975,False
confirmed,first31,2026-07-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,3972,630,3342,0,0,630,1943,284,1659,0,0,0.14616572310859496,0.14616572310859496,199779,62.67741935483871,23.34179268091241,19.930022675055937,1.0,2.0,0.0,125,0.1984126984126984,210,0.3333333333333333,262,0.4158730158730159,284,0.4507936507936508,280,0.39285714285714285,False
confirmed,last30,2026-08-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,4074,1030,2898,146,0,1030,1866,374,1419,0,73,0.20042872454448016,0.2085889570552147,195379,62.2,22.921603652388434,17.430737182604066,1.0,2.0,0.0,163,0.15825242718446603,278,0.26990291262135924,346,0.3359223300970874,374,0.36310679611650487,667,0.2698650674662669,False
confirmed,case_night,2026-08-19 10:00:00+00:00,2026-08-19 22:00:00+00:00,186,144,42,0,0,144,130,82,48,0,0,0.6307692307692307,0.6307692307692307,3252,260.0,95.9409594095941,35.42435424354244,0.0,2.0,0.0,48,0.3333333333333333,71,0.4930555555555556,79,0.5486111111111112,87,0.6041666666666666,91,0.4945054945054945,False
confirmed,week_2026-07-06,2026-07-10 00:00:00+00:00,2026-07-13 00:00:00+00:00,385,51,334,0,0,51,207,27,180,0,0,0.13043478260869565,0.13043478260869565,19207,69.0,25.865569844327588,22.491799864632686,1.0,2.400000000000002,0.0,9,0.17647058823529413,16,0.3137254901960784,24,0.47058823529411764,27,0.5294117647058824,30,0.36666666666666664,False
confirmed,week_2026-07-13,2026-07-13 00:00:00+00:00,2026-07-20 00:00:00+00:00,811,111,700,0,0,111,446,51,395,0,0,0.11434977578475336,0.11434977578475336,44996,63.714285714285715,23.788781224997777,21.06853942572673,0.0,2.0,0.0,28,0.25225225225225223,42,0.3783783783783784,47,0.42342342342342343,51,0.4594594594594595,44,0.4772727272727273,False
confirmed,week_2026-07-20,2026-07-20 00:00:00+00:00,2026-07-27 00:00:00+00:00,935,172,763,0,0,172,419,61,358,0,0,0.14558472553699284,0.14558472553699284,45192,59.857142857142854,22.251725969198088,19.012214551248007,1.0,2.0,0.0,26,0.1511627906976744,50,0.29069767441860467,59,0.3430232558139535,63,0.36627906976744184,78,0.3333333333333333,False
confirmed,week_2026-07-27,2026-07-27 00:00:00+00:00,2026-08-03 00:00:00+00:00,855,98,757,0,0,98,331,50,281,0,0,0.1510574018126888,0.1510574018126888,45192,47.285714285714285,17.578332448220923,14.92299522039299,1.0,2.0,0.0,18,0.1836734693877551,30,0.30612244897959184,44,0.4489795918367347,48,0.4897959183673469,49,0.40816326530612246,False
confirmed,week_2026-08-03,2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,986,198,788,0,0,198,540,95,445,0,0,0.17592592592592593,0.17592592592592593,45192,77.14285714285714,28.67764206054169,23.632501327668614,1.0,2.0,0.0,44,0.2222222222222222,72,0.36363636363636365,88,0.4444444444444444,95,0.4797979797979798,79,0.4050632911392405,False
confirmed,week_2026-08-10,2026-08-10 00:00:00+00:00,2026-08-17 00:00:00+00:00,807,107,700,0,0,107,311,42,269,0,0,0.13504823151125403,0.13504823151125403,45420,44.42857142857143,16.433289299867898,14.214002642007927,1.0,2.0,0.0,14,0.1308411214953271,28,0.2616822429906542,40,0.37383177570093457,42,0.3925233644859813,53,0.20754716981132076,False
confirmed,week_2026-08-17,2026-08-17 00:00:00+00:00,2026-08-24 00:00:00+00:00,1155,549,606,0,0,549,524,185,339,0,0,0.3530534351145038,0.3530534351145038,45528,74.85714285714286,27.622561939905115,17.870321560358462,1.0,2.0,0.0,91,0.1657559198542805,143,0.2604735883424408,171,0.3114754098360656,185,0.33697632058287796,398,0.24371859296482412,False
confirmed,week_2026-08-24,2026-08-24 00:00:00+00:00,2026-08-31 00:00:00+00:00,834,94,740,0,0,94,392,45,347,0,0,0.11479591836734694,0.11479591836734694,45679,56.0,20.595897458350663,18.231572495019595,0.0,2.0,0.0,27,0.2872340425531915,38,0.40425531914893614,41,0.43617021276595747,45,0.4787234042553192,70,0.44285714285714284,False
confirmed,week_2026-08-31,2026-08-31 00:00:00+00:00,2026-09-07 00:00:00+00:00,1008,261,747,0,0,261,503,95,408,0,0,0.18886679920477137,0.18886679920477137,45696,71.85714285714286,26.418067226890756,21.428571428571427,1.0,2.0,0.0,28,0.10727969348659004,63,0.2413793103448276,87,0.3333333333333333,95,0.36398467432950193,138,0.26811594202898553,False
confirmed,week_2026-09-07,2026-09-07 00:00:00+00:00,2026-09-09 00:00:00+00:00,270,19,105,146,0,19,136,7,56,0,73,0.051470588235294115,0.1111111111111111,13056,68.0,25.0,10.294117647058824,1.0,1.4000000000000004,0.0,3,0.15789473684210525,6,0.3157894736842105,7,0.3684210526315789,7,0.3684210526315789,8,0.5,False
