arm,period,candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,forward_known,forward_success_rate,control_forward_known,control_forward_success_rate,holm_p
confirmed,first31,1943,1943,1891,0,1943,0,-117.24840370721667,-97.24840370721667,427,0.2197632527020072,427,0.2197632527020072,0.8307692307692348,-1.0504893617021287,27.648148148148213,15.747666666666776,-118.22517438127717,23.08085219915432,-141.30602658043148,-131.61840414775872,269,1.0,True,1943,0.1610910962429233,5611,0.20370700409909107,
confirmed,last30,1866,1866,1821,0,1644,222,258.6571182903357,278.65711829033575,774,0.41479099678456594,631,0.3838199513381995,1.1599180327868879,-1.0224566701584026,81.56097560975626,56.07175609756108,253.39480036437885,266.9039691981751,-13.509168833796295,-2.382074674624955,272,0.527947205279472,True,1793,0.30619074177356387,5222,0.2671390271926465,
confirmed,case_night,130,130,123,0,130,0,1913.0795174210575,1933.0795174210573,126,0.9692307692307692,126,0.9692307692307692,8.793337097684947,5.441115872685666,49.78688524590168,29.719606557377084,1963.678129705613,1006.8660825037693,956.8120472018435,956.8120472018435,123,9.999000099990002e-05,True,130,0.8769230769230769,362,0.4116022099447514,
confirmed,week_2026-07-06,207,207,189,0,207,0,-262.33570014174165,-242.33570014174163,23,0.1111111111111111,23,0.1111111111111111,0.6285335689045942,-1.063397260273974,13.172413793103383,6.280206896551695,-260.86563341197177,-112.18248717484202,-148.6831462371298,-132.17859166984266,147,1.0,True,207,0.12077294685990338,551,0.20326678765880218,
confirmed,week_2026-07-13,446,446,441,0,446,0,-222.99682990153005,-202.99682990153002,69,0.1547085201793722,69,0.1547085201793722,0.6293036298488892,-1.0521133102852196,25.490196078431545,15.747666666666776,-221.8600852688203,-33.206145215789476,-188.65394005303088,-187.38632594358293,221,1.0,True,446,0.11210762331838565,1318,0.15705614567526555,
confirmed,week_2026-07-20,419,419,411,0,419,0,-142.83124861972067,-122.83124861972065,79,0.18854415274463007,79,0.18854415274463007,0.8225806451612917,-1.0523125000000015,27.648148148148213,9.375793103448256,-148.57054579498833,16.370907494276725,-164.94145328926507,-188.90978640678745,215,1.0,True,419,0.1766109785202864,1215,0.21728395061728395,
confirmed,week_2026-07-27,331,331,325,0,331,0,-181.89160421879748,-161.89160421879745,72,0.2175226586102719,72,0.2175226586102719,0.7228915662650592,-1.0434599156118138,17.65454545454547,7.428375757575763,-186.40755782201467,22.50271058033702,-208.9102684023517,-202.46664035698535,182,1.0,True,331,0.17522658610271905,974,0.1673511293634497,
confirmed,week_2026-08-03,540,540,525,0,540,0,85.1830404266405,105.18304042664052,184,0.34074074074074073,184,0.34074074074074073,1.3823000898472586,-1.0459808707668974,20.566176470588243,12.463514705882353,86.14294890916631,124.66755753533687,-38.52460862617058,10.062844607882683,235,0.43515648435156484,True,540,0.1962962962962963,1553,0.25563425627817127,
confirmed,week_2026-08-10,311,311,310,0,311,0,-59.89409889182028,-39.89409889182026,77,0.24758842443729903,77,0.24758842443729903,0.5647058823529449,-1.045796875000001,39.33333333333339,24.111200000000043,-58.559364701178,52.645196437457834,-111.20456113863582,-102.81514068052115,176,0.9772022797720228,True,311,0.12540192926045016,927,0.1779935275080906,
confirmed,week_2026-08-17,524,524,509,0,519,5,1011.075160410001,1031.075160410001,382,0.7290076335877863,378,0.7283236994219653,5.311294765840225,2.689424500597024,81.56097560975626,56.07175609756108,1004.9385807128936,726.1457365669072,278.79284414598635,326.59975526616313,243,9.999000099990002e-05,True,524,0.6240458015267175,1506,0.4063745019920319,
confirmed,week_2026-08-24,392,392,387,0,386,6,-170.83100054279046,-150.83100054279046,67,0.17091836734693877,64,0.16580310880829016,0.6801972507296865,-1.0401491228070179,76.46130952380963,45.76370833333341,-164.07414593812936,-15.01416383123975,-149.0599821068896,-149.2240779719261,211,1.0,True,392,0.14285714285714285,1154,0.15684575389948008,
confirmed,week_2026-08-31,503,503,500,0,366,137,80.96838575291027,100.9683857529103,210,0.41749502982107356,107,0.2923497267759563,1.1504424778761062,-0.8194978354978361,37.91693290734831,25.225194888178965,85.33090586052626,196.952685851292,-111.62177999076573,-89.93260328672721,241,0.76992300769923,True,503,0.23260437375745527,1484,0.2702156334231806,
confirmed,week_2026-09-07,136,136,115,0,62,74,-16.790311696015003,3.20968830398501,38,0.27941176470588236,5,0.08064516129032258,0.4831696723633285,-0.5549985613580799,17.53421633554083,7.070450331125822,-96.49705664496415,64.67891807611286,-161.17597472107698,-148.67159163042447,105,0.9951004899510049,True,63,0.15873015873015872,151,0.23841059602649006,
