bar,step,family,value_json,distance_from_inherited,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
15m,2,k1_min_body_ratio,0.7,0.04999999999999993,101,5.481360152750545,-14.518639847249462,-39.15549262929917,0.33663366336633666,0.5438987515589244,-0.5088862647956387,-0.5088862647956387,21,65,11,4,22,True,-22.141094162765654,-26.41674356998594,25,22,29,25,-20.161819182306736,-26.41674356998594,-13.96520056859371,0.9528812005752562
15m,2,k1_min_body_ratio,0.75,0.09999999999999998,74,0.14178664125185603,-19.85821335874815,-39.972587698799394,0.2972972972972973,0.4140911780249357,-0.46033035391590293,-0.46033035391590293,14,51,8,1,13,False,-25.039697504764614,-26.819669208200274,20,19,22,13,-19.345271215744848,-26.819669208200274,-22.750886812363298,-5.577626108051401
15m,3,k1_min_range_atr,0.65,0.29999999999999993,145,0.8276086616489547,-19.172391338351048,-39.02468164788118,0.32413793103448274,0.42609709499625315,-0.6821364980687536,-0.6821364980687536,27,96,18,4,25,True,-21.00369869292148,-22.01231193098601,34,25,47,39,-20.32010821157528,-22.01231193098601,-19.484935536603153,-15.97469990698318
15m,3,k1_min_range_atr,0.8,0.1499999999999999,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,3,k1_min_range_atr,0.95,0.0,113,1.6468475123662207,-18.353152487633785,-39.9262727906746,0.30973451327433627,0.4665358499561087,-0.5830686365146003,-0.5830686365146003,22,76,11,4,22,True,-22.373993903089232,-26.41674356998594,27,22,32,32,-23.08042801589581,-26.41674356998594,-15.760105063061992,-11.413842316117375
15m,3,k1_min_range_atr,1.1,0.15000000000000013,95,-0.3454062317510729,-20.345406231751078,-40.018902606924186,0.29473684210526313,0.42897632494205973,-0.5427249698055592,-0.5427249698055592,17,65,9,4,18,True,-24.300766096902684,-38.498649404398655,22,18,26,29,-22.365060421589636,-38.498649404398655,-15.992640948791903,-11.448203751503964
15m,3,k1_min_range_atr,1.25,0.30000000000000004,77,3.491326504618967,-16.50867349538104,-39.028423707914136,0.35064935064935066,0.512054878089958,-0.40121404183345244,-0.40121404183345244,15,48,10,4,15,False,-20.593082951188112,-36.77232014502399,19,15,18,25,-19.126242557725774,-36.77232014502399,-5.683537767591211,-10.155230742221935
15m,3,k1_min_range_atr,1.5,0.55,54,-1.3803870149433466,-21.38038701494335,-40.35389976089319,0.3333333333333333,0.4152550392886831,-0.3404770999358272,-0.3404770999358272,7,34,9,4,11,False,-28.769779973936664,-46.08666175366754,14,11,14,15,-21.997100229459512,-46.08666175366754,-20.4008636688953,-3.601074995975385
15m,4,k1_min_directional_close_location,0.6,0.09999999999999998,142,2.4073477299502546,-17.592652270049747,-39.21339830214419,0.323943661971831,0.4720892661690948,-0.6541752747627558,-0.6625823917382991,29,94,15,4,26,True,-18.193811778885586,-22.90163683193964,33,26,43,40,-16.828898772161875,-22.90163683193964,-15.769556995060888,-16.73173636119184
15m,4,k1_min_directional_close_location,0.65,0.04999999999999993,142,2.4073477299502546,-17.592652270049747,-39.21339830214419,0.323943661971831,0.4720892661690948,-0.6541752747627558,-0.6625823917382991,29,94,15,4,26,True,-18.193811778885586,-22.90163683193964,33,26,43,40,-16.828898772161875,-22.90163683193964,-15.769556995060888,-16.73173636119184
15m,4,k1_min_directional_close_location,0.7,0.0,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,4,k1_min_directional_close_location,0.75,0.050000000000000044,122,3.2608782529495937,-16.73912174705041,-38.92784992064911,0.32786885245901637,0.48726720347001345,-0.5928154161014965,-0.5928154161014965,26,80,14,2,24,True,-20.109815297263523,-21.322167430110273,28,24,38,32,-19.553835845502924,-21.322167430110273,-16.70617398001034,-10.878088121969633
15m,4,k1_min_directional_close_location,0.8,0.10000000000000009,102,5.816487419513163,-14.183512580486841,-38.73003145248631,0.3627450980392157,0.5451242446113994,-0.47939063191298403,-0.47939063191298403,23,64,14,1,22,True,-19.230253166093732,-18.774598843720195,22,22,32,26,-16.455925455545938,-18.774598843720195,-16.710670229054795,-5.265588511386511
15m,4,k1_min_directional_close_location,0.85,0.15000000000000002,80,-1.655660265293943,-21.65566026529395,-39.972587698799394,0.3,0.3559858001132886,-0.5135331641532511,-0.5135331641532511,13,55,11,1,16,True,-24.719939177505267,-28.610030134222573,19,16,24,21,-27.78870333340781,-13.342350064322241,-28.610030134222573,-14.492815887536638
15m,5,k1_min_sma40_cross_depth_atr,-0.05,0.0,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,5,k1_min_sma40_cross_depth_atr,0.0,0.05,122,3.846787938160819,-16.153212061839188,-39.10311599218173,0.3360655737704918,0.5066492177276735,-0.5774988062982204,-0.5774988062982204,26,80,13,3,22,True,-18.785935339557636,-19.797964512357076,31,22,36,33,-19.449963010813036,-19.797964512357076,-14.871692622244238,-12.024450440500852
15m,5,k1_min_sma40_cross_depth_atr,0.05,0.1,116,4.739504436431306,-15.260495563568696,-39.10311599218173,0.33620689655172414,0.5265312606376198,-0.5583504109584374,-0.5583504109584374,25,76,12,3,19,True,-19.104656704767294,-21.33732707650649,31,19,34,32,-19.449963010813036,-21.33732707650649,-13.924730498001905,-9.01308064540864
15m,5,k1_min_sma40_cross_depth_atr,0.1,0.15000000000000002,110,4.116781291734953,-15.883218708265055,-39.377850508391916,0.32727272727272727,0.5177698755201078,-0.5485197957177954,-0.5485197957177954,23,73,11,3,18,True,-20.697968362597173,-21.14887191479088,29,18,33,30,-21.14887191479088,-20.50170297541995,-15.720654948897634,-8.200816850301294
15m,5,k1_min_sma40_cross_depth_atr,0.15,0.2,101,3.618512034548563,-16.381487965451445,-39.69365095463527,0.31683168316831684,0.5041750972726363,-0.5395074729434333,-0.5395074729434333,21,69,9,2,15,True,-23.300466402677593,-23.194355703011563,29,15,29,28,-21.14887191479088,-23.194355703011563,-18.567942473915817,-5.529547560461708
15m,6,k2_min_rejection_wick_share,0.15,0.1,132,2.1550385653724926,-17.844961434627507,-39.10311599218173,0.32575757575757575,0.4621265058991815,-0.6357328039028873,-0.6357328039028873,26,88,15,3,25,True,-20.300802172452375,-22.01231193098601,32,25,40,35,-20.43277676836987,-22.01231193098601,-16.906222948053426,-13.575123902463089
15m,6,k2_min_rejection_wick_share,0.2,0.04999999999999999,132,2.2430455723980995,-17.7569544276019,-39.10311599218173,0.32575757575757575,0.4633556313929824,-0.6340930303856672,-0.6340930303856672,26,87,15,4,25,True,-20.360506730958633,-22.01231193098601,32,25,40,35,-20.43277676836987,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,6,k2_min_rejection_wick_share,0.25,0.0,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,6,k2_min_rejection_wick_share,0.3,0.04999999999999999,127,2.3285377465489847,-17.671462253451022,-39.177808276449326,0.33070866141732286,0.46575664955758656,-0.6126798776307394,-0.6126798776307394,25,83,15,4,23,True,-20.630902957776417,-25.268189501725683,31,23,40,33,-19.449963010813036,-25.268189501725683,-16.906222948053426,-11.6336235270075
15m,6,k2_min_rejection_wick_share,0.35,0.09999999999999998,121,3.504135292041129,-16.495864707958876,-38.72862622102289,0.34710743801652894,0.4929144050774693,-0.5670802445116978,-0.5670802445116978,25,77,15,4,21,True,-20.43620875913772,-23.686496285075734,29,21,40,31,-18.146349519560516,-23.686496285075734,-17.429713900280653,-8.875823083804914
15m,6,k2_min_rejection_wick_share,0.45,0.2,106,1.804756286414268,-18.195243713585736,-40.16585340612887,0.33962264150943394,0.4664662705165266,-0.513443575218814,-0.513443575218814,22,68,13,3,20,True,-21.64437180951723,-22.999942036101604,23,20,35,28,-22.79780855576919,-22.999942036101604,-16.316967562013062,-13.330483266603832
15m,7,k2_max_body_ratio,0.3,0.2,90,-5.754170716993011,-25.75417071699302,-40.31723899894145,0.2777777777777778,0.2895730793225269,-0.5775635434387743,-0.5775635434387743,14,64,10,2,14,True,-27.431709245820848,-29.840359249084226,21,14,27,28,-27.351645684305545,-29.840359249084226,-23.168649145006537,-25.006151741307118
15m,7,k2_max_body_ratio,0.4,0.09999999999999998,111,-1.9232590580877453,-21.923259058087755,-39.69365095463527,0.3063063063063063,0.36535904478568826,-0.613831323185349,-0.613831323185349,19,75,14,3,17,True,-24.85203865337545,-34.34734369909622,26,17,35,33,-22.261945465898208,-34.34734369909622,-20.80400239964432,-16.443219589763622
15m,7,k2_max_body_ratio,0.5,0.0,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,7,k2_max_body_ratio,0.6,0.09999999999999998,143,2.226739946456948,-17.773260053543055,-39.177808276449326,0.34265734265734266,0.4640601430441013,-0.6316024275173169,-0.6316024275173169,30,92,17,4,29,True,-17.898481300822016,-18.932491645269813,32,29,44,38,-17.06969447917867,-17.814536908369874,-17.25658435136273,-18.932491645269813
15m,7,k2_max_body_ratio,0.7,0.19999999999999996,151,1.9872427834255395,-18.012757216574464,-39.177808276449326,0.33774834437086093,0.4604649644073082,-0.6545926988577967,-0.6545926988577967,32,98,17,4,31,True,-18.60122321525274,-19.88774316382057,33,31,45,42,-17.907676276445535,-15.814236228045408,-17.854366369559333,-19.88774316382057
15m,8,k2_min_rejection_close_location,0.2,0.04999999999999999,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,8,k2_min_rejection_close_location,0.25,0.0,131,2.4960459451082517,-17.50395405489175,-39.028423707914136,0.3282442748091603,0.4688190849803064,-0.6279646818712592,-0.6279646818712592,26,86,15,4,25,True,-19.79802218311694,-22.01231193098601,31,25,40,35,-19.449963010813036,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,8,k2_min_rejection_close_location,0.35,0.09999999999999998,131,2.3336984036206387,-17.666301596379363,-39.028423707914136,0.3282442748091603,0.4665206991681091,-0.6261482158081613,-0.6261482158081613,26,86,15,4,25,True,-20.188121167710054,-22.01231193098601,31,25,40,35,-20.13601229903488,-22.01231193098601,-16.906222948053426,-13.243211761680799
15m,8,k2_min_rejection_close_location,0.45,0.2,124,-0.24874934634219478,-20.248749346342198,-40.280128630388305,0.31451612903225806,0.416517767504574,-0.6168319114030371,-0.6168319114030371,24,83,14,3,25,True,-22.283311640389066,-26.998600260720792,27,25,38,34,-26.998600260720792,-22.01231193098601,-15.950742273734377,-18.39549138912983
15m,8,k2_min_rejection_close_location,0.55,0.30000000000000004,112,2.0929261308612532,-17.907073869138753,-40.31723899894145,0.3392857142857143,0.4696444993436233,-0.5303081418917291,-0.5303081418917291,24,72,13,3,23,True,-20.420546726318374,-23.25251533418951,24,23,36,29,-23.25251533418951,-20.976658549901977,-13.826307782653013,-16.114540637921987
15m,8,k2_min_rejection_close_location,0.65,0.4,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164
15m,9,k2_touch_depth_atr_max,0.5,1.0,69,-5.9237393793535045,-25.923739379353513,-41.182974399600596,0.2898550724637681,0.2837302791702839,-0.45552124401178096,-0.45552124401178096,12,48,8,1,14,False,-26.53748533177601,-34.55805346267725,15,14,22,18,-34.55805346267725,-24.994334029594295,-23.282496479893222,-22.67953423684791
15m,9,k2_touch_depth_atr_max,0.75,0.75,82,-0.9026950362096796,-20.902695036209682,-40.89923937781568,0.34146341463414637,0.40282443298920206,-0.42989265260906395,-0.43206173817981286,17,53,11,1,17,True,-21.26160194893877,-29.428560424901324,19,17,25,21,-29.428560424901324,-17.68543695643301,-17.418704235955158,-19.940871939896606
15m,9,k2_touch_depth_atr_max,1.0,0.5,86,2.6972770197952873,-17.302722980204717,-40.676105309918036,0.36046511627906974,0.4965565014186428,-0.39517783838302734,-0.39747900329457675,20,54,11,1,17,True,-18.072403653220306,-24.535294313995692,20,17,26,23,-24.535294313995692,-17.68543695643301,-14.24646558872886,-14.18555462832088
15m,9,k2_touch_depth_atr_max,1.25,0.25,87,2.2989878683466167,-17.70101213165339,-40.82656046814013,0.3563218390804598,0.4879790748251403,-0.4050116545973347,-0.407275404820311,20,55,11,1,18,True,-19.065486744354647,-24.535294313995692,20,18,26,23,-24.535294313995692,-19.58923930086668,-14.24646558872886,-14.18555462832088
15m,9,k2_touch_depth_atr_max,1.5,0.0,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164
15m,9,k2_touch_depth_atr_max,2.0,0.5,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164
15m,10,oscillator_gate,"""none""",0.0,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164
15m,10,oscillator_gate,"""k1_sign""",1.0,32,6.099354175625564,-13.900645824374436,-37.94907426727554,0.40625,0.5197409423891169,-0.18616575552543313,-0.201204463661127,6,19,7,0,5,False,-22.701448848006997,-30.095068953857922,5,8,12,7,-30.095068953857922,-21.69760478082856,-11.540789250738797,2.5321410921145273
15m,10,oscillator_gate,"""k2_sign""",1.0,56,1.9263675349180664,-18.073632465081936,-41.17948878342047,0.3392857142857143,0.457246236199761,-0.320434799759163,-0.3230203392667159,12,37,7,0,11,False,-24.500045749615047,-30.70836113482486,11,13,19,13,-30.70836113482486,-25.12515363441196,-14.271703730099002,-5.8878521109445
15m,10,oscillator_gate,"""both_sign""",1.0,32,6.099354175625564,-13.900645824374436,-37.94907426727554,0.40625,0.5197409423891169,-0.18616575552543313,-0.201204463661127,6,19,7,0,5,False,-22.701448848006997,-30.095068953857922,5,8,12,7,-30.095068953857922,-21.69760478082856,-11.540789250738797,2.5321410921145273
15m,10,oscillator_gate,"""k2_sign_and_acceleration""",1.0,36,5.119633197891685,-14.880366802108318,-41.40068298054687,0.3333333333333333,0.5681142560537489,-0.17715829154884,-0.1886841172987822,10,24,2,0,6,False,-20.077896876408577,-33.37539406532013,7,6,15,8,-33.37539406532013,-17.091233022038505,-11.900768618797578,-2.625814875557978
15m,11,k1_min_volume_ratio_20,null,0.0,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164
15m,11,k1_min_volume_ratio_20,1.0,1.0,63,0.16131046317963052,-19.838689536820375,-41.414306681744044,0.3492063492063492,0.45804548335358963,-0.29692207621623734,-0.29959707450659556,15,40,6,2,11,False,-22.884004272824104,-29.69336338612323,19,11,17,16,-23.599542229964186,-29.69336338612323,-15.59489769474795,-13.106617524518331
15m,11,k1_min_volume_ratio_20,1.25,1.0,50,-6.022038813058539,-26.022038813058536,-45.13760326617931,0.3,0.35461458218781616,-0.3131188841970891,-0.31573225854479126,9,34,5,2,8,False,-29.43601912407962,-49.852234133676134,13,8,15,14,-26.98830255990687,-49.852234133676134,-19.250563648059984,-18.762691398844932
15m,11,k1_min_volume_ratio_20,1.5,1.0,38,-7.523924789694044,-27.523924789694046,-47.060156537940806,0.3157894736842105,0.33585529524020413,-0.22835932977082574,-0.2378045837647128,7,25,4,2,7,False,-36.83105508773905,-51.61677553174123,8,7,12,11,-32.41160116104631,-51.61677553174123,-26.339829409888946,-9.929177370831578
15m,11,k1_min_volume_ratio_20,2.0,1.0,23,-7.345082367144604,-27.34508236714461,-49.574615736708274,0.30434782608695654,0.3683596390216436,-0.12999833221048196,-0.16168780739341482,5,15,1,2,3,False,-46.69673668097776,-54.63347614863554,7,3,5,8,-28.144447540906015,-54.63347614863554,-46.11279474026041,-4.682669938846902
15m,12,fee_to_risk_max,0.25,1.0,3,-47.21555367040368,-67.21555367040368,-108.38828388345155,0.3333333333333333,0.1433759301935875,-0.020688422697964448,-0.020688422697964448,0,2,0,1,0,False,,,0,0,1,2,,,-127.00862838960768,-37.319016310801686
15m,12,fee_to_risk_max,0.35,0.9,8,5.889061149942643,-14.110938850057364,-81.58769580037804,0.375,0.7678743425635688,-0.007651447171299397,-0.03790162788965379,2,5,0,1,0,False,,,0,0,1,7,,,-127.00862838960768,2.0173025127355424
15m,12,fee_to_risk_max,0.5,0.75,22,1.2487693097854782,-18.751230690214527,-63.05647810332991,0.3181818181818182,0.6346815799847008,-0.07035677519220596,-0.07035677519220596,5,14,1,2,2,False,-36.16982069626189,-50.75401174604308,4,2,4,12,-50.75401174604308,23.613400119586476,-34.400157349608314,-9.928099920107242
15m,12,fee_to_risk_max,0.75,0.5,49,-0.6315678310181088,-20.631567831018117,-51.98912935781229,0.30612244897959184,0.526063133066949,-0.2177182248478302,-0.2177182248478302,11,33,3,2,10,False,-25.811502669674457,-29.179601531107977,10,10,13,16,-29.179601531107977,-24.75155744034972,-11.333252608861034,-20.268934380632317
15m,12,fee_to_risk_max,1.0,0.25,71,2.3869011150313217,-17.613098884968682,-44.446091860034215,0.3380281690140845,0.5331465376471658,-0.3080696647643322,-0.3080696647643322,17,46,6,2,13,False,-18.828957859418836,-34.36152522987962,16,13,21,21,-34.36152522987962,-14.28944508682966,-10.54685860086014,-13.976133352754951
15m,12,fee_to_risk_max,1.25,0.0,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164
15m,12,fee_to_risk_max,1.5,0.25,103,2.086341721237488,-17.913658278762515,-37.50044434722042,0.33980582524271846,0.46127010948408503,-0.5342462596878508,-0.536018311429083,22,67,12,2,23,True,-18.087353357221716,-25.412417826096448,25,23,28,27,-25.412417826096448,-16.126281053265263,-15.742906060306229,-14.7440934498686
15m,12,fee_to_risk_max,2.0,0.75,124,0.8647521243952638,-19.135247875604744,-34.70991214490513,0.3064516129032258,0.40204638762619327,-0.702682166263401,-0.7038133704586034,23,84,15,2,27,True,-19.779967701052612,-25.92629268835553,27,28,38,31,-25.92629268835553,-17.8768340737221,-17.83427639194837,-15.951837968746169
5m,1,gap_window,"[2,8]",0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,1,gap_window,"[3,12]",5.0,108,3.8881720130858413,-16.11182798691416,-37.40009285337685,0.37037037037037035,0.42745202694006446,-0.5376176278316578,-0.5498733528275541,22,66,19,1,11,False,-15.943151479021456,-25.332432626047808,28,11,30,39,-12.895155764991358,-9.93397076468473,-25.332432626047808,-13.070933435230902
5m,1,gap_window,"[6,18]",14.0,98,-0.6026898363099122,-20.602689836309914,-37.41510250026446,0.336734693877551,0.28160923320429554,-0.6039526155924819,-0.6060826981885186,15,64,18,1,16,False,-21.42904123132863,-22.944087634043342,22,16,26,34,-18.891439075975132,-21.955831177309076,-18.15614099586538,-22.944087634043342
5m,1,gap_window,"[9,27]",26.0,90,-3.0094026186279703,-23.009402618627977,-38.57010630651468,0.3111111111111111,0.27681226684717536,-0.5745203225153637,-0.5745203225153637,16,62,11,1,15,False,-23.912083673264004,-28.15944896708443,22,15,25,28,-28.15944896708443,-20.804476787090138,-23.70299793546729,-19.52486636455806
5m,1,gap_window,"[12,36]",38.0,106,0.40745702872579115,-19.592542971274217,-38.67290327942639,0.330188679245283,0.3482568133392686,-0.6107904038815835,-0.6127666082668346,20,71,15,0,20,False,-24.65981111876039,-30.152621931025756,23,20,32,31,-30.152621931025756,-22.843302738509752,-19.233274942554566,-10.031238632565579
5m,1,gap_window,"[18,54]",62.0,90,1.5146798500834422,-18.485320149916557,-37.86509726191265,0.3888888888888889,0.33870092950055886,-0.510835628960207,-0.510835628960207,16,55,19,0,14,False,-19.37471946217595,-21.31084203804839,20,14,25,31,-16.873802805270664,-13.56953947685304,-19.023724061265384,-21.31084203804839
5m,1,gap_window,"[24,72]",86.0,81,1.577477959831192,-18.42252204016881,-37.48485795074251,0.4074074074074074,0.3157484007231175,-0.48136748860907697,-0.4843775477605361,12,48,21,0,13,False,-20.49059718438337,-21.531377536355087,20,13,20,28,-12.90741463926957,-17.507089094035496,-20.180263161393917,-21.531377536355087
5m,2,k1_min_body_ratio,0.5,0.15000000000000002,132,-0.10047218313344235,-20.100472183133444,-38.70948698744546,0.32575757575757575,0.3250005116763977,-0.6767456959268261,-0.6965131943009537,23,86,23,0,13,False,-20.40959848038361,-27.454157390679367,32,13,39,48,-16.55963380484125,-12.062194617546028,-27.454157390679367,-18.663195378210435
5m,2,k1_min_body_ratio,0.55,0.09999999999999998,128,0.24254456560922344,-19.757455434390785,-38.70948698744546,0.328125,0.3356141102389485,-0.6569495195457242,-0.6779275845836102,23,83,22,0,13,False,-19.987279938159645,-26.98534197802484,30,13,38,47,-16.251796430386865,-12.062194617546028,-26.98534197802484,-18.279763351007905
5m,2,k1_min_body_ratio,0.6,0.050000000000000044,120,0.8072481919199626,-19.192751808080043,-38.6152759005509,0.3333333333333333,0.3491589399737014,-0.6230808251095785,-0.6389422507822453,22,77,21,0,13,False,-19.65651094519229,-25.84146661789596,29,13,35,43,-16.81220320384848,-12.062194617546028,-25.84146661789596,-17.54224331171028
5m,2,k1_min_body_ratio,0.65,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,2,k1_min_body_ratio,0.7,0.04999999999999993,102,-0.13226448737261026,-20.132264487372616,-38.18865916589863,0.3333333333333333,0.31096098049992577,-0.571365764452912,-0.5875642101708307,18,65,19,0,12,False,-20.800460562241522,-26.003526275912055,25,12,30,35,-13.874388416716581,-15.826330719480014,-26.003526275912055,-21.045986010942002
