symbol,timeframe_min,fold,variant,raw_long_signals,raw_short_signals,admitted_long_signals,trades,win_rate,profit_factor,net_r,gross_return,net_return,max_drawdown_closed_trade
DOGE,30,validation,C24,107,132,55,120,0.36666666666666664,1.2819968958443353,8.62696260728905,0.7875375198554138,0.4071512787299518,0.22918540466819937
DOGE,60,development,A,57,63,57,74,0.32432432432432434,1.5019873746393573,31.78531647699938,1.0490220531213788,0.7677317670358457,0.4155335948975464
DOGE,60,development,B12,57,63,10,49,0.32653061224489793,1.7414914498000782,21.102673048873985,1.0393333066802173,0.849997801206392,0.29810640599835614
DOGE,60,development,C24,57,63,24,58,0.3793103448275862,1.9483180619134286,40.29008344484057,2.1622354327564874,1.819684939291092,0.32759531669223296
DOGE,60,validation,A,47,74,47,74,0.33783783783783783,1.10355484667052,11.52945227148417,0.19788258060550068,0.03306636978977173,0.3730820481380731
DOGE,60,validation,B12,47,74,18,54,0.35185185185185186,1.1487712476836305,1.25161871692254,0.205286653549402,0.08201707836434413,0.3095799057085896
DOGE,60,validation,C24,47,74,27,61,0.3442622950819672,1.2211048392450903,2.1667927649890295,0.33170104898498476,0.17907053827063169,0.34649425983842796
DOGE,240,development,A,17,13,17,19,0.42105263157894735,2.2192537977145514,16.801122588694444,1.1250320731796997,1.0467249827506784,0.5748533792319418
DOGE,240,development,B12,17,13,4,13,0.46153846153846156,2.730961565678986,14.507877193470991,1.1862252362667571,1.1314367919392376,0.46247704688573865
DOGE,240,development,C24,17,13,10,17,0.47058823529411764,2.5674632904868093,16.83461494627147,1.318761611081186,1.2428284400041587,0.46247704688573876
DOGE,240,validation,A,14,16,14,17,0.35294117647058826,1.0999931412213444,1.172353945177021,0.010792508062026585,-0.023202166207435426,0.37731937138007343
DOGE,240,validation,B12,14,16,2,10,0.4,1.6818419426415754,2.603718394265477,0.25264780774479223,0.22819938194069334,0.21440602667040953
DOGE,240,validation,C24,14,16,5,12,0.4166666666666667,1.5186559847565697,2.901767475786145,0.21955227094381735,0.19089647472241733,0.21440602667040942
PEPE,30,development,A,125,112,125,155,0.32903225806451614,1.186953677466211,32.407710518170916,0.7144214354640384,0.2572997407728981,0.49289951836624557
PEPE,30,development,B12,125,112,39,108,0.37037037037037035,1.28845937448473,32.03534924867576,0.911375205699978,0.5406706955268905,0.45460833732973427
PEPE,30,development,C24,125,112,62,123,0.34959349593495936,1.2519205430929812,29.982131617048605,0.8690716112272683,0.4618732391452556,0.4462467201522887
PEPE,30,validation,A,104,117,104,161,0.2670807453416149,1.0768903060144983,25.00562628433265,0.18676388066661032,-0.1405241776798698,0.6775520902356397
PEPE,30,validation,B12,104,117,36,115,0.2782608695652174,0.7752033150490465,-16.415095515729647,-0.38481783598580166,-0.5119462785706792,0.6701901994814335
PEPE,30,validation,C24,104,117,57,129,0.2713178294573643,0.7898210049688118,-17.36328264106643,-0.37556273582471955,-0.5182903601373381,0.7116247463853956
PEPE,60,development,A,58,62,58,83,0.2891566265060241,0.9057165876970686,-1.6935896319250783,-0.44620256595201035,-0.5319042047184633,0.6605081038556782
PEPE,60,development,B12,58,62,18,60,0.2833333333333333,0.7917123626837406,-8.533580386452961,-0.5092003344039153,-0.5655991897938105,0.6365417928563142
PEPE,60,development,C24,58,62,26,65,0.2923076923076923,0.7940896364540909,-9.67319373145448,-0.5124268965813983,-0.5727605793224506,0.6524366925181231
PEPE,60,validation,A,47,59,47,69,0.30434782608695654,1.0655383722710992,19.274102168449787,-0.029323164824616832,-0.15506199065065307,0.5119953171014835
PEPE,60,validation,B12,47,59,17,54,0.3148148148148148,0.9715091658504887,0.8468726561027573,-0.10952925747850917,-0.20121728919684123,0.4946700143091247
PEPE,60,validation,C24,47,59,26,60,0.3333333333333333,1.2688472019603372,21.103617117887026,0.3512214156363531,0.19840590899075816,0.3518795784751251
PEPE,240,development,A,18,16,18,22,0.36363636363636365,1.1647682157007615,4.438056855241044,-0.11162413219394729,-0.15077676776899618,0.5354552727699787
PEPE,240,development,B12,18,16,3,12,0.4166666666666667,1.3427011252415393,2.8545682929298124,0.07456534951893423,0.04874064709319015,0.39742221164132097
PEPE,240,development,C24,18,16,6,14,0.42857142857142855,1.4541200531732963,5.965024736909572,0.20323985545698142,0.16984480472308694,0.44646754918499987
PEPE,240,validation,A,17,14,17,14,0.5714285714285714,2.2612615073066364,9.013582407630171,0.7006205690399927,0.6549232040028983,0.17311895161290325
PEPE,240,validation,B12,17,14,3,9,0.6666666666666666,5.038559073919925,9.765511730854277,0.8415364897670274,0.8105724819042834,0.09578232514392826
PEPE,240,validation,C24,17,14,6,10,0.6,4.0281653083132865,9.632482788022005,0.7635125092206396,0.730232971236326,0.09904472843450485
SOPH,30,development,A,20,24,20,32,0.25,0.756722433386848,-3.915206096503419,-0.1954080204039511,-0.24575387948851102,0.40016527678316893
SOPH,30,development,B12,20,24,5,21,0.2857142857142857,1.0250786700263779,-3.713521092461273,0.007680791451685209,-0.03387722502295143,0.29833689343775704
SOPH,30,development,C24,20,24,12,28,0.25,0.7738400946090095,-2.8536591709520067,-0.17067838761891174,-0.21626906935946344,0.3897821462151402
SOPH,30,validation,A,97,100,97,139,0.2589928057553957,0.6790508827187636,-30.142864649072376,-0.5334988091799542,-0.6474618742098913,0.7092292719658533
SOPH,30,validation,B12,97,100,34,99,0.29292929292929293,0.8366666361975459,-5.684723120708908,-0.22084755568986725,-0.3614143870977179,0.48205778512695163
SOPH,30,validation,C24,97,100,55,114,0.2631578947368421,0.7278086974907733,-19.269115932628786,-0.40131703821163134,-0.5240956486022967,0.5907369644976719
SOPH,60,development,A,12,10,12,13,0.23076923076923078,0.27112252116109514,-6.937709051175131,-0.3180509169130039,-0.33611027203136923,0.3619586769834924
SOPH,60,development,B12,12,10,3,8,0.25,0.372702586091649,-3.4045927454664398,-0.14938716293972754,-0.16319155209934,0.2075862295137222
SOPH,60,development,C24,12,10,5,10,0.2,0.2378296867271026,-5.465857595087399,-0.2704024978047037,-0.2853407070167422,0.3232550813909222
SOPH,60,validation,A,54,55,54,73,0.2602739726027397,0.878437241352581,-9.742521252349523,-0.3609207820753768,-0.4486130402756753,0.7526600895462597
SOPH,60,validation,B12,54,55,25,58,0.27586206896551724,0.9590879370613469,-7.259175830152693,-0.11969376905315565,-0.21666412957740566,0.5644312807109755
SOPH,60,validation,C24,54,55,32,61,0.2786885245901639,0.9560268454719073,-6.180856010907941,-0.12190351222960483,-0.22331572913159103,0.5770765598553869
SOPH,240,development,A,1,2,1,2,0.5,1.6866434093023426,0.4191383693780575,0.05393770199434256,0.04980400718116318,0.09444116947943915
SOPH,240,development,B12,1,2,0,1,1.0,inf,1.4407737512242909,0.16128857606930147,0.1592885760693017,0.0
SOPH,240,development,C24,1,2,0,1,1.0,inf,1.4407737512242909,0.16128857606930147,0.1592885760693017,0.0
SOPH,240,validation,A,9,10,9,18,0.2777777777777778,1.1220982316115664,-5.022820146226213,-0.04245128224654593,-0.07674381296167454,0.5167662443376883
SOPH,240,validation,B12,9,10,2,11,0.36363636363636365,0.9622858905705397,-1.9619130727494034,-0.07976198522039923,-0.10009803489607971,0.40234686187469626
SOPH,240,validation,C24,9,10,7,16,0.3125,1.2524019143039642,-2.94012792611236,0.059996335349879804,0.02634989423406431,0.46280683414065726
USELESS,30,development,A,10,8,10,12,0.5833333333333334,1.8975758469244572,5.489010753067413,0.4362551170643949,0.40291863397164174,0.2213954725108983
USELESS,30,development,B12,10,8,5,11,0.5454545454545454,1.3117969779918965,4.186137489655425,0.10886240022211591,0.0847245895682931,0.3907905609477469
USELESS,30,development,C24,10,8,6,12,0.5,1.2236829883980702,3.136262750615759,0.06439650740450253,0.03905718489286425,0.3907905609477469
USELESS,30,validation,A,132,104,132,157,0.2802547770700637,0.8766444012611226,-3.7778424921233587,-0.7804678357959554,-0.8404415229302642,0.9485635263482117
USELESS,30,validation,B12,132,104,35,106,0.3018867924528302,0.9125852144740255,-0.45367764737670724,-0.5578778920386478,-0.6434060718425274,0.8705766811338461
USELESS,30,validation,C24,132,104,65,127,0.2755905511811024,0.8053787702347495,-14.046890490763612,-0.7935736159983304,-0.840632293329912,0.9429287959810168
USELESS,60,development,A,6,3,6,6,0.5,1.5379971313223328,1.4106672450356172,0.1278665360398743,0.11451751683053146,0.16991980575622068
USELESS,60,development,B12,6,3,1,4,0.25,0.3765984289053361,-1.5869493936136847,-0.20625868471572228,-0.21300306606784247,0.3014319077997022
USELESS,60,development,C24,6,3,2,4,0.25,0.3765984289053361,-1.5869493936136847,-0.20625868471572228,-0.21300306606784247,0.3014319077997022
USELESS,60,validation,A,73,47,73,79,0.31645569620253167,1.6588699394637374,64.06729892221044,1.861153960942521,1.4415463402620503,0.7331681704317583
USELESS,60,validation,B12,73,47,15,46,0.32608695652173914,1.7805422053486026,23.09518763154187,1.2139707948220848,1.019009717335157,0.6028648602623404
USELESS,60,validation,C24,73,47,32,58,0.3448275862068966,1.972070657035004,39.90856954577539,3.9129278005872203,3.3785195352700077,0.5835361081963737
USELESS,240,development,A,0,0,0,0,,,0.0,0.0,0.0,0.0
USELESS,240,development,B12,0,0,0,0,,,0.0,0.0,0.0,0.0
USELESS,240,development,C24,0,0,0,0,,,0.0,0.0,0.0,0.0
USELESS,240,validation,A,16,8,16,17,0.35294117647058826,0.977633184984906,2.4130603770795904,-0.3793245261042649,-0.4011989964162551,0.6992272915729656
USELESS,240,validation,B12,16,8,5,11,0.36363636363636365,0.8808120790434371,-1.5160236547208479,-0.3616628873578315,-0.3765110356059531,0.6061325152524566
USELESS,240,validation,C24,16,8,9,14,0.2857142857142857,0.6301755649439823,-4.142829433373892,-0.6354536129770945,-0.6465130274571187,0.6993868367833442
