code,name,collection_status,evaluation_status,error
sh.600126,杭钢股份,collected,covered,
sh.600127,金健米业,collected,covered,
sh.600128,苏豪弘业,collected,covered,
sh.600129,太极集团,collected,covered,
sh.600130,波导股份,collected,covered,
sh.600131,国网信通,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600132,重庆啤酒,collected,covered,
sh.600133,东湖高新,collected,covered,
sh.600135,乐凯胶片,collected,covered,
sh.600136,ST明诚,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600137,浪莎股份,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600138,中青旅,failed,unavailable,AShareDataError: BaoStock pagination ended on a full page; completeness unproven
sh.600141,兴发集团,collected,covered,
sh.600143,金发科技,collected,covered,
sh.600148,长春一东,collected,covered,
sh.600149,廊坊发展,collected,covered,
sh.600150,中国船舶,collected,covered,
sh.600151,航天机电,collected,covered,
sh.600152,维科技术,collected,covered,
sh.600153,建发股份,collected,covered,
sh.600155,华创云信,collected,covered,
sh.600156,华升股份,collected,covered,
sh.600157,永泰能源,collected,covered,
sh.600158,中体产业,collected,covered,
sh.600159,大龙地产,collected,covered,
sh.600160,巨化股份,collected,covered,
sh.600161,天坛生物,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600162,香江控股,collected,covered,
sh.600163,中闽能源,collected,covered,
sh.600165,宁科生物,collected,covered,
sh.600166,福田汽车,collected,covered,
sh.600167,联美控股,collected,covered,
sh.600168,武汉控股,collected,covered,
sh.600169,ST太重,collected,covered,
sh.600170,上海建工,collected,covered,
sh.600171,上海贝岭,collected,covered,
sh.600172,黄河旋风,collected,covered,
sh.600173,卧龙新能,collected,covered,
sh.600176,中国巨石,collected,covered,
sh.600177,雅戈尔,collected,covered,
sh.600178,东安动力,collected,covered,
sh.600179,安通控股,collected,covered,
sh.600180,*ST瑞茂,collected,covered,
sh.600182,S佳通,collected,covered,
sh.600183,生益科技,collected,covered,
sh.600184,光电股份,collected,covered,
sh.600185,珠免集团,collected,covered,
sh.600186,莲花控股,collected,covered,
sh.600187,*ST国中,collected,covered,
sh.600188,兖矿能源,collected,covered,
sh.600189,泉阳泉,collected,covered,
sh.600190,退市锦港,collected,covered,
sh.600191,华资实业,collected,covered,
sh.600192,长城电工,collected,covered,
sh.600193,退市创兴,collected,covered,
sh.600195,中牧股份,collected,covered,
sh.600196,复星医药,collected,covered,
sh.600197,伊力特,collected,covered,
sh.600198,大唐电信,collected,covered,
sh.600199,金种子酒,collected,covered,
sh.600200,退市苏吴,collected,covered,
sh.600201,生物股份,collected,covered,
sh.600202,哈空调,collected,covered,
sh.600203,福日电子,collected,covered,
sh.600206,有研新材,collected,covered,
sh.600207,安彩高科,collected,covered,
sh.600208,衢州发展,collected,covered,
sh.600210,紫江企业,collected,covered,
sh.600211,西藏药业,collected,covered,
sh.600212,绿能慧充,collected,covered,
sh.600213,*ST亚星,collected,covered,
sh.600215,派斯林,collected,covered,
sh.600216,浙江医药,collected,covered,
sh.600217,中再资环,collected,covered,
sh.600218,全柴动力,collected,covered,
sh.600219,南山铝业,collected,covered,
sh.600220,ST阳光,collected,covered,
sh.600221,海航控股,collected,covered,
sh.600222,太龙药业,collected,covered,
sh.600223,福瑞达,collected,covered,
sh.600225,退市卓朗,collected,covered,
sh.600226,亨通股份,collected,covered,
sh.600227,赤天化,collected,covered,
sh.600228,返利科技,collected,covered,
sh.600229,城市传媒,collected,covered,
sh.600230,沧州大化,collected,covered,
sh.600231,凌钢股份,collected,covered,
sh.600232,金鹰股份,collected,covered,
sh.600233,圆通速递,collected,covered,
sh.600234,科新发展,collected,covered,
sh.600235,民丰特纸,collected,covered,
sh.600236,桂冠电力,collected,covered,
sh.600237,铜峰电子,collected,covered,
sh.600238,ST椰岛,collected,covered,
sh.600239,ST云城,collected,covered,
sh.600241,时代万恒,collected,covered,
sh.600243,*ST海华,collected,covered,
sh.600246,万通发展,collected,covered,
sh.600248,陕建股份,collected,covered,
sh.600249,两面针,collected,covered,
sh.600250,南京商旅,collected,covered,
sh.600251,冠农股份,collected,covered,
sh.600252,中恒集团,collected,covered,
sh.600255,鑫科材料,collected,covered,
sh.600256,广汇能源,collected,covered,
sh.600257,大湖股份,collected,covered,
sh.600258,首旅酒店,collected,covered,
sh.600259,中稀有色,collected,covered,
sh.600261,阳光照明,collected,covered,
sh.600262,北方股份,collected,covered,
sh.600265,*ST景谷,collected,covered,
sh.600266,城建发展,collected,covered,
sh.600267,海正药业,collected,covered,
sh.600268,国电南自,collected,covered,
sh.600269,赣粤高速,collected,covered,
sh.600271,航天信息,collected,covered,
sh.600272,开开实业,collected,covered,
sh.600273,嘉化能源,collected,covered,
sh.600276,恒瑞医药,collected,covered,
sh.600277,ST亿利,collected,covered,
sh.600278,东方创业,collected,covered,
sh.600279,重庆港,collected,covered,
sh.600280,中央商场,collected,covered,
sh.600281,华阳新材,collected,covered,
sh.600282,南钢股份,collected,covered,
sh.600283,钱江水利,collected,covered,
sh.600284,浦东建设,collected,covered,
sh.600285,羚锐制药,collected,covered,
sh.600287,苏豪时尚,collected,covered,
sh.600288,大恒科技,collected,covered,
sh.600289,ST信通,collected,covered,
sh.600290,*ST华仪,collected,covered,
sh.600292,电投水电,collected,covered,
sh.600293,三峡新材,collected,covered,
sh.600295,鄂尔多斯,collected,covered,
sh.600297,广汇汽车,collected,covered,
sh.600298,安琪酵母,collected,covered,
sh.600299,安迪苏,collected,covered,
sh.600300,维维股份,collected,covered,
sh.600301,华锡有色,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600302,ST标准,collected,covered,
sh.600303,曙光股份,collected,covered,
sh.600305,恒顺醋业,collected,covered,
sh.600306,退市商城,collected,covered,
sh.600307,酒钢宏兴,collected,covered,
sh.600308,华泰股份,collected,covered,
sh.600309,万华化学,collected,covered,
sh.600310,广西能源,collected,covered,
sh.600312,平高电气,collected,covered,
sh.600313,农发种业,collected,covered,
sh.600315,上海家化,collected,covered,
sh.600316,洪都航空,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600318,新力金融,collected,covered,
sh.600319,亚星化学,collected,covered,
sh.600320,振华重工,collected,covered,
sh.600321,正源股份,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600322,津投城开,collected,covered,
sh.600323,瀚蓝环境,collected,covered,
sh.600325,华发股份,collected,covered,
sh.600326,西藏天路,collected,covered,
sh.600327,大东方,collected,covered,
sh.600328,中盐化工,collected,covered,
sh.600329,达仁堂,collected,covered,
sh.600330,天通股份,collected,covered,
sh.600331,宏达股份,collected,covered,
sh.600332,白云山,collected,covered,
sh.600333,长春燃气,collected,covered,
sh.600335,国机汽车,collected,covered,
sh.600336,澳柯玛,collected,covered,
sh.600337,ST美克,collected,covered,
sh.600338,西藏珠峰,collected,covered,
sh.600339,中油工程,collected,covered,
sh.600340,*ST华幸,collected,covered,
sh.600343,航天动力,collected,covered,
sh.600345,长江通信,collected,covered,
sh.600346,恒力石化,collected,covered,
sh.600348,华阳股份,collected,covered,
sh.600350,山东高速,collected,covered,
sh.600351,亚宝药业,collected,covered,
sh.600352,浙江龙盛,collected,covered,
sh.600353,旭光电子,collected,covered,
sh.600354,敦煌种业,collected,covered,
sh.600355,*ST精伦,collected,covered,
sh.600356,恒丰纸业,collected,covered,
sh.600358,国旅联合,collected,covered,
sh.600359,新农开发,collected,covered,
sh.600360,华微电子,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600361,创新新材,collected,covered,
sh.600362,江西铜业,collected,covered,
sh.600363,联创光电,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600365,ST通葡,collected,covered,
sh.600366,宁波韵升,collected,covered,
sh.600367,红星发展,collected,covered,
sh.600368,五洲交通,collected,covered,
sh.600369,西南证券,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600370,*ST三房,collected,covered,
sh.600371,万向德农,collected,covered,
sh.600372,中航机载,collected,covered,
sh.600373,中文传媒,collected,covered,
sh.600375,汉马科技,collected,covered,
sh.600376,首开股份,collected,covered,
sh.600377,宁沪高速,collected,covered,
sh.600378,昊华科技,collected,covered,
sh.600379,宝光股份,collected,covered,
sh.600380,健康元,collected,covered,
sh.600381,*ST春天,collected,covered,
sh.600382,广东明珠,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600383,金地集团,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600386,北巴传媒,collected,covered,
sh.600387,退市海越,collected,covered,
sh.600388,紫金龙净,collected,covered,
sh.600389,江山股份,collected,covered,
sh.600390,五矿资本,collected,covered,
sh.600391,航发科技,collected,covered,
sh.600392,盛和资源,collected,covered,
sh.600395,盘江股份,collected,covered,
sh.600396,华电辽能,collected,covered,
sh.600397,江钨装备,collected,covered,
sh.600398,海澜之家,collected,covered,
sh.600399,抚顺特钢,collected,covered,
sh.600400,红豆股份,collected,covered,
sh.600403,大有能源,collected,covered,
sh.600405,动力源,collected,covered,
sh.600406,国电南瑞,collected,covered,
sh.600408,安泰集团,collected,covered,
sh.600409,三友化工,collected,covered,
sh.600410,华胜天成,collected,covered,
sh.600415,小商品城,collected,covered,
sh.600416,湘电股份,collected,covered,
sh.600418,江淮汽车,collected,covered,
sh.600419,天润乳业,collected,covered,
sh.600420,国药现代,collected,covered,
sh.600421,退市华嵘,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600422,昆药集团,collected,covered,
sh.600423,*ST柳化,collected,covered,
sh.600425,青松建化,collected,covered,
sh.600426,华鲁恒升,collected,covered,
sh.600428,中远海特,collected,covered,
sh.600429,三元股份,collected,covered,
sh.600433,冠豪高新,collected,covered,
sh.600435,北方导航,collected,covered,
sh.600436,片仔癀,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600438,通威股份,collected,covered,
sh.600439,ST瑞贝卡,collected,covered,
sh.600444,国机通用,collected,covered,
sh.600446,金证股份,collected,covered,
sh.600448,华纺股份,collected,covered,
sh.600449,宁夏建材,collected,covered,
sh.600452,涪陵电力,collected,covered,
sh.600455,博通股份,collected,covered,
sh.600456,宝钛股份,collected,covered,
sh.600458,时代新材,collected,covered,
sh.600459,贵研铂业,collected,covered,
sh.600460,士兰微,collected,covered,
sh.600461,洪城环境,collected,covered,
sh.600462,退市九有,collected,covered,
sh.600463,空港股份,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600467,好当家,collected,covered,
sh.600468,百利电气,collected,covered,
sh.600469,风神股份,collected,covered,
sh.600470,六国化工,collected,covered,
sh.600475,华光环能,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600476,*ST湘邮,collected,covered,
sh.600477,杭萧钢构,collected,covered,
sh.600478,科力远,collected,covered,
sh.600479,千金药业,collected,covered,
sh.600480,凌云股份,collected,covered,
sh.600481,双良节能,collected,covered,
sh.600482,中国动力,collected,covered,
sh.600483,福能股份,collected,covered,
sh.600486,扬农化工,collected,covered,
sh.600487,亨通光电,collected,covered,
sh.600488,津药药业,collected,covered,
sh.600489,中金黄金,collected,covered,
sh.600490,鹏欣资源,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600491,ST龙元,collected,covered,
sh.600493,凤竹纺织,collected,covered,
sh.600495,晋西车轴,collected,covered,
sh.600496,精工钢构,collected,covered,
sh.600497,驰宏锌锗,collected,covered,
sh.600498,烽火通信,collected,covered,
sh.600499,科达制造,collected,covered,
sh.600500,中化国际,collected,covered,
sh.600501,航天晨光,collected,covered,
sh.600502,安徽建工,collected,covered,
sh.600503,华丽家族,collected,covered,
sh.600505,西昌电力,collected,covered,
sh.600506,统一股份,collected,covered,
sh.600507,方大特钢,collected,covered,
sh.600508,上海能源,collected,covered,
sh.600509,天富能源,collected,covered,
sh.600510,黑牡丹,collected,covered,
sh.600511,国药股份,collected,covered,
sh.600512,腾达建设,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600513,联环药业,collected,covered,
sh.600515,海南机场,collected,covered,
sh.600516,方大炭素,collected,covered,
sh.600517,国网英大,collected,covered,
sh.600518,康美药业,collected,covered,
sh.600519,贵州茅台,collected,covered,
sh.600520,三佳科技,collected,covered,
sh.600521,华海药业,collected,covered,
sh.600522,中天科技,collected,covered,
sh.600523,贵航股份,collected,covered,
sh.600525,长园集团,collected,covered,
sh.600526,菲达环保,collected,covered,
sh.600527,江南高纤,collected,covered,
sh.600528,中铁工业,collected,covered,
sh.600529,山东药玻,collected,covered,
sh.600530,ST交昂,collected,covered,
sh.600531,豫光金铅,collected,covered,
sh.600533,栖霞建设,collected,covered,
sh.600535,天士力,collected,covered,
sh.600536,中国软件,collected,covered,
sh.600537,*ST亿晶,collected,covered,
sh.600538,国发股份,collected,covered,
sh.600539,狮头股份,collected,covered,
sh.600540,新赛股份,collected,covered,
sh.600543,*ST莫高,collected,covered,
sh.600545,卓郎智能,collected,covered,
sh.600546,山煤国际,collected,covered,
sh.600547,山东黄金,collected,covered,
sh.600548,深高速,collected,covered,
sh.600549,厦门钨业,collected,covered,
sh.600550,保变电气,collected,covered,
sh.600551,时代出版,collected,covered,
sh.600552,凯盛科技,collected,covered,
sh.600556,天下秀,collected,covered,
sh.600557,康缘药业,collected,covered,
sh.600558,大西洋,collected,covered,
sh.600559,老白干酒,collected,covered,
sh.600560,金自天正,collected,covered,
sh.600561,江西长运,collected,covered,
sh.600562,国睿科技,collected,covered,
sh.600563,法拉电子,collected,covered,
sh.600565,ST迪马,collected,covered,
sh.600566,济川药业,collected,covered,
sh.600567,山鹰国际,collected,covered,
sh.600568,ST中珠,collected,covered,
sh.600569,安阳钢铁,collected,covered,
sh.600570,恒生电子,collected,covered,
sh.600571,信雅达,collected,covered,
sh.600572,康恩贝,collected,covered,
sh.600573,惠泉啤酒,collected,covered,
sh.600575,淮河能源,collected,covered,
sh.600576,祥源文旅,collected,covered,
sh.600577,精达股份,collected,covered,
sh.600578,京能电力,collected,covered,
sh.600579,中化装备,collected,covered,
sh.600580,卧龙电驱,collected,covered,
sh.600581,*ST八钢,collected,covered,
sh.600582,天地科技,collected,covered,
sh.600583,海油工程,collected,covered,
sh.600584,长电科技,collected,covered,
sh.600585,海螺水泥,collected,covered,
sh.600586,金晶科技,collected,covered,
sh.600587,新华医疗,collected,covered,
sh.600588,用友网络,collected,covered,
sh.600589,大位科技,collected,covered,
sh.600590,泰豪科技,collected,covered,
sh.600592,龙溪股份,collected,covered,
sh.600593,大连圣亚,collected,covered,
sh.600594,益佰制药,collected,covered,
sh.600595,中孚实业,collected,covered,
sh.600596,新安股份,collected,covered,
sh.600597,光明乳业,collected,covered,
sh.600598,北大荒,collected,covered,
sh.600599,退市熊猫,collected,covered,
sh.600600,青岛啤酒,collected,covered,
sh.600601,方正科技,collected,covered,
sh.600602,云赛智联,collected,covered,
sh.600603,广汇物流,collected,covered,
sh.600604,市北高新,collected,covered,
sh.600605,汇通能源,collected,covered,
sh.600606,绿地控股,collected,covered,
sh.600608,退市沪科,collected,covered,
sh.600609,金杯汽车,collected,covered,
sh.600610,中毅达,collected,covered,
sh.600611,大众交通,collected,covered,
sh.600612,老凤祥,collected,covered,
sh.600613,神奇制药,collected,covered,
sh.600615,鑫源智造,collected,covered,
sh.600616,金枫酒业,collected,covered,
sh.600617,国新能源,collected,covered,
sh.600618,氯碱化工,collected,covered,
sh.600619,海立股份,collected,covered,
sh.600620,天宸股份,collected,covered,
sh.600621,华鑫股份,collected,covered,
sh.600622,光大嘉宝,collected,covered,
sh.600623,华谊集团,collected,covered,
sh.600624,ST复华,collected,covered,
sh.600626,申达股份,collected,covered,
sh.600628,新世界,collected,covered,
sh.600629,华建集团,collected,covered,
sh.600630,龙头股份,collected,covered,
sh.600633,浙数文化,collected,covered,
sh.600635,大众公用,collected,covered,
sh.600636,退市国化,collected,covered,
sh.600637,东方明珠,collected,covered,
sh.600638,新黄浦,collected,covered,
sh.600639,浦东金桥,collected,covered,
sh.600640,国脉文化,collected,covered,
sh.600641,先导基电,collected,covered,
sh.600642,申能股份,collected,covered,
sh.600643,爱建集团,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600644,乐山电力,collected,covered,
sh.600645,中源协和,collected,covered,
sh.600647,退市同达,collected,covered,
sh.600648,外高桥,collected,covered,
sh.600649,城投控股,collected,covered,
sh.600650,锦江在线,collected,covered,
sh.600651,飞乐音响,collected,covered,
sh.600653,申华控股,collected,covered,
sh.600654,中安科,collected,covered,
sh.600655,豫园股份,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600657,信达地产,collected,covered,
sh.600658,电子城,collected,covered,
sh.600660,福耀玻璃,collected,covered,
sh.600661,昂立教育,collected,covered,
sh.600662,外服控股,collected,covered,
sh.600663,陆家嘴,collected,covered,
sh.600664,哈药股份,collected,covered,
sh.600665,天地源,collected,covered,
sh.600666,奥瑞德,collected,covered,
sh.600667,太极实业,collected,covered,
sh.600668,尖峰集团,collected,covered,
sh.600671,天目药业,collected,covered,
sh.600673,东阳光,collected,covered,
sh.600674,川投能源,collected,covered,
sh.600675,中华企业,collected,covered,
sh.600676,久事动娱,collected,covered,
sh.600678,ST金顶,collected,covered,
sh.600679,上海凤凰,collected,covered,
sh.600681,百川能源,collected,covered,
sh.600682,南京新百,collected,covered,
sh.600683,京投发展,collected,covered,
sh.600684,珠江股份,collected,covered,
sh.600685,中船防务,collected,covered,
sh.600686,金龙汽车,collected,covered,
sh.600688,上海石化,collected,covered,
sh.600689,上海三毛,collected,covered,
sh.600690,海尔智家,collected,covered,
sh.600691,潞化科技,collected,covered,
sh.600692,亚通股份,collected,covered,
sh.600693,东百集团,collected,covered,
sh.600694,大商股份,collected,covered,
sh.600696,退市岩石,collected,covered,
sh.600697,欧亚集团,collected,covered,
sh.600698,湖南天雁,collected,covered,
sh.600699,均胜电子,collected,covered,
sh.600702,舍得酒业,collected,covered,
sh.600703,三安光电,collected,covered,
sh.600704,物产中大,collected,covered,
sh.600705,中航产融,collected,covered,
sh.600706,曲江文旅,collected,covered,
sh.600707,彩虹股份,collected,covered,
sh.600708,光明地产,collected,covered,
sh.600710,苏美达,collected,covered,
sh.600711,盛屯矿业,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600712,南宁百货,collected,covered,
sh.600713,南京医药,collected,covered,
sh.600714,金瑞矿业,collected,covered,
sh.600715,文投控股,collected,covered,
sh.600716,凤凰股份,collected,covered,
sh.600717,天津港,collected,covered,
sh.600718,东软集团,collected,covered,
sh.600719,大连热电,collected,covered,
sh.600720,中交设计,collected,covered,
sh.600721,百花医药,collected,covered,
sh.600722,金牛化工,collected,covered,
sh.600724,宁波富达,collected,covered,
sh.600725,云维股份,collected,covered,
sh.600726,华电能源,collected,covered,
sh.600727,鲁北化工,collected,covered,
sh.600728,佳都科技,collected,covered,
sh.600729,重百集团,collected,covered,
sh.600730,*ST高科,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600731,湖南海利,collected,covered,
sh.600732,爱旭股份,collected,covered,
sh.600733,北汽蓝谷,collected,covered,
sh.600734,*ST实达,collected,covered,
sh.600735,ST新华锦,collected,covered,
sh.600736,苏州高新,collected,covered,
sh.600737,中粮糖业,collected,covered,
sh.600738,丽尚国潮,collected,covered,
sh.600739,辽宁成大,collected,covered,
sh.600740,山西焦化,collected,covered,
sh.600741,华域汽车,collected,covered,
sh.600742,富维股份,collected,covered,
sh.600743,华远控股,collected,covered,
sh.600744,华银电力,collected,covered,
sh.600745,*ST闻泰,collected,covered,
sh.600746,江苏索普,collected,covered,
sh.600748,上实发展,collected,covered,
sh.600749,西藏旅游,collected,covered,
sh.600750,华润江中,collected,covered,
sh.600751,海航科技,collected,covered,
sh.600753,ST海钦,collected,covered,
sh.600754,锦江酒店,collected,covered,
sh.600755,厦门国贸,collected,covered,
sh.600756,浪潮软件,collected,covered,
sh.600757,长江传媒,collected,covered,
sh.600758,辽宁能源,collected,covered,
sh.600759,ST洲际,collected,covered,
sh.600760,中航沈飞,collected,covered,
sh.600761,安徽合力,collected,covered,
sh.600763,通策医疗,collected,covered,
sh.600764,中国海防,collected,covered,
sh.600765,中航重机,collected,covered,
sh.600766,退市园城,collected,covered,
sh.600768,富邦新材,collected,covered,
sh.600769,祥龙电业,collected,covered,
sh.600770,综艺股份,collected,covered,
sh.600771,广誉远,collected,covered,
sh.600773,西藏城投,collected,covered,
sh.600774,汉商集团,collected,covered,
sh.600775,南京熊猫,collected,covered,
sh.600776,东方通信,collected,covered,
sh.600777,新潮能源,collected,covered,
sh.600778,友好集团,collected,covered,
sh.600779,水井坊,collected,covered,
sh.600780,通宝能源,collected,covered,
sh.600782,新钢股份,collected,covered,
sh.600783,鲁信创投,collected,covered,
sh.600784,鲁银投资,collected,covered,
sh.600785,新华百货,collected,covered,
sh.600787,中储股份,collected,covered,
sh.600789,鲁抗医药,collected,covered,
sh.600790,轻纺城,collected,covered,
sh.600791,京能置业,collected,covered,
sh.600792,云煤能源,collected,covered,
sh.600793,宜宾纸业,collected,covered,
sh.600794,保税科技,collected,covered,
sh.600795,国电电力,collected,covered,
sh.600796,钱江生化,collected,covered,
sh.600797,浙大网新,collected,covered,
sh.600798,宁波海运,collected,covered,
sh.600800,渤海化学,collected,covered,
sh.600801,华新建材,collected,covered,
sh.600802,福建水泥,collected,covered,
sh.600803,新奥股份,collected,covered,
sh.600804,退市鹏博,collected,covered,
sh.600805,悦达投资,collected,covered,
sh.600807,济高发展,collected,covered,
sh.600808,马钢股份,collected,covered,
sh.600809,山西汾酒,collected,covered,
sh.600810,神马股份,collected,covered,
sh.600811,*ST东方,collected,covered,
sh.600812,华北制药,collected,covered,
sh.600814,杭州解百,collected,covered,
sh.600815,厦工股份,collected,covered,
sh.600816,建元信托,collected,covered,
sh.600817,宇通重工,collected,covered,
sh.600818,ST中路,collected,covered,
sh.600819,耀皮玻璃,collected,covered,
sh.600820,隧道股份,collected,covered,
sh.600821,金开新能,collected,covered,
sh.600822,上海物贸,collected,covered,
sh.600823,*ST世茂,collected,covered,
sh.600824,益民集团,collected,covered,
sh.600825,新华传媒,collected,covered,
sh.600826,兰生股份,collected,covered,
sh.600827,百联股份,collected,covered,
sh.600828,茂业商业,collected,covered,
sh.600829,人民同泰,collected,covered,
sh.600830,香溢融通,collected,covered,
sh.600831,广电网络,collected,covered,
sh.600833,第一医药,collected,covered,
sh.600834,申通地铁,collected,covered,
sh.600835,上海机电,collected,covered,
sh.600836,*ST易连,collected,covered,
sh.600837,海通证券,collected,covered,
sh.600838,上海九百,collected,covered,
sh.600839,四川长虹,collected,covered,
sh.600841,动力新科,collected,covered,
sh.600843,上工申贝,collected,covered,
sh.600844,金煤科技,collected,covered,
sh.600845,宝信软件,collected,covered,
sh.600846,同济科技,collected,covered,
sh.600847,万里股份,collected,covered,
sh.600848,上海临港,collected,covered,
sh.600850,电科数字,collected,covered,
sh.600851,海欣股份,collected,covered,
sh.600853,龙建股份,collected,covered,
sh.600854,春兰股份,collected,covered,
sh.600855,航天长峰,collected,covered,
sh.600857,宁波中百,collected,covered,
sh.600858,银座股份,collected,covered,
sh.600859,王府井,collected,covered,
sh.600860,京城股份,collected,covered,
sh.600861,北京人力,collected,covered,
sh.600862,中航高科,collected,covered,
sh.600863,华能蒙电,collected,covered,
sh.600864,哈投股份,collected,covered,
sh.600865,百大集团,collected,covered,
sh.600866,星湖科技,collected,covered,
sh.600867,通化东宝,collected,covered,
sh.600868,梅雁吉祥,collected,covered,
sh.600869,远东股份,collected,covered,
sh.600871,石化油服,collected,covered,
sh.600872,中炬高新,collected,covered,
sh.600873,梅花生物,collected,covered,
sh.600874,创业环保,collected,covered,
sh.600875,东方电气,collected,covered,
sh.600876,凯盛新能,collected,covered,
sh.600877,电科芯片,collected,covered,
sh.600879,航天电子,collected,covered,
