event_key,asset_old,venue_old,symbol_old,timeframe_min_old,entry_time_old,exit_time_old,censored_old,net_r_old,mfe_r_old,net_return_old,exit_reason_old,asset_new,venue_new,symbol_new,timeframe_min_new,entry_time_new,exit_time_new,censored_new,net_r_new,mfe_r_new,net_return_new,exit_reason_new,_merge,tail_status
binance_240m_85f117057f0cb245:6504:1,ZEC,binance,ZECUSDT,240,2026-08-18 04:00:00+00:00,2026-08-22 04:00:00+00:00,False,10.335131535498094,19.259768849752383,0.3679762898516645,trailing_stop,ZEC,binance,ZECUSDT,240,2026-08-18 04:00:00+00:00,2026-08-22 04:00:00+00:00,False,11.649385800770528,19.259768849752383,0.4147695412772127,trailing_stop,both,retained
binance_240m_9221ed9b6d2b00f6:2265:1,CKB,binance,CKBUSDT,240,2024-09-10 16:00:00+00:00,2024-10-01 12:00:00+00:00,False,12.464477412902138,19.30655109184863,0.8664472769409035,trailing_stop,CKB,binance,CKBUSDT,240,2024-09-10 16:00:00+00:00,2024-09-21 00:00:00+00:00,False,13.716852808801454,19.30655109184863,0.95350405561993,trailing_stop_gap,both,retained
binance_240m_9f360d5da09b3f0f:848:1,ALPINE,binance,ALPINEUSDT,240,2025-09-25 00:00:00+00:00,2025-09-27 12:00:00+00:00,False,14.564584038694058,24.763603385731525,1.1422932334392335,trailing_stop,ALPINE,binance,ALPINEUSDT,240,2025-09-25 00:00:00+00:00,2025-09-27 12:00:00+00:00,False,15.49747400241836,24.763603385731525,1.2154593389918915,trailing_stop,both,retained
binance_240m_ab188c930cd2584e:1149:1,FF,binance,FFUSDT,240,2026-04-09 08:00:00+00:00,2026-04-11 00:00:00+00:00,False,10.496160000000048,35.898181818181975,0.3965985160758452,trailing_stop,FF,binance,FFUSDT,240,2026-04-09 08:00:00+00:00,2026-04-10 20:00:00+00:00,False,22.52161454545464,35.898181818181975,0.8509815883484475,trailing_stop_gap,both,retained
binance_240m_beb8267322ddef20:1512:1,M,binance,MUSDT,240,2026-03-16 16:00:00+00:00,2026-04-18 12:00:00+00:00,False,11.193503538377794,17.15949918345128,1.2640601217188174,trailing_stop,M,binance,MUSDT,240,2026-03-16 16:00:00+00:00,2026-03-25 16:00:00+00:00,False,3.2228992923244424,6.602612955906369,0.3639556156636134,trailing_stop_gap,both,lost
binance_240m_c910184a083ccd35:2605:1,LQTY,binance,LQTYUSDT,240,2024-11-06 08:00:00+00:00,2024-12-09 20:00:00+00:00,False,12.369460410557194,19.411534701857295,1.4027223145992689,trailing_stop,LQTY,binance,LQTYUSDT,240,2024-11-06 08:00:00+00:00,2024-11-10 16:00:00+00:00,False,2.071317693059628,4.7575757575757605,0.2348916971510917,trailing_stop_gap,both,lost
binance_240m_d81a4dafc078a820:2605:1,ALGO,binance,ALGOUSDT,240,2024-11-06 08:00:00+00:00,2024-11-26 08:00:00+00:00,False,15.15235565819862,24.1108545034642,1.0907680798004993,trailing_stop,ALGO,binance,ALGOUSDT,240,2024-11-06 08:00:00+00:00,2024-11-26 08:00:00+00:00,False,15.610785219399544,24.1108545034642,1.1237689110556943,trailing_stop,both,retained
binance_240m_daf5eaf8f01a2cbf:1189:1,BLESS,binance,BLESSUSDT,240,2026-04-09 20:00:00+00:00,2026-04-14 00:00:00+00:00,False,15.2576346381969,33.52194543297743,2.0075208365849853,trailing_stop,BLESS,binance,BLESSUSDT,240,2026-04-09 20:00:00+00:00,2026-04-14 00:00:00+00:00,False,21.06546381969155,33.52194543297743,2.771685031996254,trailing_stop,both,retained
binance_240m_f3bd857c5448c141:2605:1,LRC,binance,LRCUSDT,240,2024-11-06 08:00:00+00:00,2024-12-09 20:00:00+00:00,False,11.57082462977398,16.43725643024163,1.2053725235466066,trailing_stop,LRC,binance,LRCUSDT,240,2024-11-06 08:00:00+00:00,2024-11-17 20:00:00+00:00,False,3.8459610288386616,7.109119251753706,0.4006469632997727,trailing_stop,both,lost
binance_240m_f519afbd1fb3d3b5:2605:1,DASH,binance,DASHUSDT,240,2024-11-06 08:00:00+00:00,2024-12-09 20:00:00+00:00,False,19.801527777777817,33.868055555555614,1.2451615720524023,trailing_stop,DASH,binance,DASHUSDT,240,2024-11-06 08:00:00+00:00,2024-11-12 08:00:00+00:00,False,1.2945833333333372,2.8263888888888937,0.081406113537118,trailing_stop,both,lost
binance_240m_f6dabe2ff52e5b5c:4079:1,XTZ,binance,XTZUSDT,240,2025-07-10 00:00:00+00:00,2025-07-24 04:00:00+00:00,False,9.743434343434322,22.08754208754204,0.5167499999999998,trailing_stop,XTZ,binance,XTZUSDT,240,2025-07-10 00:00:00+00:00,2025-07-22 00:00:00+00:00,False,13.830976430976406,22.08754208754204,0.7335357142857144,trailing_stop,both,gained
binance_30m_01c998d3f7929cd5:10329:1,BIO,binance,BIOUSDT,30,2025-08-06 17:30:00+00:00,2025-08-09 00:30:00+00:00,False,24.299222929936388,34.133757961783544,0.6346661121277659,trailing_stop,BIO,binance,BIOUSDT,30,2025-08-06 17:30:00+00:00,2025-08-07 22:30:00+00:00,False,17.636802547770763,29.159235668789904,0.4606518050241226,trailing_stop,both,retained
binance_30m_03286464f6bac3f3:16536:1,VELVET,binance,VELVETUSDT,30,2026-06-24 22:00:00+00:00,2026-06-29 04:30:00+00:00,False,42.314263345195805,59.98220640569404,2.4536335121749904,trailing_stop,VELVET,binance,VELVETUSDT,30,2026-06-24 22:00:00+00:00,2026-06-26 14:30:00+00:00,False,3.0758291814946706,6.117437722419938,0.1783549319026003,trailing_stop,both,lost
binance_30m_06e11a180bb76f64:13637:1,EUL,binance,EULUSDT,30,2026-07-24 17:30:00+00:00,2026-07-27 08:30:00+00:00,False,27.388145214521465,54.326732673267344,0.8139081992938408,trailing_stop,EUL,binance,EULUSDT,30,2026-07-24 17:30:00+00:00,2026-07-25 04:30:00+00:00,False,5.249531353135313,9.478547854785475,0.1560031384856806,trailing_stop,both,lost
binance_30m_08e7c7fcbf25e590:21970:1,CRV,binance,CRVUSDT,30,2024-11-29 17:30:00+00:00,2024-12-05 01:00:00+00:00,False,20.408629032258027,28.991935483870915,0.949594746716698,trailing_stop,CRV,binance,CRVUSDT,30,2024-11-29 17:30:00+00:00,2024-12-01 01:00:00+00:00,False,5.122338709677408,8.225806451612886,0.2383377110694182,trailing_stop,both,lost
binance_30m_0b6fcd490ca388ac:22415:1,DOOD,binance,DOODUSDT,30,2026-08-19 13:30:00+00:00,2026-08-22 05:00:00+00:00,False,9.845642857142847,13.9642857142857,0.237448751076658,trailing_stop,DOOD,binance,DOODUSDT,30,2026-08-19 13:30:00+00:00,2026-08-22 05:00:00+00:00,False,10.667071428571418,13.9642857142857,0.2572592592592593,trailing_stop,both,gained
binance_30m_0db03baa0236334e:16039:1,ASTER,binance,ASTERUSDT,30,2026-08-19 16:00:00+00:00,2026-08-21 17:00:00+00:00,False,12.634454545454684,21.500000000000203,0.1375348837209304,trailing_stop,ASTER,binance,ASTERUSDT,30,2026-08-19 16:00:00+00:00,2026-08-20 12:30:00+00:00,False,5.740515151515233,11.1818181818183,0.0624895266369787,trailing_stop,both,lost
binance_30m_0de60721a7664b2f:981:1,BROCCOLIF3B,binance,BROCCOLIF3BUSDT,30,2025-04-10 20:30:00+00:00,2025-04-12 22:00:00+00:00,False,21.505793322734466,43.03974562798085,0.9375619628500138,trailing_stop,BROCCOLIF3B,binance,BROCCOLIF3BUSDT,30,2025-04-10 20:30:00+00:00,2025-04-11 10:30:00+00:00,False,2.278448330683615,4.883942766295702,0.0993307457721095,trailing_stop,both,lost
binance_30m_0f1035d8987b9127:50996:1,COTI,binance,COTIUSDT,30,2026-07-27 10:30:00+00:00,2026-07-30 09:00:00+00:00,False,36.2142829268292,63.18536585365843,0.9851284501061568,trailing_stop,COTI,binance,COTIUSDT,30,2026-07-27 10:30:00+00:00,2026-07-27 21:00:00+00:00,False,13.05330731707315,22.25853658536582,0.3550859872611465,trailing_stop,both,retained
binance_30m_101d6a0bd6165058:8984:1,ZEREBRO,binance,ZEREBROUSDT,30,2025-07-08 18:30:00+00:00,2025-07-10 01:30:00+00:00,False,8.543225806451588,16.935483870967694,0.3369970059880238,trailing_stop,ZEREBRO,binance,ZEREBROUSDT,30,2025-07-08 18:30:00+00:00,2025-07-10 01:30:00+00:00,False,10.639999999999969,16.935483870967694,0.4197065868263472,trailing_stop,both,gained
binance_30m_118aa1c6d1bb278a:5258:1,TRUMP,binance,TRUMPUSDT,30,2025-05-08 02:30:00+00:00,2025-05-11 00:00:00+00:00,False,10.945330798479093,15.441064638783276,0.2572724997765663,trailing_stop,TRUMP,binance,TRUMPUSDT,30,2025-05-08 02:30:00+00:00,2025-05-10 08:30:00+00:00,False,11.336965779467686,15.441064638783276,0.2664779694342658,trailing_stop,both,retained
binance_30m_15ad45b508699c2e:52111:1,THETA,binance,THETAUSDT,30,2026-08-19 16:00:00+00:00,2026-08-22 05:00:00+00:00,False,11.41348717948722,15.43589743589749,0.3097606123869172,trailing_stop,THETA,binance,THETAUSDT,30,2026-08-19 16:00:00+00:00,2026-08-22 05:00:00+00:00,False,11.82374358974364,15.43589743589749,0.3208949199721644,trailing_stop,both,retained
binance_30m_17576fd0c03f21bd:8612:1,SPX,binance,SPXUSDT,30,2025-06-07 23:30:00+00:00,2025-06-11 22:00:00+00:00,False,12.91850000000004,17.984939759036198,0.3720133576199149,trailing_stop,SPX,binance,SPXUSDT,30,2025-06-07 23:30:00+00:00,2025-06-10 08:00:00+00:00,False,5.999825301204838,8.92469879518075,0.1727766501864862,trailing_stop,both,lost
binance_30m_17d0a8199322c17b:10132:1,SPORTFUN,binance,SPORTFUNUSDT,30,2026-08-15 16:30:00+00:00,2026-08-16 00:00:00+00:00,False,7.91187755102039,29.36734693877545,0.1795655396016673,trailing_stop,SPORTFUN,binance,SPORTFUNUSDT,30,2026-08-15 16:30:00+00:00,2026-08-15 21:00:00+00:00,False,13.769020408163248,23.693877551020364,0.3124974525243169,trailing_stop,both,gained
binance_30m_18a033ee291c479c:29617:1,DODOX,binance,DODOXUSDT,30,2025-05-08 01:00:00+00:00,2025-05-11 08:30:00+00:00,False,13.504896186440666,17.8739406779661,0.279030444964871,trailing_stop,DODOX,binance,DODOXUSDT,30,2025-05-08 01:00:00+00:00,2025-05-09 09:00:00+00:00,False,6.758074152542363,10.92055084745762,0.1396314649040249,trailing_stop,both,lost
binance_30m_18a033ee291c479c:45348:1,DODOX,binance,DODOXUSDT,30,2026-03-31 18:30:00+00:00,2026-04-01 14:30:00+00:00,False,8.818370656370641,20.50965250965246,0.1628955138720491,trailing_stop,DODOX,binance,DODOXUSDT,30,2026-03-31 18:30:00+00:00,2026-04-01 14:30:00+00:00,False,11.447714285714248,20.50965250965246,0.2114655160116965,trailing_stop,both,gained
binance_30m_191460eb6e155a43:8012:1,EDGE,binance,EDGEUSDT,30,2026-09-02 12:30:00+00:00,2026-09-06 15:00:00+00:00,False,17.671822580645216,25.903225806451683,0.5696142448661297,trailing_stop,EDGE,binance,EDGEUSDT,30,2026-09-02 12:30:00+00:00,2026-09-03 01:00:00+00:00,False,3.9137580645161423,7.282258064516148,0.1261518066025475,trailing_stop,both,lost
binance_30m_19d25bae53a81654:10869:1,B2,binance,B2USDT,30,2025-12-19 00:30:00+00:00,2025-12-21 08:30:00+00:00,False,12.526000000000048,20.178082191780906,0.2997043592264832,trailing_stop,B2,binance,B2USDT,30,2025-12-19 00:30:00+00:00,2025-12-21 08:30:00+00:00,False,13.073945205479502,20.178082191780906,0.3128148148148149,trailing_stop,both,retained
binance_30m_1de78107a9012917:46470:1,APE,binance,APEUSDT,30,2026-04-24 03:30:00+00:00,2026-04-24 20:30:00+00:00,False,13.608611111111143,48.11111111111122,0.4688133971291868,trailing_stop,APE,binance,APEUSDT,30,2026-04-24 03:30:00+00:00,2026-04-24 17:00:00+00:00,False,15.025277777777807,24.972222222222275,0.5176172248803828,trailing_stop,both,retained
binance_30m_20328c4054849e23:11217:1,NEIRO,binance,NEIROUSDT,30,2025-05-08 04:30:00+00:00,2025-05-12 15:00:00+00:00,False,14.773576158940388,21.622516556291377,0.8201507352941175,trailing_stop,NEIRO,binance,NEIROUSDT,30,2025-05-08 04:30:00+00:00,2025-05-10 03:00:00+00:00,False,8.722251655629133,12.615894039735092,0.4842132352941175,trailing_stop,both,lost
binance_30m_221031cc9526d9f3:10626:1,XPL,binance,XPLUSDT,30,2026-03-31 19:00:00+00:00,2026-04-02 21:00:00+00:00,False,9.593703703703731,19.60317460317465,0.3903573735199142,trailing_stop,XPL,binance,XPLUSDT,30,2026-03-31 19:00:00+00:00,2026-04-02 21:00:00+00:00,False,13.270952380952416,19.60317460317465,0.5399806243272338,trailing_stop,both,gained
binance_30m_22a8979e2c29faeb:47006:1,GALA,binance,GALAUSDT,30,2026-05-05 07:30:00+00:00,2026-05-08 16:00:00+00:00,False,10.86096,17.573333333333334,0.2534449284380833,trailing_stop,GALA,binance,GALAUSDT,30,2026-05-05 07:30:00+00:00,2026-05-05 22:00:00+00:00,False,3.4209600000000076,5.906666666666672,0.0798294959551961,trailing_stop,both,lost
binance_30m_236ddea7f7921940:51420:1,CTSI,binance,CTSIUSDT,30,2026-08-05 06:30:00+00:00,2026-08-06 23:30:00+00:00,False,28.18933333333351,59.500000000000355,0.3915185185185186,trailing_stop,CTSI,binance,CTSIUSDT,30,2026-08-05 06:30:00+00:00,2026-08-06 10:30:00+00:00,False,30.156000000000187,49.16666666666696,0.4188333333333334,trailing_stop,both,retained
binance_30m_29119272de7aac8c:4638:1,KGEN,binance,KGENUSDT,30,2026-01-12 06:00:00+00:00,2026-01-16 16:30:00+00:00,False,24.981622047244223,38.49212598425217,0.3120552768761679,trailing_stop,KGEN,binance,KGENUSDT,30,2026-01-12 06:00:00+00:00,2026-01-13 10:00:00+00:00,False,1.2808346456692994,4.318897637795301,0.0159994098554145,trailing_stop,both,lost
binance_30m_2af09605ecc52ffd:32327:1,LSK,binance,LSKUSDT,30,2025-11-29 02:30:00+00:00,2025-12-01 04:00:00+00:00,False,12.828610567514742,23.835616438356283,0.3684890387858348,trailing_stop,LSK,binance,LSKUSDT,30,2025-11-29 02:30:00+00:00,2025-11-29 08:30:00+00:00,False,4.568336594911963,9.334637964774997,0.1312209106239461,trailing_stop,both,lost
binance_30m_2ddcfa656de14e6e:3743:1,DEEP,binance,DEEPUSDT,30,2025-07-09 08:30:00+00:00,2025-07-11 21:00:00+00:00,False,9.721150442477947,14.194690265486823,0.1514114403859408,trailing_stop,DEEP,binance,DEEPUSDT,30,2025-07-09 08:30:00+00:00,2025-07-11 16:30:00+00:00,False,10.619380530973531,14.194690265486823,0.1654017918676775,trailing_stop,both,gained
binance_30m_2e167c2a6a2cd24d:11491:1,ALPACA,binance,ALPACAUSDT,30,2025-04-18 20:30:00+00:00,2025-04-21 14:00:00+00:00,False,10.353451851851904,29.851851851852,0.4448491406747297,trailing_stop,ALPACA,binance,ALPACAUSDT,30,2025-04-18 20:30:00+00:00,2025-04-19 18:00:00+00:00,False,7.886785185185227,15.85185185185193,0.3388656906429028,trailing_stop,both,lost
binance_30m_2f9ade18c2b746f7:7115:1,GWEI,binance,GWEIUSDT,30,2026-06-26 11:30:00+00:00,2026-06-29 15:30:00+00:00,False,13.76390588235293,29.011764705882324,0.4616937647987371,trailing_stop,GWEI,binance,GWEIUSDT,30,2026-06-26 11:30:00+00:00,2026-06-29 15:30:00+00:00,False,16.399199999999986,29.011764705882324,0.5500915548539858,trailing_stop,both,retained
binance_30m_335e840deb5aaa02:22111:1,TRX,binance,TRXUSDT,30,2024-12-02 16:00:00+00:00,2024-12-04 14:00:00+00:00,False,26.280291666666734,41.34375000000009,0.7114799774393685,trailing_stop,TRX,binance,TRXUSDT,30,2024-12-02 16:00:00+00:00,2024-12-03 13:30:00+00:00,False,2.908763888888894,5.803819444444455,0.0787482609513066,trailing_stop,both,lost
binance_30m_3379473ab6a97d7b:8707:1,BERA,binance,BERAUSDT,30,2025-08-07 01:00:00+00:00,2025-08-10 06:00:00+00:00,False,10.33982683982688,13.506493506493568,0.130876712328767,trailing_stop,BERA,binance,BERAUSDT,30,2025-08-07 01:00:00+00:00,2025-08-10 06:00:00+00:00,False,10.686147186147236,13.506493506493568,0.1352602739726027,trailing_stop,both,retained
binance_30m_34f8c7bf56fa61ee:29237:1,USUAL,binance,USUALUSDT,30,2026-08-19 16:00:00+00:00,2026-08-22 05:00:00+00:00,False,10.19220640569395,15.270462633451956,0.3184002223457476,trailing_stop,USUAL,binance,USUALUSDT,30,2026-08-19 16:00:00+00:00,2026-08-22 05:00:00+00:00,False,10.608576512455514,15.270462633451956,0.3314074485825458,trailing_stop,both,retained
binance_30m_35093bdef7bce91f:33972:1,LINK,binance,LINKUSDT,30,2025-08-06 18:30:00+00:00,2025-08-10 14:00:00+00:00,False,15.277872340425528,20.847517730496456,0.2561450653983352,trailing_stop,LINK,binance,LINKUSDT,30,2025-08-06 18:30:00+00:00,2025-08-10 12:00:00+00:00,False,15.905531914893627,20.847517730496456,0.2666682520808563,trailing_stop,both,retained
binance_30m_38bbb9cc62660a37:32377:1,TWT,binance,TWTUSDT,30,2025-09-08 03:30:00+00:00,2025-09-13 13:30:00+00:00,False,10.815945945945996,13.378378378378445,0.1094911080711353,trailing_stop,TWT,binance,TWTUSDT,30,2025-09-08 03:30:00+00:00,2025-09-11 05:00:00+00:00,False,3.1943243243243495,5.905405405405445,0.0323365253077976,trailing_stop,both,lost
binance_30m_38e61c096bf09bcd:32583:1,JASMY,binance,JASMYUSDT,30,2025-07-08 20:00:00+00:00,2025-07-11 22:00:00+00:00,False,10.870030612244886,16.010204081632654,0.174105254555855,trailing_stop,JASMY,binance,JASMYUSDT,30,2025-07-08 20:00:00+00:00,2025-07-11 07:00:00+00:00,False,11.961867346938767,16.010204081632654,0.1915932009479446,trailing_stop,both,retained
binance_30m_3ac12dcb94585468:32567:1,OP,binance,OPUSDT,30,2025-07-08 12:00:00+00:00,2025-07-11 22:00:00+00:00,False,10.252165492957822,13.952464788732494,0.2146021743136172,trailing_stop,OP,binance,OPUSDT,30,2025-07-08 12:00:00+00:00,2025-07-11 21:30:00+00:00,False,10.737200704225426,13.952464788732494,0.2247551133222776,trailing_stop,both,retained
binance_30m_3ac12dcb94585468:33999:1,OP,binance,OPUSDT,30,2025-08-07 08:00:00+00:00,2025-08-10 06:00:00+00:00,False,11.42762993762999,15.062370062370114,0.1633246174416878,trailing_stop,OP,binance,OPUSDT,30,2025-08-07 08:00:00+00:00,2025-08-07 16:30:00+00:00,False,1.0679625779625903,3.419958419958426,0.0152634081117219,trailing_stop,both,lost
binance_30m_3c80f4668c5cb2e5:40394:1,MOVR,binance,MOVRUSDT,30,2026-04-16 02:00:00+00:00,2026-04-17 08:30:00+00:00,False,50.11042424242438,91.39393939393962,1.3466156351791536,trailing_stop,MOVR,binance,MOVRUSDT,30,2026-04-16 02:00:00+00:00,2026-04-16 13:30:00+00:00,False,3.807393939393956,7.303030303030324,0.1023159609120523,trailing_stop,both,lost
binance_30m_3dd223bcc6440067:4721:1,SPACE,binance,SPACEUSDT,30,2026-05-01 21:00:00+00:00,2026-05-03 02:00:00+00:00,False,7.309197916666649,23.84374999999996,0.2058626962006746,trailing_stop,SPACE,binance,SPACEUSDT,30,2026-05-01 21:00:00+00:00,2026-05-03 02:00:00+00:00,False,13.866489583333308,23.84374999999996,0.3905480416605544,trailing_stop,both,gained
binance_30m_3dd223bcc6440067:924:1,SPACE,binance,SPACEUSDT,30,2026-02-11 18:30:00+00:00,2026-02-15 08:00:00+00:00,False,24.93162790697679,43.30620155038768,1.3345145228215771,trailing_stop,SPACE,binance,SPACEUSDT,30,2026-02-11 18:30:00+00:00,2026-02-12 06:00:00+00:00,False,0.5285271317829487,2.79069767441861,0.0282904564315353,trailing_stop,both,lost
binance_30m_3e54709f8c1fa4ec:19955:1,HOT,binance,HOTUSDT,30,2024-10-18 18:00:00+00:00,2024-10-21 06:30:00+00:00,False,11.59771689497702,27.397260273972268,0.1582492211838004,trailing_stop,HOT,binance,HOTUSDT,30,2024-10-18 18:00:00+00:00,2024-10-20 15:00:00+00:00,False,2.1319634703195987,4.885844748858384,0.0290903426791275,trailing_stop,both,lost
binance_30m_3e900eb70935143d:30490:1,BIGTIME,binance,BIGTIMEUSDT,30,2025-07-08 20:00:00+00:00,2025-07-11 22:00:00+00:00,False,9.611726283048132,13.888024883359153,0.1204040522111824,trailing_stop,BIGTIME,binance,BIGTIMEUSDT,30,2025-07-08 20:00:00+00:00,2025-07-11 07:00:00+00:00,False,10.24936236391905,13.576982892690417,0.1283915838690823,trailing_stop,both,gained
binance_30m_3edf676b8252566f:7612:1,ATH,binance,ATHUSDT,30,2025-09-08 06:30:00+00:00,2025-09-09 00:30:00+00:00,False,25.71125799573538,51.257995735607224,0.3926597199609247,trailing_stop,ATH,binance,ATHUSDT,30,2025-09-08 06:30:00+00:00,2025-09-08 22:00:00+00:00,False,33.89249466950929,51.257995735607224,0.5176027352653858,trailing_stop,both,retained
binance_30m_3f6ed979b19a84ba:14100:1,KDA,binance,KDAUSDT,30,2025-07-09 08:00:00+00:00,2025-07-11 22:00:00+00:00,False,9.723648881239376,15.47332185886423,0.1475820271682342,trailing_stop,KDA,binance,KDAUSDT,30,2025-07-09 08:00:00+00:00,2025-07-11 21:30:00+00:00,False,10.785611015490677,15.47332185886423,0.163700104493208,trailing_stop,both,gained
binance_30m_4158666b29c2b6a0:52109:1,1000PEPE,binance,1000PEPEUSDT,30,2026-08-19 15:00:00+00:00,2026-08-22 05:00:00+00:00,False,20.22201574803143,30.11338582677156,0.4843824971708788,trailing_stop,1000PEPE,binance,1000PEPEUSDT,30,2026-08-19 15:00:00+00:00,2026-08-21 19:00:00+00:00,False,16.943275590551128,22.77795275590545,0.4058460958129006,trailing_stop,both,retained
binance_30m_41776d1f1d3bd3d2:52013:1,AAVE,binance,AAVEUSDT,30,2026-08-17 15:00:00+00:00,2026-08-22 05:00:00+00:00,False,19.512100628930952,25.97484276729578,0.3530295857988166,trailing_stop,AAVE,binance,AAVEUSDT,30,2026-08-17 15:00:00+00:00,2026-08-22 05:00:00+00:00,False,19.839144654088187,25.97484276729578,0.3589467455621302,trailing_stop,both,retained
binance_30m_470a4762e22671a8:33204:1,HMSTR,binance,HMSTRUSDT,30,2026-08-19 07:00:00+00:00,2026-08-22 05:00:00+00:00,False,13.283130434782434,20.52173913043452,0.1751788990825686,trailing_stop,HMSTR,binance,HMSTRUSDT,30,2026-08-19 07:00:00+00:00,2026-08-20 05:30:00+00:00,False,0.6309565217391156,2.826086956521702,0.0083211009174311,trailing_stop,both,lost
