trade_id,candidate_id,side,signal_i,signal_time,entry_time,exit_time,exit_reason,pre_cross_path_efficiency_32,project_net_return,net_positive,training_eligible
v9_path_efficiency_lineage|development_continuous_2023_2024|49377|49378|short,pine-v9|short|49377|2023-06-01T23:45:00+00:00,short,49377,2023-06-01 23:45:00+00:00,2023-06-02 00:00:00+00:00,2023-06-02 02:15:00+00:00,stop,0.020050458106492995,-0.012226827159101282,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|49443|49444|long,pine-v9|long|49443|2023-06-02T16:15:00+00:00,long,49443,2023-06-02 16:15:00+00:00,2023-06-02 16:30:00+00:00,2023-06-05 03:15:00+00:00,stop,0.006410256410257567,-0.013160229769436425,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|50053|50054|short,pine-v9|short|50053|2023-06-09T00:45:00+00:00,short,50053,2023-06-09 00:45:00+00:00,2023-06-09 01:00:00+00:00,2023-06-19 18:30:00+00:00,reverse,0.056698165647582385,0.05462628387978441,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|51083|51084|long,pine-v9|long|51083|2023-06-19T18:15:00+00:00,long,51083,2023-06-19 18:15:00+00:00,2023-06-19 18:30:00+00:00,2023-06-19 18:45:00+00:00,stop,0.26094750320102233,-0.01836008277765011,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|51414|51415|long,pine-v9|long|51414|2023-06-23T05:00:00+00:00,long,51414,2023-06-23 05:00:00+00:00,2023-06-23 05:15:00+00:00,2023-06-23 13:45:00+00:00,stop,0.09684380900998185,-0.010895690850829752,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|51456|51457|long,pine-v9|long|51456|2023-06-23T15:30:00+00:00,long,51456,2023-06-23 15:30:00+00:00,2023-06-23 15:45:00+00:00,2023-06-23 16:15:00+00:00,stop,0.1365533691115059,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|51723|51724|short,pine-v9|short|51723|2023-06-26T10:15:00+00:00,short,51723,2023-06-26 10:15:00+00:00,2023-06-26 10:30:00+00:00,2023-06-26 13:45:00+00:00,stop,0.01423267326732772,-0.015134026651062669,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|51749|51750|short,pine-v9|short|51749|2023-06-26T16:45:00+00:00,short,51749,2023-06-26 16:45:00+00:00,2023-06-26 17:00:00+00:00,2023-06-27 14:00:00+00:00,stop,0.14377436367805366,-0.023192660550458655,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|52080|52081|long,pine-v9|long|52080|2023-06-30T03:30:00+00:00,long,52080,2023-06-30 03:30:00+00:00,2023-06-30 03:45:00+00:00,2023-06-30 06:00:00+00:00,stop,0.21449042760518208,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|52137|52138|long,pine-v9|long|52137|2023-06-30T17:45:00+00:00,long,52137,2023-06-30 17:45:00+00:00,2023-06-30 18:00:00+00:00,2023-07-02 22:30:00+00:00,stop,0.2562511243029332,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|52495|52496|long,pine-v9|long|52495|2023-07-04T11:15:00+00:00,long,52495,2023-07-04 11:15:00+00:00,2023-07-04 11:30:00+00:00,2023-07-04 19:00:00+00:00,stop,0.007374027038101723,-0.00916192693098927,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|52646|52647|short,pine-v9|short|52646|2023-07-06T01:00:00+00:00,short,52646,2023-07-06 01:00:00+00:00,2023-07-06 01:15:00+00:00,2023-07-06 05:30:00+00:00,stop,0.06073929327471095,-0.011238154259844755,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|52849|52850|short,pine-v9|short|52849|2023-07-08T03:45:00+00:00,short,52849,2023-07-08 03:45:00+00:00,2023-07-08 04:00:00+00:00,2023-07-09 12:30:00+00:00,stop,0.06636500754147993,-0.008737329957516192,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|53016|53017|long,pine-v9|long|53016|2023-07-09T21:30:00+00:00,long,53016,2023-07-09 21:30:00+00:00,2023-07-09 21:45:00+00:00,2023-07-09 22:30:00+00:00,reverse,0.02884781482121374,-0.005210290049705966,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|53019|53020|short,pine-v9|short|53019|2023-07-09T22:15:00+00:00,short,53019,2023-07-09 22:15:00+00:00,2023-07-09 22:30:00+00:00,2023-07-10 18:30:00+00:00,stop,0.017476406850751407,-0.01097482004734318,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|53150|53151|long,pine-v9|long|53150|2023-07-11T07:00:00+00:00,long,53150,2023-07-11 07:00:00+00:00,2023-07-11 07:15:00+00:00,2023-07-11 09:15:00+00:00,stop,0.23683566005387888,-0.009720921840922435,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|53683|53684|short,pine-v9|short|53683|2023-07-16T20:15:00+00:00,short,53683,2023-07-16 20:15:00+00:00,2023-07-16 20:30:00+00:00,2023-07-20 10:00:00+00:00,stop,0.06706586826347026,-0.0009999999999998881,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|54048|54049|short,pine-v9|short|54048|2023-07-20T15:30:00+00:00,short,54048,2023-07-20 15:30:00+00:00,2023-07-20 15:45:00+00:00,2023-07-23 17:45:00+00:00,stop,0.2468117029257308,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|54380|54381|short,pine-v9|short|54380|2023-07-24T02:30:00+00:00,short,54380,2023-07-24 02:30:00+00:00,2023-07-24 02:45:00+00:00,2023-07-26 18:00:00+00:00,stop,0.2637392241379308,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|55026|55027|short,pine-v9|short|55026|2023-07-30T20:00:00+00:00,short,55026,2023-07-30 20:00:00+00:00,2023-07-30 20:15:00+00:00,2023-07-31 00:30:00+00:00,stop,0.24779411764706288,-0.010942006396392976,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|55060|55061|short,pine-v9|short|55060|2023-07-31T04:30:00+00:00,short,55060,2023-07-31 04:30:00+00:00,2023-07-31 04:45:00+00:00,2023-08-01 23:00:00+00:00,stop,0.16434108527131822,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|55348|55349|short,pine-v9|short|55348|2023-08-03T04:30:00+00:00,short,55348,2023-08-03 04:30:00+00:00,2023-08-03 04:45:00+00:00,2023-08-03 14:45:00+00:00,stop,0.08419063615368307,-0.00834316178870642,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|55422|55423|short,pine-v9|short|55422|2023-08-03T23:00:00+00:00,short,55422,2023-08-03 23:00:00+00:00,2023-08-03 23:15:00+00:00,2023-08-08 05:15:00+00:00,stop,0.10927785748445767,-0.0009999999999999992,False,False
