candidate_id,side,signal_i,signal_time,features_available_at,earliest_entry_time,candidate_policy,pre_cross_path_efficiency_32,feature_contract,training_eligible
pine-v9|long|45944|2023-04-27T05:30:00+00:00,long,45944,2023-04-27 05:30:00+00:00,2023-04-27 05:45:00+00:00,2023-04-27 05:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.23138631235898635,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|46039|2023-04-28T05:15:00+00:00,long,46039,2023-04-28 05:15:00+00:00,2023-04-28 05:30:00+00:00,2023-04-28 05:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1428197064989535,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|46533|2023-05-03T08:45:00+00:00,long,46533,2023-05-03 08:45:00+00:00,2023-05-03 09:00:00+00:00,2023-05-03 09:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.10561444837063015,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|46569|2023-05-03T17:45:00+00:00,long,46569,2023-05-03 17:45:00+00:00,2023-05-03 18:00:00+00:00,2023-05-03 18:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1786598040186106,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|46698|2023-05-05T02:00:00+00:00,long,46698,2023-05-05 02:00:00+00:00,2023-05-05 02:15:00+00:00,2023-05-05 02:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.20821849160611197,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|46976|2023-05-07T23:30:00+00:00,short,46976,2023-05-07 23:30:00+00:00,2023-05-07 23:45:00+00:00,2023-05-07 23:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.09806819381399991,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|47049|2023-05-08T17:45:00+00:00,short,47049,2023-05-08 17:45:00+00:00,2023-05-08 18:00:00+00:00,2023-05-08 18:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.06266318537859006,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|47243|2023-05-10T18:15:00+00:00,short,47243,2023-05-10 18:15:00+00:00,2023-05-10 18:30:00+00:00,2023-05-10 18:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.10782454809758513,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|47659|2023-05-15T02:15:00+00:00,long,47659,2023-05-15 02:15:00+00:00,2023-05-15 02:30:00+00:00,2023-05-15 02:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.20699058006940702,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|47717|2023-05-15T16:45:00+00:00,long,47717,2023-05-15 16:45:00+00:00,2023-05-15 17:00:00+00:00,2023-05-15 17:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.03678714859437719,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|47973|2023-05-18T08:45:00+00:00,long,47973,2023-05-18 08:45:00+00:00,2023-05-18 09:00:00+00:00,2023-05-18 09:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1417127598703043,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|48813|2023-05-27T02:45:00+00:00,long,48813,2023-05-27 02:45:00+00:00,2023-05-27 03:00:00+00:00,2023-05-27 03:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.03266331658291862,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|49165|2023-05-30T18:45:00+00:00,long,49165,2023-05-30 18:45:00+00:00,2023-05-30 19:00:00+00:00,2023-05-30 19:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.011515430677107365,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|49377|2023-06-01T23:45:00+00:00,short,49377,2023-06-01 23:45:00+00:00,2023-06-02 00:00:00+00:00,2023-06-02 00:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.020050458106492995,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|49443|2023-06-02T16:15:00+00:00,long,49443,2023-06-02 16:15:00+00:00,2023-06-02 16:30:00+00:00,2023-06-02 16:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.006410256410257567,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|49647|2023-06-04T19:15:00+00:00,long,49647,2023-06-04 19:15:00+00:00,2023-06-04 19:30:00+00:00,2023-06-04 19:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.04152457372116286,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|50053|2023-06-09T00:45:00+00:00,short,50053,2023-06-09 00:45:00+00:00,2023-06-09 01:00:00+00:00,2023-06-09 01:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.056698165647582385,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|50693|2023-06-15T16:45:00+00:00,short,50693,2023-06-15 16:45:00+00:00,2023-06-15 17:00:00+00:00,2023-06-15 17:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.002172563625075629,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|51083|2023-06-19T18:15:00+00:00,long,51083,2023-06-19 18:15:00+00:00,2023-06-19 18:30:00+00:00,2023-06-19 18:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.26094750320102233,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|51174|2023-06-20T17:00:00+00:00,long,51174,2023-06-20 17:00:00+00:00,2023-06-20 17:15:00+00:00,2023-06-20 17:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.2915197055666316,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|51414|2023-06-23T05:00:00+00:00,long,51414,2023-06-23 05:00:00+00:00,2023-06-23 05:15:00+00:00,2023-06-23 05:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.09684380900998185,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|51456|2023-06-23T15:30:00+00:00,long,51456,2023-06-23 15:30:00+00:00,2023-06-23 15:45:00+00:00,2023-06-23 15:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1365533691115059,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|51723|2023-06-26T10:15:00+00:00,short,51723,2023-06-26 10:15:00+00:00,2023-06-26 10:30:00+00:00,2023-06-26 10:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.01423267326732772,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|51749|2023-06-26T16:45:00+00:00,short,51749,2023-06-26 16:45:00+00:00,2023-06-26 17:00:00+00:00,2023-06-26 17:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.14377436367805366,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|52080|2023-06-30T03:30:00+00:00,long,52080,2023-06-30 03:30:00+00:00,2023-06-30 03:45:00+00:00,2023-06-30 03:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.21449042760518208,pine_pre_cross_path_efficiency_32_v1,False
