visual_id,class_astra,reason_astra,reviewer_astra,class_luna,reason_luna,reviewer_luna
V0689,D,Compact six-line region with repeated wide swings and an older breakout,astra,D,compact lines with endpoint rise detached,budget-mapper-luna-max
V0690,N,Breakout occurred far earlier; fast pair already separates upward,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0691,D,Six-line convergence with exceptionally large alternating candles,astra,D,compact core with late rise detached,budget-mapper-luna-max
V0692,B,Fast pair below the other families during a sharp rebound,astra,D,compact lines with endpoint rise,budget-mapper-luna-max
V0693,N,Signal follows an old breakout and extended fast-pair separation,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0694,B,Fast pair below middle and slow families after a deep drop,astra,N,widely separated lines with fast/slow split,budget-mapper-luna-max
V0695,D,Recent compact bundle but rise started earlier with alternating candles,astra,D,compact core with endpoint spike,budget-mapper-luna-max
V0696,D,Recent convergence after a prior step upward with large choppy candles,astra,D,compact lines with late rise detached,budget-mapper-luna-max
V0769,B,Slow SMA remains isolated below the partial cluster,astra,D,compact core with endpoint rebound,budget-mapper-luna-max
V0770,B,Slow pair remains below the converging fast and middle families,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0771,B,Slow SMA isolated below the partial convergence,astra,B,fast/mid cluster with slow line below,budget-mapper-luna-max
V0772,D,Six-line convergence but repeated large alternating candles and long wicks,astra,D,compact lines with endpoint pullback,budget-mapper-luna-max
V0773,B,Middle SMA isolated below the partial cluster,astra,D,compact core with endpoint rise,budget-mapper-luna-max
V0774,B,Slow SMA flat and isolated below the other lines,astra,N,separated lines under rebound,budget-mapper-luna-max
V0775,N,Mature advance with fast pair detached above middle and slow lines,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0776,B,Fast pair below the central cluster during rebound,astra,B,fast lines below elevated slow cluster,budget-mapper-luna-max
