timeframe_min,arm,policy,period,baseline_closed,weeks,valid_bootstrap_draws,delta_win_rate,ci_low_win_rate,ci_high_win_rate,delta_mean_net_r,ci_low_mean_net_r,ci_high_mean_net_r,delta_mean_net_bp,ci_low_mean_net_bp,ci_high_mean_net_bp,delta_net_ge5r_rate,ci_low_net_ge5r_rate,ci_high_net_ge5r_rate,delta_net_ge10r_rate,ci_low_net_ge10r_rate,ci_high_net_ge10r_rate,treated_closed
15,joint,wait3,earlier,1323,5,2000.0,-0.01180296634334388,-0.026879371955177783,-0.0010748387741838505,0.10789150878375331,-0.11564883263996886,0.3281461950292216,6.893638901858381,-8.689146353535207,20.468223603310925,-0.0023491283404161734,-0.018948304755983345,0.00960849550539961,0.0007280820416082356,-0.006218436045362236,0.005845376228608784,1279
15,joint,retest,earlier,1323,5,2000.0,0.11148904006046861,0.03817587641117051,0.20475719110282986,0.19716819819681863,-0.03027497985794897,0.4258867490517936,138.07235611088416,8.373481124824146,312.06008610506785,-0.015589569160997734,-0.0439965483234714,0.013087452051770292,-0.0033068783068783067,-0.02048192771084337,0.00901361227688439,168
15,joint,wait3,later,1411,5,2000.0,-0.01229608248220948,-0.030866300142103675,-0.00236756739428301,-0.03154037658638237,-0.11525030851170565,0.02777867303533743,0.7308235983109554,-9.337060480894916,6.063626672041323,-0.0015846658973661318,-0.004057351163663063,0.0030403265723211864,-0.00025864414544727113,-0.0020727671577501377,0.0005614422460520647,1318
15,joint,retest,later,1411,5,2000.0,0.03975056719664449,-0.008407841850545494,0.07613002364724346,0.04618434765573934,-0.19839713697934394,0.1748303210168059,-24.991027989477573,-71.12793371080971,-0.662840668307726,-0.0016848749047243365,-0.012047877216416543,0.0050492622061812445,-0.007087172218284904,-0.013582342954159592,-0.0015710919088766694,159
15,joint,wait3,cross_split,2,1,,,,,,,,,,,,,,,,,2
15,joint,retest,cross_split,2,1,,,,,,,,,,,,,,,,,0
60,v9_both,wait3,all,1281,10,2000.0,-0.011455970971295248,-0.02275561744430792,-0.0008431108790367291,-0.09463887535480622,-0.27550178746620746,0.004967527478399551,-8.314028216876473,-20.54418202253788,3.7710526568792653,-0.0026979910087536613,-0.01820516762446107,0.007849897768716337,-0.003033697117802607,-0.011987390849768752,0.0020956452383560265,1265
60,v9_both,retest,all,1281,10,2000.0,0.038251366120218566,-0.06776955119555839,0.1357355633655515,-0.12004878704073785,-0.29478184591536044,0.06296529601142759,-43.8250085308708,-205.0879459454595,147.31744466562117,-0.020296643247462918,-0.036664322846007145,-0.0016131306941364854,-0.004683840749414521,-0.018867924528301886,0.013598520070586404,183
60,v9_both,wait3,earlier,767,5,2000.0,-0.012722813471729544,-0.024586028844441776,0.0025848964883988246,-0.1487911369824762,-0.45940490157987623,0.008459641397705386,-12.049133276775706,-28.411261082273185,5.994558649204141,-0.005627819384224589,-0.030963577576893303,0.009510869565217388,-0.005274080362767789,-0.021053582723411943,0.0034265634619986187,774
60,v9_both,retest,earlier,767,5,2000.0,0.08061529696624409,-0.023534445870774523,0.17132711939636036,-0.1608818998080731,-0.41279939301371193,0.04000668924442999,-24.42716357012702,-243.9496555045949,161.61507319919616,-0.03404073493804302,-0.057711373959558235,-0.023312883435582823,-0.011734028683181226,-0.03212290502793296,0.0,119
60,v9_both,wait3,later,505,5,2000.0,-0.013084918450351257,-0.03594771241830064,0.0052556410295162,-0.035267760088863925,-0.11911831911481878,0.020203132520358713,-11.001371926193457,-23.50926053555216,-0.2938470329142994,0.0006614354381496244,-0.008506648299200257,0.012277985986638422,0.0002834723306355527,7.7332910362358e-05,0.00118331018161239,482
60,v9_both,retest,later,505,5,1999.0,-0.07292157787207293,-0.14993840847499385,0.08381171067738233,-0.14500740681869648,-0.283848118356086,0.542048630622559,-142.74679841049897,-253.50219491599614,214.28918182138966,0.0020116297344020106,-0.014005602240896359,0.07607655502392345,0.009932421813609931,-0.005988023952095809,0.09043062200956939,63
60,v9_both,wait3,cross_split,9,2,2000.0,-0.1111111111111111,-0.125,0.0,-0.082062545526008,-0.10088184727824157,0.06849186849186767,-73.28682602683051,-93.80413195655558,90.85162141097004,0.0,0.0,0.0,0.0,0.0,0.0,9
60,v9_both,retest,cross_split,9,2,1499.0,0.5555555555555556,0.5,0.5555555555555556,-0.3594083383948372,-0.6888127356725464,-0.35940833839483677,1370.908326906843,1268.5516131431498,1370.908326906843,-0.1111111111111111,-0.125,-0.1111111111111111,-0.1111111111111111,-0.125,-0.1111111111111111,1
60,joint,wait3,all,656,10,2000.0,-0.007778298936835515,-0.025447580920567484,0.004094603808889519,-0.11395551719617492,-0.3695303627965458,0.046285053966742394,0.9571785683039309,-20.585481089876318,24.42533157903715,-0.009771732332707943,-0.0304007781853469,0.006276114735567676,-0.0023452157598499064,-0.012081822748745235,0.004105375363845611,624
60,joint,retest,all,656,10,2000.0,0.015163671373555843,-0.11398859804791478,0.111959514109694,-0.08348795911341278,-0.33687468112548313,0.1919159339099376,-20.44208898816268,-357.75476174744307,215.35879316573642,-0.019977535301668806,-0.049319642253012955,0.02331655310296718,0.009547496790757379,-0.007936507936507936,0.04803822231139644,76
60,joint,wait3,earlier,402,5,2000.0,-0.004280920976512781,-0.01992179243288944,0.007618825722273959,-0.1628680359229473,-0.6061733284139494,0.07197096863982905,4.212951308752224,-25.201840824783467,36.83804030572246,-0.009930965328396768,-0.044053862508858954,0.018986420067717627,-0.0044930386825562125,-0.020609496810772503,0.005837020122734409,387
60,joint,retest,earlier,402,5,2000.0,0.056281094527363185,-0.13875502008032126,0.15908824563459512,-0.2611678840553534,-0.7442991900179576,-0.04976079638145846,-3.3555187940741575,-558.043499650466,175.86044161670947,-0.056281094527363185,-0.12115024826084189,-0.01652892561983471,-0.017412935323383085,-0.043103292991837884,0.0,48
60,joint,wait3,later,253,5,2000.0,-0.01592751390098479,-0.05910165484633573,0.0011531808571977886,-0.07357784635411896,-0.2774714324885247,0.027033884949708736,-10.869182499380557,-36.04363059938817,33.55008304280015,-0.010718831647350439,-0.03178621659634318,-0.002585006959634123,0.0008541568968982397,0.00029672807838896417,0.002804199569274947,236
60,joint,retest,later,253,5,1999.0,-0.08607817303469478,-0.1892029539088363,-0.01529790660225444,-0.14990411435189238,-0.41332775546051626,1.1995977664688535,-144.59834578081166,-360.85051401938006,498.13531500045684,0.009369052847313715,-0.029411764705882353,0.17592592592592593,0.02517932952715561,-0.01282051282051282,0.2037037037037037,27
60,joint,wait3,cross_split,1,1,,,,,,,,,,,,,,,,,1
60,joint,retest,cross_split,1,1,,,,,,,,,,,,,,,,,1
