timeframe_min,arm,policy,group,taken,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,random_coverage,random_mean_net_bp,paired_target_mean_net_bp,random_win_rate,random_mean_net_r,random_ge5r
15,v9_both,retest,ETHUSDT,1,1,1,0,0.0,1.0,0.2065493117918027,1.0,1.0,0.6854263728576455,0.6854263728576455,0.6854263728576455,103.58404296369099,123.58404296369099,,0.6854263728576455,,0.6854263728576455,0.6854263728576455,0.0,81.0,81.0,151.123515326429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,,,,,0.0,,,,,0
15,v9_both,retest,week:2026-07-20,37,37,11,26,0.0,0.2972972972972973,0.1748947857415188,0.45783136041313083,0.2972972972972973,-0.17245712112108513,-6.38091348148015,-0.841736585365854,-87.7570469066703,-67.75704690667027,0.7188361127989673,1.483066137817118,-0.8728708075949403,5.168717948717923,-1.2239999999999918,13.249413621335934,24.5,20.5,256.497175141242,27.0,16.0,0.0,1.0,0.0,15.0,23.0,0.0,37.0,16.0,26.0,0.0,24.0,7.0,13.0,0.0,21.0,5.0,10.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.02702702702702703,1,0.02702702702702703,0,0.0,4,1,-13.24286433326251,,,,,0.10810810810810811,92.05381086365574,78.81094653039325,0.5,0.40145046113723204,0
15,v9_both,retest,week:2026-07-27,84,84,36,48,0.0,0.42857142857142855,0.32815977363904136,0.5352304733715857,0.42857142857142855,0.05506770589251478,4.625687294971241,-0.5079709709709688,18.58892810755091,38.58892810755094,1.104923343652014,1.3531121586143084,-0.9184656336488303,4.387799999999999,-1.2456190476190334,17.418778199554524,21.81547619047619,18.125,256.31073489443696,63.0,32.0,0.0,0.0,0.0,27.0,43.0,0.0,81.0,29.0,45.0,1.0,61.0,12.0,25.0,0.0,50.0,7.0,16.0,0.0,35.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.023809523809523808,0,0.0,0,0.0,20,1,-84.85420608494972,,,,,0.23809523809523808,123.98362091927609,39.129414834326376,0.35,0.13366384652611762,1
15,v9_both,retest,week:2026-08-03,111,111,39,72,0.0,0.35135135135135137,0.26887011891433643,0.4437772096596597,0.36936936936936937,0.06448837660179137,7.158209802798842,-0.779555555555559,-13.18837459582248,6.81162540417752,1.1032887061283936,1.960542004567965,-0.9625406718798862,15.550262295082002,-1.600869565217407,44.80399846718165,23.73198198198198,16.0,222.098833981122,87.0,55.0,2.0,1.0,1.0,50.0,66.0,0.0,111.0,55.0,72.0,0.0,71.0,23.0,32.0,0.0,57.0,11.0,18.0,0.0,34.0,1.0,2.0,0.0,22.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,0.06306306306306306,1,0.009009009009009009,1,0.009009009009009009,16,1,-150.89538588170456,,,,,0.14414414414414414,-12.406964219427678,-163.30235010113225,0.3125,-0.19759956698062137,0
15,v9_both,retest,week:2026-08-10,87,87,21,66,0.0,0.2413793103448276,0.16364163106111868,0.34098983837837776,0.26436781609195403,0.5822609752863641,50.65670484991368,-0.8569230769230778,280.27501503137836,300.2750150313783,1.883913598121695,5.1412510014759905,-0.8683267603194258,34.76084999999998,-1.533669902912633,9.862211959961293,22.229885057471265,17.75,291.033597260861,59.0,40.0,2.0,5.0,3.0,35.0,58.0,2.0,85.0,39.0,64.0,0.0,59.0,20.0,38.0,0.0,40.0,9.0,19.0,0.0,23.0,2.0,3.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7,0.08045977011494253,5,0.05747126436781609,3,0.034482758620689655,15,1,-175.24981836323076,,,,,0.1724137931034483,2078.7186171448557,1903.468798781625,0.4,4.426514997182471,2
15,v9_both,retest,week:2026-08-17,78,78,28,50,0.0,0.358974358974359,0.2614556188104964,0.46973196874327505,0.358974358974359,0.4950800431949129,38.616243369203204,-0.8783574542284247,146.5295463149549,166.5295463149549,1.763394248642211,3.1857561327741784,-1.0116985669694756,21.281953488371823,-1.22098701298701,29.503204817825676,22.708333333333332,14.0,251.69033783390552,64.0,38.0,0.0,4.0,1.0,32.0,44.0,0.0,77.0,37.0,49.0,0.0,51.0,17.0,23.0,0.0,35.0,8.0,8.0,0.0,26.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9,0.11538461538461539,4,0.05128205128205128,1,0.01282051282051282,15,1,424.6058254161852,,,,,0.19230769230769232,-64.05601472969035,360.5498106864948,0.2,-0.1514108588363498,1
15,v9_both,retest,week:2026-08-24,130,130,24,106,0.0,0.18461538461538463,0.12731639174756093,0.2600184394371036,0.18461538461538463,-0.48177711661910716,-62.63102516048393,-1.0416621348621355,-181.23923808725735,-161.23923808725732,0.3573338541771517,1.450998687079266,-0.9193867325508142,5.318376811594195,-1.142459016393439,66.99334475081821,18.126923076923077,11.375,331.23041999566294,92.0,75.0,0.0,1.0,0.0,61.0,88.0,0.0,129.0,74.0,105.0,0.0,64.0,21.0,40.0,0.0,43.0,7.0,19.0,0.0,20.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.03076923076923077,1,0.007692307692307693,0,0.0,27,1,24.04813344121988,,,,,0.2076923076923077,-132.8838244502032,-108.8356910089833,0.14814814814814814,-0.46760070352399136,1
15,v9_both,retest,week:2026-08-31,85,85,35,50,0.0,0.4117647058823529,0.31317005433688727,0.5179898546866465,0.4235294117647059,-0.02914607671466082,-2.4774165207461696,-0.5798235294117615,14.299837480838553,34.299837480838534,0.9441846845041219,1.197387038329374,-0.8877192572454853,8.141999999999998,-1.1657582417582448,22.355648554183563,25.655882352941177,20.5,279.247501469724,56.0,31.0,1.0,1.0,0.0,24.0,42.0,1.0,83.0,29.0,48.0,0.0,55.0,12.0,20.0,0.0,44.0,4.0,9.0,0.0,33.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.011764705882352941,1,0.011764705882352941,0,0.0,15,1,200.37390132725486,,,,,0.17647058823529413,85.87430225009778,286.2482035773526,0.4666666666666667,0.23913473175480973,0
15,v9_both,retest,week:2026-09-07,68,68,25,43,0.0,0.36764705882352944,0.26300465062057743,0.48644364455197076,0.38235294117647056,0.025293169932667964,1.7199355554214215,-0.7853259259259268,4.18172642398182,24.181726423981807,1.0435239085820205,1.649478580187963,-0.9190006732390154,4.292985507246356,-1.2231333333333383,30.90244558084334,22.863970588235293,17.875,330.845432418172,49.0,31.0,1.0,0.0,0.0,23.0,34.0,0.0,65.0,29.0,40.0,0.0,44.0,11.0,19.0,0.0,33.0,4.0,9.0,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.029411764705882353,0,0.0,0,0.0,13,1,-115.34620234515836,,,,,0.19117647058823528,112.37671790507589,-2.969484440082451,0.38461538461538464,0.6697206761511597,1
15,v9_both,retest,week:2026-09-14,77,76,29,47,0.0,0.3815789473684211,0.2805707668110639,0.4939824508754836,0.39473684210526316,0.21457850826852004,16.307966628407524,-0.6057864583333327,11.276586650920143,31.276586650920148,1.3933122490515943,1.9921076320645819,-0.8821947808822415,6.700414414414417,-1.166243243243236,17.629960799611574,25.213815789473685,26.375,321.216462913863,58.0,32.0,2.0,1.0,0.0,28.0,43.0,1.0,76.0,32.0,47.0,0.0,57.0,17.0,28.0,0.0,45.0,9.0,16.0,0.0,29.0,1.0,2.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.06578947368421052,1,0.013157894736842105,0,0.0,9,1,-108.06273522280672,,,,,0.11842105263157894,3.6556008539794442,-104.4071343688273,0.5555555555555556,0.16277630524281028,0
15,v9_both,retest,week:2026-09-21,38,20,5,15,0.0,0.25,0.11186170069997625,0.46870087939258864,0.25,-0.5637203374855839,-11.274406749711678,-1.0306221188940556,-177.33600072308212,-157.33600072308212,0.25217608129175284,0.7603757092826522,-1.0050856864083293,1.3969017341040524,-1.4516024909185192,11.334328700931199,12.6625,9.0,357.931318132567,14.0,11.0,0.0,0.0,0.0,9.0,12.0,0.0,19.0,11.0,14.0,0.0,11.0,4.0,6.0,0.0,7.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,4,1,-520.0742644985662,,,,,0.2,141.70433556364873,-378.36992893491754,0.75,0.5837617606409393,0
15,joint,baseline,long,2789,2736,749,1987,0.0,0.2737573099415205,0.25737563291444526,0.2907734046924652,0.28362573099415206,0.02418725193242265,66.17632128710837,-1.0759034749034755,-4.975603852947959,15.024396147052043,1.0319400867849045,2.8545601265185625,-1.042722301698689,78.61485477178441,-2.0886936416184967,442.03496747148876,12.612481725146198,7.25,174.47428147147053,2461.0,1739.0,30.0,89.0,38.0,1390.0,1633.0,64.0,2649.0,1653.0,1900.0,17.0,1745.0,791.0,996.0,4.0,1326.0,447.0,578.0,6.0,877.0,126.0,148.0,2.0,580.0,34.0,34.0,2.0,283.0,8.0,8.0,0.0,88.0,1.0,1.0,0.0,177,0.06469298245614036,89,0.03252923976608187,38,0.013888888888888888,2697,10,-10.051954056730834,0.7333984375,-37.22726096019171,17.584945992346604,0.0009765625,0.9857456140350878,6.244530438545801,-3.8074236181850285,0.292918057100482,0.21330830136341172,131
15,joint,baseline,short,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,,,,,,,,,,,0
15,joint,baseline,BTCUSDT,6,6,2,4,0.0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,0.11271073659938546,0.6762644195963128,-0.9601520821547134,-2.835991447016833,17.164008552983166,1.1532397320664884,2.5446892510976404,-1.103278520649742,2.982345952023945,-1.2729645603477084,2.4826216572084574,12.916666666666666,16.625,93.183449373533,5.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,3.0,4.0,0.0,5.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,6,4,78.98524730319633,0.1875,-19.9834610456515,128.46960147762024,0.0625,1.0,-81.82123875021317,-2.83599144701683,0.0,-1.2449723411782245,0
15,joint,baseline,ETHUSDT,7,7,2,5,0.0,0.2857142857142857,0.08221892324928332,0.6410655504689458,0.2857142857142857,-0.537661477360805,-3.7636303415256354,-1.20117722534082,-10.42325384025243,9.57674615974757,0.4497113601412152,1.537872306786654,-1.3678749910197885,1.9064750483559143,-2.0886936416184967,4.4689281645407295,11.964285714285714,9.5,89.320850852302,6.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,4.0,5.0,0.0,5.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,7,6,18.398104087593428,0.4375,-60.752046753549976,147.536434632996,0.015625,1.0,-28.82135792784586,-10.423253840252427,0.42857142857142855,-0.4788900251624297,0
15,joint,baseline,week:2026-07-20,114,114,23,91,0.0,0.20175438596491227,0.1383706417318612,0.2845828701684139,0.22807017543859648,-0.4603638827677035,-52.4814826355182,-1.084315789473683,-78.99902878663555,-58.99902878663554,0.43842128470816827,1.7813909882758618,-1.0269612677567366,7.703235294117652,-1.682975609756126,73.9099718842415,11.971491228070175,8.5,161.04035695091846,103.0,80.0,3.0,2.0,0.0,61.0,71.0,6.0,111.0,77.0,88.0,0.0,71.0,40.0,48.0,0.0,57.0,28.0,34.0,0.0,38.0,13.0,15.0,0.0,22.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,0.02631578947368421,2,0.017543859649122806,0,0.0,114,1,-30.41187342104238,,,,,1.0,-48.58715536559316,-78.99902878663553,0.2807017543859649,-0.025438560484701726,2
15,joint,baseline,week:2026-07-27,278,278,61,217,0.0,0.21942446043165467,0.1747810406075483,0.27171628941903603,0.23381294964028776,-0.2636534876025286,-73.29566955350295,-1.0950022947925877,-27.251476577175342,-7.251476577175345,0.6816744023757844,2.5730836454471233,-1.0610772899805414,49.35325405405423,-1.480000000000005,131.31456179500455,10.726618705035971,7.625,162.7969845937605,254.0,196.0,5.0,6.0,1.0,155.0,176.0,1.0,264.0,182.0,203.0,2.0,170.0,91.0,109.0,0.0,119.0,44.0,58.0,1.0,70.0,9.0,11.0,1.0,40.0,3.0,3.0,1.0,23.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,14,0.050359712230215826,6,0.02158273381294964,1,0.0035971223021582736,278,1,25.662058923110585,,,,,1.0,-52.91353550028593,-27.251476577175357,0.19784172661870503,-0.5101737020455803,5
15,joint,baseline,week:2026-08-03,427,427,154,273,0.0,0.36065573770491804,0.3165388777431259,0.40725743399300524,0.3747072599531616,0.13567930543807302,57.93506342205718,-1.045995807127882,20.872273572670675,40.87227357267068,1.1993843138262121,2.2630186988579326,-1.064358301106463,22.482898550724496,-2.0237500000000224,110.09092542619284,16.125878220140514,9.75,142.237222757953,380.0,234.0,6.0,12.0,5.0,174.0,213.0,12.0,415.0,222.0,261.0,1.0,297.0,114.0,143.0,0.0,235.0,64.0,81.0,1.0,176.0,24.0,27.0,0.0,128.0,7.0,7.0,1.0,58.0,2.0,2.0,0.0,13.0,0.0,0.0,0.0,26,0.06088992974238876,12,0.02810304449648712,5,0.0117096018735363,427,1,-9.835178862850379,,,,,1.0,30.707452435521066,20.87227357267068,0.3255269320843091,0.38313318461448065,26
15,joint,baseline,week:2026-08-10,259,259,64,195,0.0,0.2471042471042471,0.19852499742445584,0.30307569921769006,0.26640926640926643,0.008082367656887796,2.093333223133939,-1.069021276595746,17.722791529872683,37.72279152987268,1.0104407526271715,3.1654644440728177,-1.0281866215257762,78.61485477178441,-2.0886936416184967,77.36401794299961,11.83011583011583,7.0,175.87939698492298,225.0,163.0,5.0,5.0,4.0,125.0,156.0,10.0,249.0,154.0,185.0,4.0,170.0,82.0,106.0,1.0,129.0,50.0,65.0,1.0,83.0,17.0,20.0,1.0,48.0,6.0,6.0,0.0,18.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,8,0.03088803088803089,5,0.019305019305019305,4,0.015444015444015444,259,1,50.99758724859624,,,,,1.0,-33.274795718723574,17.72279152987265,0.2548262548262548,-0.21391863210223153,6
15,joint,baseline,week:2026-08-17,247,247,86,161,0.0,0.3481781376518219,0.2915033016346774,0.40950306176918183,0.3562753036437247,1.6832203148345415,415.7554177641317,-1.0545539906103276,189.17971278888908,209.17971278888908,3.4410558939984504,6.814805563770729,-1.0578749113052857,41.86333333333372,-1.7064705882352778,77.18561849869283,16.024291497975707,8.75,176.014711677394,227.0,143.0,3.0,35.0,18.0,114.0,131.0,4.0,237.0,133.0,151.0,1.0,166.0,66.0,80.0,0.0,128.0,36.0,42.0,1.0,95.0,9.0,11.0,0.0,74.0,4.0,4.0,0.0,53.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,49,0.19838056680161945,35,0.1417004048582996,18,0.0728744939271255,247,1,-25.582551985516382,,,,,1.0,214.76226477440542,189.17971278888905,0.38866396761133604,2.5805182849130266,43
