timeframe_min,arm,policy,stage,reason,n
60,v9_both,retest,serial,cancel_raw_opposite,6
60,v9_both,retest,serial,pending_boundary,1
60,v9_both,retest,reached,breakout_i,1135
60,v9_both,retest,reached,retest_i,471
60,v9_both,retest,reached,confirmation_i,206
60,joint,baseline,outcome,closed,656
60,joint,baseline,outcome,censored_boundary,33
60,joint,baseline,serial,closed,656
60,joint,baseline,serial,censored_boundary,33
60,joint,baseline,reached,breakout_i,0
60,joint,baseline,reached,retest_i,0
60,joint,baseline,reached,confirmation_i,0
60,joint,wait3,outcome,closed,625
60,joint,wait3,outcome,censored_boundary,37
60,joint,wait3,outcome,cancel_stop,26
60,joint,wait3,outcome,delayed_risk_invalid,1
60,joint,wait3,serial,closed,624
60,joint,wait3,serial,censored_boundary,37
60,joint,wait3,serial,cancel_stop,26
60,joint,wait3,serial,skipped_in_position,1
60,joint,wait3,serial,delayed_risk_invalid,1
60,joint,wait3,reached,breakout_i,0
60,joint,wait3,reached,retest_i,0
60,joint,wait3,reached,confirmation_i,663
60,joint,retest,outcome,cancel_lost_level,323
60,joint,retest,outcome,expired,140
60,joint,retest,outcome,cancel_stop_touch,135
60,joint,retest,outcome,closed,76
60,joint,retest,outcome,censored_boundary,12
60,joint,retest,outcome,cancel_raw_opposite,3
60,joint,retest,serial,cancel_lost_level,323
60,joint,retest,serial,expired,140
60,joint,retest,serial,cancel_stop_touch,135
60,joint,retest,serial,closed,76
60,joint,retest,serial,censored_boundary,12
60,joint,retest,serial,cancel_raw_opposite,3
60,joint,retest,reached,breakout_i,489
60,joint,retest,reached,retest_i,215
60,joint,retest,reached,confirmation_i,88
