timeframe_min,arm,policy,period,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,target_request_mean_bp,random_request_mean_bp,target_filled,random_filled,requests_before_unresolved_filter
60,v9_both,wait3,all,1549,10,-53.406149460027414,0.8818359375,-119.36739827332197,22.891533063628653,0.0009765625,23.99477886783097,77.40092832785837,1489,1451,1615
60,v9_both,wait3,earlier,955,5,1.897387172557089,0.46875,-69.2599412368306,105.90698398092117,0.03125,114.63769907851503,112.74031190595795,927,904,962
60,v9_both,wait3,later,577,5,-145.63673746742785,0.96875,-203.11344722092193,-63.68416665482469,0.03125,-133.2776707738374,12.359066693590444,545,530,643
60,v9_both,wait3,cross_split,10,2,-169.75874174623544,0.75,-198.67279854210182,90.46776941656204,0.25,269.82007938462164,439.57882113085697,10,10,10
60,v9_both,retest,all,1584,10,-28.516156519381926,0.919921875,-54.24074677714737,9.337995518124139,0.0009765625,0.517105037331332,29.03326155671326,189,244,1615
60,v9_both,retest,earlier,964,5,-18.38543797987531,0.8125,-58.17238480279484,36.10954348532081,0.03125,17.832310233658767,36.21774821353407,125,162,969
60,v9_both,retest,later,612,5,-48.18557093419934,1.0,-57.97191282402795,-27.811284540246934,0.03125,-29.731197411624372,18.454373522574972,63,78,643
60,v9_both,retest,cross_split,3,1,244.37633956292697,,,,,608.0800432666314,363.7037037037043,1,1,3
60,joint,baseline,all,651,10,-51.90035947345087,0.7734375,-173.97599486655116,74.3943239176092,0.0009765625,137.6757974950999,189.57615696855078,651,651,689
60,joint,baseline,earlier,398,5,17.799816650798004,0.5,-156.9657788641648,170.5993067522341,0.03125,240.76168178922876,222.96186513843074,398,398,402
60,joint,baseline,later,248,5,-174.90917615673536,1.0,-213.4881807549764,-158.48403629564152,0.03125,-46.00643804579276,128.90273811094258,248,248,286
60,joint,baseline,cross_split,1,1,-36.98258584514197,,,,,2406.928793053999,2443.911378899141,1,1,1
60,joint,wait3,all,645,10,-50.457681732368144,0.7666015625,-182.36675985827748,78.18800983233652,0.0009765625,130.47641483967183,180.93409657203995,618,602,689
60,joint,wait3,earlier,398,5,26.131632654021054,0.4375,-165.0004748122718,175.93727620914294,0.03125,241.59019585007684,215.45856319605576,383,374,402
60,joint,wait3,later,242,5,-180.2395831799693,1.0,-230.860654467712,-136.45679378090458,0.03125,-61.41513760333397,118.82444557663528,230,223,286
60,joint,wait3,cross_split,1,1,29.377291208680933,,,,,2439.936106913736,2410.558815705055,1,1,1
60,joint,retest,all,670,10,2.4490249427162913,0.474609375,-61.27997056590862,70.13037497727079,0.0009765625,12.798812198301192,10.349787255584904,76,99,689
60,joint,retest,earlier,397,5,-0.6440246438726914,0.53125,-101.27790044724885,71.77169590626646,0.03125,22.67750260169953,23.321527245572216,47,57,402
60,joint,retest,later,267,5,-16.48596049175267,0.75,-41.85088793713615,36.861754735547166,0.03125,-20.061786247193577,-3.5758257554409068,27,39,286
60,joint,retest,cross_split,1,1,2316.09591203922,,,,,2316.09591203922,0.0,1,0,1
