venue,symbol,stock_class,size,sum
okx,TWLO-USDT-SWAP,stock_linked,4,-1.3105188389997373
okx,UNH-USDT-SWAP,stock_linked,1,-1.0869113680154106
okx,UNITREE-USDT-SWAP,stock_linked,1,-1.0572302839116705
okx,URNM-USDT-SWAP,stock_linked,2,1.424647135135135
okx,USAR-USDT-SWAP,stock_linked,3,-3.2689058602003165
okx,VRT-USDT-SWAP,stock_linked,2,-2.121333146547909
okx,WDC-USDT-SWAP,stock_linked,1,-1.018285422343324
okx,WEN-USDT-SWAP,stock_linked,1,-1.1129220779220768
okx,XBI-USDT-SWAP,stock_linked,2,-2.2148188859591293
okx,XLE-USDT-SWAP,stock_linked,2,0.6294493632504494
okx,ZHIPU-USDT-SWAP,stock_linked,2,-2.068605584979203
