pair_id,winner_event_key,control_event_key,eligible_count
P0048,binance_30m_34f8c7bf56fa61ee:29237:1,binance_30m_34f8c7bf56fa61ee:28537:1,5
P0049,binance_30m_35093bdef7bce91f:33972:1,binance_30m_35093bdef7bce91f:35538:1,3
P0050,binance_30m_38bbb9cc62660a37:32377:1,binance_30m_38bbb9cc62660a37:29431:1,2
P0051,binance_30m_38e61c096bf09bcd:32583:1,binance_30m_38e61c096bf09bcd:35537:1,1
P0052,binance_30m_3ac12dcb94585468:32567:1,binance_30m_3ac12dcb94585468:35537:1,4
P0053,binance_30m_3ac12dcb94585468:33999:1,binance_30m_3ac12dcb94585468:36617:1,3
P0054,binance_30m_3c80f4668c5cb2e5:40394:1,binance_30m_3c80f4668c5cb2e5:42079:1,3
P0055,binance_30m_3dd223bcc6440067:924:1,binance_30m_3dd223bcc6440067:1638:1,1
P0056,binance_30m_3e54709f8c1fa4ec:19955:1,binance_30m_3e54709f8c1fa4ec:19394:1,1
P0057,binance_30m_3edf676b8252566f:7612:1,,0
P0058,binance_30m_4158666b29c2b6a0:52109:1,binance_30m_4158666b29c2b6a0:53075:1,2
P0059,binance_30m_41776d1f1d3bd3d2:52013:1,,0
P0060,binance_30m_470a4762e22671a8:33204:1,binance_30m_470a4762e22671a8:33257:1,2
P0061,binance_30m_4a41ed99d4a87a80:21930:1,binance_30m_4a41ed99d4a87a80:22571:1,3
P0062,binance_30m_4a41ed99d4a87a80:52062:1,binance_30m_4a41ed99d4a87a80:50701:1,1
P0063,binance_30m_4e139d32e0417054:25497:1,binance_30m_4e139d32e0417054:26733:1,2
P0064,binance_30m_4feff0e371672997:6402:1,binance_30m_4feff0e371672997:7336:1,3
P0065,binance_30m_5012e393796339b9:10698:1,binance_30m_5012e393796339b9:14747:1,2
P0066,binance_30m_508b3973a11173c3:32567:1,binance_30m_508b3973a11173c3:36615:1,5
P0067,binance_30m_508b3973a11173c3:32603:1,binance_30m_508b3973a11173c3:35401:1,4
P0068,binance_30m_509754485664ea37:45312:1,binance_30m_509754485664ea37:43733:1,5
P0069,binance_30m_509754485664ea37:45324:1,binance_30m_509754485664ea37:43678:1,4
P0070,binance_30m_50fc9b3c644c2d85:18809:1,binance_30m_50fc9b3c644c2d85:16471:1,3
P0071,binance_30m_52157eee87dce5c8:5445:1,,0
P0072,binance_30m_52157eee87dce5c8:5466:1,,0
P0073,binance_30m_525e483bcf6b1639:13644:1,binance_30m_525e483bcf6b1639:12106:1,4
P0074,binance_30m_5372ade0fb270cb6:17614:1,binance_30m_5372ade0fb270cb6:17101:1,3
P0075,binance_30m_54988914cfaabd43:8879:1,binance_30m_54988914cfaabd43:6273:1,3
P0076,binance_30m_54988914cfaabd43:8893:1,binance_30m_54988914cfaabd43:6189:1,2
P0077,binance_30m_559d5f3ecee4dbdb:21245:1,binance_30m_559d5f3ecee4dbdb:21886:1,3
P0078,binance_30m_559d5f3ecee4dbdb:24196:1,binance_30m_559d5f3ecee4dbdb:27009:1,3
P0079,binance_30m_559d5f3ecee4dbdb:24219:1,binance_30m_559d5f3ecee4dbdb:25614:1,2
P0080,binance_30m_561fc195bd69e5ad:26182:1,binance_30m_561fc195bd69e5ad:28805:1,2
P0081,binance_30m_5626c48c3269d8bf:12706:1,binance_30m_5626c48c3269d8bf:10572:1,6
P0082,binance_30m_5626c48c3269d8bf:14930:1,binance_30m_5626c48c3269d8bf:14862:1,6
P0083,binance_30m_5626c48c3269d8bf:14962:1,binance_30m_5626c48c3269d8bf:16174:1,5
P0084,binance_30m_5626c48c3269d8bf:14985:1,binance_30m_5626c48c3269d8bf:14879:1,4
P0085,binance_30m_59d0ce0e23beb494:1137:1,binance_30m_59d0ce0e23beb494:2775:1,3
P0086,binance_30m_59d0ce0e23beb494:15179:1,binance_30m_59d0ce0e23beb494:16216:1,2
P0087,binance_30m_5cca3638095e7c23:11591:1,,0
P0088,binance_30m_652e9263389181fb:22210:1,binance_30m_652e9263389181fb:25471:1,1
P0089,binance_30m_652e9263389181fb:41697:1,binance_30m_652e9263389181fb:40271:1,1
P0090,binance_30m_696c0c0a3e5a23ef:12078:1,binance_30m_696c0c0a3e5a23ef:11215:1,2
P0091,binance_30m_697288c245ade915:49757:1,binance_30m_697288c245ade915:52112:1,1
P0092,binance_30m_697288c245ade915:49772:1,,0
P0093,binance_30m_6983c952bb73d8c2:18976:1,binance_30m_6983c952bb73d8c2:18918:1,4
P0094,binance_30m_6994ff11e3477e69:29253:1,binance_30m_6994ff11e3477e69:28386:1,4
P0095,binance_30m_6bebd440a31d52ba:3922:1,binance_30m_6bebd440a31d52ba:2072:1,3
P0096,binance_30m_6df84d5e72e7cab3:8187:1,binance_30m_6df84d5e72e7cab3:10279:1,1
P0097,binance_30m_6f0d465d44098a96:36653:1,,0
P0098,binance_30m_6f3ea426536b19d3:22071:1,binance_30m_6f3ea426536b19d3:21175:1,2
P0099,binance_30m_7112cca2f244226c:26993:1,binance_30m_7112cca2f244226c:27567:1,1
P0100,binance_30m_71ee8e254e92acd1:52105:1,,0
P0101,binance_30m_72355a9dc9b0fb15:11609:1,binance_30m_72355a9dc9b0fb15:12106:1,3
P0102,binance_30m_72a0f492421f12aa:4985:1,binance_30m_72a0f492421f12aa:5981:1,3
P0103,binance_30m_72e3b07f7885b04f:33283:1,binance_30m_72e3b07f7885b04f:35212:1,2
P0104,binance_30m_72e3b07f7885b04f:33291:1,binance_30m_72e3b07f7885b04f:35130:1,1
P0105,binance_30m_737df6230d32a67c:32583:1,,0
P0106,binance_30m_754b50fb6d69d1dd:28659:1,binance_30m_754b50fb6d69d1dd:29895:1,2
P0107,binance_30m_754b50fb6d69d1dd:28660:1,binance_30m_754b50fb6d69d1dd:30235:1,1
P0108,binance_30m_75c977b74c973505:52108:1,binance_30m_75c977b74c973505:51454:1,5
P0109,binance_30m_776082184f661029:52073:1,binance_30m_776082184f661029:50702:1,5
P0110,binance_30m_7997bbc4f887d3a5:23365:1,binance_30m_7997bbc4f887d3a5:26796:1,1
P0111,binance_30m_7a45c05822f546d7:19849:1,binance_30m_7a45c05822f546d7:19501:1,2
P0112,binance_30m_7a6ba8888a359cb1:13559:1,binance_30m_7a6ba8888a359cb1:14451:1,2
P0113,binance_30m_7a6ba8888a359cb1:13790:1,binance_30m_7a6ba8888a359cb1:13419:1,1
P0114,binance_30m_7a6f6140b6692cd0:29618:1,binance_30m_7a6f6140b6692cd0:31196:1,6
P0115,binance_30m_7af0c019861756e1:20309:1,binance_30m_7af0c019861756e1:23747:1,1
P0116,binance_30m_7af0c019861756e1:20331:1,,0
P0117,binance_30m_7babb309db46ad5c:52109:1,binance_30m_7babb309db46ad5c:51469:1,2
P0118,binance_30m_7d663dea375c96bc:2023:1,binance_30m_7d663dea375c96bc:3607:1,8
P0119,binance_30m_7ec91811cf3454c4:10871:1,binance_30m_7ec91811cf3454c4:11398:1,2
P0120,binance_30m_87e70569aa53b65c:4584:1,binance_30m_87e70569aa53b65c:6741:1,2
P0121,binance_30m_8abf745011ec4c00:11411:1,binance_30m_8abf745011ec4c00:11297:1,3
P0122,binance_30m_8abf745011ec4c00:5079:1,binance_30m_8abf745011ec4c00:3723:1,7
P0123,binance_30m_8b594df93701346b:25807:1,binance_30m_8b594df93701346b:28926:1,1
P0124,binance_30m_8b725b5d9ddcfba1:28588:1,binance_30m_8b725b5d9ddcfba1:27919:1,3
P0125,binance_30m_8b725b5d9ddcfba1:50228:1,binance_30m_8b725b5d9ddcfba1:51908:1,1
P0126,binance_30m_8c5fa87901325873:10765:1,binance_30m_8c5fa87901325873:13536:1,1
P0127,binance_30m_8ccaf44348579844:31323:1,,0
P0128,binance_30m_8cd253b6c0acd53b:21032:1,binance_30m_8cd253b6c0acd53b:19759:1,3
P0129,binance_30m_8cd253b6c0acd53b:4422:1,binance_30m_8cd253b6c0acd53b:6850:1,1
P0130,binance_30m_8e5af2276dff84b6:15487:1,binance_30m_8e5af2276dff84b6:17441:1,2
P0131,binance_30m_90e8bb902180c5d3:45346:1,binance_30m_90e8bb902180c5d3:44044:1,4
P0132,binance_30m_90e8bb902180c5d3:52053:1,binance_30m_90e8bb902180c5d3:50757:1,3
P0133,binance_30m_90e8bb902180c5d3:52083:1,,0
P0134,binance_30m_915d1f4a92a36c73:31295:1,binance_30m_915d1f4a92a36c73:31889:1,3
P0135,binance_30m_922d5c47edf5ffd3:15207:1,binance_30m_922d5c47edf5ffd3:18277:1,3
P0136,binance_30m_922d5c47edf5ffd3:34708:1,binance_30m_922d5c47edf5ffd3:34060:1,6
P0137,binance_30m_93ecb0e47b894867:1095:1,,0
P0138,binance_30m_945f5a836eff0a10:21516:1,binance_30m_945f5a836eff0a10:24505:1,1
P0139,binance_30m_955e5706f7db528b:24188:1,binance_30m_955e5706f7db528b:23577:1,1
P0140,binance_30m_955e5706f7db528b:24213:1,binance_30m_955e5706f7db528b:25537:1,3
P0141,binance_30m_9590178b9210ae87:8316:1,binance_30m_9590178b9210ae87:7711:1,2
P0142,binance_30m_992fcc2fdd81b1eb:52109:1,binance_30m_992fcc2fdd81b1eb:50773:1,2
P0143,binance_30m_9e5a9c9d47999cad:28766:1,,0
P0144,binance_30m_9f4020b1cf4bb33e:2447:1,,0
P0145,binance_30m_9fa69bba0bb3aad9:33968:1,binance_30m_9fa69bba0bb3aad9:35581:1,3
P0146,binance_30m_9fa69bba0bb3aad9:52097:1,binance_30m_9fa69bba0bb3aad9:51579:1,2
P0147,binance_30m_a3a291a0a1e80904:51989:1,binance_30m_a3a291a0a1e80904:53102:1,1
P0148,binance_30m_a47bed96e50c59cb:51904:1,binance_30m_a47bed96e50c59cb:50648:1,4
P0149,binance_30m_a4eefd9097db76cd:24011:1,binance_30m_a4eefd9097db76cd:24569:1,8
P0150,binance_30m_a4eefd9097db76cd:30425:1,binance_30m_a4eefd9097db76cd:27260:1,6
P0151,binance_30m_a5f8e2378e69e746:52092:1,,0
P0152,binance_30m_a79071ba1ad4d203:14551:1,,0
P0153,binance_30m_ab2ff7bb55c2525c:24791:1,binance_30m_ab2ff7bb55c2525c:24453:1,2
P0154,binance_30m_add2da30b26f6d3c:25371:1,binance_30m_add2da30b26f6d3c:27006:1,2
P0155,binance_30m_aec0ab7eddf969a3:37960:1,binance_30m_aec0ab7eddf969a3:36773:1,1
P0156,binance_30m_b0727bda4d9436bb:28975:1,binance_30m_b0727bda4d9436bb:30143:1,1
P0157,binance_30m_b0727bda4d9436bb:28987:1,,0
P0158,binance_30m_b1b2bb9e634c344f:32603:1,binance_30m_b1b2bb9e634c344f:36557:1,2
P0159,binance_30m_b1b2bb9e634c344f:32615:1,binance_30m_b1b2bb9e634c344f:34254:1,1
P0160,binance_30m_b1b2bb9e634c344f:52107:1,binance_30m_b1b2bb9e634c344f:51578:1,1
P0161,binance_30m_b2a66d257dbc41e4:43451:1,binance_30m_b2a66d257dbc41e4:45227:1,1
P0162,binance_30m_b45329642b8ba069:32605:1,binance_30m_b45329642b8ba069:36557:1,4
P0163,binance_30m_b45329642b8ba069:33996:1,binance_30m_b45329642b8ba069:36616:1,5
P0164,binance_30m_b45329642b8ba069:52052:1,binance_30m_b45329642b8ba069:51259:1,3
P0165,binance_30m_b63b0d10c3d61fb2:29623:1,binance_30m_b63b0d10c3d61fb2:30272:1,3
P0166,binance_30m_b64ef3b092c6b8f3:21840:1,,0
P0167,binance_30m_b987d2ee009c8805:52108:1,binance_30m_b987d2ee009c8805:51737:1,4
P0168,binance_30m_bb64e70fa6232678:32580:1,binance_30m_bb64e70fa6232678:36616:1,4
P0169,binance_30m_bb64e70fa6232678:32603:1,binance_30m_bb64e70fa6232678:34025:1,3
P0170,binance_30m_bb64e70fa6232678:32613:1,binance_30m_bb64e70fa6232678:35540:1,2
P0171,binance_30m_bb8c7cc118aca1d6:28732:1,binance_30m_bb8c7cc118aca1d6:29298:1,2
P0172,binance_30m_c239a68a92bd51d4:22222:1,binance_30m_c239a68a92bd51d4:22825:1,3
P0173,binance_30m_c5605f3ca4af54aa:13173:1,binance_30m_c5605f3ca4af54aa:15414:1,3
P0174,binance_30m_c58b4d745094b794:11463:1,binance_30m_c58b4d745094b794:10384:1,2
P0175,binance_30m_c6d56eb449a0b269:10617:1,,0
P0176,binance_30m_c6d56eb449a0b269:10631:1,,0
P0177,binance_30m_ceaae31e12bb13fb:9029:1,,0
P0178,binance_30m_ceaae31e12bb13fb:9089:1,binance_30m_ceaae31e12bb13fb:11707:1,2
P0179,binance_30m_cfec06e4c02a3f35:40823:1,,0
P0180,binance_30m_d49a3e8178d20e4e:21780:1,binance_30m_d49a3e8178d20e4e:24446:1,2
P0181,binance_30m_d69366faba0289ce:52063:1,binance_30m_d69366faba0289ce:50660:1,3
P0182,binance_30m_d69366faba0289ce:52087:1,binance_30m_d69366faba0289ce:52019:1,3
P0183,binance_30m_d69366faba0289ce:52101:1,binance_30m_d69366faba0289ce:51214:1,2
P0184,binance_30m_d93980321c597666:23732:1,binance_30m_d93980321c597666:25005:1,1
P0185,binance_30m_db8614b129d92f12:18705:1,binance_30m_db8614b129d92f12:19045:1,1
P0186,binance_30m_dd6217e4a2f79027:2730:1,binance_30m_dd6217e4a2f79027:3042:1,1
P0187,binance_30m_dd6520bf4cbae8cf:10104:1,binance_30m_dd6520bf4cbae8cf:12955:1,1
P0188,binance_30m_ddd25a308094e076:29618:1,binance_30m_ddd25a308094e076:30625:1,1
P0189,binance_30m_df5121d068f93285:44599:1,,0
P0190,binance_30m_e0c125a5952f12d0:32603:1,binance_30m_e0c125a5952f12d0:36616:1,5
P0191,binance_30m_e1a0b237a006a19a:19246:1,binance_30m_e1a0b237a006a19a:19132:1,5
P0192,binance_30m_e42f6852cc27612f:17027:1,binance_30m_e42f6852cc27612f:15527:1,2
P0193,binance_30m_e42f6852cc27612f:2648:1,binance_30m_e42f6852cc27612f:4039:1,2
P0194,binance_30m_e6187acd2d2a5b94:29268:1,binance_30m_e6187acd2d2a5b94:30531:1,2
P0195,binance_30m_e6b986577b20351a:32629:1,binance_30m_e6b986577b20351a:35276:1,2
P0196,binance_30m_e8e88d26854ee1b0:23162:1,binance_30m_e8e88d26854ee1b0:26095:1,2
P0197,binance_30m_ea9a128eb8304ab2:19677:1,binance_30m_ea9a128eb8304ab2:19611:1,1
P0198,binance_30m_f06f29b79f3969f0:20243:1,,0
P0199,binance_30m_f15f3978f9548209:46495:1,binance_30m_f15f3978f9548209:45620:1,5
P0200,binance_30m_f5d7cb71517f81df:37789:1,,0
P0201,binance_30m_f625e3d99af6ef96:24393:1,binance_30m_f625e3d99af6ef96:27614:1,4
P0202,binance_30m_f75668bbf9af4de5:23145:1,binance_30m_f75668bbf9af4de5:24569:1,2
P0203,binance_30m_f75668bbf9af4de5:23167:1,binance_30m_f75668bbf9af4de5:25966:1,1
P0204,binance_30m_f888c14e7000f7df:6347:1,binance_30m_f888c14e7000f7df:8116:1,5
P0205,binance_30m_fb10eec59cdd11c0:9734:1,binance_30m_fb10eec59cdd11c0:12440:1,4
P0206,binance_60m_00f7619b6bb861a3:12170:1,binance_60m_00f7619b6bb861a3:11558:1,4
P0207,binance_60m_0abcdf9ffc4b9a39:2145:1,,0
P0208,binance_60m_0cb7147f1b1b57aa:10438:1,binance_60m_0cb7147f1b1b57aa:11966:1,2
P0209,binance_60m_17fc0404607781cd:6593:1,binance_60m_17fc0404607781cd:7055:1,1
P0210,binance_60m_17fc0404607781cd:6602:1,,0
P0211,binance_60m_19f53764769ed18b:23415:1,binance_60m_19f53764769ed18b:23243:1,2
P0212,binance_60m_19f53764769ed18b:26053:1,,0
P0213,binance_60m_1f53a7ab12a787b7:11056:1,,0
P0214,binance_60m_1fbe33302d31ab83:1853:1,binance_60m_1fbe33302d31ab83:2652:1,4
P0215,binance_60m_1fbe33302d31ab83:1865:1,binance_60m_1fbe33302d31ab83:3338:1,3
P0216,binance_60m_25192df3da65ee93:1613:1,binance_60m_25192df3da65ee93:3435:1,2
P0217,binance_60m_26b3b1e15474b595:9924:1,binance_60m_26b3b1e15474b595:9037:1,2
P0218,binance_60m_27e3a96151742b9a:17274:1,binance_60m_27e3a96151742b9a:16507:1,2
P0219,binance_60m_27e3a96151742b9a:8770:1,,0
P0220,binance_60m_28a6a8b923d63bcf:5308:1,,0
P0221,binance_60m_29e67266a4abbc7a:6646:1,,0
P0222,binance_60m_31038877cede2224:14338:1,,0
P0223,binance_60m_31038877cede2224:14352:1,,0
P0224,binance_60m_335b37e321125acb:4161:1,,0
P0225,binance_60m_351fa12f61b13478:22300:1,binance_60m_351fa12f61b13478:21591:1,3
P0226,binance_60m_37005f566ca688da:10888:1,binance_60m_37005f566ca688da:12346:1,2
P0227,binance_60m_3863b3a1f71db9dd:3388:1,binance_60m_3863b3a1f71db9dd:2773:1,1
P0228,binance_60m_3a7d3242c9f0ef9b:11454:1,,0
P0229,binance_60m_3e251385ecf2b6c0:17696:1,binance_60m_3e251385ecf2b6c0:16139:1,2
P0230,binance_60m_3e251385ecf2b6c0:17730:1,binance_60m_3e251385ecf2b6c0:17657:1,1
P0231,binance_60m_497b3649c9240b01:13201:1,binance_60m_497b3649c9240b01:13164:1,1
P0232,binance_60m_50a4feedf125226d:2897:1,binance_60m_50a4feedf125226d:2548:1,2
P0233,binance_60m_56a671dd8f503c62:26031:1,,0
P0234,binance_60m_5740b0c9ecf3e80f:26052:1,,0
P0235,binance_60m_5b35cd630d479043:14715:1,binance_60m_5b35cd630d479043:14101:1,1
P0236,binance_60m_5b35cd630d479043:14737:1,,0
P0237,binance_60m_5b35cd630d479043:14773:1,,0
P0238,binance_60m_6476c0fb11b8e81a:2311:1,binance_60m_6476c0fb11b8e81a:2355:1,1
P0239,binance_60m_6a860c80cd89c900:1127:1,binance_60m_6a860c80cd89c900:1722:1,3
P0240,binance_60m_730b17a736814646:18981:1,binance_60m_730b17a736814646:18386:1,2
P0241,binance_60m_74c5fd49394c3677:9489:1,,0
P0242,binance_60m_7aeaebf093cab697:23407:1,binance_60m_7aeaebf093cab697:24610:1,1
P0243,binance_60m_818e69d2cb4bfdd2:4559:1,binance_60m_818e69d2cb4bfdd2:5005:1,2
P0244,binance_60m_9163b8e032de4c81:5019:1,binance_60m_9163b8e032de4c81:6861:1,1
P0245,binance_60m_93d5cf19d670ee7b:17763:1,,0
P0246,binance_60m_9730103ff14b1a12:2847:1,,0
P0247,binance_60m_9730103ff14b1a12:2874:1,,0
P0248,binance_60m_99771dd303aa1bd3:1197:1,binance_60m_99771dd303aa1bd3:1855:1,2
P0249,binance_60m_99771dd303aa1bd3:6896:1,,0
P0250,binance_60m_9a07613b4557cb16:3330:1,,0
P0251,binance_60m_9ad519a61c80c040:2695:1,,0
P0252,binance_60m_9f2db32dbfabb107:26052:1,binance_60m_9f2db32dbfabb107:25336:1,3
P0253,binance_60m_ad9a58f574c6d0a5:11169:1,binance_60m_ad9a58f574c6d0a5:12710:1,1
P0254,binance_60m_ad9a58f574c6d0a5:14225:1,,0
P0255,binance_60m_b0971bbaabf2e857:2639:1,binance_60m_b0971bbaabf2e857:3788:1,1
P0256,binance_60m_b0be76eeffdb87ca:11087:1,binance_60m_b0be76eeffdb87ca:10947:1,2
P0257,binance_60m_b1d1dead1a4f7c30:5112:1,,0
P0258,binance_60m_b3a9b459867205ae:9117:1,binance_60m_b3a9b459867205ae:9750:1,4
P0259,binance_60m_b53bcab58427fa59:23036:1,binance_60m_b53bcab58427fa59:23503:1,2
P0260,binance_60m_b8e5fe678c9d9517:3994:1,binance_60m_b8e5fe678c9d9517:3195:1,1
P0261,binance_60m_c167602d29452f6d:7464:1,binance_60m_c167602d29452f6d:7437:1,1
P0262,binance_60m_c3985485c4d808cf:2304:1,,0
P0263,binance_60m_c40436894713e704:3019:1,binance_60m_c40436894713e704:4171:1,3
P0264,binance_60m_c427a06a09a677a5:1106:1,,0
P0265,binance_60m_c78b25e085971d6d:14341:1,binance_60m_c78b25e085971d6d:15594:1,3
P0266,binance_60m_c78b25e085971d6d:23034:1,binance_60m_c78b25e085971d6d:24444:1,4
P0267,binance_60m_c7a4b022d57a38d0:9438:1,,0
P0268,binance_60m_cdb42538a95f1b6e:8541:1,binance_60m_cdb42538a95f1b6e:9385:1,1
P0269,binance_60m_cdfe540094978f08:23003:1,binance_60m_cdfe540094978f08:23682:1,2
P0270,binance_60m_cef25aaf40cc6314:14371:1,,0
P0271,binance_60m_d085f8d79e5a8382:7624:1,,0
P0272,binance_60m_d16cdea411b50a75:12502:1,,0
P0273,binance_60m_d2999db0b93e9f0d:7756:1,binance_60m_d2999db0b93e9f0d:7249:1,1
P0274,binance_60m_d2999db0b93e9f0d:8291:1,,0
P0275,binance_60m_dbc1e37be4370791:4476:1,binance_60m_dbc1e37be4370791:4203:1,4
P0276,binance_60m_dbf553a51d436580:14108:1,,0
P0277,binance_60m_dc59b98f3a2ef2ab:10998:1,binance_60m_dc59b98f3a2ef2ab:9870:1,1
P0278,binance_60m_dc84f403e1c46978:22658:1,,0
P0279,binance_60m_eae066d41d3d3769:10738:1,,0
P0280,binance_60m_eae066d41d3d3769:10778:1,binance_60m_eae066d41d3d3769:10622:1,3
P0281,binance_60m_eae066d41d3d3769:10789:1,binance_60m_eae066d41d3d3769:11448:1,2
P0282,binance_60m_ed9cdb5cc534d7ed:24082:1,,0
P0283,binance_60m_f637b15b9c58db06:4311:1,binance_60m_f637b15b9c58db06:4668:1,2
P0284,binance_60m_fe40bc650a257cb1:10977:1,binance_60m_fe40bc650a257cb1:11435:1,1
P0285,binance_60m_fe40bc650a257cb1:26038:1,binance_60m_fe40bc650a257cb1:25674:1,2
P0286,binance_60m_fe943f347224ebc7:17768:1,binance_60m_fe943f347224ebc7:17656:1,3
P0287,gate_240m_24ea57927c03d95a:2605:1,gate_240m_24ea57927c03d95a:2497:1,1
P0288,gate_240m_24ea57927c03d95a:2619:1,,0
P0289,gate_240m_4c1d40b7f393bf72:2605:1,gate_240m_4c1d40b7f393bf72:2638:1,1
P0290,gate_240m_4c1d40b7f393bf72:2621:1,,0
P0291,gate_240m_5535f9276a1a57d4:2288:1,,0
P0292,gate_240m_5b5f2901a678acc9:2638:1,,0
P0293,gate_240m_6d63ab27a9bf324f:6336:1,,0
P0294,gate_240m_7be3664228abf92b:6504:1,,0
P0295,gate_240m_9dca8664b2289672:2605:1,,0
P0296,gate_240m_a4839ac993a665cd:6510:1,,0
P0297,gate_240m_ab3d2d4225acaf1b:1140:1,,0
P0298,gate_240m_ac59d84cd2f11b7f:2605:1,gate_240m_ac59d84cd2f11b7f:2483:1,1
P0299,gate_240m_ad181bb2491fa3b1:2605:1,,0
P0300,gate_240m_adfa3c7d10dc15cc:6547:1,,0
P0301,gate_240m_d1bd3cd2e845c871:2465:1,,0
P0302,gate_240m_ef72054c815f15c7:5725:1,,0
P0303,gate_240m_f616535f2c0cce59:1513:1,gate_240m_f616535f2c0cce59:1181:1,1
P0304,gate_30m_2497c99aa8422283:2501:1,gate_30m_2497c99aa8422283:3001:1,3
P0305,gate_30m_8e39f319b8a2a726:9157:1,gate_30m_8e39f319b8a2a726:6748:1,1
P0306,gate_30m_b0318fc8a35ed904:2905:1,gate_30m_b0318fc8a35ed904:2497:1,6
P0307,gate_30m_b2533ed6e9d64a96:8020:1,gate_30m_b2533ed6e9d64a96:6144:1,3
P0308,gate_30m_b44d6b6043000abf:3145:1,gate_30m_b44d6b6043000abf:5071:1,4
P0309,gate_60m_a377d991b279bc2b:1165:1,gate_60m_a377d991b279bc2b:1196:1,3
P0310,okx_240m_0a9122f6638449bb:4242:1,,0
P0311,okx_240m_0b2fc4927ac4a2dd:2605:1,,0
P0312,okx_240m_0b2fc4927ac4a2dd:2621:1,,0
P0313,okx_240m_0ed2fb228b00ce17:1154:1,,0
P0314,okx_240m_116554a6060f00b9:2605:1,,0
