signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included
117048,2025-05-06 21:30:00+00:00,short,1.0,1.0,2.822702034000842,3.795935957629067,1.0280467872523014,0.609280862916875,0.0,12.0,0.0,0.5212070732568839,0.8333333333333334,0.042456447650046275,0.43783204649773166,0.0,0.0,False,True,False,False,False,dense_l1,False,False
117158,2025-05-08 01:00:00+00:00,long,2.0,2.0,1.501951476060233,2.023631937191236,1.081914155171418,0.1672502286731671,0.0,2.0,0.6500224216483541,0.8084433865469979,0.8333333333333334,0.040194373937939336,0.5482152698696483,1.0,1.0,False,False,False,False,False,dense_l1,False,False
117905,2025-05-15 19:45:00+00:00,short,6.0,4.0,1.2487633190040315,1.5972850330680861,0.9966623500127678,0.5833563162422567,-1.0,11.0,0.41381685030363385,0.7513327461897,0.8333333333333334,0.031613486622650934,0.7516058805575665,2.0,3.0,False,True,True,False,False,dense_l1,True,False
118393,2025-05-20 21:45:00+00:00,long,1.0,1.0,1.501404438122693,1.8324624627100548,0.9856205999963724,0.5923702835151515,-1.0,2.0,0.6500224216483541,-0.1714150131185248,0.8333333333333334,0.024478083713168813,0.33588091035416207,0.0,1.0,False,False,False,False,False,dense_l1,False,False
118462,2025-05-21 15:00:00+00:00,long,4.0,3.0,1.5611043529004975,1.65713094729549,1.1630285124942297,0.2113526343321294,-2.0,11.0,0.41381685030363385,0.9591081104907684,1.0,0.06256432911139637,0.7690902220488983,1.0,3.0,False,False,False,False,False,dense_l1,False,False
118497,2025-05-21 23:45:00+00:00,long,6.0,5.0,1.3091712191195777,1.7399704955260946,1.0791127060646588,1.028259397256503,-2.0,2.0,0.6500224216483541,0.8613445490653957,1.0,0.06703264290310419,0.6807668942754028,1.0,3.0,False,False,False,False,False,dense_l1,False,False
118633,2025-05-23 09:45:00+00:00,long,1.0,1.0,2.2803034398658326,2.806920876397495,0.9048269577315889,0.26568513497400503,0.0,12.0,0.0,0.5199829567988457,0.8333333333333334,0.016803602874224905,0.4364458322836701,0.0,0.0,False,True,False,False,False,dense_l1,False,False
118971,2025-05-26 22:15:00+00:00,long,7.0,6.0,1.3524898573002904,1.572256451822466,1.133633065966069,0.9143022564020629,1.0,7.0,0.9798687566511528,0.5832442925083857,0.8333333333333334,0.052675817276061826,0.7630219362734687,3.0,2.0,False,True,True,False,False,dense_l1,True,False
119123,2025-05-28 12:15:00+00:00,long,2.0,2.0,1.4886818445472432,1.92307639764469,1.100646682984639,0.45847172881899595,-2.0,6.0,1.0,2.0402746839758863,0.8333333333333334,0.0749772656764873,0.552877553313285,0.0,2.0,False,False,False,False,False,dense_l1,False,False
119166,2025-05-28 23:00:00+00:00,long,5.0,3.0,0.9434781033104708,0.9983192198988637,1.0171700696460542,0.4929986469027219,0.0,6.0,1.0,1.805574093596654,0.8333333333333334,0.031037575336409832,0.733947259843881,1.0,1.0,False,True,True,False,False,dense_l1,True,False
119567,2025-06-02 03:15:00+00:00,short,5.0,4.0,1.6482237330063532,1.8280345483002562,1.1266712796633525,0.7915949355146695,0.0,5.0,0.9798687566511528,2.336847958341649,0.8333333333333334,0.1041426526207087,0.7396950708011684,2.0,2.0,False,False,False,False,False,dense_l1,False,False
119759,2025-06-04 03:15:00+00:00,long,5.0,5.0,1.446347818526899,1.5672988570353998,1.01271756830628,0.4731849726597663,-2.0,7.0,0.9798687566511528,1.6952475920874874,1.0,0.06849788682585752,0.7148182273227526,1.0,3.0,False,False,False,False,False,dense_l1,False,False
119809,2025-06-04 15:45:00+00:00,long,6.0,4.0,1.3318825080111225,2.0483325116485207,1.1823243896470779,0.7373804150807679,0.0,12.0,0.0,2.2664175556356465,1.0,0.09179767885363772,0.8463690784151843,2.0,2.0,False,True,True,True,True,dense_l1,True,False
119861,2025-06-05 04:45:00+00:00,long,1.0,1.0,1.26158386661958,1.6516338662024161,0.9235931445298241,0.5713553446416634,1.0,4.0,0.9182958340544896,0.6446321648837364,1.0,0.06046603739340351,0.5824203772066051,1.0,0.0,False,False,False,False,False,dense_l1,False,False
120030,2025-06-06 23:00:00+00:00,short,4.0,3.0,1.8426962125778268,2.2531385818248846,0.959746148449005,0.3635600359879554,-1.0,5.0,0.9798687566511528,0.14942389414760768,0.8333333333333334,0.05027872981603974,0.6078826952107343,0.0,1.0,False,False,False,False,False,dense_l1,False,False
120885,2025-06-15 20:45:00+00:00,short,4.0,3.0,1.9570698715512422,2.331161973700718,1.2274919001049927,1.697343217897635,2.0,5.0,0.9798687566511528,2.2755588283440944,1.0,0.12324369900371641,0.7735164663613807,3.0,1.0,False,False,False,False,False,dense_l1,False,False
121134,2025-06-18 11:00:00+00:00,short,2.0,2.0,1.6243850522733962,2.19222501415989,1.1657636124085498,0.8726188012460706,1.0,11.0,0.41381685030363385,1.3785426041552193,1.0,0.09326654611332448,0.7535014233259096,1.0,0.0,False,True,True,True,False,dense_l1,True,False
121864,2025-06-26 01:30:00+00:00,long,7.0,4.0,1.0669626436974793,1.1110534305459874,1.2532469516123135,0.27110111597479236,0.0,7.0,0.9798687566511528,1.9019650759790363,1.0,0.045983796795029314,0.7849713744324676,3.0,3.0,False,True,True,False,False,dense_l1,True,False
122237,2025-06-29 22:45:00+00:00,long,11.0,8.0,0.9828724451080575,1.2810052940419676,1.5091185691600335,2.300692220336201,4.0,11.0,0.41381685030363385,4.41586688135973,1.0,0.16474887074909764,0.8969038055140797,6.0,2.0,False,True,True,True,True,dense_l1,True,False
122313,2025-06-30 17:45:00+00:00,long,4.0,4.0,1.2285015053782555,1.95110182135223,0.99727901551325,0.6628149638704749,4.0,9.0,0.8112781244591328,1.0092132367324886,0.8333333333333334,0.0421704941136535,0.8137333942421712,4.0,0.0,False,True,True,True,True,dense_l1,True,False
