方向,入场北京时间,入场价,初始止损,退出根北京时间,退出价,退出时间说明,退出原因,毛R,净R,审慎MFE_R,是否边界未平
空,2026-02-15 08:50:00+08:00,2073.8,2084.15,2026-02-15 09:10:00+08:00,2084.15,该K线内止损，精确秒未知,initial_stop,-1.0,-1.400734299516892,0.0086956521739271,False
空,2026-02-17 18:20:00+08:00,1963.99,1977.63,2026-02-17 21:10:00+08:00,1977.63,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2879750733137691,0.2727272727272727,False
多,2026-02-20 13:40:00+08:00,1958.69,1936.04,2026-02-20 19:10:00+08:00,1955.12,开盘成交,opposite_v6_next_open,-0.1576158940397417,-0.3305686534216434,0.6366445916114697,False
空,2026-02-20 19:10:00+08:00,1955.12,1963.14,2026-02-20 22:35:00+08:00,1950.01,该K线内止损，精确秒未知,trailing_stop,0.6371571072318911,0.149596009975039,4.167082294264211,False
空,2026-02-21 01:25:00+08:00,1940.17,1969.73,2026-02-21 01:50:00+08:00,1969.73,该K线内止损，精确秒未知,initial_stop,-1.0,-1.131269959404597,0.0727334235453347,False
多,2026-02-21 17:20:00+08:00,1970.75,1965.33,2026-02-21 20:25:00+08:00,1971.36,该K线内止损，精确秒未知,trailing_stop,0.1125461254612766,-0.6146678966789351,3.1808118081180403,False
空,2026-02-22 20:15:00+08:00,1972.99,1981.04,2026-02-23 00:40:00+08:00,1947.63,开盘成交,fanshen_arrows_next_open,3.1503105590062166,2.660126708074523,3.8136645962733193,False
多,2026-02-25 00:10:00+08:00,1855.88,1837.98,2026-02-25 00:35:00+08:00,1837.98,该K线内止损，精确秒未知,initial_stop,-1.0,-1.207360893854748,0.1525139664804344,False
空,2026-02-26 23:00:00+08:00,2050.32,2079.46,2026-02-27 01:05:00+08:00,1990.51,开盘成交,fanshen_arrows_next_open,2.0525051475635014,1.911783115991776,2.4996568291009083,False
空,2026-03-02 19:30:00+08:00,1937.34,1952.11,2026-03-02 19:45:00+08:00,1952.11,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2623344617467815,0.1733243060257216,False
多,2026-03-02 22:40:00+08:00,1947.9,1918.57,2026-03-02 23:00:00+08:00,1978.54,开盘成交,fanshen_arrows_next_open,1.0446641663825336,0.9118377088305398,1.2458233890214718,False
空,2026-03-05 22:00:00+08:00,2116.58,2132.11,2026-03-05 23:35:00+08:00,2073.83,开盘成交,fanshen_arrows_next_open,2.752736638763648,2.480157115260761,3.245331616226622,False
多,2026-03-06 15:30:00+08:00,2083.41,2066.6,2026-03-06 17:10:00+08:00,2066.6,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2478774538964938,0.1933372992266514,False
空,2026-03-06 17:30:00+08:00,2056.12,2077.39,2026-03-06 20:15:00+08:00,2043.29,开盘成交,fanshen_arrows_next_open,0.6031969910672279,0.4098617771509104,0.9149036201222296,False
多,2026-03-07 19:20:00+08:00,1989.82,1980.04,2026-03-07 20:45:00+08:00,1980.04,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4069161554192309,0.1656441717791536,False
空,2026-03-07 22:10:00+08:00,1972.89,1982.64,2026-03-07 22:35:00+08:00,1982.64,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4046953846153678,0.3989743589743692,False
多,2026-03-07 22:45:00+08:00,1984.15,1971.75,2026-03-08 02:00:00+08:00,1971.75,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3200241935483912,0.4717741935483763,False
空,2026-03-08 02:05:00+08:00,1969.68,1981.25,2026-03-08 13:30:00+08:00,1950.84,该K线内止损，精确秒未知,trailing_stop,1.6283491789109783,1.2878686257562646,3.5687121866897313,False
多,2026-03-11 21:20:00+08:00,2040.39,2020.07,2026-03-11 21:45:00+08:00,2062.32,开盘成交,fanshen_arrows_next_open,1.0792322834645611,0.8784064960629958,2.0590551181102157,False
空,2026-03-18 03:50:00+08:00,2323.41,2337.64,2026-03-18 05:10:00+08:00,2337.64,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3265509486999445,0.5671117357694799,False
多,2026-03-18 05:50:00+08:00,2337.43,2328.08,2026-03-18 06:25:00+08:00,2328.08,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4999850267379744,0.381818181818203,False
空,2026-03-18 07:55:00+08:00,2318.08,2327.4,2026-03-18 09:00:00+08:00,2327.4,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4974420600858138,1.2961373390557631,False
多,2026-03-18 11:35:00+08:00,2343.46,2327.05,2026-03-18 12:30:00+08:00,2327.05,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2856136502132796,0.3375990249847662,False
空,2026-03-18 18:45:00+08:00,2313.38,2331.29,2026-03-18 19:50:00+08:00,2271.1,开盘成交,fanshen_arrows_next_open,2.36069235064213,2.1023584589614996,2.880513679508686,False
多,2026-03-20 15:40:00+08:00,2147.14,2126.01,2026-03-20 17:30:00+08:00,2141.11,开盘成交,opposite_v6_next_open,-0.2853762423095051,-0.4886076668244197,1.3686701372456482,False
空,2026-03-20 17:30:00+08:00,2141.11,2160.34,2026-03-21 02:40:00+08:00,2121.0,开盘成交,fanshen_arrows_next_open,1.0457618304732246,0.8230774830993319,1.3577743109724445,False
空,2026-03-22 00:10:00+08:00,2152.51,2158.95,2026-03-22 07:15:00+08:00,2145.36,开盘成交,fanshen_arrows_next_open,1.110248447205052,0.44176708074538,1.7872670807454865,False
多,2026-03-24 17:55:00+08:00,2164.07,2149.49,2026-03-24 21:15:00+08:00,2149.49,该K线内止损，精确秒未知,initial_stop,-1.0,-1.296854595336084,0.7242798353909464,False
空,2026-03-26 07:45:00+08:00,2165.2,2174.68,2026-03-26 10:35:00+08:00,2147.46,开盘成交,fanshen_arrows_next_open,1.8713080168776104,1.414514767932456,2.3976793248945123,False
多,2026-03-28 13:30:00+08:00,1991.42,1986.58,2026-03-28 16:50:00+08:00,1998.29,该K线内止损，精确秒未知,trailing_stop,1.419421487603307,0.5965206611569844,3.314049586776908,False
空,2026-03-30 06:10:00+08:00,1994.73,2007.18,2026-03-30 06:55:00+08:00,1970.0,该K线内止损，精确秒未知,trailing_stop,1.9863453815260983,1.6659068273092237,4.717269076305205,False
多,2026-04-02 04:55:00+08:00,2145.49,2129.25,2026-04-02 09:05:00+08:00,2129.25,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2642229064039432,1.1890394088670355,False
空,2026-04-02 09:30:00+08:00,2111.01,2156.91,2026-04-02 09:55:00+08:00,2096.17,开盘成交,fanshen_arrows_next_open,0.3233115468409643,0.2313285403050135,0.5108932461873739,False
多,2026-04-03 14:20:00+08:00,2059.11,2051.84,2026-04-03 20:45:00+08:00,2051.84,该K线内止损，精确秒未知,initial_stop,-1.0,-1.5664676753782527,3.148555708390637,False
空,2026-04-03 21:05:00+08:00,2046.57,2060.77,2026-04-04 05:10:00+08:00,2060.77,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2882492957746503,0.4274647887323885,False
多,2026-04-04 14:20:00+08:00,2054.58,2051.95,2026-04-04 14:25:00+08:00,2051.95,该K线内止损，精确秒未知,initial_stop,-1.0,-2.562418250950508,0.2167300380228669,False
空,2026-04-04 17:30:00+08:00,2049.28,2051.81,2026-04-04 18:40:00+08:00,2051.81,该K线内止损，精确秒未知,initial_stop,-1.0,-2.619984189723452,1.0632411067195862,False
多,2026-04-04 18:50:00+08:00,2053.0,2046.42,2026-04-04 22:40:00+08:00,2046.42,该K线内止损，精确秒未知,initial_stop,-1.0,-1.6240121580547036,0.1975683890577806,False
多,2026-04-04 23:20:00+08:00,2056.33,2049.08,2026-04-05 03:40:00+08:00,2064.28,该K线内止损，精确秒未知,trailing_stop,1.0965517241379688,0.5292882758620994,3.728275862068993,False
空,2026-04-09 19:30:00+08:00,2179.54,2192.52,2026-04-09 23:15:00+08:00,2192.52,该K线内止损，精确秒未知,initial_stop,-1.0,-1.335830508474579,1.8120184899845877,False
多,2026-04-09 23:20:00+08:00,2187.5,2167.15,2026-04-10 01:20:00+08:00,2218.49,开盘成交,fanshen_arrows_next_open,1.522850122850119,1.3078624078624024,2.088452088452098,False
空,2026-04-11 13:15:00+08:00,2230.5,2241.77,2026-04-11 17:15:00+08:00,2241.77,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3958296362023117,0.2165039929015136,False
多,2026-04-11 19:50:00+08:00,2242.66,2237.31,2026-04-11 21:10:00+08:00,2237.31,该K线内止损，精确秒未知,initial_stop,-1.0,-1.838377570093468,0.6242990654205985,False
空,2026-04-11 21:30:00+08:00,2236.72,2242.68,2026-04-11 22:05:00+08:00,2242.68,该K线内止损，精确秒未知,initial_stop,-1.0,-1.7505771812080162,0.1795302013422319,False
多,2026-04-11 23:25:00+08:00,2246.28,2239.43,2026-04-12 02:30:00+08:00,2261.77,开盘成交,fanshen_arrows_next_open,2.2613138686129868,1.6054656934305518,4.148905109488775,False
多,2026-04-13 21:00:00+08:00,2191.55,2172.24,2026-04-13 21:20:00+08:00,2197.07,开盘成交,fanshen_arrows_next_open,0.2858622475401345,0.0588762299326668,0.4044536509580511,False
多,2026-04-13 22:00:00+08:00,2213.99,2178.24,2026-04-14 00:30:00+08:00,2225.29,开盘成交,fanshen_arrows_next_open,0.3160839160839251,0.1922243356643484,0.6153846153846232,False
多,2026-04-15 19:55:00+08:00,2335.15,2322.04,2026-04-15 21:30:00+08:00,2322.04,该K线内止损，精确秒未知,initial_stop,-1.0,-1.356239511823028,0.2776506483600181,False
多,2026-04-21 09:15:00+08:00,2321.55,2313.19,2026-04-21 09:50:00+08:00,2313.19,该K线内止损，精确秒未知,initial_stop,-1.0,-1.5553947368421062,0.4234449760765442,False
空,2026-04-21 10:15:00+08:00,2309.13,2320.81,2026-04-21 14:35:00+08:00,2320.81,该K线内止损，精确秒未知,initial_stop,-1.0,-1.395398972602736,1.038527397260298,False
多,2026-04-21 15:30:00+08:00,2319.84,2310.35,2026-04-21 20:35:00+08:00,2310.35,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4889020021074808,1.9135932560589464,False
空,2026-04-21 23:05:00+08:00,2297.91,2328.33,2026-04-22 03:20:00+08:00,2328.33,该K线内止损，精确秒未知,initial_stop,-1.0,-1.151078895463513,0.5230111768573247,False
空,2026-04-24 09:25:00+08:00,2321.52,2332.26,2026-04-24 09:50:00+08:00,2332.26,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4323128491619848,0.4171322160148901,False
空,2026-04-24 11:25:00+08:00,2308.53,2322.08,2026-04-24 11:40:00+08:00,2303.61,开盘成交,fanshen_arrows_next_open,0.3630996309963226,0.0223571955719707,0.7380073800738156,False
多,2026-04-25 04:45:00+08:00,2323.81,2312.85,2026-04-25 05:35:00+08:00,2312.85,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4240529197080236,0.3822992700729964,False
空,2026-04-25 06:40:00+08:00,2306.9,2315.12,2026-04-25 07:30:00+08:00,2315.12,该K线内止损，精确秒未知,initial_stop,-1.0,-1.5612895377128857,0.0328467153284657,False
空,2026-04-25 13:30:00+08:00,2313.49,2315.9500000000003,2026-04-25 14:00:00+08:00,2315.9500000000003,该K线内止损，精确秒未知,initial_stop,-1.0,-2.8808861788614366,0.0365853658535255,False
空,2026-04-28 19:10:00+08:00,2278.0,2286.93,2026-04-29 00:50:00+08:00,2286.93,该K线内止损，精确秒未知,initial_stop,-1.0,-1.5101903695409038,2.430011198208311,False
多,2026-04-29 03:55:00+08:00,2302.55,2289.2000000000003,2026-04-29 05:10:00+08:00,2289.2000000000003,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3449513108614202,0.1722846441947373,False
