window,start,end,policy,candidates,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,partial_trades,ambiguous_trades,paired_n,paired_delta_net_r,paired_improved,paired_worsened,saved_losers,lost_3r_winners,matched_n,matched_missing,random_mean_net_r,excess_net_r,p,months,target_censored,target_invalid,natural_target_n,controls_per_trade,permutations,p_holm
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,trail2_atr,21,17,0,10,7,0,0.5882352941176471,20.181693478778193,16.605851453731905,0.9768147913959944,0.21034364853213472,3.180149166383109,2,2,5,0,4,2,12,2,2.9663373848611814,0.0,0,0,17,-6.134061575969866,5,4,1,2,17,0,0.2484970354255547,0.7283177559704396,0.1846,4,0,0,17,5,9999,0.9888
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,cost_be1,21,17,0,12,5,0,0.7058823529411765,25.99930377676832,22.423461751722005,1.3190271618660003,0.21034364853213622,4.90595832263004,2,2,4,0,5,5,12,0,2.246939835630009,0.0,0,0,17,-0.316451277979765,3,2,3,0,17,0,0.038343180488082745,1.2806839813779174,0.1236,4,0,0,17,5,9999,0.9888
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,cost_be2,21,17,0,11,6,0,0.6470588235294118,28.2598108849123,24.683968859866006,1.4519981682274121,0.2103436485321354,4.968684229846502,2,2,4,0,5,5,12,1,2.246939835630009,0.0,0,0,17,1.9440558301642352,2,0,2,0,17,0,0.14957308169922365,1.3024250865281886,0.1846,4,0,0,17,5,9999,0.9888
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,partial25_at2,21,17,0,9,8,0,0.5294117647058824,23.94631586786854,20.370473842822253,1.1982631672248385,0.21034364853213466,3.945742218085132,2,2,4,0,4,3,12,3,2.2469398356300125,0.0,11,0,17,-2.3694391868795153,5,6,0,1,17,0,0.023190756611319994,1.1750724106135184,0.1846,4,0,0,17,5,9999,0.9888
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,partial50_at2,21,17,0,11,6,0,0.6470588235294118,21.57687668098904,18.001034655942757,1.0588843915260444,0.21034364853213472,3.8942032282383963,2,2,4,0,3,3,12,1,2.2469398356300125,0.0,11,0,17,-4.738878373759015,5,6,2,2,17,0,-0.06471166393785975,1.123596055463904,0.1236,4,0,0,17,5,9999,0.9888
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,fixed3r,21,17,0,10,7,0,0.5882352941176471,16.580696795720122,13.004854770673845,0.7649914570984615,0.2103436485321339,2.7073814833412997,2,2,5,0,7,0,12,2,3.2876000539177106,0.0,0,0,17,-9.735058259027921,2,5,1,0,17,0,-0.016994441276163015,0.7819858983746246,0.1236,4,0,0,17,5,9999,0.9888
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,original,134,123,0,32,91,0,0.2601626016260163,23.99855079338282,-9.838759029487216,-0.07998991080883916,0.27510007986073215,0.9097330178279492,14,14,76,0,13,12,59,27,38.32840889150067,0.0,0,0,123,0.0,0,0,0,0,116,7,-0.13690803283525182,0.06309286248447511,0.396,33,0,0,123,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,trail3_atr,134,123,0,36,87,0,0.2926829268292683,-6.647636502209904,-40.48494632507995,-0.32914590508195085,0.2751000798607321,0.6233641527622189,14,14,76,0,6,5,59,23,53.88601022277799,0.0,0,0,123,-30.64618729559272,25,10,4,8,116,7,-0.21036374034357566,-0.13501844146636763,0.8132,33,0,0,123,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,trail2_atr,134,123,0,36,87,0,0.2926829268292683,7.0728686839595465,-26.7644411389105,-0.21759708243016665,0.2751000798607321,0.7510075008311283,14,14,76,0,11,7,59,23,46.21672958713633,0.0,0,0,123,-16.92568210942327,25,10,4,4,116,7,-0.23259177166070255,-0.0018839053441091242,0.5034,33,0,0,123,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,cost_be1,134,124,0,55,68,1,0.4435483870967742,23.48535962083765,-10.58318817342389,-0.0853482917211604,0.27474635317952845,0.8764941482700506,6,6,61,0,11,11,60,4,35.93240673650028,0.0,0,0,123,-16.384452550958645,23,10,23,3,117,7,-0.12229678128799781,0.031675100645629735,0.4341,33,0,0,124,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,cost_be2,134,123,0,39,84,0,0.3170731707317073,22.917996257747973,-10.919313565122126,-0.08877490703351322,0.27510007986073254,0.8944306504639739,14,14,73,0,12,12,59,20,42.68181248766406,0.0,0,0,123,-1.0805545356348998,7,3,7,1,116,7,-0.13632176316052055,0.042021228446250586,0.4303,33,0,0,123,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,partial25_at2,134,123,0,34,89,0,0.2764227642276423,19.250564275090913,-14.586745547779135,-0.11859142721771654,0.2751000798607321,0.8597163835089879,14,14,71,0,10,8,59,25,37.35245913698321,0.0,41,0,123,-4.747986518291907,24,17,2,3,116,7,-0.17597895128433144,0.05523297781900618,0.392,33,0,0,123,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,partial50_at2,134,123,0,41,82,0,0.3333333333333333,14.502577756799006,-19.334732066071034,-0.15719294362659378,0.2751000798607321,0.8083137695475509,14,14,71,0,8,6,59,18,40.6709587181168,0.0,41,0,123,-9.495973036583814,24,17,9,5,116,7,-0.2150498697334108,0.04737309315353704,0.3933,33,0,0,123,5,9999,1.0
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,fixed3r,134,123,0,36,87,0,0.2926829268292683,6.136394923143477,-27.700914899726573,-0.22521069024167945,0.2751000798607321,0.7392325950682839,14,14,75,0,26,0,59,23,46.77949759314472,0.0,0,0,123,-17.86215587023934,13,13,4,0,116,7,-0.2612349422377503,0.003691033059451877,0.4871,33,0,0,123,5,9999,1.0
