system,asset,closed,net_r
v1_native,FLNC,3,-2.6609610750360764
v1_native,HEI,9,-2.6330039165647214
v1_native,FIS,6,-2.594329092020785
v1_native,TRU,7,-2.568101142691718
v1_native,KO,2,-2.559432982456153
v1_native,DOLO,4,-2.5586005359892257
v1_native,ZEREBRO,9,-2.5554498530494723
v1_native,WCT,6,-2.547973886070965
v1_native,FLOCK,5,-2.531011718845366
v1_native,BROCCOLI714,8,-2.510326352613332
v1_native,KOMA,15,-2.495065859219724
v1_native,TAC,8,-2.481709438448372
v1_native,KAVA,8,-2.455224509931087
v1_native,META,2,-2.351622834226547
v1_native,1000SHIB,4,-2.346323149481481
v1_native,SONY,2,-2.3404836601307277
v1_native,IDOL,8,-2.339984887188716
v1_native,GRIFFAIN,5,-2.33964904770519
v1_native,EWZ,2,-2.326071428571428
v1_native,ONG,6,-2.318662188079724
v1_native,MMT,5,-2.309050507517176
v1_native,VELODROME,4,-2.3000669673676164
v1_native,KAS,12,-2.29028701295828
v1_native,POPMART,2,-2.289087044534422
v1_native,2Z,14,-2.2714696977303337
v1_native,ESPORTS,7,-2.2676608791806236
v1_native,JOE,5,-2.2545451824111082
v1_native,XBI,2,-2.2148188859591293
v1_native,MEGA,2,-2.2009210876269667
v1_native,NG,2,-2.197473824076534
v1_native,LEVER,3,-2.1742361358618743
v1_native,BOT,2,-2.1554797416324116
v1_native,SHLD,2,-2.1529863513180634
v1_native,SIMO,2,-2.1448135986635997
v1_native,BEAMX,5,-2.1381723266024952
v1_native,YALA,3,-2.1372094049675363
v1_native,DATAIP,2,-2.136426441631502
v1_native,SKATE,6,-2.12594626176715
v1_native,NES,2,-2.122024227234757
v1_native,OXT,2,-2.1217953152111053
v1_native,VRT,2,-2.121333146547909
v1_native,NVDA,2,-2.1158023781473476
v1_native,XAUT,3,-2.1142983094680257
v1_native,FWDI,2,-2.112793458354698
v1_native,GLW,2,-2.11261937954432
v1_native,CGNX,2,-2.107106276795284
v1_native,KLAC,2,-2.092846669102424
v1_native,UB,2,-2.091257110222729
v1_native,ONDS,3,-2.0784889173420247
v1_native,DAR,2,-2.0761360708534626
v1_native,CARV,2,-2.07579657107972
v1_native,BAND,2,-2.0757428571428567
v1_native,ZHIPU,2,-2.068605584979203
v1_native,LOOM,2,-2.0677042274939166
v1_native,CRDO,2,-2.067138399396103
v1_native,PHB,2,-2.0620389770723104
v1_native,MILK,2,-2.0620077976190467
v1_native,BASED,2,-2.059962255821653
v1_native,OFC,2,-2.0585212698148765
v1_native,LINA,2,-2.058255739653762
v1_native,PORT3,2,-2.0564951338199515
v1_native,ZEST,2,-2.0556980162694454
v1_native,ARX,2,-2.054541414141413
v1_native,DF,2,-2.052767641253392
v1_native,COMMON,2,-2.0527170952654954
v1_native,GWEI,2,-2.051156982645302
v1_native,BILL,2,-2.04885359085359
v1_native,UP,2,-2.0464170195782794
v1_native,ORBS,2,-2.0401901204049104
v1_native,BE,2,-2.0386385821973985
v1_native,QNT,6,-2.0377325545593834
v1_native,ALPACA,2,-2.0373709763984484
v1_native,CBRS,2,-2.032628681961495
v1_native,SLX,2,-2.030799022930598
v1_native,TROY,2,-2.023060350877193
v1_native,CVX,19,-1.9980761744300546
v1_native,MANTA,4,-1.9679764275415208
v1_native,1000SATS,10,-1.9374382015942855
v1_native,TOWNS,9,-1.8959801743116673
v1_native,SAPIEN,16,-1.8325266331253123
v1_native,C98,5,-1.8294954058621726
v1_native,CAKE,8,-1.8291042173110115
v1_native,RDDT,1,-1.822759493670908
v1_native,BAKE,4,-1.7892074126785198
v1_native,QCOM,4,-1.7815768413624666
v1_native,MYRO,6,-1.7801552872068673
v1_native,VANRY,6,-1.748840949019594
v1_native,CHZ,11,-1.7262274804255096
v1_native,B3,3,-1.7033034911049365
v1_native,WET,3,-1.6407719841869803
v1_native,ENSO,12,-1.6384733474484403
v1_native,SUSHI,15,-1.5738202839962576
v1_native,NOK,2,-1.5672768809016127
v1_native,IR,3,-1.5241985955211068
v1_native,ZETA,17,-1.5235578965213312
v1_native,HOOD,4,-1.496110053258519
v1_native,FIO,4,-1.4872419792205631
v1_native,BNT,8,-1.4816327651460162
v1_native,HIPPO,7,-1.4425628378918454
v1_native,AVA,9,-1.4038647078562432
v1_native,1INCH,5,-1.397909047487993
v1_native,PROMPT,4,-1.3800752919007917
v1_native,HBAR,14,-1.372833219143207
v1_native,TWLO,4,-1.3105188389997373
v1_native,AVNT,9,-1.2988925937676314
v1_native,TSLA,3,-1.2792803364178018
v1_native,PIXEL,6,-1.2775686481373278
v1_native,GMT,8,-1.246070955624332
v1_native,TAG,7,-1.2368118330238687
v1_native,OG,14,-1.228181600411987
v1_native,RUNE,7,-1.2081754177673087
v1_native,SKL,9,-1.20050283835382
v1_native,AR,13,-1.1981635638371486
v1_native,US,4,-1.1922336870927703
v1_native,CRM,1,-1.1885803571428517
v1_native,ALCH,4,-1.1802804454611342
v1_native,CRWD,1,-1.1729765258215934
v1_native,EDGEX,1,-1.1644242424242488
v1_native,ROK,1,-1.1524947735191655
v1_native,CTK,1,-1.1482777777777813
v1_native,HMSTR,14,-1.1465176751681583
v1_native,TER,1,-1.1146226138032294
v1_native,EWT,1,-1.1138461538461542
v1_native,WEN,1,-1.1129220779220768
v1_native,INIT,6,-1.1008038866660386
v1_native,ZKJ,1,-1.1005042016806732
v1_native,REZ,17,-1.0988383198734784
v1_native,OPN,4,-1.0985820419113748
v1_native,CSCO,1,-1.093325102880658
v1_native,XPD,3,-1.0885975309396239
v1_native,ASML,1,-1.0881433708942725
v1_native,UNH,1,-1.0869113680154106
v1_native,ADBE,1,-1.0805166402535673
v1_native,AERO,1,-1.0742297297297276
v1_native,SMH,1,-1.0706662515566632
v1_native,ALL,1,-1.0692262773722645
v1_native,SKHYNIX,1,-1.063218425715008
v1_native,AAOI,1,-1.0618187702265376
v1_native,OMG,1,-1.0574315789473696
v1_native,UNITREE,1,-1.0572302839116705
v1_native,CTR,1,-1.0552524590163936
v1_native,POET,1,-1.0544548104956264
v1_native,EUL,5,-1.0521637271920108
v1_native,SKHY,1,-1.0495447647951448
v1_native,FTM,1,-1.0444026402640274
v1_native,TSEM,1,-1.0421258851298187
v1_native,SOXS,1,-1.0395652173913044
v1_native,AEON,1,-1.0320338028169018
v1_native,AMB,1,-1.031474912485414
v1_native,SOPH,13,-1.0313269217083234
v1_native,AVGO,1,-1.0303501180173087
v1_native,GT,1,-1.0297016197783455
v1_native,NEWT,1,-1.0290373626373628
v1_native,PERP,1,-1.0289700000000006
v1_native,BP,1,-1.026715789473685
v1_native,OSCR,1,-1.0249083333333338
v1_native,MON,1,-1.023825242718447
v1_native,SOFTBANK,1,-1.023212328767123
v1_native,BNX,1,-1.0231444759206805
v1_native,VELO,1,-1.0224984802431607
v1_native,FLY,1,-1.0223853211009175
v1_native,ACX,1,-1.0211655530809205
v1_native,BAL,1,-1.0211560693641617
v1_native,AIGENSYN,1,-1.020029850746269
v1_native,WDC,1,-1.018285422343324
v1_native,REEF,1,-1.010793610223642
v1_native,SKR,1,-1.007144988738739
v1_native,MBABYDOGE,1,-1.0047034209782302
v1_native,TREE,1,-1.004631388121547
v1_native,GUA,6,-0.983838354765342
v1_native,ALT,3,-0.9833499282255422
v1_native,CHR,7,-0.9759532161208009
v1_native,EDEN,14,-0.8758896802452484
v1_native,QUICK,4,-0.8466513604152324
v1_native,SOON,12,-0.8228124771178429
v1_native,MRVL,3,-0.7936277532585374
v1_native,NAORIS,9,-0.78088877345847
v1_native,PRL,7,-0.7651283040843087
v1_native,WAL,5,-0.760579611008571
v1_native,CELO,3,-0.7440889423513242
v1_native,PENDLE,3,-0.7431159552582183
v1_native,SUPER,6,-0.7080028058882912
v1_native,CROSS,12,-0.6857985661313406
v1_native,TAIKO,3,-0.6556977930763555
v1_native,LPT,17,-0.6340452011084617
v1_native,AIOT,7,-0.6266591661251635
v1_native,XAN,6,-0.5271148094320985
v1_native,IBM,2,-0.4569892063492066
v1_native,ISRG,4,-0.44901299057484323
v1_native,BROCCOLIF3B,4,-0.374925881860273
v1_native,XCU,2,-0.37114677700338283
v1_native,QQQ,2,-0.36867880127510433
v1_native,STEEM,6,-0.3438974325560238
v1_native,KERNEL,3,-0.3195465101738193
v1_native,SAHARA,12,-0.31742323257342986
v1_native,MYX,14,-0.3051403622137544
v1_native,O,8,-0.3014314584375668
v1_native,OP,11,-0.2973402157148477
v1_native,RIVN,3,-0.2967497899159661
v1_native,BMT,7,-0.2804070679157509
v1_native,MIRA,3,-0.2419841861436276
v1_native,UMA,17,-0.23914278771407504
v1_native,LLY,2,-0.23184694067158262
v1_native,HYPE,2,-0.21270936216780634
v1_native,ALAB,2,-0.20639802919953953
v1_native,JCT,7,-0.20218600926567554
v1_native,USUAL,6,-0.1807549432773523
v1_native,FUN,4,-0.17824794946743994
v1_native,TQQQ,2,-0.1715699221444733
v1_native,PROS,2,-0.16694967916243075
v1_native,TURBO,19,-0.1616132013867837
v1_native,YFI,8,-0.13449305221832442
v1_native,CLANKER,4,-0.1128799595141694
v1_native,GRASS,18,-0.08008993102744921
v1_native,CVC,6,-0.027792676122966986
v1_native,VTHO,7,-0.0008570378450627469
v1_native,COST,4,0.009810786108370273
v1_native,ANKR,5,0.029431434339938
v1_native,PUFFER,1,0.0418396226415109
v1_native,LOKA,2,0.07593225999719766
v1_native,BSW,7,0.10018113631499026
v1_native,1000WHY,8,0.13889783038039183
v1_native,XAG,2,0.20706346147669885
v1_native,GME,4,0.24667397055443963
v1_native,GOOGL,5,0.3285473499927838
v1_native,SLERF,3,0.33266144471566894
v1_native,SOMI,9,0.3443551333096373
v1_native,ARM,2,0.3633739278245658
v1_native,MSTR,2,0.48525094442384664
v1_native,BARD,12,0.4927292927884581
v1_native,INFQ,2,0.5552730416645617
v1_native,PHA,9,0.5642180697129591
v1_native,PUMP,10,0.5687086144759519
v1_native,MTL,4,0.5821651683595648
v1_native,1000BONK,10,0.5949201650514846
v1_native,DELL,1,0.6029378531073345
v1_native,SPY,2,0.6286646095102839
v1_native,XLE,2,0.6294493632504494
v1_native,RKLB,2,0.6340707754370212
v1_native,COIN,2,0.6907169217865475
v1_native,MKR,2,0.694807840322448
v1_native,SQQQ,1,0.7046567164179182
v1_native,BAS,11,0.7117360891656814
v1_native,COMP,15,0.7418109404728432
v1_native,ILV,8,0.7464175105169206
v1_native,TANSSI,2,0.7580539215686266
v1_native,TNSR,8,0.7853056265606899
v1_native,PHAROS,1,0.7920597014925349
v1_native,SUN,6,0.8263965395016701
v1_native,ELSA,6,0.8383602024402503
v1_native,OPEN,1,0.8449369369369372
v1_native,PURR,1,0.8703265306122453
v1_native,NIGHT,9,0.8778816332156918
v1_native,CUDIS,3,0.9326707712452287
v1_native,GOAT,5,0.9490921566686945
v1_native,HFT,3,0.9992228187583323
v1_native,HIGH,3,1.0137762058677153
v1_native,SCRT,7,1.057519063200017
v1_native,FLUID,8,1.058892244645755
v1_native,JST,1,1.0721424802111066
v1_native,DRAM,2,1.1762372881355931
v1_native,MERL,26,1.1835933139262982
v1_native,FLUX,6,1.1897864887433673
v1_native,JASMY,6,1.2446551611653218
v1_native,BLESS,6,1.2731411204541485
v1_native,NOW,1,1.2867443037974666
v1_native,AVAAI,7,1.2957373554827067
v1_native,CRV,24,1.3035733409631693
v1_native,OMNI,1,1.337412429378538
v1_native,ICNT,8,1.3565351233134697
v1_native,DENT,1,1.3934346504559267
v1_native,牛来,2,1.4152726279501466
v1_native,URNM,2,1.424647135135135
v1_native,EPT,6,1.4258077168073768
v1_native,MEW,18,1.4458804536028171
v1_native,GPS,25,1.4579370553160005
v1_native,BZ,4,1.4839212860437079
v1_native,MU,1,1.511155682903534
v1_native,FXS,4,1.5538580755354132
v1_native,SPCX,2,1.6012807925570791
v1_native,BSP,1,1.625440993788817
v1_native,CELR,5,1.637544041451495
v1_native,XAI,4,1.7082243149096827
v1_native,HANA,15,1.7192183558165095
v1_native,BOND,3,1.7328671656271657
v1_native,RECALL,15,1.7566512535776961
v1_native,TRX,4,1.7626976520667403
v1_native,TSM,3,1.7687661225270461
v1_native,MAVIA,8,1.8471226353590429
v1_native,CLO,10,1.8555548950470828
v1_native,GHST,3,1.8670628506860563
v1_native,GTC,4,1.8792590934392406
v1_native,BLUAI,11,1.9082826761258636
v1_native,BMNR,3,1.9558805482301374
v1_native,SIREN,15,1.9948071321631171
v1_native,ARC,13,1.9989751412880152
v1_native,JNJ,1,2.0040273972602622
v1_native,FARTCOIN,12,2.0735100807179476
v1_native,XAU,8,2.121709886407801
v1_native,INTC,3,2.1278419193940974
v1_native,SSV,14,2.1488896420161057
v1_native,MITO,6,2.162874641762671
v1_native,VELVET,13,2.175666684981385
v1_native,ORCL,3,2.217252946410089
v1_native,NOT,18,2.219638337351363
v1_native,MET,4,2.225584913307662
v1_native,EWY,1,2.2677427821522476
v1_native,RED,4,2.2680470290031876
v1_native,RIF,4,2.283068915040169
v1_native,TURTLE,6,2.3500503171761444
v1_native,ESP,5,2.424666968374688
v1_native,PUNDIX,8,2.453069367404511
v1_native,RSR,19,2.4733165649199975
v1_native,VFY,3,2.5161116120218754
v1_native,CGPT,4,2.516530787250904
v1_native,EDGE,1,2.5681726618704968
v1_native,ZIL,11,2.6736734528155646
v1_native,ATA,1,2.707971014492755
v1_native,1000FLOKI,10,2.7116261827011954
v1_native,BR,5,2.7165408549088648
v1_native,MANA,19,2.8302409232796335
v1_native,SFP,6,2.8491034140907323
v1_native,THE,8,2.8497416753187337
v1_native,ETHW,16,2.851511781013017
v1_native,STO,7,2.918098746620929
v1_native,A,2,3.0053787908899405
v1_native,BEAT,6,3.007376546880961
v1_native,SPORTFUN,5,3.0150284914771373
v1_native,MELANIA,18,3.071373095979821
v1_native,FET,6,3.09948759571196
v1_native,CYS,4,3.1414922851960343
v1_native,AWE,3,3.1697503384987575
v1_native,XPL,1,3.1962772277227747
v1_native,SNX,18,3.2849017998737207
v1_native,RPL,8,3.286434480401237
v1_native,SHAZ,1,3.306989648033129
v1_native,CRCL,2,3.3347519720153427
v1_native,PARTI,16,3.3357327055561194
v1_native,BADGER,1,3.396302114803627
v1_native,1000PEPE,12,3.4674136617096183
v1_native,HOLO,2,3.5106876766244914
v1_native,BANK,10,3.53184398551494
v1_native,BONK,10,3.555985302976462
v1_native,RAY,12,3.583279261531814
v1_native,NTRN,5,3.610737473810878
v1_native,EPIC,7,3.6283308013779143
v1_native,FIGHT,3,3.7741303225879257
v1_native,MEMEFI,2,3.814423529411763
v1_native,DOT,10,3.8600975474187087
v1_native,AKT,12,3.86077777079708
v1_native,GEV,4,3.9010656899001557
v1_native,IWM,2,4.065920381507823
v1_native,AAPL,7,4.133597457479036
v1_native,STRK,15,4.193272586397287
v1_native,PROVE,4,4.262744474521833
v1_native,LDO,14,4.304323255862249
v1_native,FRAX,4,4.414367591431581
v1_native,DIA,10,4.442360406990371
v1_native,YB,17,4.532531307507348
v1_native,ALPINE,5,4.552996236631176
v1_native,LSK,6,4.792669211375055
v1_native,OBOL,3,4.7985313748058145
v1_native,PLTR,2,4.91402864867816
v1_native,VIRTUAL,9,5.037790916572212
v1_native,BX,2,5.053585358535877
v1_native,AXS,9,5.09379242010214
v1_native,HOME,9,5.309977873563506
v1_native,CKB,5,5.337152534424048
v1_native,RAYSOL,10,5.354575959305805
v1_native,SYN,11,5.357704282490381
v1_native,HIMS,6,5.371293833113529
v1_native,CATI,12,5.488211427610725
v1_native,XMR,8,5.491925889383236
v1_native,QTUM,18,5.521448910821955
v1_native,MAGMA,6,5.553515347029807
v1_native,ICP,12,5.601413301076019
v1_native,TON,4,5.676128327185452
v1_native,T,15,5.808568732130119
v1_native,AXL,5,5.9313028548030715
v1_native,API3,25,5.968313680692243
v1_native,M,6,6.200106067128235
v1_native,ACE,8,6.229444371001507
v1_native,PROM,5,6.235109600428787
v1_native,TAO,16,6.327392431469993
v1_native,TWT,6,6.388164628084603
v1_native,FLOKI,12,6.429086761075972
v1_native,SKY,13,6.504143727319759
v1_native,DOOD,14,6.8714446668666955
v1_native,BANANAS31,10,7.1538487342879975
