scope,timeframe,length,period,control_period,reason,censored,trades
actual,1h,20,cross_split,cross_split,matched,False,5
actual,1h,20,cross_split,earlier,matched,False,10
actual,1h,20,earlier,cross_split,matched,False,3
actual,1h,20,earlier,earlier,matched,False,465
actual,1h,20,later,later,censored,False,1
actual,1h,20,later,later,matched,False,320
actual,1h,20,later,later,matched,True,13
actual,1h,30,cross_split,cross_split,matched,False,5
actual,1h,30,cross_split,earlier,matched,False,10
actual,1h,30,earlier,cross_split,matched,False,3
actual,1h,30,earlier,earlier,matched,False,466
actual,1h,30,later,later,censored,False,1
actual,1h,30,later,later,matched,False,323
actual,1h,30,later,later,matched,True,13
actual,1h,50,cross_split,cross_split,matched,False,5
actual,1h,50,cross_split,earlier,matched,False,9
actual,1h,50,earlier,cross_split,matched,False,2
actual,1h,50,earlier,earlier,matched,False,456
actual,1h,50,later,later,censored,False,1
actual,1h,50,later,later,matched,False,317
actual,1h,50,later,later,matched,True,12
actual,1h,60,cross_split,cross_split,matched,False,5
actual,1h,60,cross_split,earlier,matched,False,9
actual,1h,60,earlier,cross_split,matched,False,1
actual,1h,60,earlier,earlier,matched,False,436
actual,1h,60,later,later,censored,False,2
actual,1h,60,later,later,matched,False,309
actual,1h,60,later,later,matched,True,13
actual,1h,90,cross_split,cross_split,matched,False,4
actual,1h,90,cross_split,earlier,matched,False,8
actual,1h,90,earlier,earlier,matched,False,373
actual,1h,90,later,later,censored,False,1
actual,1h,90,later,later,matched,False,259
actual,1h,90,later,later,matched,True,12
actual,1h,120,cross_split,cross_split,matched,False,4
actual,1h,120,cross_split,earlier,matched,False,8
actual,1h,120,earlier,earlier,matched,False,315
actual,1h,120,later,later,matched,False,232
actual,1h,120,later,later,matched,True,7
actual,1h,150,cross_split,cross_split,matched,False,3
actual,1h,150,cross_split,earlier,matched,False,7
actual,1h,150,earlier,earlier,matched,False,275
actual,1h,150,later,later,matched,False,211
actual,1h,150,later,later,matched,True,6
actual,1h,200,cross_split,cross_split,matched,False,3
actual,1h,200,cross_split,earlier,matched,False,6
actual,1h,200,earlier,earlier,matched,False,250
actual,1h,200,later,later,matched,False,205
actual,1h,200,later,later,matched,True,4
actual,4h,0,cross_split,cross_split,matched,False,1
actual,4h,0,cross_split,earlier,matched,False,3
actual,4h,0,earlier,earlier,matched,False,136
actual,4h,0,later,later,censored,False,1
actual,4h,0,later,later,censored,True,2
actual,4h,0,later,later,matched,False,98
actual,4h,0,later,later,matched,True,1
actual,4h,20,cross_split,cross_split,matched,False,1
actual,4h,20,cross_split,earlier,matched,False,3
actual,4h,20,earlier,earlier,matched,False,136
actual,4h,20,later,later,censored,False,1
actual,4h,20,later,later,censored,True,2
actual,4h,20,later,later,matched,False,98
actual,4h,20,later,later,matched,True,1
actual,4h,30,cross_split,cross_split,matched,False,1
actual,4h,30,cross_split,earlier,matched,False,3
actual,4h,30,earlier,earlier,matched,False,134
actual,4h,30,later,later,censored,False,2
actual,4h,30,later,later,censored,True,2
actual,4h,30,later,later,matched,False,93
actual,4h,30,later,later,matched,True,1
actual,4h,50,cross_split,earlier,matched,False,2
actual,4h,50,earlier,cross_split,matched,False,1
actual,4h,50,earlier,earlier,matched,False,111
actual,4h,50,later,later,censored,False,1
actual,4h,50,later,later,censored,True,2
actual,4h,50,later,later,matched,False,85
actual,4h,50,later,later,matched,True,1
actual,4h,60,cross_split,earlier,matched,False,2
actual,4h,60,earlier,cross_split,matched,False,1
actual,4h,60,earlier,earlier,matched,False,103
actual,4h,60,later,later,censored,False,1
actual,4h,60,later,later,censored,True,2
actual,4h,60,later,later,matched,False,75
actual,4h,60,later,later,matched,True,1
actual,4h,90,cross_split,earlier,matched,False,2
actual,4h,90,earlier,earlier,matched,False,91
actual,4h,90,later,later,censored,False,1
actual,4h,90,later,later,censored,True,1
actual,4h,90,later,later,matched,False,56
actual,4h,90,later,later,matched,True,2
actual,4h,120,cross_split,earlier,matched,False,2
actual,4h,120,earlier,cross_split,matched,False,1
actual,4h,120,earlier,earlier,matched,False,86
actual,4h,120,later,later,censored,False,1
actual,4h,120,later,later,matched,False,52
actual,4h,120,later,later,matched,True,1
actual,4h,150,cross_split,cross_split,matched,False,1
actual,4h,150,cross_split,earlier,matched,False,2
actual,4h,150,earlier,earlier,matched,False,75
actual,4h,150,later,later,censored,False,1
actual,4h,150,later,later,matched,False,46
actual,4h,150,later,later,matched,True,1
actual,4h,200,cross_split,cross_split,matched,False,1
actual,4h,200,cross_split,earlier,matched,False,2
actual,4h,200,earlier,earlier,matched,False,72
actual,4h,200,later,later,censored,False,1
actual,4h,200,later,later,matched,False,43
actual,4h,200,later,later,matched,True,1
common,15m,0,cross_split,earlier,matched,False,1
common,15m,0,earlier,cross_split,matched,False,1
common,15m,0,earlier,earlier,matched,False,1684
common,15m,0,later,later,censored,False,3
common,15m,0,later,later,matched,False,1192
common,15m,0,later,later,matched,True,1
common,15m,20,cross_split,earlier,matched,False,1
common,15m,20,earlier,cross_split,matched,False,1
common,15m,20,earlier,earlier,matched,False,1674
common,15m,20,later,later,censored,False,3
common,15m,20,later,later,matched,False,1188
common,15m,20,later,later,matched,True,1
common,15m,30,cross_split,earlier,matched,False,1
common,15m,30,earlier,cross_split,matched,False,1
common,15m,30,earlier,earlier,matched,False,1676
common,15m,30,later,later,censored,False,3
common,15m,30,later,later,matched,False,1190
common,15m,30,later,later,matched,True,1
common,15m,50,cross_split,earlier,matched,False,1
common,15m,50,earlier,cross_split,matched,False,1
common,15m,50,earlier,earlier,matched,False,1613
common,15m,50,later,later,censored,False,3
common,15m,50,later,later,matched,False,1154
common,15m,50,later,later,matched,True,1
common,15m,60,cross_split,earlier,matched,False,1
common,15m,60,earlier,cross_split,matched,False,1
common,15m,60,earlier,earlier,matched,False,1582
common,15m,60,later,later,censored,False,3
common,15m,60,later,later,matched,False,1113
common,15m,60,later,later,matched,True,1
common,15m,90,cross_split,earlier,matched,False,1
common,15m,90,earlier,cross_split,matched,False,1
common,15m,90,earlier,earlier,matched,False,1373
common,15m,90,later,later,censored,False,4
common,15m,90,later,later,matched,False,939
common,15m,90,later,later,matched,True,1
common,15m,120,cross_split,earlier,matched,False,1
common,15m,120,earlier,cross_split,matched,False,1
common,15m,120,earlier,earlier,matched,False,1215
common,15m,120,later,later,censored,False,3
common,15m,120,later,later,matched,False,839
common,15m,120,later,later,matched,True,1
common,15m,150,cross_split,earlier,matched,False,1
common,15m,150,earlier,cross_split,matched,False,1
common,15m,150,earlier,earlier,matched,False,1113
common,15m,150,later,later,censored,False,4
common,15m,150,later,later,matched,False,801
common,15m,200,cross_split,earlier,matched,False,1
common,15m,200,earlier,cross_split,matched,False,1
common,15m,200,earlier,earlier,matched,False,1027
common,15m,200,later,later,censored,False,1
common,15m,200,later,later,matched,False,748
common,1h,0,cross_split,cross_split,matched,False,5
common,1h,0,cross_split,earlier,matched,False,10
common,1h,0,earlier,cross_split,matched,False,3
common,1h,0,earlier,earlier,matched,False,465
common,1h,0,later,later,censored,False,1
common,1h,0,later,later,matched,False,324
common,1h,0,later,later,matched,True,13
common,1h,20,cross_split,cross_split,matched,False,5
common,1h,20,cross_split,earlier,matched,False,10
common,1h,20,earlier,cross_split,matched,False,3
common,1h,20,earlier,earlier,matched,False,462
common,1h,20,later,later,censored,False,1
common,1h,20,later,later,matched,False,320
common,1h,20,later,later,matched,True,13
common,1h,30,cross_split,cross_split,matched,False,5
common,1h,30,cross_split,earlier,matched,False,10
common,1h,30,earlier,cross_split,matched,False,3
common,1h,30,earlier,earlier,matched,False,463
common,1h,30,later,later,censored,False,1
common,1h,30,later,later,matched,False,323
common,1h,30,later,later,matched,True,13
common,1h,50,cross_split,cross_split,matched,False,5
common,1h,50,cross_split,earlier,matched,False,9
common,1h,50,earlier,cross_split,matched,False,2
common,1h,50,earlier,earlier,matched,False,453
common,1h,50,later,later,censored,False,1
common,1h,50,later,later,matched,False,317
common,1h,50,later,later,matched,True,12
common,1h,60,cross_split,cross_split,matched,False,5
common,1h,60,cross_split,earlier,matched,False,9
common,1h,60,earlier,cross_split,matched,False,1
common,1h,60,earlier,earlier,matched,False,433
common,1h,60,later,later,censored,False,2
common,1h,60,later,later,matched,False,309
common,1h,60,later,later,matched,True,13
common,1h,90,cross_split,cross_split,matched,False,4
common,1h,90,cross_split,earlier,matched,False,8
common,1h,90,earlier,earlier,matched,False,370
common,1h,90,later,later,censored,False,1
common,1h,90,later,later,matched,False,259
common,1h,90,later,later,matched,True,12
common,1h,120,cross_split,cross_split,matched,False,4
common,1h,120,cross_split,earlier,matched,False,8
common,1h,120,earlier,earlier,matched,False,312
common,1h,120,later,later,matched,False,232
common,1h,120,later,later,matched,True,7
common,1h,150,cross_split,cross_split,matched,False,3
common,1h,150,cross_split,earlier,matched,False,7
common,1h,150,earlier,earlier,matched,False,272
common,1h,150,later,later,matched,False,211
common,1h,150,later,later,matched,True,6
common,1h,200,cross_split,cross_split,matched,False,3
common,1h,200,cross_split,earlier,matched,False,6
common,1h,200,earlier,earlier,matched,False,250
common,1h,200,later,later,matched,False,205
common,1h,200,later,later,matched,True,4
common,4h,0,cross_split,cross_split,matched,False,1
common,4h,0,cross_split,earlier,matched,False,3
common,4h,0,earlier,earlier,matched,False,134
common,4h,0,later,later,censored,False,1
common,4h,0,later,later,censored,True,2
common,4h,0,later,later,matched,False,94
common,4h,0,later,later,matched,True,1
common,4h,20,cross_split,cross_split,matched,False,1
common,4h,20,cross_split,earlier,matched,False,3
common,4h,20,earlier,earlier,matched,False,134
common,4h,20,later,later,censored,False,1
common,4h,20,later,later,censored,True,2
common,4h,20,later,later,matched,False,94
common,4h,20,later,later,matched,True,1
common,4h,30,cross_split,cross_split,matched,False,1
common,4h,30,cross_split,earlier,matched,False,3
common,4h,30,earlier,earlier,matched,False,132
common,4h,30,later,later,censored,False,2
common,4h,30,later,later,censored,True,2
common,4h,30,later,later,matched,False,89
common,4h,30,later,later,matched,True,1
common,4h,50,cross_split,earlier,matched,False,2
common,4h,50,earlier,cross_split,matched,False,1
common,4h,50,earlier,earlier,matched,False,109
common,4h,50,later,later,censored,False,1
common,4h,50,later,later,censored,True,2
common,4h,50,later,later,matched,False,82
common,4h,50,later,later,matched,True,1
common,4h,60,cross_split,earlier,matched,False,2
common,4h,60,earlier,cross_split,matched,False,1
common,4h,60,earlier,earlier,matched,False,101
common,4h,60,later,later,censored,False,1
common,4h,60,later,later,censored,True,2
common,4h,60,later,later,matched,False,72
common,4h,60,later,later,matched,True,1
common,4h,90,cross_split,earlier,matched,False,2
common,4h,90,earlier,earlier,matched,False,89
common,4h,90,later,later,censored,False,1
common,4h,90,later,later,censored,True,1
common,4h,90,later,later,matched,False,53
common,4h,90,later,later,matched,True,2
common,4h,120,cross_split,earlier,matched,False,2
common,4h,120,earlier,cross_split,matched,False,1
common,4h,120,earlier,earlier,matched,False,85
common,4h,120,later,later,censored,False,1
common,4h,120,later,later,matched,False,49
common,4h,120,later,later,matched,True,1
common,4h,150,cross_split,cross_split,matched,False,1
common,4h,150,cross_split,earlier,matched,False,2
common,4h,150,earlier,earlier,matched,False,74
common,4h,150,later,later,censored,False,1
common,4h,150,later,later,matched,False,46
common,4h,150,later,later,matched,True,1
common,4h,200,cross_split,cross_split,matched,False,1
common,4h,200,cross_split,earlier,matched,False,2
common,4h,200,earlier,earlier,matched,False,72
common,4h,200,later,later,censored,False,1
common,4h,200,later,later,matched,False,43
common,4h,200,later,later,matched,True,1
