i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image
24,AXS_USDT_SWAP_028559,AXS_USDT_SWAP,28559,2026-03-28 01:45:00+00:00,0.4386,2,0.002692,0.9977,drop,,images/train/AXS_USDT_SWAP_028559.png
25,BONK_USDT_SWAP_031859,BONK_USDT_SWAP,31859,2026-05-01 11:15:00+00:00,0.6032,1,0.002722,0.998,drop,,images/train/BONK_USDT_SWAP_031859.png
26,INJ_USDT_SWAP_013299,INJ_USDT_SWAP,13299,2025-10-19 04:15:00+00:00,0.5235,1,0.002727,0.9978,,,images/train/INJ_USDT_SWAP_013299.png
27,CRWV_USDT_SWAP_002219,CRWV_USDT_SWAP,2219,2026-05-03 14:45:00+00:00,0.5174,1,0.002728,0.9971,drop,,images/train/CRWV_USDT_SWAP_002219.png
28,OKB_USDT_SWAP_007439,OKB_USDT_SWAP,7439,2025-11-20 13:45:00+00:00,0.3628,1,0.002728,0.9967,,,images/train/OKB_USDT_SWAP_007439.png
29,XPT_USDT_SWAP_005179,XPT_USDT_SWAP,5179,2026-03-28 05:15:00+00:00,0.3553,1,0.002737,0.9962,drop,,images/train/XPT_USDT_SWAP_005179.png
30,ORDER_USDT_SWAP_012079,ORDER_USDT_SWAP,12079,2026-02-03 11:00:00+00:00,0.5309,1,0.002741,0.9979,,,images/train/ORDER_USDT_SWAP_012079.png
31,HBAR_USDT_SWAP_027179,HBAR_USDT_SWAP,27179,2026-03-12 18:00:00+00:00,0.3927,1,0.002781,0.9975,drop,,images/train/HBAR_USDT_SWAP_027179.png
32,AT_USDT_SWAP_002019,AT_USDT_SWAP,2019,2025-11-20 10:45:00+00:00,0.4988,2,0.002849,0.9978,drop,,images/train/AT_USDT_SWAP_002019.png
33,AGLD_USDT_SWAP_000479,AGLD_USDT_SWAP,479,2025-06-08 13:15:00+00:00,0.3896,1,0.002855,0.9978,drop,,images/train/AGLD_USDT_SWAP_000479.png
34,VANA_USDT_SWAP_005179,VANA_USDT_SWAP,5179,2025-07-27 16:30:00+00:00,0.4645,2,0.002898,0.998,drop,,images/train/VANA_USDT_SWAP_005179.png
35,COAI_USDT_SWAP_008319,COAI_USDT_SWAP,8319,2026-01-10 06:15:00+00:00,0.362,1,0.002911,0.9967,drop,,images/train/COAI_USDT_SWAP_008319.png
36,AT_USDT_SWAP_006659,AT_USDT_SWAP,6659,2026-01-07 18:45:00+00:00,0.5992,2,0.002942,0.9964,drop,,images/train/AT_USDT_SWAP_006659.png
37,SYRUP_USDT_SWAP_019799,SYRUP_USDT_SWAP,19799,2026-01-25 12:15:00+00:00,0.3654,1,0.002948,0.9978,,,images/train/SYRUP_USDT_SWAP_019799.png
38,APT_USDT_SWAP_026499,APT_USDT_SWAP,26499,2026-03-05 15:30:00+00:00,0.3224,1,0.002962,0.9978,skip,,images/train/APT_USDT_SWAP_026499.png
39,STX_USDT_SWAP_024919,STX_USDT_SWAP,24919,2026-02-18 07:15:00+00:00,0.5144,1,0.002967,0.9971,drop,,images/train/STX_USDT_SWAP_024919.png
40,TURBO_USDT_SWAP_001159,TURBO_USDT_SWAP,1159,2025-06-15 19:30:00+00:00,0.437,1,0.002996,0.9988,,,images/train/TURBO_USDT_SWAP_001159.png
41,GPS_USDT_SWAP_010299,GPS_USDT_SWAP,10299,2025-09-18 22:30:00+00:00,0.3401,1,0.002996,0.9969,drop,,images/train/GPS_USDT_SWAP_010299.png
42,LINK_USDT_SWAP_013299,LINK_USDT_SWAP,13299,2025-10-19 04:15:00+00:00,0.3029,1,0.002999,0.9982,drop,,images/train/LINK_USDT_SWAP_013299.png
43,NMR_USDT_SWAP_023119,NMR_USDT_SWAP,23119,2026-01-30 12:30:00+00:00,0.5461,1,0.003016,0.9975,,,images/train/NMR_USDT_SWAP_023119.png
44,NEO_USDT_SWAP_021079,NEO_USDT_SWAP,21079,2026-01-09 06:15:00+00:00,0.5018,1,0.003067,0.9972,,,images/train/NEO_USDT_SWAP_021079.png
45,CFX_USDT_SWAP_031499,CFX_USDT_SWAP,31499,2026-04-26 17:45:00+00:00,0.617,1,0.00307,0.9973,drop,,images/train/CFX_USDT_SWAP_031499.png
46,XPT_USDT_SWAP_001919,XPT_USDT_SWAP,1919,2026-02-22 06:15:00+00:00,0.4398,1,0.003102,0.9977,drop,,images/train/XPT_USDT_SWAP_001919.png
47,XTZ_USDT_SWAP_011139,XTZ_USDT_SWAP,11139,2025-09-27 18:45:00+00:00,0.5187,1,0.003109,0.9973,drop,,images/train/XTZ_USDT_SWAP_011139.png
48,LA_USDT_SWAP_007939,LA_USDT_SWAP,7939,2025-09-04 02:45:00+00:00,0.4108,2,0.003114,0.9974,,,images/train/LA_USDT_SWAP_007939.png
49,GMT_USDT_SWAP_022859,GMT_USDT_SWAP,22859,2026-01-27 18:30:00+00:00,0.6053,1,0.003143,0.9972,drop,,images/train/GMT_USDT_SWAP_022859.png
50,F_USDT_SWAP_012599,F_USDT_SWAP,12599,2026-03-05 13:45:00+00:00,0.6294,2,0.003152,0.997,drop,,images/train/F_USDT_SWAP_012599.png
51,ONE_USDT_SWAP_031839,ONE_USDT_SWAP,31839,2026-05-01 08:30:00+00:00,0.5727,1,0.003152,0.9954,,,images/train/ONE_USDT_SWAP_031839.png
52,UP_USDT_SWAP_001439,UP_USDT_SWAP,1439,2026-04-23 10:45:00+00:00,0.6394,1,0.003167,0.9983,,,images/train/UP_USDT_SWAP_001439.png
53,SNX_USDT_SWAP_022499,SNX_USDT_SWAP,22499,2026-01-24 02:00:00+00:00,0.4197,1,0.00317,0.9983,drop,,images/train/SNX_USDT_SWAP_022499.png
54,MAGIC_USDT_SWAP_027119,MAGIC_USDT_SWAP,27119,2026-03-13 04:00:00+00:00,0.446,1,0.003196,0.9969,,,images/train/MAGIC_USDT_SWAP_027119.png
55,TURBO_USDT_SWAP_008519,TURBO_USDT_SWAP,8519,2025-08-31 11:30:00+00:00,0.5407,2,0.003234,0.9971,,,images/train/TURBO_USDT_SWAP_008519.png
56,FIL_USDT_SWAP_027979,FIL_USDT_SWAP,27979,2026-03-21 02:00:00+00:00,0.4791,1,0.003254,0.9972,,,images/train/FIL_USDT_SWAP_027979.png
57,USAR_USDT_SWAP_000599,USAR_USDT_SWAP,599,2026-05-03 19:45:00+00:00,0.3158,1,0.003277,0.9972,drop,,images/train/USAR_USDT_SWAP_000599.png
58,IOST_USDT_SWAP_002359,IOST_USDT_SWAP,2359,2025-06-28 05:45:00+00:00,0.6581,1,0.003282,0.9977,,,images/train/IOST_USDT_SWAP_002359.png
59,BAT_USDT_SWAP_013659,BAT_USDT_SWAP,13659,2025-10-23 21:00:00+00:00,0.485,2,0.003318,0.997,,,images/train/BAT_USDT_SWAP_013659.png
60,DOT_USDT_SWAP_022559,DOT_USDT_SWAP,22559,2026-01-23 14:45:00+00:00,0.4876,2,0.003326,0.9974,,,images/train/DOT_USDT_SWAP_022559.png
61,IOTA_USDT_SWAP_028859,IOTA_USDT_SWAP,28859,2026-03-31 06:45:00+00:00,0.7658,1,0.003347,0.9967,,,images/train/IOTA_USDT_SWAP_028859.png
62,MORPHO_USDT_SWAP_022479,MORPHO_USDT_SWAP,22479,2026-01-23 20:15:00+00:00,0.7167,1,0.003359,0.9972,drop,,images/train/MORPHO_USDT_SWAP_022479.png
63,MOVE_USDT_SWAP_012359,MOVE_USDT_SWAP,12359,2025-10-10 10:15:00+00:00,0.3805,1,0.003398,0.9983,,,images/train/MOVE_USDT_SWAP_012359.png
64,WLFI_USDT_SWAP_006759,WLFI_USDT_SWAP,6759,2025-11-01 22:45:00+00:00,0.4513,2,0.003399,0.9971,keep,,images/train/WLFI_USDT_SWAP_006759.png
65,GALA_USDT_SWAP_023699,GALA_USDT_SWAP,23699,2026-02-04 12:00:00+00:00,0.6812,1,0.003425,0.9976,,,images/train/GALA_USDT_SWAP_023699.png
66,SOL_USDT_SWAP_022939,SOL_USDT_SWAP,22939,2026-01-27 14:30:00+00:00,0.3087,1,0.003428,0.9992,,,images/train/SOL_USDT_SWAP_022939.png
67,AIXBT_USDT_SWAP_025259,AIXBT_USDT_SWAP,25259,2026-02-21 16:15:00+00:00,0.7538,1,0.00343,0.9965,,,images/train/AIXBT_USDT_SWAP_025259.png
68,CRWV_USDT_SWAP_002199,CRWV_USDT_SWAP,2199,2026-05-03 09:45:00+00:00,0.4995,1,0.003431,0.9969,,,images/train/CRWV_USDT_SWAP_002199.png
69,DOT_USDT_SWAP_017379,DOT_USDT_SWAP,17379,2025-11-30 15:45:00+00:00,0.6878,1,0.003434,0.998,drop,,images/train/DOT_USDT_SWAP_017379.png
70,HBAR_USDT_SWAP_004519,HBAR_USDT_SWAP,4519,2025-07-19 17:00:00+00:00,0.5063,2,0.003444,0.9973,,,images/train/HBAR_USDT_SWAP_004519.png
71,1INCH_USDT_SWAP_017159,1INCH_USDT_SWAP,17159,2025-11-29 07:00:00+00:00,0.5781,1,0.003458,0.998,,,images/train/1INCH_USDT_SWAP_017159.png
72,BZ_USDT_SWAP_002199,BZ_USDT_SWAP,2199,2026-04-16 07:45:00+00:00,0.4491,2,0.003478,0.9975,drop,,images/train/BZ_USDT_SWAP_002199.png
73,BNB_USDT_SWAP_015359,BNB_USDT_SWAP,15359,2025-11-09 14:30:00+00:00,0.3022,1,0.003487,0.9989,,,images/train/BNB_USDT_SWAP_015359.png
74,ENJ_USDT_SWAP_026879,ENJ_USDT_SWAP,26879,2026-03-10 15:00:00+00:00,0.4258,1,0.003487,0.9972,,,images/train/ENJ_USDT_SWAP_026879.png
75,APR_USDT_SWAP_006999,APR_USDT_SWAP,6999,2026-01-05 03:45:00+00:00,0.5779,2,0.003491,0.9991,keep,,images/train/APR_USDT_SWAP_006999.png
76,NMR_USDT_SWAP_021839,NMR_USDT_SWAP,21839,2026-01-17 04:30:00+00:00,0.7263,1,0.003497,0.9968,drop,,images/train/NMR_USDT_SWAP_021839.png
77,KAT_USDT_SWAP_003239,KAT_USDT_SWAP,3239,2026-04-05 05:15:00+00:00,0.7242,1,0.003501,0.998,keep,,images/train/KAT_USDT_SWAP_003239.png
78,NG_USDT_SWAP_002899,NG_USDT_SWAP,2899,2026-04-09 13:45:00+00:00,0.3655,2,0.003506,0.9971,,,images/train/NG_USDT_SWAP_002899.png
79,ZRO_USDT_SWAP_001299,ZRO_USDT_SWAP,1299,2025-06-16 04:45:00+00:00,0.3528,1,0.003512,0.998,,,images/train/ZRO_USDT_SWAP_001299.png
80,APT_USDT_SWAP_013319,APT_USDT_SWAP,13319,2025-10-19 08:30:00+00:00,0.4712,1,0.003525,0.9973,,,images/train/APT_USDT_SWAP_013319.png
81,APT_USDT_SWAP_030419,APT_USDT_SWAP,30419,2026-04-15 11:30:00+00:00,0.3278,1,0.00353,0.9978,,,images/train/APT_USDT_SWAP_030419.png
82,LUNA_USDT_SWAP_004239,LUNA_USDT_SWAP,4239,2025-07-17 20:00:00+00:00,0.3275,1,0.003563,0.997,drop,,images/train/LUNA_USDT_SWAP_004239.png
83,PEOPLE_USDT_SWAP_009579,PEOPLE_USDT_SWAP,9579,2025-09-11 11:30:00+00:00,0.7156,1,0.003576,0.9975,drop,,images/train/PEOPLE_USDT_SWAP_009579.png
84,ENSO_USDT_SWAP_002639,ENSO_USDT_SWAP,2639,2025-11-25 21:45:00+00:00,0.6564,1,0.003578,0.9973,,,images/train/ENSO_USDT_SWAP_002639.png
85,CRWV_USDT_SWAP_000639,CRWV_USDT_SWAP,639,2026-04-17 03:45:00+00:00,0.5483,1,0.003583,0.9968,drop,,images/train/CRWV_USDT_SWAP_000639.png
86,WLD_USDT_SWAP_008619,WLD_USDT_SWAP,8619,2025-08-31 10:45:00+00:00,0.4896,2,0.003592,0.9965,drop,,images/train/WLD_USDT_SWAP_008619.png
87,SKY_USDT_SWAP_021619,SKY_USDT_SWAP,21619,2026-04-24 16:15:00+00:00,0.7688,1,0.003595,0.9966,,,images/train/SKY_USDT_SWAP_021619.png
88,MUBARAK_USDT_SWAP_029259,MUBARAK_USDT_SWAP,29259,2026-04-04 11:15:00+00:00,0.6618,2,0.003603,0.9976,,,images/train/MUBARAK_USDT_SWAP_029259.png
89,PEOPLE_USDT_SWAP_009539,PEOPLE_USDT_SWAP,9539,2025-09-11 01:30:00+00:00,0.4963,1,0.00361,0.9971,,,images/train/PEOPLE_USDT_SWAP_009539.png
90,BARD_USDT_SWAP_007799,BARD_USDT_SWAP,7799,2025-12-08 17:45:00+00:00,0.5356,2,0.003621,0.9965,,,images/train/BARD_USDT_SWAP_007799.png
91,PEOPLE_USDT_SWAP_031639,PEOPLE_USDT_SWAP,31639,2026-04-29 06:30:00+00:00,0.4572,1,0.003622,0.9984,,,images/train/PEOPLE_USDT_SWAP_031639.png
92,SUI_USDT_SWAP_004339,SUI_USDT_SWAP,4339,2025-07-17 20:30:00+00:00,0.7241,1,0.003623,0.9963,,,images/train/SUI_USDT_SWAP_004339.png
93,H_USDT_SWAP_002319,H_USDT_SWAP,2319,2025-07-27 09:45:00+00:00,0.726,1,0.003681,0.9972,drop,,images/train/H_USDT_SWAP_002319.png
94,ETH_USDT_SWAP_029399,ETH_USDT_SWAP,29399,2026-04-03 18:30:00+00:00,0.3929,2,0.003683,0.9974,drop,,images/train/ETH_USDT_SWAP_029399.png
95,API3_USDT_SWAP_020899,API3_USDT_SWAP,20899,2026-01-07 06:30:00+00:00,0.8088,1,0.003695,0.9975,drop,,images/train/API3_USDT_SWAP_020899.png
96,SPX_USDT_SWAP_020679,SPX_USDT_SWAP,20679,2026-02-17 14:45:00+00:00,0.3967,1,0.003698,0.9983,drop,,images/train/SPX_USDT_SWAP_020679.png
97,BICO_USDT_SWAP_008579,BICO_USDT_SWAP,8579,2025-08-31 23:00:00+00:00,0.5901,1,0.003702,0.9965,,,images/train/BICO_USDT_SWAP_008579.png
98,TRB_USDT_SWAP_015459,TRB_USDT_SWAP,15459,2025-11-11 18:15:00+00:00,0.4696,1,0.003704,0.9972,drop,,images/train/TRB_USDT_SWAP_015459.png
99,CRO_USDT_SWAP_009039,CRO_USDT_SWAP,9039,2025-09-05 18:45:00+00:00,0.4022,1,0.00371,0.9968,,,images/train/CRO_USDT_SWAP_009039.png
100,LAYER_USDT_SWAP_008799,LAYER_USDT_SWAP,8799,2025-09-03 07:45:00+00:00,0.6595,2,0.003717,0.9978,drop,,images/train/LAYER_USDT_SWAP_008799.png
101,F_USDT_SWAP_006919,F_USDT_SWAP,6919,2026-01-05 09:45:00+00:00,0.5935,1,0.00373,0.9979,,,images/train/F_USDT_SWAP_006919.png
102,AT_USDT_SWAP_013899,AT_USDT_SWAP,13899,2026-03-24 04:45:00+00:00,0.5726,1,0.003736,0.9971,,,images/train/AT_USDT_SWAP_013899.png
103,AAVE_USDT_SWAP_021199,AAVE_USDT_SWAP,21199,2026-01-09 10:30:00+00:00,0.6163,2,0.003752,0.9967,,,images/train/AAVE_USDT_SWAP_021199.png
104,ONDO_USDT_SWAP_026579,ONDO_USDT_SWAP,26579,2026-03-06 12:15:00+00:00,0.7142,1,0.00377,0.9972,,,images/train/ONDO_USDT_SWAP_026579.png
105,CRWV_USDT_SWAP_001639,CRWV_USDT_SWAP,1639,2026-04-27 13:45:00+00:00,0.7669,1,0.003775,0.9968,,,images/train/CRWV_USDT_SWAP_001639.png
106,LRC_USDT_SWAP_009559,LRC_USDT_SWAP,9559,2025-09-11 06:00:00+00:00,0.7334,1,0.003793,0.9965,,,images/train/LRC_USDT_SWAP_009559.png
107,ORDI_USDT_SWAP_001199,ORDI_USDT_SWAP,1199,2025-06-15 03:15:00+00:00,0.5058,1,0.003795,0.9974,drop,,images/train/ORDI_USDT_SWAP_001199.png
108,MUBARAK_USDT_SWAP_027499,MUBARAK_USDT_SWAP,27499,2026-03-17 03:15:00+00:00,0.6337,1,0.003799,0.9973,keep,,images/train/MUBARAK_USDT_SWAP_027499.png
109,IOTA_USDT_SWAP_008199,IOTA_USDT_SWAP,8199,2025-08-28 01:45:00+00:00,0.4768,1,0.003802,0.9973,,,images/train/IOTA_USDT_SWAP_008199.png
110,SUSHI_USDT_SWAP_001139,SUSHI_USDT_SWAP,1139,2025-06-15 14:15:00+00:00,0.484,1,0.003809,0.9978,,,images/train/SUSHI_USDT_SWAP_001139.png
111,H_USDT_SWAP_003279,H_USDT_SWAP,3279,2025-08-06 09:45:00+00:00,0.4646,1,0.003821,0.9987,,,images/train/H_USDT_SWAP_003279.png
112,GMT_USDT_SWAP_023599,GMT_USDT_SWAP,23599,2026-02-04 11:30:00+00:00,0.8922,1,0.003828,0.9979,,,images/train/GMT_USDT_SWAP_023599.png
113,RECALL_USDT_SWAP_012279,RECALL_USDT_SWAP,12279,2026-03-07 08:00:00+00:00,0.6915,1,0.00383,0.9968,keep,,images/train/RECALL_USDT_SWAP_012279.png
114,HOME_USDT_SWAP_003659,HOME_USDT_SWAP,3659,2025-07-21 13:00:00+00:00,0.4069,1,0.003832,0.9991,,,images/train/HOME_USDT_SWAP_003659.png
115,MUBARAK_USDT_SWAP_013819,MUBARAK_USDT_SWAP,13819,2025-10-25 15:15:00+00:00,0.5399,1,0.003835,0.9975,drop,,images/train/MUBARAK_USDT_SWAP_013819.png
116,WET_USDT_SWAP_008679,WET_USDT_SWAP,8679,2026-03-10 01:45:00+00:00,0.3896,1,0.00385,0.9993,,,images/train/WET_USDT_SWAP_008679.png
117,WLFI_USDT_SWAP_015699,WLFI_USDT_SWAP,15699,2026-02-03 01:45:00+00:00,0.7052,1,0.00385,0.997,,,images/train/WLFI_USDT_SWAP_015699.png
118,UNI_USDT_SWAP_029939,UNI_USDT_SWAP,29939,2026-04-10 12:30:00+00:00,0.5497,1,0.003852,0.9969,drop,,images/train/UNI_USDT_SWAP_029939.png
119,ZORA_USDT_SWAP_007019,ZORA_USDT_SWAP,7019,2025-12-22 14:15:00+00:00,0.4576,1,0.00386,0.9978,,,images/train/ZORA_USDT_SWAP_007019.png
120,ARM_USDT_SWAP_000319,ARM_USDT_SWAP,319,2026-05-02 14:00:00+00:00,0.536,1,0.003863,0.9967,,,images/train/ARM_USDT_SWAP_000319.png
121,SSV_USDT_SWAP_030259,SSV_USDT_SWAP,30259,2026-04-14 22:15:00+00:00,0.3334,1,0.003866,0.998,drop,,images/train/SSV_USDT_SWAP_030259.png
122,ASTER_USDT_SWAP_014339,ASTER_USDT_SWAP,14339,2026-02-18 13:45:00+00:00,0.6456,2,0.003867,0.9971,,,images/train/ASTER_USDT_SWAP_014339.png
123,OKB_USDT_SWAP_019939,OKB_USDT_SWAP,19939,2026-03-30 18:45:00+00:00,0.8395,1,0.003869,0.9974,,,images/train/OKB_USDT_SWAP_019939.png
124,SSV_USDT_SWAP_019379,SSV_USDT_SWAP,19379,2025-12-22 14:15:00+00:00,0.3343,1,0.003886,0.9972,drop,,images/train/SSV_USDT_SWAP_019379.png
125,KAITO_USDT_SWAP_010519,KAITO_USDT_SWAP,10519,2025-09-21 05:45:00+00:00,0.6843,1,0.003902,0.9977,,,images/train/KAITO_USDT_SWAP_010519.png
126,GMT_USDT_SWAP_011159,GMT_USDT_SWAP,11159,2025-09-27 21:30:00+00:00,0.3515,1,0.003905,0.9989,drop,,images/train/GMT_USDT_SWAP_011159.png
127,XTZ_USDT_SWAP_013719,XTZ_USDT_SWAP,13719,2025-10-24 15:45:00+00:00,0.7121,1,0.003913,0.9973,drop,,images/train/XTZ_USDT_SWAP_013719.png
128,TRB_USDT_SWAP_005159,TRB_USDT_SWAP,5159,2025-07-27 11:15:00+00:00,0.4122,1,0.003923,0.9978,,,images/train/TRB_USDT_SWAP_005159.png
129,PEOPLE_USDT_SWAP_030899,PEOPLE_USDT_SWAP,30899,2026-04-21 13:30:00+00:00,0.7242,1,0.00393,0.9965,,,images/train/PEOPLE_USDT_SWAP_030899.png
130,IWM_USDT_SWAP_000919,IWM_USDT_SWAP,919,2026-04-20 01:45:00+00:00,0.6007,2,0.003944,0.9966,drop,,images/train/IWM_USDT_SWAP_000919.png
131,RLS_USDT_SWAP_013039,RLS_USDT_SWAP,13039,2026-04-17 11:00:00+00:00,0.4695,1,0.003952,0.9982,drop,,images/train/RLS_USDT_SWAP_013039.png
132,SHELL_USDT_SWAP_027879,SHELL_USDT_SWAP,27879,2026-03-21 03:00:00+00:00,0.69,1,0.003953,0.9977,keep,,images/train/SHELL_USDT_SWAP_027879.png
133,BAND_USDT_SWAP_028679,BAND_USDT_SWAP,28679,2026-03-29 08:00:00+00:00,0.5511,2,0.003961,0.997,,,images/train/BAND_USDT_SWAP_028679.png
134,NOT_USDT_SWAP_031879,NOT_USDT_SWAP,31879,2026-05-01 18:30:00+00:00,0.4228,1,0.003968,0.9972,,,images/train/NOT_USDT_SWAP_031879.png
135,HUMA_USDT_SWAP_031979,HUMA_USDT_SWAP,31979,2026-05-02 18:45:00+00:00,0.5185,1,0.00397,0.9973,drop,,images/train/HUMA_USDT_SWAP_031979.png
136,RSR_USDT_SWAP_001519,RSR_USDT_SWAP,1519,2025-06-19 13:00:00+00:00,0.5551,2,0.003971,0.9969,,,images/train/RSR_USDT_SWAP_001519.png
137,SPK_USDT_SWAP_025359,SPK_USDT_SWAP,25359,2026-03-08 14:15:00+00:00,0.3064,1,0.003974,0.9981,,,images/train/SPK_USDT_SWAP_025359.png
138,CHZ_USDT_SWAP_024099,CHZ_USDT_SWAP,24099,2026-02-08 15:45:00+00:00,0.5971,1,0.003981,0.9965,,,images/train/CHZ_USDT_SWAP_024099.png
139,JUP_USDT_SWAP_009119,JUP_USDT_SWAP,9119,2025-09-06 15:45:00+00:00,0.498,1,0.003986,0.9988,drop,,images/train/JUP_USDT_SWAP_009119.png
140,METIS_USDT_SWAP_025099,METIS_USDT_SWAP,25099,2026-02-20 03:15:00+00:00,0.4288,1,0.003989,0.9988,drop,,images/train/METIS_USDT_SWAP_025099.png
141,S_USDT_SWAP_030899,S_USDT_SWAP,30899,2026-04-21 14:00:00+00:00,0.9438,1,0.004004,0.9963,,,images/train/S_USDT_SWAP_030899.png
142,DOT_USDT_SWAP_018179,DOT_USDT_SWAP,18179,2025-12-08 23:45:00+00:00,0.7527,1,0.004007,0.9973,,,images/train/DOT_USDT_SWAP_018179.png
143,ORDER_USDT_SWAP_014979,ORDER_USDT_SWAP,14979,2026-03-05 16:00:00+00:00,0.7138,1,0.004015,0.9963,,,images/train/ORDER_USDT_SWAP_014979.png
144,ATH_USDT_SWAP_015899,ATH_USDT_SWAP,15899,2025-11-16 04:30:00+00:00,0.6334,1,0.004019,0.9974,drop,,images/train/ATH_USDT_SWAP_015899.png
145,ZIL_USDT_SWAP_014119,ZIL_USDT_SWAP,14119,2025-10-28 19:45:00+00:00,0.8393,1,0.004022,0.9968,keep,,images/train/ZIL_USDT_SWAP_014119.png
146,ETHFI_USDT_SWAP_009239,ETHFI_USDT_SWAP,9239,2025-09-06 21:00:00+00:00,0.5395,1,0.004035,0.9972,drop,,images/train/ETHFI_USDT_SWAP_009239.png
147,FLOKI_USDT_SWAP_024439,FLOKI_USDT_SWAP,24439,2026-02-13 05:15:00+00:00,0.5785,1,0.004037,0.9963,,,images/train/FLOKI_USDT_SWAP_024439.png
148,YGG_USDT_SWAP_010859,YGG_USDT_SWAP,10859,2025-09-24 20:45:00+00:00,0.5611,1,0.004041,0.9976,keep,,images/train/YGG_USDT_SWAP_010859.png
