task_id,source_task_id,event_id,entry_candidate_time,original_v10_time,future_end,lead_bars,lead_minutes,selection_stratum,proposal_rule,future_return_3h,future_max_drop_3h,future_max_rebound_3h,causal_image_rel,review_image_rel,entry_timing_label
12,127,12,2026-03-25T14:42:00+00:00,2026-03-25T15:18:00+00:00,2026-03-25T17:42:00+00:00,12,36,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.006066367251719829,0.014291093783006747,0.004325903066707104,causal_images/task_12.png,review_images/task_12.jpg,
13,151,10,2026-03-23T06:21:00+00:00,2026-03-23T06:36:00+00:00,2026-03-23T09:21:00+00:00,5,15,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.005094369918402508,0.016158932663815406,0.0019608701787163785,causal_images/task_13.png,review_images/task_13.jpg,
14,11,50,2026-04-29T12:00:00+00:00,2026-04-29T12:24:00+00:00,2026-04-29T15:00:00+00:00,8,24,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.012756428715718249,0.016383930682047687,0.0004083088706174909,causal_images/task_14.png,review_images/task_14.jpg,
15,32,48,2026-04-27T14:54:00+00:00,2026-04-27T15:12:00+00:00,2026-04-27T17:54:00+00:00,6,18,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.012295436086197653,0.022219054037707076,0.00024193409024131363,causal_images/task_15.png,review_images/task_15.jpg,
16,55,18,2026-03-29T22:00:00+00:00,2026-03-29T22:09:00+00:00,2026-03-30T01:00:00+00:00,3,9,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,0.004034683239775516,0.02967121090617486,0.014675220529270172,causal_images/task_16.png,review_images/task_16.jpg,
17,96,6,2026-03-20T02:15:00+00:00,2026-03-20T02:33:00+00:00,2026-03-20T05:15:00+00:00,6,18,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,0.003207567431284808,0.005047133032341833,0.007862508812639835,causal_images/task_17.png,review_images/task_17.jpg,
18,25,28,2026-04-08T22:24:00+00:00,2026-04-08T23:00:00+00:00,2026-04-09T01:24:00+00:00,12,36,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.013697197825177643,0.018056843598276084,0.0005273398432528165,causal_images/task_18.png,review_images/task_18.jpg,
19,126,46,2026-04-24T03:00:00+00:00,2026-04-24T03:39:00+00:00,2026-04-24T06:00:00+00:00,13,39,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.0022992968379276224,0.008584616711962423,0.001324360467624519,causal_images/task_19.png,review_images/task_19.jpg,
20,168,17,2026-03-29T12:36:00+00:00,2026-03-29T13:12:00+00:00,2026-03-29T15:36:00+00:00,12,36,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.005107017271822389,0.008578388463443054,0.0015856263223974487,causal_images/task_20.png,review_images/task_20.jpg,
21,47,19,2026-03-30T17:03:00+00:00,2026-03-30T17:36:00+00:00,2026-03-30T20:03:00+00:00,11,33,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.01866467576791797,0.024588892336332546,0.0018082919640087791,causal_images/task_21.png,review_images/task_21.jpg,
22,24,27,2026-04-08T13:30:00+00:00,2026-04-08T13:42:00+00:00,2026-04-08T16:30:00+00:00,4,12,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.015731076884748507,0.02740926603137328,0.0014236268673979424,causal_images/task_22.png,review_images/task_22.jpg,
23,153,33,2026-04-14T16:18:00+00:00,2026-04-14T16:57:00+00:00,2026-04-14T19:18:00+00:00,13,39,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.015014861995753748,0.020076433121019144,5.5201698513807074e-05,causal_images/task_23.png,review_images/task_23.jpg,
24,130,21,2026-03-31T08:27:00+00:00,2026-03-31T08:42:00+00:00,2026-03-31T11:27:00+00:00,5,15,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.008040558309875712,0.02072233531709322,0.00010714250927756908,causal_images/task_24.png,review_images/task_24.jpg,
25,124,25,2026-04-06T16:54:00+00:00,2026-04-06T17:00:00+00:00,2026-04-06T19:54:00+00:00,2,6,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.0011991582562279612,0.009807901379731865,0.002221009066009527,causal_images/task_25.png,review_images/task_25.jpg,
26,133,44,2026-04-23T07:36:00+00:00,2026-04-23T08:03:00+00:00,2026-04-23T10:36:00+00:00,9,27,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.015312031611936283,0.019361459326883712,0.001703229322796096,causal_images/task_26.png,review_images/task_26.jpg,
27,41,1,2026-03-15T12:39:00+00:00,2026-03-15T13:09:00+00:00,2026-03-15T15:39:00+00:00,10,30,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.00869804151940956,0.012222738082830475,0.0005590244549511514,causal_images/task_27.png,review_images/task_27.jpg,
28,132,23,2026-04-03T12:30:00+00:00,2026-04-03T13:06:00+00:00,2026-04-03T15:30:00+00:00,12,36,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.003554623195373252,0.009124504076647777,0.0012334348246239024,causal_images/task_28.png,review_images/task_28.jpg,
29,22,45,2026-04-23T16:51:00+00:00,2026-04-23T17:06:00+00:00,2026-04-23T19:51:00+00:00,5,15,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.004206560169294771,0.017785405214758243,0.0014365962132356636,causal_images/task_29.png,review_images/task_29.jpg,
30,33,40,2026-04-20T05:06:00+00:00,2026-04-20T05:24:00+00:00,2026-04-20T08:06:00+00:00,6,18,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,0.008717693705745821,0.004713099423954481,0.02688799017774235,causal_images/task_30.png,review_images/task_30.jpg,
