mode,policy,period,timeframe_min,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best
serial,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,240,3864,3864,0,0.19927536231884058,0.08940264099695451,345.45180481223224,1.2193631741301292,1.313151611029269,21,295.22479920428765,309.76801155380525
serial,four_hour_mfe_lt1_close_nonpositive_next_open,later,all,62972,62650,322,0.19862729449321628,-0.07960915952470574,-4987.513844222814,0.8506982305895502,0.9100517288606338,249,5945.461377166592,-5095.739898726978
serial,four_hour_mfe_lt1_close_nonpositive_next_open,later,30,38563,38382,181,0.20491376165911104,-0.10299190420497947,-3953.035267195522,0.8200197910917215,0.851903262018507,175,4453.140329896324,-4061.2613216996856
serial,four_hour_mfe_lt1_close_nonpositive_next_open,later,60,18911,18814,97,0.1918783884341448,-0.05316840855874456,-1000.3104386242201,0.8919908664617742,0.9408295833405024,63,1660.755679640489,-1065.137579649861
serial,four_hour_mfe_lt1_close_nonpositive_next_open,later,240,5498,5454,44,0.17766776677667767,-0.006264785185748323,-34.16813840307135,0.9843302695102236,1.0577230833041646,11,438.8319781685368,-72.69378935310658
fixed,baseline,full,all,95191,94746,445,0.3004876195301121,-0.021338979467646516,-2021.7829486416367,0.9699736133361709,1.0008469114462715,532,8293.680256236317,-2156.4341129608856
fixed,baseline,full,30,57801,57575,226,0.29610073816760746,-0.02391579662846146,-1376.9519908836685,0.9668423812290328,0.9809060256086723,330,6096.176625029486,-1511.6031552029174
fixed,baseline,full,60,28614,28473,141,0.3063604116180241,-0.03988719043332742,-1135.7079732081315,0.9429486651255415,0.9400542106586252,144,2048.9667536398506,-1200.5351142337722
fixed,baseline,full,240,8776,8698,78,0.31030121867095883,0.05643561915959564,490.8770154501629,1.0832093776823501,1.1575956461911554,58,1015.7255254684363,422.75880313593774
fixed,baseline,earlier,all,36573,36573,0,0.3153692614770459,0.05745986812487875,2101.4797569311904,1.0822821916230054,1.0549792907120359,198,3463.5776343277003,2033.3615446169651
fixed,baseline,earlier,30,21911,21911,0,0.3215279996348866,0.12872774208247342,2820.5535567690754,1.1841217455552546,1.1435475142973315,132,1916.4738266586037,2765.170188348023
fixed,baseline,earlier,60,11165,11165,0,0.30353784146887597,-0.09893750427168868,-1104.6372351934042,0.858968282326423,0.8471337055004038,38,1426.1643903364863,-1142.6643299946275
fixed,baseline,earlier,240,3497,3497,0,0.31455533314269374,0.11025548623263366,385.5634353555199,1.161431300926563,1.1958541421530318,28,495.0839867129743,317.44522304129475
fixed,baseline,later,all,58050,57607,443,0.2885934001076258,-0.08383464931250219,-4829.462642945314,0.8838412582129702,0.9537997729533904,319,5997.195162912135,-4964.113807264563
fixed,baseline,later,30,35829,35605,224,0.2798202499648926,-0.12050649589901523,-4290.633786484437,0.8362016472741859,0.870806396284212,194,4875.524979669899,-4425.284950803686
fixed,baseline,later,60,17192,17051,141,0.30133130021699606,-0.03952931249222723,-674.0143073049665,0.9439233125373685,0.9760738584385354,95,2048.9667536398524,-738.8414483306072
fixed,baseline,later,240,5029,4951,78,0.30781660270652395,0.027304675993554576,135.1854508440887,1.0402064351601996,1.1534276577141145,30,513.183302076508,94.9295030302664
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,full,all,95191,94891,300,0.20897661527436742,-0.044629201592009914,-4234.909568267412,0.9160373263293743,0.9562703027312845,385,7529.898360889796,-4339.35379016734
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,full,30,57801,57630,171,0.21650182196772513,-0.04939771699313673,-2846.7904303144696,0.9132335304472904,0.9304835369626406,263,5420.986849022207,-2951.2346522143976
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,full,60,28614,28526,88,0.19922176260253804,-0.059002192461983134,-1683.096542170531,0.8805271883252872,0.8988063242403179,93,2117.6301901085203,-1747.9236831961716
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,full,240,8776,8735,41,0.19118488838008013,0.03376959407184757,294.9774042175885,1.083314979230272,1.1585428057798588,29,557.230033480107,256.4517532675533
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,all,36837,36837,0,0.22241224855444255,0.0017955571420971198,66.1429384434316,1.0033855852248879,1.0116829996079109,144,2720.6347547429273,10.759570022379236
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,30,21937,21937,0,0.2354013766695537,0.04274203922132984,937.6321143983126,1.0755996427218673,1.0504450584887464,99,1602.3503493201363,882.2487459772602
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,60,11291,11291,0,0.20343636524665662,-0.1031949061863996,-1165.1736857506378,0.7946071515562236,0.8027774838522502,26,1244.2477913613998,-1184.191118093872
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,240,3609,3609,0,0.2028262676641729,0.08137559152002143,293.6845097957573,1.2009980687325996,1.3056964800910609,19,271.3037373041515,258.1927999743287
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,later,all,58050,57752,298,0.19848663249757584,-0.08261732331842192,-4771.315656285503,0.8450643987799399,0.9078092200688251,228,5678.0336718442895,-4875.75987818543
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,later,30,35829,35660,169,0.20443073471676948,-0.10825183761800516,-3860.2605294580644,0.8107626367725328,0.84534425274984,160,4333.862767694118,-3964.7047513579923
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,later,60,17192,17104,88,0.19176800748362957,-0.05397206640750167,-923.1382238339086,0.8900280696703984,0.9426223671191538,58,1565.7808064162055,-987.9653648595494
fixed,four_hour_mfe_lt1_close_nonpositive_next_open,later,240,5029,4988,41,0.17902967121090618,0.0024224332410724913,12.083097006469586,1.0060351247762762,1.0665534328219763,10,358.0779747216578,-26.442553943565635
