period,name,cash,n,months,attempts,rejected_censored,rejected_invalid,random_mean_net_r,excess_net_r,excess_cash,p
development,p70_1_be,x1.5_net_win,706,17,6355,1,0,-0.7622594562570166,0.12200840818763928,97.46211265414578,0.0103
development,p70_1_be,x1.5_recovery,601,17,5410,1,0,-0.7968444564064412,0.13061889410106137,246.33600135627904,0.0068
development,p70_1_be,x2.0_net_win,633,17,5697,0,0,-0.7653044804905768,0.16232886717662892,247.61634640175677,0.0014
development,p70_1_be,x2.0_recovery,556,17,5004,0,0,-0.771423711402878,0.13052459341723355,293.6974622932836,0.0132
development,p30_1_be,fixed,775,17,6975,0,0,-0.7826875404393497,0.09229830391054461,71.53118553067208,0.0571
development,p50_05_be,fixed,815,17,7335,0,0,-0.7891381507354502,0.06784502572348441,55.293695964639795,0.0196
development,p50_15_be,fixed,764,17,6878,2,0,-0.7658006238983113,0.04705094747462208,35.94692387061127,0.2251
development,p50_1_lock05,fixed,794,17,7146,0,0,-0.7909545997748741,0.09245232128571416,73.40714310085704,0.0338
development,p50_1_netbe,fixed,786,17,7076,2,0,-0.7674672159345818,0.07129619169030946,56.038806668583234,0.0597
development,whole_3r_trail1,fixed,755,17,6795,0,0,-0.7676098089072727,0.06370764473184798,48.09927177254522,0.1663
development,whole_3r_trail2,fixed,755,17,6795,0,0,-0.760159344919273,0.03626937329855219,27.383376840406903,0.2979
development,whole_3r_trail3,fixed,754,17,6787,1,0,-0.7800657622555599,0.06142970354655702,46.31799647410399,0.2071
validation,whole_3r,fixed,526,12,4734,0,0,-0.5166602741604508,0.0833063664862606,43.81914877177307,0.1634
validation,whole_3r,x1.5_net_win,525,12,4725,0,0,-0.5191413218148512,0.08465552271714655,117.86830530070856,0.1491
validation,whole_3r,x1.5_recovery,524,12,4716,0,0,-0.5201961567102046,0.08163546138268095,133.81500764314117,0.1663
validation,whole_3r,x2.0_net_win,512,12,4611,3,0,-0.5297031347085652,0.0920147301349161,437.2946736530595,0.1058
validation,whole_3r,x2.0_recovery,501,12,4509,0,0,-0.4959070339844561,0.0526404955805309,335.037864828426,0.206
validation,whole_3r_be1,fixed,548,12,4933,1,0,-0.5096697503336287,0.04679339927276549,25.642782801475487,0.1599
validation,whole_3r_be1,x1.5_net_win,547,12,4924,1,0,-0.5113369083874133,0.04549206474751589,261.70526425220373,0.1748
validation,whole_3r_be1,x1.5_recovery,546,12,4915,1,0,-0.510084299759088,0.052744812813194174,199.59833684451561,0.1234
validation,whole_3r_be1,x2.0_net_win,533,12,4797,0,0,-0.5381046202574734,0.060356655371599725,1013.8176498300893,0.1253
validation,whole_3r_be1,x2.0_recovery,511,12,4601,2,0,-0.48484910520183905,0.02042661346110535,320.28662109630244,0.3486
validation,p50_1_be,fixed,548,12,4933,1,0,-0.5193625390898133,0.04029279283523758,22.080450473710194,0.1498
validation,p50_1_be,x1.5_net_win,547,12,4925,2,0,-0.5177819095234183,0.041266203137949174,81.11304213901397,0.1352
validation,p50_1_be,x1.5_recovery,545,12,4906,1,0,-0.519822502033802,0.043426145446025174,31.19831569090043,0.1266
validation,p50_1_be,x2.0_net_win,529,12,4761,0,0,-0.5334673028465108,0.0553964305006286,105.845195080431,0.1855
validation,p50_1_be,x2.0_recovery,509,12,4581,0,0,-0.5244856511662696,0.048515984482156736,236.52048646169254,0.1085
validation,p70_1_be,fixed,548,12,4933,1,0,-0.5232456959833368,0.03769459423244858,20.65663763938182,0.157
validation,p70_1_be,x1.5_net_win,547,12,4925,2,0,-0.521901274454716,0.03852673294679855,16.060718048644326,0.1431
validation,p70_1_be,x1.5_recovery,546,12,4915,1,0,-0.5238033742404244,0.03507873564246611,77.65605679056524,0.1747
validation,p70_1_be,x2.0_net_win,534,12,4807,1,0,-0.5360831008923425,0.05892994746349365,62.829154918586426,0.1223
validation,p70_1_be,x2.0_recovery,507,12,4563,0,0,-0.49989807551104637,0.030868510265047014,71.18151873512812,0.2264
preholdout,whole_3r,fixed,189,4,1703,2,0,-0.6523545256348071,0.01700699069877849,3.2143212420691345,0.3711
preholdout,whole_3r,x1.5_net_win,189,4,1703,2,0,-0.6523545256348071,0.01700699069877849,19.37858725623423,0.3711
preholdout,whole_3r,x1.5_recovery,189,4,1703,2,0,-0.6523545256348071,0.01700699069877849,73.09759279552495,0.3711
preholdout,whole_3r,x2.0_net_win,185,4,1666,1,0,-0.6132061819545092,0.0007378728175271419,158.9154059855441,0.4995
preholdout,whole_3r,x2.0_recovery,183,4,1649,2,0,-0.6160732823008599,0.026819647493284467,284.5227833378452,0.1844
preholdout,whole_3r_be1,fixed,195,4,1755,0,0,-0.6119080400145855,-0.0602821454933508,-11.755018371203406,0.8129
preholdout,whole_3r_be1,x1.5_net_win,195,4,1755,0,0,-0.6119080400145855,-0.0602821454933508,24.80957583908413,0.8129
preholdout,whole_3r_be1,x1.5_recovery,195,4,1755,0,0,-0.6119080400145855,-0.0602821454933508,17.988908837417572,0.8129
preholdout,whole_3r_be1,x2.0_net_win,184,4,1656,0,0,-0.6734008433450182,-0.005353890453195302,-100.64300030443543,0.562
preholdout,whole_3r_be1,x2.0_recovery,182,4,1639,1,0,-0.6636471459444203,-0.02312703464042225,-122.09520868429742,0.7643
preholdout,p50_1_be,fixed,195,4,1755,0,0,-0.6320962421703432,-0.03545893322117668,-6.914491978129452,0.7496
preholdout,p50_1_be,x1.5_net_win,195,4,1755,0,0,-0.6320962421703432,-0.03545893322117668,-20.62371102799505,0.7496
preholdout,p50_1_be,x1.5_recovery,195,4,1755,0,0,-0.6320962421703432,-0.03545893322117668,33.15004371071932,0.7496
preholdout,p50_1_be,x2.0_net_win,189,4,1703,2,0,-0.6514186293191605,0.005173410434376635,-16.294252420198866,0.508
preholdout,p50_1_be,x2.0_recovery,186,4,1674,0,0,-0.6519619972061791,0.01983361893108012,227.02877031571768,0.4994
preholdout,p70_1_be,fixed,195,4,1755,0,0,-0.6401867188508793,-0.02552646595193414,-4.977660860627157,0.7496
preholdout,p70_1_be,x1.5_net_win,195,4,1755,0,0,-0.6401867188508793,-0.02552646595193414,-25.52363028569093,0.7496
preholdout,p70_1_be,x1.5_recovery,195,4,1755,0,0,-0.6401867188508793,-0.02552646595193414,7.1654288477346775,0.7496
preholdout,p70_1_be,x2.0_net_win,189,4,1703,2,0,-0.6566424158357806,0.01335738927499561,-29.20403427091746,0.508
preholdout,p70_1_be,x2.0_recovery,185,4,1666,1,0,-0.6107332904888982,-0.016575911030860063,-50.93066155405323,0.7416
continuous_pre,whole_3r,fixed,1466,33,13194,0,0,-0.6736568351019894,0.08143048291576072,119.37708795450521,0.0413
continuous_pre,whole_3r,x1.5_net_win,630,27,5670,0,0,-0.7518335198546698,0.06794674382321816,37.57773986360292,0.1098
continuous_pre,whole_3r,x1.5_recovery,593,27,5337,0,0,-0.7401142867546696,0.06001416604289966,-52.5140155315582,0.1323
continuous_pre,whole_3r,x2.0_net_win,433,22,3897,0,0,-0.8007243342341034,0.03415091592495817,-76.32077720936147,0.2714
continuous_pre,whole_3r,x2.0_recovery,463,22,4167,0,0,-0.8184177048147877,0.12473647313259022,-48.96706676417114,0.0025
continuous_pre,whole_3r_be1,fixed,1517,33,13655,2,0,-0.6610353424299733,0.05715673625041545,86.70676889188024,0.0775
continuous_pre,whole_3r_be1,x1.5_net_win,632,29,5688,0,0,-0.7925154161655901,0.1388275280399015,163.04688933842192,0.0158
continuous_pre,whole_3r_be1,x1.5_recovery,586,27,5274,0,0,-0.7843904583775875,0.12760966514330818,85.78972797027573,0.0259
continuous_pre,whole_3r_be1,x2.0_net_win,581,24,5229,0,0,-0.7199623577449406,0.09057566424547327,159.98919295841702,0.0659
continuous_pre,whole_3r_be1,x2.0_recovery,563,27,5067,0,0,-0.7614271519277287,0.12104715659445645,136.0922192916523,0.0269
continuous_pre,p50_1_be,fixed,1516,33,13645,1,0,-0.6686019078006651,0.05916773451473004,89.69828552433074,0.0404
continuous_pre,p50_1_be,x1.5_net_win,687,24,6183,0,0,-0.7593961361749391,0.11745070740233074,119.23607546657558,0.019
continuous_pre,p50_1_be,x1.5_recovery,647,28,5823,0,0,-0.7948410685841223,0.15971813463119744,255.70380274961474,0.0017
continuous_pre,p50_1_be,x2.0_net_win,684,29,6156,0,0,-0.7176794372599277,0.16040500025140458,218.0259993911693,0.0014
continuous_pre,p50_1_be,x2.0_recovery,582,24,5238,0,0,-0.7308352701552959,0.12644958893691446,111.46091973944304,0.0123
continuous_pre,p70_1_be,fixed,1516,33,13645,1,0,-0.6718999966497973,0.0596642313696683,90.45097475641714,0.0303
continuous_pre,p70_1_be,x1.5_net_win,766,29,6894,0,0,-0.7381446867556272,0.13073834078431681,112.22392492717938,0.0046
continuous_pre,p70_1_be,x1.5_recovery,653,29,5877,0,0,-0.774767844014483,0.15185244292022435,265.9118275420434,0.0014
continuous_pre,p70_1_be,x2.0_net_win,695,28,6255,0,0,-0.7345186237665394,0.16674538559910873,260.7552656776043,0.0002
continuous_pre,p70_1_be,x2.0_recovery,592,22,5328,0,0,-0.7505090667649987,0.13049955364717614,297.83327618480246,0.0095
