period,name,cash,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf,n_partial,n_full_initial_stop,max_full_initial_stop,max_price_loss,mean_net_r,mean_gross_r
continuous_pre,whole_3r_be1,fixed,1809,1517,1517,290,2,0,306,1211,30,17,1.0,9.527540923477266,0.9160838455743902,163,170,0,170,-916.0838455743902,588.895349705621,-1504.9791952800094,0,0.0,1000.0,83.91615442560988,-916.0838455743901,83.91615442560988,0.2017139090309822,33,False,0.39129800036608076,0,685,11,12,-0.6038786061795579,0.017537418797875452
continuous_pre,whole_3r_be1,x1.5_net_win,1809,632,632,117,1060,0,126,506,29,18,7.59375,9.795943104015473,0.9942377289784973,108,154,112,24,-413.13074529543496,497.4443648083974,-1484.9197569406954,0,0.0,1000.0,12.524607867700883,-987.4753921322991,12.524607867700883,0.19936708860759494,29,False,0.33499747207435415,0,281,10,10,-0.6536878881256886,0.0030209904464889525
continuous_pre,whole_3r_be1,x1.5_recovery,1809,586,586,115,1108,0,114,472,29,17,7.59375,9.779871170700485,0.9943991993935066,98,144,119,25,-384.8735448352876,413.9711985096954,-1407.5595549152004,0,0.0,1000.0,6.411643594493915,-993.588356405506,6.411643594493915,0.1945392491467577,27,False,0.29410563628665465,0,255,10,10,-0.6567807932342794,-0.0016901330025468559
continuous_pre,whole_3r_be1,x2.0_net_win,1809,581,581,113,1115,0,111,470,24,14,16.0,9.80369238142339,0.9949228561462938,103,190,182,0,-365.67366892319023,486.2019548524574,-1481.1248109987516,0,0.0,1000.0,5.077143853706222,-994.9228561462937,5.077143853706222,0.19104991394148021,24,False,0.3282653502540423,0,254,8,9,-0.6293866934994672,-0.0032042102368079377
continuous_pre,whole_3r_be1,x2.0_recovery,1809,563,563,105,1141,0,107,456,24,14,16.0,9.772274015255395,0.994308542595774,99,188,188,0,-360.5339373726321,444.08538328637053,-1437.8455049866454,0,0.0,1000.0,6.239878299725499,-993.7601217002745,6.239878299725499,0.19005328596802842,27,False,0.3088547286521546,0,243,8,8,-0.6403799953332722,-0.004537852366704104
continuous_pre,p50_1_be,fixed,1809,1516,1516,290,3,0,513,1003,30,17,1.0,8.434335513348541,0.9239022067014772,161,153,1,152,-923.9022067014774,399.2256722109798,-1323.1278789124563,0,0.0,1000.0,76.09779329852282,-923.9022067014772,76.09779329852282,0.33839050131926124,33,False,0.30172871313022515,744,684,10,12,-0.609434173285935,0.011219691698269153
continuous_pre,p50_1_be,x1.5_net_win,1809,687,687,130,992,0,222,465,29,17,7.59375,9.797061268743988,0.994789725008449,154,170,83,19,-441.0165095667823,318.31955956229905,-1313.1092845707483,0,0.0,1000.0,5.2102749915509685,-994.7897250084491,5.2102749915509685,0.3231441048034934,24,False,0.24241665435056065,342,306,10,10,-0.6419454287726084,0.012747986481742987
continuous_pre,p50_1_be,x1.5_recovery,1809,647,647,128,1034,0,207,440,30,17,7.59375,9.802173366924091,0.9940790930331743,134,127,103,24,-410.9245382675426,355.43762983660827,-1347.4339953182448,0,0.0,1000.0,8.00363451836316,-991.9963654816369,8.00363451836316,0.31993817619783615,28,False,0.26378852772870626,325,283,10,10,-0.6351229339529247,0.02136486964714827
continuous_pre,p50_1_be,x2.0_net_win,1809,684,684,133,992,0,236,448,24,13,32.0,9.802467275758085,0.9942563676889711,189,205,157,1,-381.17571491383023,399.67612277561045,-1391.7998519476223,0,0.0,1000.0,7.8762708279881055,-992.1237291720118,7.8762708279881055,0.34502923976608185,29,False,0.2871649412926159,352,292,9,9,-0.5572744370085232,0.052038163696225555
continuous_pre,p50_1_be,x2.0_recovery,1809,582,582,118,1109,0,190,392,24,13,16.0,9.799815512158053,0.9947832931178231,149,156,156,0,-351.7524664690982,301.52256489351663,-1296.3058580113398,0,0.0,1000.0,5.216706882176889,-994.7832931178231,5.216706882176889,0.32646048109965636,24,False,0.23260140577940594,295,250,8,8,-0.6043856812183815,0.023692392164565857
continuous_pre,p70_1_be,fixed,1809,1516,1516,290,3,0,604,912,28,17,1.0,8.75892682468315,0.928149420164676,152,143,1,142,-928.1494201646757,360.1566730914748,-1288.3060932561511,0,0.0,1000.0,71.850579835324,-928.149420164676,71.850579835324,0.39841688654353563,33,False,0.27955830914467744,744,684,10,12,-0.6122357652801289,0.008418099704075187
continuous_pre,p70_1_be,x1.5_net_win,1809,766,766,147,896,0,309,457,27,16,7.59375,9.735978904652542,0.9941883395919517,196,204,78,13,-465.2732610140246,285.1284572131518,-1275.353087328466,0,0.0,1000.0,9.775369884686238,-990.2246301153137,9.775369884686238,0.40339425587467365,29,False,0.22356824948800805,391,334,10,10,-0.6074063459713104,0.04412672465536429
continuous_pre,p70_1_be,x1.5_recovery,1809,653,653,128,1028,0,256,397,27,17,7.59375,9.770546501323354,0.9940445282778345,134,122,99,23,-406.7637569145515,350.5197030419432,-1340.6005218431394,0,0.0,1000.0,9.91918119880345,-990.0808188011965,9.91918119880345,0.39203675344563554,29,False,0.26146469237534486,328,286,10,10,-0.6229154010942585,0.02578780420636876
continuous_pre,p70_1_be,x2.0_net_win,1809,695,695,135,979,0,288,407,25,15,32.0,9.779086377172309,0.9942716726138314,216,206,132,2,-394.60240052636505,300.0215273114539,-1290.3601522226875,0,0.0,1000.0,9.661375088766176,-990.3386249112339,9.661375088766176,0.4143884892086331,28,False,0.23250991344909172,360,296,9,9,-0.5677732381674307,0.05519863567034926
continuous_pre,p70_1_be,x2.0_recovery,1809,592,592,117,1100,0,235,357,25,15,16.0,9.758538256771986,0.994894263648894,162,143,143,0,-367.0456317657515,316.25426314404416,-1311.1485267929384,0,0.0,1000.0,5.105736351105991,-994.894263648894,5.105736351105991,0.3969594594594595,22,False,0.2412039953380417,298,259,8,8,-0.6200095131178226,0.02486654864024934
