图号,币种,周期,时间段,分类,V9净R,V9持仓内最高R,联合净R,联合持仓内最高R,联合持仓内最高收盘R,退出后48根最高R,等待根数,联合入场贵百分比
26,BANANAUSDT,1h,earlier,最终净盈利,0.6961849056603794,2.9449056603773607,0.6961849056603794,2.9449056603773607,2.63547169811321,0.8441509433962275,0,0.0
27,ONTUSDT,1h,earlier,曾到1R后亏损,-1.055292792792792,0.9234234234234248,-1.0822259136212624,1.029900332225916,0.7807308970099641,-0.3156146179401969,5,0.8146639511201537
28,1INCHUSDT,1h,earlier,曾到1R后亏损,-0.2668015170670051,2.155499367888757,-0.2668015170670051,2.155499367888757,1.97850821744627,-0.1580278128950696,0,0.0
29,KSMUSDT,1h,earlier,窗口内未达到1R,-1.026735275080907,0.5773462783171548,-1.0263271801400384,0.5506047103755589,0.4544875875238698,-0.3806492679821768,1,0.130731612840762
30,BSWUSDT,1h,earlier,窗口内未达到1R,0.1137555555555584,1.6666666666666718,-0.6190599999999997,0.7800000000000017,0.3299999999999989,-0.3233333333333326,4,5.92917924787264
31,PHAUSDT,1h,earlier,窗口内未达到1R,-0.2205165975103734,1.4242738589211617,-1.061650118203309,0.3971631205673743,0.2104018912529549,-0.1276595744680877,53,6.10301896004557
32,JUPUSDT,1h,earlier,最终净盈利,3.241492753623197,7.0869565217391415,3.241492753623197,7.0869565217391415,5.782608695652185,9.115942028985518,0,0.0
33,LISTAUSDT,1h,earlier,窗口内未达到1R,-1.0338515901060077,0.5918727915194373,-1.0337882764654411,0.4549431321084886,0.3849518810148746,-0.5074365704286966,1,0.7828810020876764
34,QNTUSDT,1h,earlier,曾到1R后亏损,-0.8581149897330602,0.7351129363449682,-1.1149054726368155,1.2985074626865636,1.2189054726368145,-0.3930348258706488,11,0.8470875906034347
35,SPELLUSDT,1h,earlier,窗口内未达到1R,1.2782450331125823,3.834437086092711,-1.016573913043478,0.6159420289855069,0.3695652173913044,-0.3550724637681157,30,14.704112337011033
36,ICPUSDT,1h,later,曾到1R后亏损,1.1063908045977011,3.3333333333333437,-1.1243209876543228,1.5679012345678909,1.4320987654320874,0.0617283950617267,117,3.3456486042692912
37,SUSHIUSDT,1h,later,窗口内未达到1R,-0.3621404494382055,1.320224719101123,-1.065746606334843,0.1447963800904968,0.0904977375565611,0.0045248868778275,56,4.367188622324369
38,PNUTUSDT,1h,later,窗口内未达到1R,0.0835884543761607,1.909683426443203,-1.043411542100285,0.209082308420059,0.0302743614001906,-0.3273415326395451,126,8.667645526452894
39,BICOUSDT,1h,later,窗口内未达到1R,0.998256410256409,2.5897435897435908,-1.0685608108108124,0.2297297297297305,-0.0033783783783817,-0.9763513513513512,128,9.03718031377605
40,TRUUSDT,1h,later,曾到1R后亏损,-1.0648058252427184,0.0970873786407767,-1.0780180180180192,1.021021021021021,0.8108108108108091,3.4834834834834827,3,-2.696629213483148
41,SCRUSDT,1h,later,窗口内未达到1R,-1.0435576923076917,1.514423076923078,-1.0245654993514917,0.2853437094682224,0.2594033722438373,0.3501945525291817,2,4.525386313465796
42,ONEUSDT,1h,later,最终净盈利,0.3985203452527693,6.6584463625154,0.1592736705577076,6.744487678339774,2.723735408556765,3.761348897530775,2,0.5420054200542035
43,ORDIUSDT,1h,later,曾到1R后亏损,2.977021978021977,4.824175824175827,-1.0997176470588226,1.1647058823529337,0.7529411764705788,0.223529411764697,48,3.593253483255942
44,LINKUSDT,1h,later,最终净盈利,4.288663755458496,7.7860262008733265,2.592955223880618,6.582089552238849,5.875621890547305,3.3532338308457987,14,3.695372750642667
45,ARCUSDT,1h,later,最终净盈利,11.639009345794417,17.009345794392555,6.829164062500002,11.324218750000002,10.578124999999998,8.101562499999998,50,20.435741864313293
46,DOGSUSDT,1h,later,曾到1R后亏损,-1.059393939393939,2.828282828282828,-1.059393939393939,2.828282828282828,1.9191919191919231,1.3131313131313156,0,0.0
47,CLOUSDT,1h,later,窗口内未达到1R,-1.0207182448036956,0.5842956120092382,-1.0293911620294598,0.8150572831423906,0.6170212765957472,0.5744680851063837,4,0.0891762345334834
48,MMTUSDT,1h,later,窗口内未达到1R,-1.0577619047619036,0.9761904761904788,-1.0577619047619036,0.9761904761904788,0.7380952380952345,0.2142857142857133,0,0.0
49,ORDERUSDT,1h,later,窗口内未达到1R,-1.0897520661157023,0.3305785123966933,-1.099412844036697,0.4770642201834886,0.2477064220183479,-0.3211009174311889,1,-0.2209944751381254
50,RENDERUSDT,1h,later,曾到1R后亏损,-1.0534929577464789,0.9014084507042268,-0.4562972972972978,1.5540540540540526,1.4729729729729717,3.189189189189189,4,-0.8425487098472906
