period,arm,session,cash,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
development,original,london_new_york,double,337,8,8,1,328,0,0,0,8,0,6,0,8,4,8,8,128.0,256.0,9.794448573666493,0.33605070859342767,0,0,0.0,-17.187666927996705,-7.6423593404725505,0.0,-336.05070859342766,,,,,1000.0,663.9492914065723,336.05070859342766,-336.05070859342766,0.0,0.0,1.0,-2.148458365999588,-0.9552949175590688,0.0
development,next_bar,all,fixed1,923,848,848,75,0,71,150,0,627,220,305,71,27,6,10,627,1.0,1.0,2.8061821318179456,0.6072419742064538,0,0,0.0,-607.2419742064559,-14.344044086787441,71.12591803893105,-678.3678922453853,,,,,1000.0,392.75802579354627,607.2419742064542,-607.2419742064537,0.08372641509433962,0.17688679245283018,0.7393867924528302,-0.7160872337340282,-0.016915146328758776,0.1048485915267976
development,next_bar,all,double,923,9,9,1,913,0,1,0,8,1,3,0,4,1,2,8,128.0,256.0,9.565570500547382,0.1520126772306878,0,0,0.0,-8.616220788487352,-1.8650285531674142,0.011759882870251204,-152.02443711355806,,,,,1000.0,847.9873227693122,152.0126772306878,-152.0126772306878,0.0,0.1111111111111111,0.8888888888888888,-0.9573578653874836,-0.20722539479637936,7.735521402698498e-05
development,next_bar,london,fixed1,161,155,155,6,0,15,27,0,113,42,69,15,25,8,13,113,1.0,1.0,2.500799546350356,0.14358778540446637,0,0,0.0,-143.38065198804532,-13.5914058346249,15.02392791899274,-158.4045799070385,,,,,1000.0,856.6193480119542,143.38065198804577,-143.38065198804577,0.0967741935483871,0.17419354838709677,0.7290322580645161,-0.925036464439002,-0.08768648925564453,0.09484528747722887
development,next_bar,london,double,161,8,8,0,153,0,1,0,7,1,4,0,6,3,5,7,64.0,128.0,9.233762736117127,0.12304949923049802,0,0,0.0,-13.362328125936363,-4.165447438009659,0.013040139616350643,-123.06253937011434,,,,,1000.0,876.950500769502,123.04949923049799,-123.04949923049799,0.0,0.125,0.875,-1.6702910157420454,-0.5206809297512074,0.00010596351808678371
development,next_bar,lunch,fixed1,123,118,118,5,0,7,18,0,93,25,45,7,22,4,8,93,1.0,1.0,1.9293578947367498,0.10295122868347595,0,0,0.0,-102.9512286834759,-9.299768827896143,7.013991227719885,-109.96521991119585,,,,,1000.0,897.048771316524,102.95122868347596,-102.95122868347596,0.059322033898305086,0.15254237288135594,0.788135593220339,-0.8724680396904737,-0.07881160023640799,0.0637837239209283
development,next_bar,lunch,double,123,9,9,0,114,0,1,0,8,1,4,0,6,3,6,8,128.0,256.0,9.65970127289321,0.11469053787623606,0,0,0.0,-15.444198269879786,-4.5331302236629964,0.0201538461550399,-114.71069172239106,,,,,1000.0,885.309462123764,114.69053787623602,-114.69053787623602,0.0,0.1111111111111111,0.8888888888888888,-1.7160220299866429,-0.5036811359625551,0.00017569283082882807
development,next_bar,new_york,fixed1,176,169,169,7,0,16,29,0,124,45,56,16,22,5,5,124,1.0,1.0,1.81529802506258,0.10757722960814964,0,0,0.0,-107.57722960814986,-1.8573371352594599,16.023148539526687,-123.60037814767634,,,,,1000.0,892.4227703918503,107.57722960814965,-107.57722960814965,0.09467455621301775,0.17159763313609466,0.7337278106508875,-0.6365516544860939,-0.010990160563665443,0.1296367274894775
development,next_bar,new_york,double,176,12,12,1,163,2,3,0,7,5,5,2,2,2,2,7,128.0,128.0,8.77478890354967,0.10190373579843182,0,0,0.0,-9.420899489145276,0.05212540706113694,68.03533169338255,-169.92601292781683,,,,,1000.0,898.1093187655657,101.89068123443428,-101.89068123443428,0.16666666666666666,0.25,0.5833333333333334,-0.785074957428773,0.0043437839217614115,0.4003820870103237
development,next_bar,union,fixed1,460,430,430,30,0,38,74,0,318,112,160,38,16,9,11,318,1.0,1.0,2.6469599175700407,0.33210002044334985,0,0,0.0,-332.1000204433499,-15.259841685097161,38.06106768623931,-370.1610881295892,,,,,1000.0,667.8999795566501,332.1000204433499,-332.1000204433499,0.08837209302325581,0.17209302325581396,0.7395348837209302,-0.7723256289380229,-0.035488003918830606,0.1028229841190508
development,next_bar,union,double,460,11,11,1,448,1,2,0,8,3,4,1,4,2,3,8,128.0,256.0,8.942393654036579,0.10753280480325489,0,0,0.0,-11.324810067035566,-1.8098456453904022,64.03431201596311,-171.56711681921797,,,,,1000.0,892.4671951967451,107.53280480325486,-107.53280480325486,0.09090909090909091,0.18181818181818182,0.7272727272727273,-1.0295281879123241,-0.16453142230821838,0.3732318477056225
development,next_bar,london_new_york,fixed1,337,324,324,13,0,31,56,0,237,87,125,31,24,7,7,237,1.0,1.0,2.570514383188285,0.2509578815961955,0,0,0.0,-250.9578815961949,-15.448742969884357,31.047076458519427,-282.00495805471485,,,,,1000.0,749.0421184038046,250.95788159619542,-250.95788159619542,0.09567901234567901,0.1728395061728395,0.7314814814814815,-0.7745613629512188,-0.04768130546260604,0.11009408016328438
development,next_bar,london_new_york,double,337,10,10,0,327,1,2,0,7,3,4,1,4,2,3,7,128.0,128.0,8.773739449916,0.10179631177550164,0,0,0.0,-11.2800491783981,-2.034988683317095,64.02721273380564,-165.8104699453097,,,,,1000.0,898.2167427884959,101.78325721150406,-101.78325721150406,0.1,0.2,0.7,-1.12800491783981,-0.20349886833170952,0.38614698308812545
development,ohlc,all,fixed1,923,854,854,69,0,55,465,0,334,514,308,55,10,6,10,334,1.0,1.0,2.7739520350802445,0.5643261952761376,1,0,0.0,-564.3257320860936,32.002882314373146,55.29812469291011,-619.6238567790024,,,,,1000.0,435.67426791390744,564.3267952439874,-564.3257320860926,0.06440281030444965,0.544496487119438,0.3911007025761124,-0.6608029649720065,0.03747410107069455,0.08924466688607983
development,ohlc,all,double,923,16,16,1,906,1,8,0,7,9,5,1,3,2,3,7,128.0,128.0,9.17122772055895,0.12605613330188759,1,0,0.0,-14.254751396652653,-0.6012194412379728,64.06469496988461,-190.0935933052524,,,,,1000.0,873.9711016646322,126.02996149326248,-126.02889833536778,0.0625,0.5,0.4375,-0.8909219622907908,-0.0375762150773733,0.33701659196377803
development,ohlc,london,fixed1,161,155,155,6,0,10,72,0,73,80,69,10,13,8,13,73,1.0,1.0,2.4995956804965127,0.14049882028709226,1,0,0.0,-140.4977882283141,-10.708542074893613,10.046096693709046,-150.54388492202338,,,,,1000.0,859.5022117716857,140.49898899313268,-140.49778822831433,0.06451612903225806,0.4645161290322581,0.47096774193548385,-0.9064373434084781,-0.06908736822512009,0.06673201438180357
development,ohlc,london,double,161,12,12,0,149,1,4,0,7,5,6,1,6,4,6,7,64.0,128.0,9.421367200389268,0.12747836901930876,1,0,0.0,-14.71828211214634,-4.148579969664162,64.04268651914867,-191.52000784517975,,,,,1000.0,872.5226786739689,127.47852209084942,-127.47732132603107,0.08333333333333333,0.3333333333333333,0.5833333333333334,-1.2265235093455285,-0.3457149974720135,0.3343916243514321
development,ohlc,lunch,fixed1,123,118,118,5,0,6,64,0,48,70,45,6,7,4,7,48,1.0,1.0,1.9293578947367498,0.0927003618386737,0,0,0.0,-92.70036183867374,0.9510980169063319,6.0466077178315345,-98.74696955650518,,,,,1000.0,907.2996381613264,92.70036183867364,-92.70036183867364,0.05084745762711865,0.5423728813559322,0.4067796610169492,-0.7855962867684215,0.00806015268564688,0.061233349691521756
development,ohlc,lunch,double,123,12,12,0,111,0,5,0,7,5,5,0,5,2,5,7,64.0,128.0,9.678168378585825,0.18046865285810432,0,0,0.0,-18.079327792644836,-4.0754167702706745,0.058812095054236124,-180.52746495315853,,,,,1000.0,819.5313471418957,180.4686528581043,-180.4686528581043,0.0,0.4166666666666667,0.5833333333333334,-1.5066106493870697,-0.33961806418922286,0.00032577921076716
development,ohlc,new_york,fixed1,176,170,170,6,0,11,98,0,61,107,57,11,5,5,5,61,1.0,1.0,1.8151839605838205,0.09884921997417129,0,0,0.0,-98.84874125181659,7.420708598123224,11.055754825305144,-109.90449607712151,,,,,1000.0,901.1512587481836,98.84874125181636,-98.84874125181636,0.06470588235294118,0.5764705882352941,0.3588235294117647,-0.5814631838342152,0.043651227047783674,0.10059419969085857
development,ohlc,new_york,double,176,24,24,1,151,5,8,0,11,13,9,5,3,2,3,7,128.0,128.0,9.592394724189594,0.11232524678682787,1,0,0.0,-16.79652858042152,2.6473716542126247,108.15646033816802,-212.99007082687524,,,,,1000.0,895.1663895112928,113.25852254918027,-104.83361048870722,0.20833333333333334,0.3333333333333333,0.4583333333333333,-0.6998553575175633,0.11030715225885936,0.5078004806434421
development,ohlc,union,fixed1,460,432,432,28,0,27,232,0,173,255,162,27,11,9,11,173,1.0,1.0,2.627886016000522,0.31253567268969706,1,0,0.0,-312.534847206719,5.830242933751234,27.147089957221738,-339.6819371639407,,,,,1000.0,687.465152793281,312.5360479715373,-312.53484720671895,0.0625,0.5370370370370371,0.40046296296296297,-0.7234602944599977,0.013495932717016745,0.07991914490325029
development,ohlc,union,double,460,14,14,1,445,1,6,0,7,7,6,1,4,2,4,7,128.0,128.0,9.268327104136285,0.13599609202232676,1,0,0.0,-15.830171849216459,-3.1013391403313757,64.05990978846364,-200.03117977780425,,,,,1000.0,864.0287300106594,135.97247075415896,-135.9712699893406,0.07142857142857142,0.42857142857142855,0.5,-1.1307265606583186,-0.22152422430938398,0.3202496223819794
development,ohlc,london_new_york,fixed1,337,325,325,12,0,21,170,0,134,187,126,21,7,7,7,134,1.0,1.0,2.561394068931864,0.23934744284496035,1,0,0.0,-239.34652948013039,-3.2878334767703903,21.10185151901419,-260.4483809991449,,,,,1000.0,760.6534705198693,239.34773024494905,-239.3465294801307,0.06461538461538462,0.5230769230769231,0.4123076923076923,-0.7364508599388627,-0.010116410697755047,0.08102124282002533
development,ohlc,london_new_york,double,337,12,12,0,325,1,4,0,7,5,6,1,4,2,4,7,128.0,128.0,9.121231311107456,0.13601624584428185,1,0,0.0,-15.83057058121492,-3.494776254103926,64.02902593881561,-200.03117977780425,,,,,1000.0,863.9978461610114,136.003354603807,-136.00215383898865,0.08333333333333333,0.3333333333333333,0.5833333333333334,-1.3192142151012434,-0.2912313545086605,0.320095227203776
development,olhc,all,fixed1,923,854,854,69,0,45,477,0,332,516,307,45,10,6,10,332,1.0,1.0,2.7772437589986896,0.5726970192874518,1,0,0.0,-572.6965649969158,23.661796480964814,45.299219154979085,-617.9957841518933,,,,,1000.0,427.3034350030856,572.6976281548093,-572.6965649969144,0.05269320843091335,0.5585480093676815,0.38875878220140514,-0.6706048770455688,0.02770702164047402,0.07330020740698981
development,olhc,all,double,923,15,15,1,907,0,8,0,7,8,5,0,3,2,3,7,128.0,128.0,9.729888179165945,0.19007621908458272,1,0,0.0,-15.25506630049882,-1.8734550181610636,0.04454112372980035,-190.0935933052524,,,,,1000.0,809.9509478184774,190.0501153394173,-190.0490521815226,0.0,0.5333333333333333,0.4666666666666667,-1.0170044200332546,-0.12489700121073757,0.00023431154598817114
development,olhc,london,fixed1,161,155,155,6,0,8,75,0,72,81,69,8,13,8,13,72,1.0,1.0,2.4995956804965127,0.14269516524187398,1,0,0.0,-142.4870024039689,-12.697756250548451,8.047101316205158,-150.53410372017436,,,,,1000.0,857.5129975960308,142.48820316878755,-142.4870024039692,0.05161290322580645,0.4838709677419355,0.4645161290322581,-0.9192709832514122,-0.08192100806805452,0.05345699823053915
development,olhc,london,double,161,12,12,0,149,0,5,0,7,5,6,0,6,4,6,7,64.0,128.0,9.276351064224071,0.18998652182078268,1,0,0.0,-15.694973172444225,-5.148579969664143,0.04268651915003829,-190.02823570424573,,,,,1000.0,810.0144508149043,189.98674994991404,-189.9855491850957,0.0,0.4166666666666667,0.5833333333333334,-1.3079144310370188,-0.42904833080534527,0.00022463250785780233
development,olhc,lunch,fixed1,123,118,118,5,0,4,66,0,48,70,45,4,7,4,7,48,1.0,1.0,1.9293578947367498,0.09470036183867336,0,0,0.0,-94.7003618386736,-1.048901983093573,4.046607717831762,-98.74696955650518,,,,,1000.0,905.2996381613266,94.70036183867342,-94.70036183867342,0.03389830508474576,0.559322033898305,0.4067796610169492,-0.8025454393107933,-0.008888999856725196,0.04097956358565722
development,olhc,lunch,double,123,12,12,0,111,0,5,0,7,5,5,0,5,2,5,7,64.0,128.0,9.678168378585825,0.18046865285810432,0,0,0.0,-18.079327792644836,-4.0754167702706745,0.058812095054236124,-180.52746495315853,,,,,1000.0,819.5313471418957,180.4686528581043,-180.4686528581043,0.0,0.4166666666666667,0.5833333333333334,-1.5066106493870697,-0.33961806418922286,0.00032577921076716
development,olhc,new_york,fixed1,176,170,170,6,0,13,96,0,61,107,57,13,5,5,5,61,1.0,1.0,1.8151839605838205,0.09684921997417117,0,0,0.0,-96.84874125181635,9.420708598123428,13.055754825305257,-109.90449607712151,,,,,1000.0,903.1512587481837,96.84874125181625,-96.84874125181625,0.07647058823529412,0.5647058823529412,0.3588235294117647,-0.5696984779518609,0.05541593293013781,0.11879181736244761
development,olhc,new_york,double,176,24,24,1,151,4,9,0,11,13,9,4,3,2,3,7,128.0,128.0,9.592394724189594,0.17579055712831004,1,0,0.0,-17.796528580421512,1.6473716542126247,44.156460338168245,-212.99007082687524,,,,,1000.0,831.166389511293,177.25852254918004,-168.833610488707,0.16666666666666666,0.375,0.4583333333333333,-0.7415220241842296,0.0686404855921927,0.20731698978615745
development,olhc,union,fixed1,460,431,431,29,0,25,235,0,171,256,161,25,11,9,11,171,1.0,1.0,2.6308400223213417,0.3125495328435408,1,0,0.0,-312.5487073772054,4.8410287580967015,25.14809457971819,-337.69680195692365,,,,,1000.0,687.4512926227945,312.5499081420238,-312.54870737720546,0.058004640371229696,0.5452436194895591,0.39675174013921116,-0.7251710147963002,0.011232085285607197,0.07446944843417873
development,olhc,union,double,460,12,12,1,447,0,5,0,7,5,6,0,4,2,4,7,128.0,128.0,9.6896008999677,0.2000161689954254,1,0,0.0,-16.830588741843858,-4.496811161245628,0.026701378311372537,-200.03117977780425,,,,,1000.0,799.9955216005071,200.00567916431123,-200.00447839949288,0.0,0.4166666666666667,0.5833333333333334,-1.4025490618203216,-0.3747342634371356,0.00013348608122509988
development,olhc,london_new_york,fixed1,337,325,325,12,0,21,171,0,133,188,126,21,7,7,7,133,1.0,1.0,2.561394068931864,0.23933665703356632,1,0,0.0,-239.335743655785,-3.277047652425022,21.102856141510415,-260.43859979729586,,,,,1000.0,760.6642563442146,239.3369444206038,-239.33574365578545,0.06461538461538462,0.5261538461538462,0.40923076923076923,-0.7364176727870307,-0.010083223545923144,0.08102814313214383
development,olhc,london_new_york,double,337,11,11,0,326,0,4,0,7,4,6,0,4,2,4,7,64.0,128.0,8.64573011893115,0.2000161689954254,1,0,0.0,-16.830672569996146,-4.618012698095087,0.015971374818377626,-200.03117977780425,,,,,1000.0,799.9847915970141,200.01640916780423,-200.01520840298588,0.0,0.36363636363636365,0.6363636363636364,-1.5300611427269224,-0.41981933619046247,7.984442643451245e-05
validation,original,all,fixed1,653,525,525,128,0,138,0,0,387,138,299,0,25,11,25,386,1.0,1.0,1.573532720037198,0.25362768764328036,2,0,0.0,-252.90804529863775,-0.3192170052826506,264.1869342127038,-517.0949795113424,,,,,1000.0,747.0919547013614,253.87223211629987,-252.90804529863863,0.26285714285714284,0.0,0.7371428571428571,-0.4817296100926433,-0.0006080323910145726,0.5109060127838834
validation,original,all,double,653,22,22,10,621,5,0,0,17,5,16,0,7,7,7,9,256.0,512.0,9.61173678264118,0.42986201584655026,3,0,0.0,-17.04194522764602,-8.687281966372987,392.42710829853513,-751.287004480314,,,,,1000.0,641.1401038182212,483.3948712899478,-358.8598961817788,0.22727272727272727,0.0,0.7727272727272727,-0.77463387398391,-0.39487645301695395,0.5223398061703302
validation,original,london,fixed1,91,85,85,6,0,22,0,0,63,22,47,0,8,6,8,45,1.0,1.0,1.2264041881207586,0.040636122125468965,1,0,0.0,-36.32673959858158,12.220092355676918,53.23656037385422,-89.56329997243631,,,,,1000.0,963.6732604014179,40.81865619693713,-36.326739598582094,0.25882352941176473,0.0,0.7411764705882353,-0.4273734070421363,0.14376579241972845,0.5944015058649929
validation,original,london,double,91,24,24,1,66,5,0,0,19,5,15,0,7,7,7,7,64.0,128.0,8.476879177082033,0.1574463186908115,3,0,0.0,-5.429073427415816,6.951697852776041,245.79097180693896,-301.85753683861105,,,,,1000.0,943.9334349683279,176.39095018136618,-56.0665650316721,0.20833333333333334,0.0,0.7916666666666666,-0.22621139280899236,0.2896540771990017,0.8142615035593819
validation,original,lunch,fixed1,112,96,96,16,0,21,0,0,75,21,61,0,18,7,8,75,1.0,1.0,0.7342349143921607,0.07085761975867144,0,0,0.0,-70.8576197586712,-18.591344407982874,32.389281949849874,-103.24690170852136,,,,,1000.0,929.1423802413285,70.85761975867149,-70.85761975867149,0.21875,0.0,0.78125,-0.7381002058194918,-0.19365983758315494,0.31370705961994655
validation,original,lunch,double,112,12,12,1,99,3,0,0,9,3,8,0,4,4,4,8,128.0,256.0,8.532071132467548,0.16352100757532184,1,0,0.0,-8.806204546561116,-4.605858815576604,64.15199315800066,-227.0021756645989,,,,,1000.0,837.1498174934018,163.6521453470267,-162.85018250659823,0.25,0.0,0.75,-0.733850378880093,-0.383821567964717,0.2826051907660425
validation,original,new_york,fixed1,139,118,118,21,0,32,0,0,86,32,66,0,15,8,15,86,1.0,1.0,0.601925144018774,0.05083681132628204,0,0,0.0,-50.83681132628183,-8.323866366913759,54.0950608983502,-104.93187222463223,,,,,1000.0,949.163188673718,50.83681132628203,-50.83681132628203,0.2711864406779661,0.0,0.7288135593220338,-0.4308204349684901,-0.07054124039757423,0.5155255476862792
validation,original,new_york,double,139,11,11,4,9,2,0,0,9,2,8,0,7,4,7,9,256.0,512.0,7.954162023634914,0.5611411557428568,0,0,0.0,-10.159140856026497,-7.473278361989957,1.5686432347425807,-562.7097989775993,price_risk_exceeds_cash,2025-03-07 13:33:00+00:00,512.0,438.8588442571432,1000.0,438.8588442571432,561.1411557428569,-561.1411557428569,0.18181818181818182,0.0,0.8181818181818182,-0.9235582596387725,-0.679388941999087,0.002787659354062583
validation,original,union,fixed1,342,287,287,55,0,73,0,0,214,73,166,0,15,11,14,214,1.0,1.0,1.3879678404176894,0.1491673454082415,0,0,0.0,-149.16734540824046,-11.133309708216462,136.3838354611247,-285.55118086936625,,,,,1000.0,850.8326545917585,149.16734540824154,-149.16734540824154,0.25435540069686413,0.0,0.7456445993031359,-0.5197468481123361,-0.038792019889255965,0.4776160793518745
validation,original,union,double,342,11,11,4,36,2,0,0,9,2,7,0,5,3,3,9,256.0,512.0,9.411442967591753,0.5338523397693459,0,0,0.0,-10.009172948724682,-5.118845378903314,47.65226593408249,-581.5046057034283,price_risk_exceeds_cash,2025-03-05 07:51:00+00:00,512.0,466.14766023065414,1000.0,466.14766023065414,533.8523397693459,-533.8523397693459,0.18181818181818182,0.0,0.8181818181818182,-0.9099248135204256,-0.4653495799003013,0.08194649787242701
validation,original,london_new_york,fixed1,230,203,203,27,0,54,0,0,149,54,113,0,12,9,12,149,1.0,1.0,1.294327026538889,0.08716355092486416,0,0,0.0,-87.16355092486333,3.8962259887631614,107.33162127220442,-194.49517219706854,,,,,1000.0,912.8364490751359,87.16355092486413,-87.16355092486413,0.2660098522167488,0.0,0.7339901477832512,-0.4293770981520361,0.01919323147173971,0.5518472261278171
validation,original,london_new_york,double,230,11,11,3,25,2,0,0,9,2,7,0,5,3,3,9,256.0,512.0,9.411442967591753,0.5338523397693459,0,0,0.0,-10.009172948724682,-5.118845378903314,47.65226593408249,-581.5046057034283,price_risk_exceeds_cash,2025-03-05 07:51:00+00:00,512.0,466.14766023065414,1000.0,466.14766023065414,533.8523397693459,-533.8523397693459,0.18181818181818182,0.0,0.8181818181818182,-0.9099248135204256,-0.4653495799003013,0.08194649787242701
validation,next_bar,all,fixed1,653,617,617,36,0,43,146,0,428,187,179,43,17,4,5,428,1.0,1.0,1.6580294718769528,0.29090339924896935,0,0,0.0,-290.90132937997237,-0.5297095494873081,43.08528965942537,-333.9866190393991,,,,,1000.0,709.0986706200263,290.90132937997373,-290.90132937997373,0.06969205834683954,0.2366288492706645,0.6936790923824959,-0.4714770330307494,-0.0008585243913894783,0.12900304144922276
validation,next_bar,all,double,653,12,12,0,641,0,3,0,9,3,5,0,4,1,2,9,256.0,512.0,9.276032083434576,0.41295826890826626,0,0,0.0,-8.243438190887181,-2.665324809216457,0.025446341021961416,-412.98371524928825,,,,,1000.0,587.0417310917337,412.9582689082663,-412.9582689082663,0.0,0.25,0.75,-0.6869531825739318,-0.2221104007680381,6.161584605485306e-05
validation,next_bar,london,fixed1,91,89,89,2,0,7,18,0,64,25,28,7,10,4,5,64,1.0,1.0,1.23954013764511,0.04659288408543838,0,0,0.0,-46.59288408543825,4.8895634101795595,7.010570166110369,-53.60345425154878,,,,,1000.0,953.4071159145616,46.59288408543841,-46.59288408543841,0.07865168539325842,0.20224719101123595,0.7191011235955056,-0.5235155515217781,0.05493891472111865,0.1307857910277827
validation,next_bar,london,double,91,19,19,0,72,2,7,0,10,9,6,2,2,2,2,7,64.0,128.0,9.211066853015314,0.13789141407605232,1,0,0.0,-8.261980405292304,0.6317457955489285,16.034634078868407,-153.8262237909497,,,,,1000.0,862.2084102879187,137.90738065257403,-137.7915897120813,0.10526315789473684,0.3684210526315789,0.5263157894736842,-0.43484107396275284,0.0332497787131015,0.10423862514274239
validation,next_bar,lunch,fixed1,112,104,104,8,0,9,20,0,75,29,34,9,11,4,5,75,1.0,1.0,0.7277907082389782,0.05615849169272169,0,0,0.0,-56.15642182372598,0.07114394278758573,9.01629795492454,-65.17271977865062,,,,,1000.0,943.8435781762739,56.15642182372608,-56.15642182372608,0.08653846153846154,0.19230769230769232,0.7211538461538461,-0.5399655944589037,0.0006840763729575552,0.1383446630054269
validation,next_bar,lunch,double,112,8,8,1,103,0,1,0,7,1,2,0,7,2,2,7,128.0,128.0,9.442463355930808,0.02521567293183591,0,0,0.0,-3.42440425781122,-0.42007350746582717,0.010147947579071115,-25.21567293183591,,,,,1000.0,974.7944750157432,25.20552498425684,-25.20552498425684,0.0,0.125,0.875,-0.4280505322264025,-0.052509188433228396,0.00040244603451605206
validation,next_bar,new_york,fixed1,139,136,136,3,0,9,40,0,87,47,32,9,10,3,5,87,1.0,1.0,0.6035060790286058,0.047067720833319004,0,0,0.0,-47.06772083331856,1.1186632633070195,9.019147444328496,-56.086868277647454,,,,,1000.0,952.932279166681,47.06772083331896,-47.06772083331896,0.0661764705882353,0.29411764705882354,0.6397058823529411,-0.3460861825979306,0.008225465171375143,0.16080675782575182
