period,arm,session,candidates,trades,natural,open,wins,strict_net_positive,be,losses,net_zero,win_rate,mean_net_r,sum_net_r,mean_gross_r,profit_factor,initial_stops,max_initial_stop_streak,max_net_loss_streak,gross3r,net3r
validation,next_bar,london_new_york,230,225,225,0,16,72,58,151,2,0.32,-0.4162693551944747,-93.66060491875682,0.026703229659940347,0.14613611520900038,60,3,14,0,0
validation,ohlc,all,653,619,619,0,28,425,400,191,3,0.6865912762520194,-0.42980068541216626,-266.0466242701309,0.04076562402399804,0.09576400403388727,179,4,5,0,0
validation,ohlc,london,91,89,89,0,5,59,54,30,0,0.6629213483146067,-0.48977507558540756,-43.589981727101275,0.08867939065748838,0.10343842434083476,28,4,4,0,0
validation,ohlc,lunch,112,105,105,0,7,68,61,37,0,0.6476190476190476,-0.5024352660284437,-52.75570293298659,0.03949033844028372,0.11759228721818228,34,4,5,0,0
validation,ohlc,new_york,139,137,137,0,9,102,95,33,2,0.7445255474452555,-0.2771735005430557,-37.972769574398626,0.07626217175200696,0.19222725630611326,32,3,5,0,0
validation,ohlc,union,342,329,329,0,20,226,208,101,2,0.6869300911854104,-0.41614441068272034,-136.911511114615,0.05711819074731805,0.1279860456715146,95,4,6,0,0
validation,ohlc,london_new_york,230,226,226,0,14,161,149,63,2,0.7123893805309734,-0.36089712965265447,-81.56275130149992,0.08115213848912133,0.14708549053485317,60,3,5,0,0
validation,olhc,all,653,621,621,0,32,428,398,191,2,0.6892109500805152,-0.4224615886882212,-262.3486465753854,0.04757481385743847,0.10924831707885858,179,4,5,0,0
validation,olhc,london,91,89,89,0,6,59,53,30,0,0.6629213483146067,-0.4785391205292278,-42.589981727101275,0.09991534571366815,0.12400648929833281,28,4,4,0,0
validation,olhc,lunch,112,107,107,0,6,69,63,38,0,0.6448598130841121,-0.5151184229474252,-55.11767125537449,0.022351061758800913,0.09862835646471985,35,4,5,0,0
validation,olhc,new_york,139,136,136,0,7,102,97,32,2,0.75,-0.2861266892917012,-38.913229743671366,0.06818495847760478,0.15312312807341852,31,3,5,0,0
validation,olhc,union,342,330,330,0,18,227,211,101,2,0.6878787878787879,-0.42186042304932003,-139.2139396062756,0.05109757469926921,0.11502626443035305,95,4,6,0,0
validation,olhc,london_new_york,230,225,225,0,13,161,150,62,2,0.7155555555555555,-0.36223649542565617,-81.50321147077264,0.08073608942875872,0.1381537808395586,59,3,5,0,0
preholdout,original,all,233,185,185,0,49,49,0,136,0,0.2648648648648649,-0.4598820556243135,-85.078180290498,0.19216917216630489,0.5979992764297452,107,9,13,15,13
preholdout,original,london,47,39,39,0,14,14,0,25,0,0.358974358974359,0.055934530535416305,2.181446690881236,0.8070208717279869,1.0547365828574033,18,4,5,4,3
preholdout,original,lunch,32,30,30,0,5,5,0,25,0,0.16666666666666666,-0.7401274414995486,-22.203823244986456,-0.029644356000068702,0.45632325623639713,20,5,9,2,2
preholdout,original,new_york,29,26,26,0,6,6,0,20,0,0.23076923076923078,-0.6656436041241918,-17.306733707228986,-0.24443641297675506,0.35586388923916623,14,5,5,1,1
preholdout,original,union,108,90,90,0,23,23,0,67,0,0.25555555555555554,-0.38116835700207424,-34.305152130186684,0.27804949009512747,0.6669546436477749,49,6,11,7,6
preholdout,original,london_new_york,76,65,65,0,20,20,0,45,0,0.3076923076923077,-0.2326967233284269,-15.125287016347748,0.38643795784609003,0.7733077381927467,32,4,8,5,4
preholdout,next_bar,all,233,216,216,0,23,71,48,145,0,0.3287037037037037,-0.5833107863450855,-125.99512985053846,0.04361128427978192,0.1545613387792747,69,7,13,0,0
preholdout,next_bar,london,47,43,43,0,7,15,8,28,0,0.3488372093023256,-0.48134762749639154,-20.697947982344836,0.242244118563665,0.25288652424926267,12,2,8,0,0
preholdout,next_bar,lunch,32,31,31,0,4,7,3,24,0,0.22580645161290322,-0.7869932880912093,-24.396791930827487,-0.07962698305277215,0.14102577889584833,12,4,9,0,0
preholdout,next_bar,new_york,29,28,28,0,2,13,11,15,0,0.4642857142857143,-0.49180611476555053,-13.770571213435415,-0.0848018176214754,0.1270093790303655,9,2,4,0,0
preholdout,next_bar,union,108,102,102,0,13,35,22,67,0,0.3431372549019608,-0.5771108933981152,-58.86531112660774,0.05464323264902303,0.18106301703659708,33,3,10,0,0
preholdout,next_bar,london_new_york,76,71,71,0,9,28,19,43,0,0.39436619718309857,-0.48547210134901747,-34.46851919578024,0.11326825640614487,0.20721761619161114,21,2,11,0,0
preholdout,ohlc,all,233,216,216,0,18,142,124,74,0,0.6574074074074074,-0.5336673349147335,-115.27214434158245,0.09337455752405548,0.1355475906140574,69,7,7,0,0
preholdout,ohlc,london,47,43,43,0,5,31,26,12,0,0.7209302325581395,-0.3936943941720494,-16.928858949398123,0.32989735188800356,0.22866008062170828,12,2,2,0,0
preholdout,ohlc,lunch,32,31,31,0,4,17,13,14,0,0.5483870967741935,-0.7258247892902377,-22.500568467997372,-0.018458484251799096,0.15125337020255955,12,4,4,0,0
preholdout,ohlc,new_york,29,28,28,0,0,19,19,9,0,0.6785714285714286,-0.5214888355416314,-14.601687395165678,-0.11448453839755753,0.00032982774995770345,9,2,2,0,0
preholdout,ohlc,union,108,102,102,0,9,67,58,35,0,0.6568627450980392,-0.5297168118878547,-54.03111481256118,0.1020373141592821,0.14323623523318924,33,3,3,0,0
preholdout,ohlc,london_new_york,76,71,71,0,5,50,45,21,0,0.704225352112676,-0.44409220203610983,-31.5305463445638,0.15464815571904994,0.1374218799647586,21,2,2,0,0
preholdout,olhc,all,233,218,218,0,15,144,129,74,0,0.6605504587155964,-0.5413778247395954,-118.0203657932318,0.08750863895269562,0.11327666777650784,69,7,7,0,0
preholdout,olhc,london,47,43,43,0,5,31,26,12,0,0.7209302325581395,-0.3936943941720506,-16.928858949398176,0.32989735188800323,0.2286600806217058,12,2,2,0,0
preholdout,olhc,lunch,32,31,31,0,1,17,16,14,0,0.5483870967741935,-0.8225989828386241,-25.500568467997347,-0.11523267780018592,0.03809001199612891,12,4,4,0,0
preholdout,olhc,new_york,29,28,28,0,2,19,17,9,0,0.6785714285714286,-0.4500602641130601,-12.601687395165683,-0.04305596696898658,0.137255122093817,9,2,2,0,0
preholdout,olhc,union,108,102,102,0,8,67,59,35,0,0.6568627450980392,-0.5395207334564825,-55.03111481256122,0.09223339259065443,0.1273793763151559,33,3,3,0,0
preholdout,olhc,london_new_york,76,71,71,0,7,50,43,21,0,0.704225352112676,-0.4159231879516036,-29.530546344563856,0.18281716980355653,0.19213568736974412,21,2,2,0,0
continuous_pre,original,all,1809,1454,1454,0,354,354,0,1100,0,0.24346629986244842,-0.6210810169125001,-903.0517985907751,0.004582935435698681,0.4468344534687134,845,12,27,85,69
continuous_pre,original,london,299,268,268,0,75,75,0,193,0,0.2798507462686567,-0.466185121710373,-124.93761261837997,0.2855595150757197,0.6066465845143081,151,8,14,20,15
continuous_pre,original,lunch,267,241,241,0,48,48,0,193,0,0.1991701244813278,-0.9146137739938521,-220.42191953251836,-0.2270929815169613,0.26337510887919535,156,11,18,8,6
continuous_pre,original,new_york,344,301,301,0,68,68,0,233,0,0.22591362126245848,-0.5322419203675283,-160.204818030626,-0.019130833321518,0.4917455123980402,173,8,27,21,16
continuous_pre,original,union,910,756,756,0,183,183,0,573,0,0.24206349206349206,-0.5975185600917056,-451.72403142932944,0.04369034537935151,0.478125103210721,445,11,22,48,36
continuous_pre,original,london_new_york,643,564,564,0,143,143,0,421,0,0.25354609929078015,-0.49270442086717814,-277.88529336908846,0.13135533659666507,0.5557890446215173,321,9,18,41,31
continuous_pre,next_bar,all,1809,1681,1681,0,137,478,344,1200,3,0.2843545508625818,-0.6092435653997412,-1024.138433436965,-0.003244328513885689,0.11817400449619611,553,7,27,0,0
continuous_pre,next_bar,london,299,287,287,0,29,82,53,205,0,0.2857142857142857,-0.7340469827729214,-210.67148405582844,0.00597440652889285,0.12114724105171532,109,8,25,0,0
continuous_pre,next_bar,lunch,267,253,253,0,20,61,41,192,0,0.24110671936758893,-0.7253140017313413,-183.50444243802934,-0.046233444109662014,0.09843627547663374,91,4,22,0,0
continuous_pre,next_bar,new_york,344,333,333,0,27,105,80,226,2,0.3153153153153153,-0.5057523172819934,-168.4155216549038,-0.009348723019080327,0.13836881837212658,97,5,22,0,0
continuous_pre,next_bar,union,910,859,859,0,75,246,173,611,2,0.28637951105937137,-0.6325651567721501,-543.3734696672769,-0.008498137243579054,0.12145822674647272,288,9,22,0,0
continuous_pre,next_bar,london_new_york,643,620,620,0,56,187,133,431,2,0.3016129032258065,-0.6114306543721487,-379.0870057107322,-0.002255596921873386,0.12888244027509443,206,7,24,0,0
continuous_pre,ohlc,all,1809,1689,1689,0,101,1081,989,599,9,0.6400236826524571,-0.5598842514492635,-945.644500697806,0.0458293120251178,0.09697245843861076,556,7,10,0,0
continuous_pre,ohlc,london,299,287,287,0,20,170,152,115,2,0.5923344947735192,-0.7004063724906394,-201.0166289048135,0.03961501681117424,0.09087617118881364,109,8,13,0,0
continuous_pre,ohlc,lunch,267,254,254,0,17,155,138,99,0,0.610236220472441,-0.6612465875577074,-167.95663323965766,0.01781641945405649,0.09233925365171496,91,4,7,0,0
continuous_pre,ohlc,new_york,344,335,335,0,20,228,212,103,4,0.6805970149253732,-0.4520095469294952,-151.4231982213809,0.043770325531392734,0.11717001052775765,98,5,5,0,0
continuous_pre,ohlc,union,910,863,863,0,56,548,498,309,6,0.6349942062572422,-0.5834037927391602,-503.4774731338952,0.04059088497551059,0.1005351196381193,290,9,11,0,0
continuous_pre,ohlc,london_new_york,643,622,622,0,40,398,364,218,6,0.639871382636656,-0.5666235162800553,-352.43982712619436,0.041853004626726,0.10236260721695123,207,7,7,0,0
continuous_pre,olhc,all,1809,1693,1693,0,92,1088,1004,597,8,0.6426461901949203,-0.5629448182903318,-953.0655773655318,0.04269500246788055,0.08851453194888369,555,7,10,0,0
continuous_pre,olhc,london,299,287,287,0,19,171,154,114,2,0.5958188153310104,-0.7038531117786355,-202.0058430804684,0.036168277523178256,0.0863619051328594,109,8,13,0,0
continuous_pre,olhc,lunch,267,256,256,0,11,156,145,100,0,0.609375,-0.68483828735174,-175.31860156204544,-0.008709185104326701,0.059479740445524135,92,4,7,0,0
continuous_pre,olhc,new_york,344,334,334,0,22,228,210,102,4,0.6826347305389222,-0.44420257003189634,-148.36365839065337,0.05236016729325165,0.12962823691854425,97,5,5,0,0
continuous_pre,olhc,union,910,863,863,0,51,550,505,307,6,0.6373117033603708,-0.5872465374229924,-506.7937617960424,0.03604986611019964,0.09188064028349362,289,9,11,0,0
continuous_pre,olhc,london_new_york,643,621,621,0,41,399,364,216,6,0.642512077294686,-0.5642020957667018,-350.3695014711218,0.044876958977613866,0.10519726085637325,206,7,7,0,0
