event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2023-08-29T14:00:00+00:00_L,2023H2,accepted,2023-08-29T14:00:00+00:00_L::control0|2023-08-29T14:00:00+00:00_L::control1|2023-08-29T14:00:00+00:00_L::control2,3,2,1,0,True
2023-09-03T17:00:00+00:00_L,2023H2,abstain,2023-09-03T17:00:00+00:00_L::control0|2023-09-03T17:00:00+00:00_L::control1|2023-09-03T17:00:00+00:00_L::control2,3,0,3,0,True
2023-09-06T07:00:00+00:00_S,2023H2,abstain,2023-09-06T07:00:00+00:00_S::control0|2023-09-06T07:00:00+00:00_S::control1|2023-09-06T07:00:00+00:00_S::control2,3,0,3,0,True
2023-09-15T22:00:00+00:00_L,2023H2,accepted,2023-09-15T22:00:00+00:00_L::control0|2023-09-15T22:00:00+00:00_L::control1|2023-09-15T22:00:00+00:00_L::control2,3,1,2,0,True
2023-09-17T07:00:00+00:00_S,2023H2,abstain,2023-09-17T07:00:00+00:00_S::control0|2023-09-17T07:00:00+00:00_S::control1|2023-09-17T07:00:00+00:00_S::control2,3,0,3,0,True
2023-09-17T16:00:00+00:00_S,2023H2,abstain,2023-09-17T16:00:00+00:00_S::control0|2023-09-17T16:00:00+00:00_S::control1|2023-09-17T16:00:00+00:00_S::control2,3,0,3,0,True
2023-09-26T20:00:00+00:00_S,2023H2,abstain,2023-09-26T20:00:00+00:00_S::control0|2023-09-26T20:00:00+00:00_S::control1|2023-09-26T20:00:00+00:00_S::control2,3,0,3,0,True
2023-10-06T09:00:00+00:00_L,2023H2,abstain,2023-10-06T09:00:00+00:00_L::control0|2023-10-06T09:00:00+00:00_L::control1|2023-10-06T09:00:00+00:00_L::control2,3,0,3,0,True
2023-10-06T12:00:00+00:00_S,2023H2,accepted,2023-10-06T12:00:00+00:00_S::control0|2023-10-06T12:00:00+00:00_S::control1|2023-10-06T12:00:00+00:00_S::control2,3,0,3,0,True
2023-10-18T09:00:00+00:00_S,2023H2,abstain,2023-10-18T09:00:00+00:00_S::control0|2023-10-18T09:00:00+00:00_S::control1|2023-10-18T09:00:00+00:00_S::control2,3,0,3,0,True
