timeframe_min,arm,policy,kind,metric,eligible,bucket,period,analysis_start,analysis_split,analysis_end_exclusive,earlier_closed,later_closed,taken,closed,censored,weeks,symbols,win_rate,mean_net_bp,mean_net_r,wins,sum_net_r,mean_gross_bp,median_net_bp,ge5r,ge10r,pf_r,ge5r_rate,win_rate_low,win_rate_high,mean_net_bp_low,mean_net_bp_high,mean_net_r_low,mean_net_r_high,matched,paired_target_mean_net_bp,random_mean_net_bp,random_win_rate,mean_excess_bp,random_coverage,source_available_symbols,source_universe_symbols,source_coverage_is_span_only,test_scope,paired_weeks,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,holm_p_48_slots,selection_scope,without_best_trade_bp,best_symbol,without_best_symbol_bp,best_week,without_best_week_bp
15,v9_both,retest,1h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,v9_both,retest,4h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,v9_both,retest,4h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,v9_both,retest,4h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,baseline,1h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,baseline,1h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,baseline,1h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,baseline,4h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,baseline,4h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,baseline,4h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,retest,1h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,retest,1h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,retest,1h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,retest,4h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,retest,4h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,joint,retest,4h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,baseline,1h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,baseline,1h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,baseline,1h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,baseline,4h,win_rate,True,12.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,13.0,20.0,34.0,34.0,0.0,31.0,2.0,0.38235294117647056,140.05538255079108,0.3413794174347969,13.0,11.606900192783094,160.05538255079108,-132.389270522631,1.0,1.0,1.5230772874665464,0.029411764705882353,0.21621621621621623,0.5483870967741935,-65.62716555941186,412.0410224133685,-0.3872995319067504,1.3139055118705627,6.0,-136.8967991048388,-154.99562733441567,0.16666666666666666,18.098828229576828,0.17647058823529413,2.0,2.0,True,"same-clock matched random, entry-week block inference",6.0,0.265625,-34.53564003141168,63.53562150323933,0.015625,1.0,"full analysis history; retrospective diagnostic, not a validated gate",57.59460830187458,ETHUSDT,79.63531256036647,2021-05-17,57.59460830187458
60,v9_both,baseline,4h,mean_net_bp,True,12.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,13.0,20.0,34.0,34.0,0.0,31.0,2.0,0.38235294117647056,140.05538255079108,0.3413794174347969,13.0,11.606900192783094,160.05538255079108,-132.389270522631,1.0,1.0,1.5230772874665464,0.029411764705882353,0.21621621621621623,0.5483870967741935,-65.62716555941186,412.0410224133685,-0.3872995319067504,1.3139055118705627,6.0,-136.8967991048388,-154.99562733441567,0.16666666666666666,18.098828229576828,0.17647058823529413,2.0,2.0,True,"same-clock matched random, entry-week block inference",6.0,0.265625,-34.53564003141168,63.53562150323933,0.015625,1.0,"full analysis history; retrospective diagnostic, not a validated gate",57.59460830187458,ETHUSDT,79.63531256036647,2021-05-17,57.59460830187458
60,v9_both,baseline,4h,mean_net_r,True,16.0,all,2020-02-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,17.0,28.0,45.0,45.0,0.0,42.0,2.0,0.28888888888888886,33.641895072566946,0.43585736573657763,13.0,19.613581458145994,53.64189507256697,-145.11495087362601,4.0,2.0,1.5915792689227217,0.08888888888888889,0.1590909090909091,0.4318181818181818,-122.7205309095774,216.5867618276715,-0.4415796810853872,1.52992954639239,6.0,-160.27392477854482,0.3287659899324907,0.3333333333333333,-160.60269076847734,0.13333333333333333,2.0,2.0,True,"same-clock matched random, entry-week block inference",6.0,0.75,-739.5830152537804,405.43815415256586,0.015625,1.0,"full analysis history; retrospective diagnostic, not a validated gate",-18.651919174827473,ETHUSDT,-155.13709920687126,2024-05-13,-18.651919174827473
60,v9_both,retest,1h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,retest,1h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,retest,1h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,retest,4h,win_rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,retest,4h,mean_net_bp,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,v9_both,retest,4h,mean_net_r,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
