timeframe_min,arm,symbol,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,AAVEUSDT,5,2,3,0,0.4,0.11762077314099711,0.7692757205908813,0.4,-0.470508753759464,-2.35254376879732,-1.0939354838709672,-86.5765948859848,-66.5765948859848,0.3120605433321808,0.5335760869565267,-1.1398986475701245,1.0376521739130529,-1.162935897435898,2.35254376879732,9.4,12.0,122.74765913919201,5,3,0,0,0,3,3,0,5,3,3,0,3,1,1,0,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,ACEUSDT,8,1,7,0,0.125,0.022417491199971912,0.47088818505608376,0.25,9.065040146030734,72.52032116824587,-1.0449898611860382,1949.6983374889119,1969.6983374889119,12.899240513849952,78.61485477178441,-0.8706476576483643,78.61485477178441,-1.159269035533,5.4300772080567725,10.03125,4.125,246.404960847235,8,7,1,1,1,7,7,0,8,7,7,0,5,4,4,0,5,4,4,0,3,2,2,0,2,1,1,0,2,1,1,0,1,0,0,0
15,joint,ACHUSDT,11,3,8,0,0.2727272727272727,0.09746059213308628,0.5656453033189257,0.2727272727272727,1.5512270394774783,17.063497434252263,-1.0828062015503874,103.19322132035933,123.19322132035933,2.969564486413072,8.575695514466632,-1.082948638643455,20.366499999999863,-1.1446551724137946,3.326011430308558,18.59090909090909,7.0,160.65016065016002,10,7,0,1,1,6,7,0,11,7,8,0,6,2,3,0,4,1,1,0,3,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0
15,joint,ACTUSDT,6,3,3,0,0.5,0.18761630498040816,0.8123836950195918,0.5,-0.18931732123303704,-1.1359039273982223,-0.4362996532096944,-46.7955324059485,-26.795532405948503,0.6588193285597397,0.7311428864534438,-1.109777528919518,1.2937101449275226,-1.128266666666667,2.2366882352941193,10.916666666666666,8.5,178.257851655725,6,3,0,0,0,3,3,0,6,3,3,0,4,1,1,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,ACUUSDT,9,4,5,0,0.4444444444444444,0.18877851977054566,0.7333487081991259,0.4444444444444444,1.1579402694624739,10.421462425162265,-0.1794764705882368,297.6301400888312,317.6301400888312,3.2565919024394474,3.759923328257965,-0.9236461775739189,7.204263665594849,-1.1859848484848463,2.4807613190730837,19.555555555555557,13.5,197.79321618308,8,4,0,1,0,4,5,0,9,4,5,0,7,2,3,0,6,1,2,0,4,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0
15,joint,ACXUSDT,1,0,1,0,0.0,0.0,0.7934506882081973,0.0,-1.1584528301886847,-1.1584528301886847,-1.1584528301886847,-146.220528697308,-126.220528697308,0.0,,-1.1584528301886847,-1.1584528301886847,-1.1584528301886847,1.1584528301886847,7.0,7.0,126.220528697307,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,ADAUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.25,-0.830746071873568,-3.322984287494272,-1.1173784313725479,-116.51684885557925,-96.51684885557925,0.04776817790050813,0.1666956521739039,-1.1632266465560586,0.1666956521739039,-1.25492307692308,3.322984287494272,6.1875,3.5,131.0678249349875,4,3,0,0,0,2,2,0,4,3,3,0,3,2,2,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,AEROUSDT,3,1,2,0,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.3333333333333333,0.13328686299081136,0.39986058897243404,-0.8645263157894731,60.28730645420131,80.28730645420131,1.1984816026383889,2.4144583333333327,-1.0072988721804492,2.4144583333333327,-1.1500714285714255,2.0145977443608984,32.75,25.0,233.804188991719,2,1,0,0,0,1,2,0,3,1,2,0,3,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,AEVOUSDT,8,1,7,0,0.125,0.022417491199971912,0.47088818505608376,0.125,-0.48917687005976174,-3.913414960478094,-0.7890366300366328,-102.20684686030962,-82.20684686030962,0.3088788109327029,1.749000000000031,-0.8089164229254463,1.749000000000031,-1.1183500000000008,4.569034008097169,8.21875,6.75,170.44271351045248,6,5,0,0,0,3,5,0,7,4,6,0,4,1,3,0,3,1,2,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
15,joint,AGLDUSDT,8,3,5,0,0.375,0.13684428473912286,0.694257607346229,0.375,0.19602007822413742,1.5681606257930993,-1.111299999999999,31.196456796353758,51.19645679635375,1.271423451901246,2.448567827645319,-1.1555085714285713,6.020173913043482,-1.2121428571428614,4.6199299539170475,12.09375,10.625,147.5637550403885,8,5,0,1,0,4,4,0,8,5,5,0,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
15,joint,AGTUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.25,-0.11654776412519374,-0.46619105650077497,-1.0948485382263,-61.542385117394254,-41.542385117394254,0.8586133935891404,2.8310877192982304,-1.099092925266335,2.8310877192982304,-1.1075816993464054,3.2972787757990054,6.875,3.875,192.19991116750697,4,3,0,0,0,2,2,0,3,2,2,1,3,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,joint,AIAUSDT,8,2,6,0,0.25,0.07147921209795555,0.5907245720727483,0.25,-0.3840391321357651,-3.072313057086121,-1.1080691056910577,-102.96698724603675,-82.96698724603675,0.5449985717654707,1.8400010683760708,-1.1253858656397107,3.143057692307691,-1.2269393939393995,5.525375799898864,6.96875,3.75,164.02617251016548,8,6,0,0,0,6,6,0,8,6,6,0,4,2,2,0,3,1,1,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
15,joint,AIGENSYNUSDT,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,-0.4445011617059608,-2.667006970235765,-0.9891619047619109,-29.75354141689668,-9.753541416896667,0.3858609052209325,0.837834403080884,-1.0856689440993832,0.9481951219512365,-1.189047619047624,3.615202092187001,16.875,17.0,144.84995558939102,5,3,0,0,0,3,4,0,6,3,4,0,5,2,3,0,5,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,AINUSDT,7,2,5,0,0.2857142857142857,0.08221892324928332,0.6410655504689458,0.2857142857142857,0.0158769707782391,0.11113879544767369,-1.10893243243243,5.162507591135567,25.16250759113556,1.0194906049873125,2.906655742145187,-1.1404345377685399,2.911042253521125,-1.2144166666666731,2.323349099099103,9.428571428571429,5.75,144.425187752742,7,5,0,0,0,5,5,1,7,5,5,0,5,3,3,0,4,2,2,0,3,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0
15,joint,AIOTUSDT,8,1,7,0,0.125,0.022417491199971912,0.47088818505608376,0.125,-0.8144541498318838,-6.51563319865507,-1.07526376146789,-167.09283086000124,-147.09283086000124,0.1097884992679783,0.8035636363636408,-1.045599547859816,0.8035636363636408,-1.174982456140355,6.5156331986550695,4.46875,3.5,244.002903857078,7,6,0,0,0,4,5,0,8,6,7,0,4,2,3,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,AIOUSDT,7,3,4,0,0.42857142857142855,0.15821985399244537,0.7495416372469643,0.42857142857142855,-0.04537738168284048,-0.31764167177988334,-1.042582524271845,-41.88125440390043,-21.881254403900442,0.9263798401620267,1.3323200319942317,-1.0786504419406446,1.8410549450549605,-1.102136986301368,2.733407456620444,8.857142857142858,2.75,238.03363518758,7,4,0,0,0,4,4,2,7,4,4,0,6,3,3,0,5,2,2,0,5,2,2,0,3,0,0,0,2,0,0,0,0,0,0,0
15,joint,AIXBTUSDT,5,1,4,0,0.2,0.03622410822563066,0.6244653729700049,0.2,-0.6724262113226824,-3.3621310566134124,-1.096799999999998,-124.4421975686768,-104.44219756867679,0.24126757052367082,1.0691162790697708,-1.1078118339207959,1.0691162790697708,-1.1309230769230751,4.431247335683183,9.55,11.0,206.61157024793297,5,4,0,0,0,3,3,0,5,4,4,0,2,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,AKEUSDT,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,0.4032137929324026,2.4192827575944156,-0.7563335955056173,104.63830417921231,124.63830417921231,1.6610304060685335,3.0395744162069818,-0.914966518704887,3.2763972125435505,-1.0918743455497375,2.638046074819548,10.583333333333334,8.0,438.58016523617147,5,3,0,0,0,3,4,0,6,3,4,0,4,2,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
15,joint,AKTUSDT,5,2,3,0,0.4,0.11762077314099711,0.7692757205908813,0.4,0.0026387970738217525,0.013193985369108763,-1.0755033557046965,-17.415954790409398,2.5840452095906072,1.0040757278000376,1.62520181818183,-1.0790698836648505,2.8205636363636497,-1.081546875000002,3.237209650994551,14.9,12.75,245.257712205403,5,3,0,0,0,3,3,0,5,3,3,0,3,1,1,0,3,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,joint,ALCHUSDT,3,1,2,0,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.3333333333333333,-0.5366852809991055,-1.6100558429973166,-1.09450847457627,-130.75381347765634,-110.75381347765635,0.26552181989600776,0.5820526315789525,-1.0960542372881346,0.5820526315789525,-1.0975999999999988,2.192108474576269,6.666666666666667,4.5,204.918032786885,3,2,0,0,0,2,2,0,3,2,2,0,2,1,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,ALGOUSDT,3,0,3,0,0.0,0.0,0.5614970356393196,0.0,-1.1529750082719863,-3.458925024815959,-1.1118977272727275,-212.86667251340768,-192.86667251340768,0.0,,-1.1529750082719863,-1.060598726114651,-1.2864285714285808,3.458925024815959,5.666666666666667,5.5,178.73463999187499,3,3,0,0,0,2,2,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,ALICEUSDT,4,1,3,0,0.25,0.04558726029536886,0.6993581599030918,0.75,-0.09368035426731078,-0.3747214170692431,-0.024634782608692,9.146493120572991,29.1464931205725,0.6968770923377121,0.861481481481479,-0.4120676328502407,0.861481481481479,-1.186933333333338,1.186933333333338,8.125,10.25,147.989666130201,4,3,2,0,0,2,2,0,4,3,3,0,3,2,2,0,3,2,2,0,3,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0
15,joint,ALLOUSDT,4,4,0,0,1.0,0.5101091596030786,0.9999999999999999,1.0,1.8331980156425545,7.332792062570218,1.4962965287975267,492.9259352825555,512.9259352825555,,1.8331980156425545,,3.793199004975164,0.5470000000000006,0.0,18.6875,18.0,243.7790327652225,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
15,joint,ALLUSDT,3,0,3,0,0.0,0.0,0.5614970356393196,0.0,-1.218629908103592,-3.655889724310776,-1.2201754385964996,-116.55102978840434,-96.55102978840434,0.0,,-1.218629908103592,-1.1575999999999975,-1.2781142857142789,3.655889724310776,4.333333333333333,5.0,90.83665338645301,3,3,0,0,0,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,ALPINEUSDT,9,0,9,0,0.0,-2.7755575615628914e-17,0.299145051727044,0.0,-1.053858723400194,-9.484728510601746,-1.1591999999999991,-134.29816751224791,-114.2981675122479,0.0,,-1.053858723400194,-0.4601111111111133,-1.2541600000000055,9.484728510601748,11.527777777777779,8.0,111.24845488257,7,7,0,0,0,6,8,1,9,7,9,0,5,3,5,0,4,2,4,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
15,joint,ALTUSDT,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,-0.37692443466298914,-2.2615466079779347,-1.1319277310924356,-54.89096609616815,-34.890966096168164,0.5127069251856353,1.1897466509062218,-1.1602599774475948,1.522259259259254,-1.201508771929831,3.783805867237189,9.375,2.375,115.836301209187,6,4,0,0,0,3,3,0,6,4,4,0,5,3,3,0,4,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,joint,ANIMEUSDT,7,3,4,0,0.42857142857142855,0.15821985399244537,0.7495416372469643,0.42857142857142855,0.6563365830636554,4.5943560814455875,-0.962967741935487,28.670287427558005,48.67028742755799,2.1003472215454377,2.9232418160095435,-1.043842341645761,3.9582666666666295,-1.0765365853658515,2.149697079193013,23.178571428571427,18.0,153.113303844846,6,3,0,0,0,1,2,0,6,2,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
15,joint,ANKRUSDT,5,1,4,0,0.2,0.03622410822563066,0.6244653729700049,0.2,-0.5731570622925453,-2.865785311462726,-1.0596666666666612,-81.87873207858759,-61.878732078587596,0.24955075501393945,0.9529743589743566,-0.9546899176092707,0.9529743589743566,-1.1933809523809498,3.8187596704370828,18.1,15.25,114.135206321334,3,2,0,0,0,2,4,0,5,2,4,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,APEUSDT,2,0,2,0,0.0,0.0,0.6576197760453506,0.0,-0.35283846153845977,-0.7056769230769195,-0.35283846153845977,-31.592548856487,-11.592548856487,0.0,,-0.35283846153845977,-0.3485999999999908,-0.3570769230769287,0.7056769230769195,16.625,16.625,89.4304090796415,1,1,0,0,0,1,2,0,2,1,2,0,2,1,2,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,API3USDT,5,1,4,0,0.2,0.03622410822563066,0.6244653729700049,0.2,-0.2393101150692729,-1.1965505753463646,-1.1135121951219502,-111.6009205860302,-91.6009205860302,0.7332811602323275,3.289636363636383,-1.121546734745687,3.289636363636383,-1.1482307692307732,3.3379561697519744,8.0,2.25,174.050632911393,5,4,0,0,0,3,3,0,5,4,4,0,3,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,joint,APRUSDT,7,0,7,0,0.0,-2.7755575615628914e-17,0.35433043867586833,0.0,-1.0008313534707554,-7.005819474295288,-1.0860571428571413,-235.49450054675086,-215.49450054675071,0.0,,-1.0008313534707554,-0.3707412587412598,-1.195700000000001,7.005819474295288,15.428571428571429,5.5,232.403718459495,6,6,0,0,0,6,7,0,7,6,7,0,4,3,4,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,APTUSDT,3,0,3,0,0.0,0.0,0.5614970356393196,0.0,-1.0805662509238732,-3.2416987527716192,-1.0772045454545458,-271.705206056326,-251.705206056326,0.0,,-1.0805662509238732,-1.070731707317074,-1.0937624999999995,3.2416987527716192,4.333333333333333,1.0,259.05210479835,3,3,0,0,0,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,ARBUSDT,2,1,1,0,0.5,0.09453120463920084,0.9054687953607992,0.5,11.027805039787745,22.05561007957549,11.027805039787745,1117.719610224602,1137.719610224602,20.019676240973162,23.21523076923067,-1.1596206896551775,23.21523076923067,-1.1596206896551775,1.1596206896551777,32.0,32.0,113.92382916535202,2,1,0,1,1,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
15,joint,ARCUSDT,6,1,5,0,0.16666666666666666,0.030053369411815023,0.5635028250257673,0.16666666666666666,-0.7717694978837647,-4.630616987302588,-1.0828248447204976,-187.8928118029443,-167.89281180294432,0.15053674001574482,0.8206099290780177,-1.0902453832761212,0.8206099290780177,-1.1208888888888895,4.630616987302588,10.666666666666666,7.875,208.43847173565703,6,5,0,0,0,4,4,1,6,5,5,0,4,3,3,0,3,2,2,1,2,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0
15,joint,ARIAUSDT,3,0,3,0,0.0,0.0,0.5614970356393196,0.0,-1.1212397660818725,-3.363719298245617,-1.150000000000002,-218.05362098967467,-198.05362098967467,0.0,,-1.1212397660818725,-1.0605614035087718,-1.1531578947368435,3.363719298245617,5.083333333333333,4.75,133.333333333332,3,3,0,0,0,3,3,1,3,3,3,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,ARKMUSDT,1,0,1,0,0.0,0.0,0.7934506882081973,0.0,-1.1331764705882397,-1.1331764705882397,-1.1331764705882397,-170.176678445229,-150.176678445229,0.0,,-1.1331764705882397,-1.1331764705882397,-1.1331764705882397,1.1331764705882397,0.5,0.5,150.176678445229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joint,ARKUSDT,6,2,4,0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,-0.0031895115189462717,-0.01913706911367763,-0.8663591397849488,6.2659983558576755,26.265998355857658,0.9951836106256238,1.977092803030307,-0.9933306687935729,2.822060606060603,-1.155142857142856,3.31305600850762,8.041666666666666,5.375,199.7381379287925,5,3,0,0,0,2,3,0,6,3,4,0,4,1,2,0,3,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
