arm,symbol,timeframe_min,month_utc,n,wins,losses,breakeven,win_rate,net_mean_r,net_sum_r,net_median_r,gross_mean_r,fee_mean_r,fee_median_r,risk_median_pct,net_mean_bp,pf_r,avg_win_r,avg_loss_r,max_win_r,max_loss_r,closed_trade_drawdown_r,max_loss_streak,net_sum_without_best_r,mfe_median_r,mfe_mean_r,mfe_q75_r,mfe_max_r,mfe_upper_mean_r,excursion_ambiguous,close_peak_median_r,net_float_positive,net_float_then_loss,gross_win_net_loss,holding_median_hours,matched_n,matched_target_mean_r,matched_random_mean_r,matched_excess_mean_r,matched_target_mean_bp,matched_random_mean_bp,matched_excess_mean_bp,inherited_matches,boundary_control_exclusions,paired_bp_weeks,paired_bp_mean_excess_bp,paired_bp_p_one_sided,paired_bp_ci_low_bp,paired_bp_ci_high_bp,mfe_ge1_n,mfe_ge1_then_loss_n,mfe_ge2_n,mfe_ge2_then_loss_n,mfe_ge3_n,mfe_ge3_then_loss_n,mfe_ge5_n,mfe_ge5_then_loss_n,mfe_ge10_n,mfe_ge10_then_loss_n,paired_bp_minimum_p_resolution
joint,ETHUSDT,15,2026-08,4,1,3,0,0.25,-0.8112540701206887,-3.245016280482755,-1.1627961020408257,-0.18916335374897644,0.6220907163717303,0.6418274176895907,0.46645139333170005,-11.575653690848,0.2648830651409563,1.1692695652173934,-1.4714286152333826,1.1692695652173934,-2.0886936416184967,4.414285845700149,3,-4.414285845700149,1.111194207043448,1.4753253165919795,2.0724156299084147,3.6340579710145113,1.4753253165919795,0,0.833116128763966,2,1,0,10.0,4,-0.8112540701206887,-1.0076234448489865,0.19636937472829774,-11.575653690848,-56.684199926681764,45.108546235833764,4,0,3,45.108546235833764,0.25,-30.28509094873191,86.73662755481719,2,1,1,0,1,0,0,0,0,0,0.125
joint,ETHUSDT,15,2026-09,2,1,1,0,0.5,0.3526489115075472,0.7052978230150944,0.3526489115075472,0.547582205029022,0.1949332935214749,0.1949332935214749,1.02704574302388,41.3303443669635,1.5871721575598259,1.9064750483559143,-1.20117722534082,1.9064750483559143,-1.20117722534082,1.20117722534082,1,-1.20117722534082,2.37472688805165,2.37472688805165,3.2800133473140347,4.1852998065764195,2.37472688805165,0,1.9743546213039112,2,1,0,14.0,2,0.3526489115075472,-0.017250629388557592,0.369899540896105,41.3303443669635,-31.49608724860419,72.82643161556769,2,0,2,72.82643161556769,0.5,-185.83498401074343,331.4878472418788,1,0,1,0,1,0,0,0,0,0,0.25
joint,ETHUSDT,60,2026-08,2,1,1,0,0.5,8.347601369993976,16.695202739987952,8.347601369993976,8.450010682329351,0.10240931233537574,0.10240931233537574,2.3614191586163202,1077.2023201463385,23.10528258987207,17.45046124763703,-0.7552585076490792,17.45046124763703,-0.7552585076490792,0.7552585076490792,1,-0.7552585076490779,12.153630339467881,12.153630339467881,18.01915921510254,23.8846880907372,12.153630339467881,0,11.544039083161026,2,1,0,113.0,2,8.347601369993976,14.601468090673043,-6.253866720679068,1077.2023201463385,1155.172688769252,-77.97036862291365,2,0,2,-77.97036862291365,1.0,-114.00180321736397,-41.938934028463336,1,0,1,0,1,0,1,0,1,0,0.25
ordinary,BTCUSDT,5,2026-07,2,0,2,0,0.0,-0.9593304028411518,-1.9186608056823036,-0.9593304028411518,-0.10738636363638798,0.8519440392048088,0.8519440392048088,0.4694500952896551,-54.6696540046655,0.0,,-0.9593304028411518,-0.6690909090909614,-1.2495698965913422,1.9186608056823036,2,-1.2495698965913422,1.3480217001497166,1.3480217001497166,1.977988122802131,2.6079545454545454,1.3480217001497166,0,1.2062500000000165,1,1,1,2.041666666666667,2,-0.9593304028411518,-2.6249630089255165,1.665632606084365,-54.6696540046655,-37.45083615097065,-17.21881785369485,2,0,2,-17.21881785369485,0.75,-53.213530493888996,18.775894786499297,1,1,1,1,0,0,0,0,0,0,0.25
ordinary,BTCUSDT,5,2026-08,13,1,12,0,0.07692307692307693,-1.7413180045052232,-22.637134058567902,-1.589919493104752,-0.6778483746890014,1.0634696298162774,0.7185495118550034,0.27833850931674997,-43.13654499707461,0.035889077190333914,0.8426684444444043,-1.9566502085843591,0.8426684444444043,-5.002603174603395,22.637134058567902,10,-23.479802503012305,0.8435159637367066,1.1193153041837798,1.027455621301789,5.96533333333332,1.1193153041837798,0,0.6942336874051823,7,6,0,2.5833333333333335,13,-1.7413180045052232,-1.347638706030874,-0.3936792984743492,-43.13654499707461,0.7462786506322581,-43.88282364770687,13,0,5,-43.88282364770687,0.9375,-103.14373745090963,-1.2249023382889075,5,4,1,0,1,0,1,0,0,0,0.03125
ordinary,BTCUSDT,5,2026-09,11,2,9,0,0.18181818181818182,-1.1502356632064785,-12.652592295271264,-1.4195692051139337,-0.4446908584834313,0.7055448047230624,0.5211908626390227,0.3837365816187,-40.81802190359482,0.09418166826667732,0.6577711051544388,-1.55201494506446,0.7348685714285392,-2.9746377551021417,12.652592295271265,4,-13.387460866699803,1.2902027992001988,1.6066599239153105,2.249076436719219,3.5480952380951964,1.6066599239153105,0,1.0515463917526424,9,7,1,3.4166666666666665,11,-1.1502356632064785,-1.1747808305797192,0.02454516737324066,-40.81802190359482,-27.074610277932173,-13.743411625662644,11,0,4,-13.743411625662644,0.75,-40.03875642893097,19.350428787327626,7,5,3,1,2,0,0,0,0,0,0.0625
ordinary,BTCUSDT,15,2026-08,4,1,3,0,0.25,-0.10331707896571588,-0.4132683158628635,-0.9652462126952552,0.17021987539952846,0.273536954365246,0.255743705957425,0.7977512654478001,-22.593264746159736,0.8782935035433066,2.982345952023945,-1.1318714226289361,2.982345952023945,-1.465121842496298,1.9304924253905105,2,-3.3956142678868084,1.11702595504002,2.233176484692579,2.56070209694556,6.485007496251792,2.233176484692579,0,0.8968300776058433,3,2,0,12.375,4,-0.10331707896571588,-1.262675941483566,1.1593588625178501,-22.593264746159736,-117.96047979342389,95.36721504726412,4,0,3,95.36721504726412,0.375,-45.88414328068305,204.53227574865684,2,1,1,0,1,0,1,0,0,0,0.125
ordinary,BTCUSDT,15,2026-09,4,3,1,0,0.75,1.160569640551977,4.642278562207908,0.9674311034836948,1.432940976152623,0.27237133560064797,0.28768645247441904,0.69702662971487,83.7391059241895,4.646824669604216,1.9717477075185388,-1.2729645603477084,3.9803809155882273,-1.2729645603477084,1.2729645603477087,1,0.6618976466196806,3.0455539022058895,3.6471776627349906,4.405788855683325,7.734981649604078,3.6471776627349906,0,2.723565999144368,4,1,0,20.0,4,1.160569640551977,0.5352245987400488,0.6253450418119282,83.7391059241895,29.758452611419756,53.98065331276975,4,0,4,53.98065331276975,0.3125,-77.88164189519674,191.44971249234587,3,0,3,0,2,0,1,0,0,0,0.0625
ordinary,BTCUSDT,60,2026-07,1,1,0,0,1.0,0.7992622647330899,0.7992622647330899,0.7992622647330899,0.9964517124344155,0.1971894477013263,0.1971894477013263,1.01425305629402,81.065419478602,,0.7992622647330899,,0.7992622647330899,0.7992622647330899,0.0,0,0.0,2.5922554767046964,2.5922554767046964,2.5922554767046964,2.5922554767046964,2.5922554767046964,0,2.170626349891994,1,0,0,42.0,1,0.7992622647330899,-1.142590303437461,1.941852568170551,81.065419478602,-160.26199199983716,241.32741147843916,1,0,1,241.32741147843916,,,,1,0,1,0,0,0,0,0,0,0,
ordinary,BTCUSDT,60,2026-08,1,0,1,0,0.0,-0.9063887537698196,-0.9063887537698196,-0.9063887537698196,-0.782858254694034,0.1235304990757858,0.1235304990757858,1.6190333682477898,-146.747363695787,0.0,,-0.9063887537698196,-0.9063887537698196,-0.9063887537698196,0.9063887537698196,1,0.0,0.977040568148654,0.977040568148654,0.977040568148654,0.977040568148654,0.977040568148654,0,0.8828679832668535,1,1,0,145.0,1,-0.9063887537698196,-1.3089275502786517,0.40253879650883206,-146.747363695787,-84.74009838863593,-62.00726530715106,1,0,1,-62.00726530715106,,,,0,0,0,0,0,0,0,0,0,0,
ordinary,BTCUSDT,60,2026-09,1,1,0,0,1.0,2.6497042749690594,2.6497042749690594,2.6497042749690594,2.7972007997714967,0.1474965248024378,0.1474965248024378,1.35596415080211,359.29040070851596,,2.6497042749690594,,2.6497042749690594,2.6497042749690594,0.0,0,0.0,4.261734742454517,4.261734742454517,4.261734742454517,4.261734742454517,4.261734742454517,0,4.129582024183558,1,0,0,44.0,1,2.6497042749690594,3.0110350309889937,-0.36133075601993436,359.29040070851596,286.49356642980405,72.79683427871191,1,0,1,72.79683427871191,,,,1,0,1,0,1,0,0,0,0,0,
ordinary,ETHUSDT,5,2026-07,5,1,4,0,0.2,-0.9091982978067701,-4.545991489033851,-1.340934646374203,-0.5242857142857064,0.3849125835210667,0.3409346463742181,0.58662269184715,-44.6752126103148,0.2020734773427283,1.1512642857142978,-1.4243139436870371,1.1512642857142978,-1.7445531914893322,5.6972557747481485,4,-5.6972557747481485,0.3849129593810408,0.8370815137741019,1.5971351835272876,2.1928571428571573,0.8505798264850164,1,0.0386847195357476,2,1,0,0.75,5,-0.9091982978067701,-0.024338730279407673,-0.8848595675273625,-44.6752126103148,-19.219863679535752,-25.455348930779053,5,0,1,-25.455348930779053,,,,2,1,1,0,0,0,0,0,0,0,
ordinary,ETHUSDT,5,2026-08,27,2,25,0,0.07407407407407407,-0.1988700556761326,-5.36949150325558,-1.3013306386418564,0.49001920968151974,0.6888892653576656,0.4732908163265298,0.42257316875977,10.345366505162113,0.8469353525256084,14.855200904421316,-1.4031957324839286,28.85919925857288,-3.8773893129771495,24.933210745081425,17,-34.22869076182846,0.3938879456706286,2.338571000079678,2.1535499072134154,38.20203892493065,2.3515664516716206,1,0.1058631921824274,14,12,5,1.75,27,-0.1988700556761326,-1.239976288316147,1.041106232640014,10.345366505162113,-29.08561482760738,39.4309813327695,27,0,5,39.4309813327695,0.46875,-15.866248147012199,159.67877199531182,10,8,8,6,3,2,1,0,1,0,0.03125
ordinary,ETHUSDT,5,2026-09,11,2,9,0,0.18181818181818182,-0.7958460038134103,-8.754306041947514,-1.3237938144329915,-0.43444879221606686,0.36139721159734567,0.3561828718609131,0.56150931389564,-48.81858997405691,0.21884851868835953,1.2263094644638035,-1.2452138856527912,1.9164969173859736,-1.662571805006561,10.67080295933349,5,-10.670802959333487,0.6514175257732049,1.3128315116639362,1.6187195678395236,4.655363748458764,1.3352079978909521,1,0.3145091225022085,7,5,1,2.5,11,-0.7958460038134103,-0.6122126050460294,-0.1836333987673812,-48.81858997405691,-16.633171181474072,-32.18541879258283,11,0,4,-32.18541879258283,0.875,-76.89147226900624,0.17891551715752313,3,1,3,1,2,0,0,0,0,0,0.0625
ordinary,ETHUSDT,15,2026-07,2,1,1,0,0.5,0.2762703775660843,0.5525407551321686,0.2762703775660843,0.5256688358640491,0.2493984582979659,0.2493984582979659,0.81039270457006,9.964869839601,1.4514546858554693,1.7764526391901434,-1.2239118840579748,1.7764526391901434,-1.2239118840579748,1.2239118840579748,1,-1.2239118840579748,2.090501430412751,2.090501430412751,2.9812593919959403,3.872017353579129,2.090501430412751,0,1.59182935647142,2,1,0,19.0,2,0.2762703775660843,-0.9922139040917393,1.2684842816578237,9.964869839601,-63.15370483580271,73.11857467540372,2,0,1,73.11857467540372,,,,1,0,1,0,1,0,0,0,0,0,
ordinary,ETHUSDT,15,2026-08,6,1,5,0,0.16666666666666666,-0.9937100729539238,-5.962260437723542,-1.3586220786203942,-0.4594422358326473,0.5342678371212894,0.41373415431013894,0.5476395974030599,-40.98529949750867,0.16395774325217788,1.1692695652173934,-1.4263060005881874,1.1692695652173934,-2.0886936416184967,7.131530002940936,5,-7.131530002940936,0.7100109461717079,1.2060105071840714,1.3512765524371786,3.6340579710145113,1.2060105071840714,0,0.38945086705203213,4,3,0,10.0,6,-0.9937100729539238,-1.364445001159698,0.3707349282057744,-40.98529949750867,-27.88507119432236,-13.100228303186318,6,0,3,-13.100228303186318,0.75,-109.06427892692005,47.03798616718796,2,1,1,0,1,0,0,0,0,0,0.125
ordinary,ETHUSDT,15,2026-09,3,1,2,0,0.3333333333333333,-0.16437759370287316,-0.49313278110861947,-1.1815921908893754,0.03172147001934459,0.19609906372221841,0.1886893617021286,1.05994316900455,-13.265970875717334,0.7944944273587151,1.9064750483559143,-1.199803914732267,1.9064750483559143,-1.2180156385751584,2.399607829464534,2,-2.399607829464534,0.409616775126536,1.5519110876165962,2.297458290851478,4.1852998065764195,1.5519110876165962,0,0.3112798264642145,2,1,0,6.0,3,-0.16437759370287316,-0.9708241078522134,0.8064465141493402,-13.265970875717334,-61.556650921618825,48.290680045901496,3,0,2,48.290680045901496,0.5,-70.69949578596787,286.2710317096402,1,0,1,0,1,0,0,0,0,0,0.25
ordinary,ETHUSDT,60,2026-08,3,1,2,0,0.3333333333333333,5.34979749916839,16.04939249750517,-0.7552585076490792,5.490581502937885,0.14078400376949438,0.1494060795011696,1.3386336129543799,681.8522247311064,9.153572822852206,18.017780202649984,-0.9841938525724065,18.017780202649984,-1.213129197495734,1.968387705144813,2,-1.9683877051448135,0.5202048947068747,8.530938818022234,12.58512193293407,24.650038971161266,8.530938818022234,0,0.3608423449060819,3,2,0,108.0,3,5.34979749916839,8.914296539227314,-3.564499040058923,681.8522247311064,760.6132568591553,-78.76103212804901,3,0,3,-78.76103212804901,1.0,-117.20938596273656,-11.59576793243204,1,0,1,0,1,0,1,0,1,0,0.125
