交易编号,方向_1多_负1空,入场时间UTC,退出K线开盘时间UTC,入场价,原始1h止损,3R目标价,退出价,止损距离比例,毛R,净R,毛价格收益比例,净价格收益比例,退出原因,持仓5m根数,大菱形1h开盘UTC,大菱形确认UTC,5m确认可用UTC,等待5m根数
35,-1,2024-01-30 13:20:00+00:00,2024-02-07 20:15:00+00:00,43255.0,43908.5,41294.5,43908.5,0.0151080799907525,-1.0,-1.1323794950267787,-0.0151080799907525,-0.0171080799907525,stop,2388,2024-01-30 12:00:00+00:00,2024-01-30 13:00:00+00:00,2024-01-30 13:20:00+00:00,4
36,-1,2024-02-11 14:05:00+00:00,2024-02-11 17:10:00+00:00,48098.3,48370.0,47283.20000000001,48370.0,0.0056488482960935,-1.0,-1.3540544718439491,-0.0056488482960935,-0.0076488482960935,stop,38,2024-02-11 13:00:00+00:00,2024-02-11 14:00:00+00:00,2024-02-11 14:05:00+00:00,1
37,-1,2024-02-13 11:05:00+00:00,2024-02-13 14:20:00+00:00,49905.6,50234.5,48918.899999999994,48918.899999999994,0.0065904427559232,3.0,2.6965302523563404,0.0197713282677696,0.0177713282677696,target,40,2024-02-13 10:00:00+00:00,2024-02-13 11:00:00+00:00,2024-02-13 11:05:00+00:00,1
38,1,2024-02-17 19:25:00+00:00,2024-02-20 13:35:00+00:00,51417.6,50951.0,52817.399999999994,52817.399999999994,0.0090747137167039,3.0,2.7796073724817822,0.0272241411501119,0.0252241411501119,target,795,2024-02-17 17:00:00+00:00,2024-02-17 18:00:00+00:00,2024-02-17 19:25:00+00:00,17
39,-1,2024-02-20 16:05:00+00:00,2024-02-20 19:50:00+00:00,51641.0,52105.4,50247.8,52105.4,0.0089928545148235,-1.0,-1.2223987941429797,-0.0089928545148235,-0.0109928545148235,stop,46,2024-02-20 15:00:00+00:00,2024-02-20 16:00:00+00:00,2024-02-20 16:05:00+00:00,1
40,1,2024-02-26 15:05:00+00:00,2024-02-26 16:05:00+00:00,51762.2,51213.8,53407.39999999998,53407.39999999998,0.0105946037842285,3.0,2.811224653537561,0.0317838113526856,0.0297838113526855,target,13,2024-02-26 14:00:00+00:00,2024-02-26 15:00:00+00:00,2024-02-26 15:05:00+00:00,1
41,-1,2024-02-28 20:25:00+00:00,2024-02-28 23:05:00+00:00,60053.4,61600.0,55413.600000000006,61600.0,0.0257537458328753,-1.0,-1.0776586059743956,-0.0257537458328753,-0.0277537458328753,stop,33,2024-02-28 18:00:00+00:00,2024-02-28 19:00:00+00:00,2024-02-28 20:25:00+00:00,17
42,-1,2024-03-05 04:50:00+00:00,2024-03-05 14:50:00+00:00,67512.4,68631.1,64156.29999999996,68631.1,0.0165702893098158,-1.0,-1.1206979529811374,-0.0165702893098158,-0.0185702893098158,stop,121,2024-03-05 02:00:00+00:00,2024-03-05 03:00:00+00:00,2024-03-05 04:50:00+00:00,22
43,1,2024-03-06 05:05:00+00:00,2024-03-07 14:35:00+00:00,64440.0,63277.2,67928.40000000001,67928.40000000001,0.0180446927374302,3.0,2.8891640866873067,0.0541340782122906,0.0521340782122906,target,403,2024-03-06 04:00:00+00:00,2024-03-06 05:00:00+00:00,2024-03-06 05:05:00+00:00,1
44,-1,2024-03-10 14:05:00+00:00,2024-03-11 00:50:00+00:00,69366.4,69864.4,67872.4,67872.4,0.0071792683489412,3.0,2.7214200803212845,0.0215378050468238,0.0195378050468238,target,130,2024-03-10 13:00:00+00:00,2024-03-10 14:00:00+00:00,2024-03-10 14:05:00+00:00,1
45,-1,2024-03-12 01:00:00+00:00,2024-03-12 01:50:00+00:00,72039.1,72494.4,70673.20000000004,72494.4,0.0063201789028456,-1.0,-1.3164467384142404,-0.0063201789028456,-0.0083201789028456,stop,11,2024-03-11 23:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-12 01:00:00+00:00,12
46,-1,2024-03-13 13:30:00+00:00,2024-03-13 18:35:00+00:00,72736.4,73223.7,71274.49999999999,73223.7,0.0066995342084568,-1.0,-1.298528216704287,-0.0066995342084568,-0.0086995342084568,stop,62,2024-03-13 12:00:00+00:00,2024-03-13 13:00:00+00:00,2024-03-13 13:30:00+00:00,6
47,1,2024-03-14 22:10:00+00:00,2024-03-15 02:35:00+00:00,71392.0,70277.3,74736.09999999999,70277.3,0.0156137942626624,-1.0,-1.1280918632816008,-0.0156137942626624,-0.0176137942626624,stop,54,2024-03-14 21:00:00+00:00,2024-03-14 22:00:00+00:00,2024-03-14 22:10:00+00:00,2
48,1,2024-03-15 14:05:00+00:00,2024-03-15 20:45:00+00:00,68274.6,67392.1,70922.1,67392.1,0.012925743980924,-1.0,-1.154729971671388,-0.012925743980924,-0.014925743980924,stop,81,2024-03-15 13:00:00+00:00,2024-03-15 14:00:00+00:00,2024-03-15 14:05:00+00:00,1
49,1,2024-03-20 08:05:00+00:00,2024-03-20 19:45:00+00:00,62786.9,61736.6,65937.80000000002,65937.80000000002,0.016728011734932,3.000000000000007,2.880440064743414,0.0501840352047961,0.0481840352047961,target,141,2024-03-20 07:00:00+00:00,2024-03-20 08:00:00+00:00,2024-03-20 08:05:00+00:00,1
50,-1,2024-03-21 04:05:00+00:00,2024-03-22 13:50:00+00:00,66608.7,67771.0,63121.79999999999,63121.79999999999,0.0174496724902303,3.0,2.8853846683300355,0.0523490174706909,0.0503490174706909,target,406,2024-03-21 03:00:00+00:00,2024-03-21 04:00:00+00:00,2024-03-21 04:05:00+00:00,1
51,-1,2024-03-25 07:55:00+00:00,2024-03-25 13:50:00+00:00,66817.4,67410.6,65037.79999999996,67410.6,0.0088779270070372,-1.0,-1.2252778152393753,-0.0088779270070372,-0.0108779270070372,stop,72,2024-03-25 06:00:00+00:00,2024-03-25 07:00:00+00:00,2024-03-25 07:55:00+00:00,11
52,-1,2024-03-28 18:55:00+00:00,2024-03-31 23:30:00+00:00,70499.9,71350.0,67949.59999999998,71350.0,0.0120581731321605,-1.0,-1.1658626043994813,-0.0120581731321605,-0.0140581731321605,stop,920,2024-03-28 16:00:00+00:00,2024-03-28 17:00:00+00:00,2024-03-28 18:55:00+00:00,23
53,-1,2024-04-01 02:05:00+00:00,2024-04-01 05:45:00+00:00,70846.8,71252.1,69630.9,69630.9,0.005720794728908,3.0,2.6503982235381227,0.0171623841867241,0.0151623841867241,target,45,2024-04-01 01:00:00+00:00,2024-04-01 02:00:00+00:00,2024-04-01 02:05:00+00:00,1
54,1,2024-04-01 20:05:00+00:00,2024-04-02 02:25:00+00:00,69644.0,68880.8,71933.59999999999,68880.8,0.0109585893975072,-1.0,-1.1825052410901475,-0.0109585893975072,-0.0129585893975072,stop,77,2024-04-01 19:00:00+00:00,2024-04-01 20:00:00+00:00,2024-04-01 20:05:00+00:00,1
55,1,2024-04-02 18:55:00+00:00,2024-04-03 00:35:00+00:00,65874.2,64555.6,69830.0,64555.6,0.0200169413822103,-1.0,-1.0999153647808282,-0.0200169413822103,-0.0220169413822103,stop,69,2024-04-02 16:00:00+00:00,2024-04-02 17:00:00+00:00,2024-04-02 18:55:00+00:00,23
56,-1,2024-04-04 21:45:00+00:00,2024-04-04 23:50:00+00:00,67650.7,68547.8,64959.39999999998,68547.8,0.0132607644858073,-1.0,-1.1508208672388798,-0.0132607644858073,-0.0152607644858073,stop,26,2024-04-04 20:00:00+00:00,2024-04-04 21:00:00+00:00,2024-04-04 21:45:00+00:00,9
57,-1,2024-04-07 19:05:00+00:00,2024-04-08 01:20:00+00:00,69333.9,69853.3,67775.69999999997,69853.3,0.0074912849269983,-1.0,-1.2669768964189403,-0.0074912849269983,-0.0094912849269983,stop,76,2024-04-07 18:00:00+00:00,2024-04-07 19:00:00+00:00,2024-04-07 19:05:00+00:00,1
58,1,2024-04-10 17:05:00+00:00,2024-04-12 17:05:00+00:00,69315.6,68561.0,71579.40000000002,68561.0,0.010886438262094,-1.0,-1.183714815796447,-0.010886438262094,-0.012886438262094,stop,577,2024-04-10 16:00:00+00:00,2024-04-10 17:00:00+00:00,2024-04-10 17:05:00+00:00,1
59,1,2024-04-13 04:20:00+00:00,2024-04-13 19:50:00+00:00,67210.0,65888.1,71175.69999999998,65888.1,0.0196682041362891,-1.0,-1.1016869657311452,-0.0196682041362891,-0.0216682041362891,stop,187,2024-04-13 02:00:00+00:00,2024-04-13 03:00:00+00:00,2024-04-13 04:20:00+00:00,16
60,1,2024-04-14 05:15:00+00:00,2024-04-16 04:40:00+00:00,64373.2,62150.2,71042.2,62150.2,0.0345330044179876,-1.0,-1.0579156095366622,-0.0345330044179876,-0.0365330044179876,stop,570,2024-04-14 03:00:00+00:00,2024-04-14 04:00:00+00:00,2024-04-14 05:15:00+00:00,15
61,-1,2024-04-23 03:40:00+00:00,2024-04-23 14:10:00+00:00,66540.0,66900.0,65460.0,66900.0,0.0054102795311091,-1.0,-1.3696666666666666,-0.0054102795311091,-0.0074102795311091,stop,127,2024-04-23 02:00:00+00:00,2024-04-23 03:00:00+00:00,2024-04-23 03:40:00+00:00,8
62,1,2024-04-29 13:05:00+00:00,2024-04-29 13:40:00+00:00,62688.5,62054.0,64592.0,62054.0,0.0101214736355152,-1.0,-1.197599684791174,-0.0101214736355152,-0.0121214736355152,stop,8,2024-04-29 12:00:00+00:00,2024-04-29 13:00:00+00:00,2024-04-29 13:05:00+00:00,1
63,-1,2024-04-30 05:05:00+00:00,2024-04-30 08:40:00+00:00,63337.2,63723.8,62177.39999999998,62177.39999999998,0.0061038378709511,3.0,2.6723372995344072,0.0183115136128533,0.0163115136128533,target,44,2024-04-30 04:00:00+00:00,2024-04-30 05:00:00+00:00,2024-04-30 05:05:00+00:00,1
64,1,2024-04-30 22:35:00+00:00,2024-05-01 01:05:00+00:00,60948.1,59952.8,63933.999999999985,59952.8,0.0163302875725411,-1.0,-1.12247181754245,-0.0163302875725411,-0.0183302875725411,stop,31,2024-04-30 21:00:00+00:00,2024-04-30 22:00:00+00:00,2024-04-30 22:35:00+00:00,7
65,1,2024-05-01 18:10:00+00:00,2024-05-03 20:15:00+00:00,58035.0,56617.1,62288.7,62288.7,0.0244318083914879,3.0,2.9181395020805416,0.0732954251744637,0.0712954251744637,target,602,2024-05-01 17:00:00+00:00,2024-05-01 18:00:00+00:00,2024-05-01 18:10:00+00:00,2
66,-1,2024-05-04 17:30:00+00:00,2024-05-04 20:10:00+00:00,63483.3,64171.9,61417.50000000001,64171.9,0.0108469471498803,-1.0,-1.18438367702585,-0.0108469471498803,-0.0128469471498803,stop,33,2024-05-04 13:00:00+00:00,2024-05-04 14:00:00+00:00,2024-05-04 17:30:00+00:00,42
67,-1,2024-05-06 11:05:00+00:00,2024-05-08 23:20:00+00:00,64184.1,65272.0,60920.399999999994,60920.399999999994,0.016949680684157,3.0,2.88200367680853,0.050849042052471,0.048849042052471,target,724,2024-05-06 10:00:00+00:00,2024-05-06 11:00:00+00:00,2024-05-06 11:05:00+00:00,1
68,1,2024-05-09 06:10:00+00:00,2024-05-09 07:25:00+00:00,61740.7,61457.2,62591.2,61457.2,0.0045917846736431,-1.0,-1.4355604938271604,-0.0045917846736431,-0.0065917846736431,stop,16,2024-05-09 05:00:00+00:00,2024-05-09 06:00:00+00:00,2024-05-09 06:10:00+00:00,2
69,1,2024-05-09 13:05:00+00:00,2024-05-09 13:40:00+00:00,61435.7,61035.9,62635.099999999984,61035.9,0.0065076169067821,-1.0,-1.3073321660830448,-0.0065076169067821,-0.0085076169067821,stop,8,2024-05-09 12:00:00+00:00,2024-05-09 13:00:00+00:00,2024-05-09 13:05:00+00:00,1
70,-1,2024-05-13 22:35:00+00:00,2024-05-14 06:10:00+00:00,62823.1,63130.0,61902.399999999994,61902.399999999994,0.004885145750528,3.0,2.590595633756926,0.0146554372515842,0.0126554372515842,target,92,2024-05-13 21:00:00+00:00,2024-05-13 22:00:00+00:00,2024-05-13 22:35:00+00:00,7
71,-1,2024-05-16 06:10:00+00:00,2024-05-16 12:30:00+00:00,65731.6,66687.7,62863.30000000003,66687.7,0.014545515398986,-1.0,-1.1374994247463668,-0.014545515398986,-0.016545515398986,stop,77,2024-05-16 00:00:00+00:00,2024-05-16 01:00:00+00:00,2024-05-16 06:10:00+00:00,62
72,1,2024-05-20 03:05:00+00:00,2024-05-20 06:50:00+00:00,66714.7,66503.5,67348.29999999999,66503.5,0.0031657190993888,-1.0,-1.6317679924242512,-0.0031657190993888,-0.0051657190993888,stop,46,2024-05-20 02:00:00+00:00,2024-05-20 03:00:00+00:00,2024-05-20 03:05:00+00:00,1
73,1,2024-05-24 03:05:00+00:00,2024-05-24 05:00:00+00:00,68030.9,67650.0,69173.59999999998,67650.0,0.0055989263702228,-1.0,-1.35721134155947,-0.0055989263702228,-0.0075989263702228,stop,24,2024-05-24 02:00:00+00:00,2024-05-24 03:00:00+00:00,2024-05-24 03:05:00+00:00,1
74,-1,2024-05-28 00:05:00+00:00,2024-05-28 01:35:00+00:00,69388.7,69578.0,68820.79999999999,69578.0,0.0027281099083857,-1.0,-1.7331082937136706,-0.0027281099083857,-0.0047281099083857,stop,19,2024-05-27 23:00:00+00:00,2024-05-28 00:00:00+00:00,2024-05-28 00:05:00+00:00,1
75,-1,2024-05-30 22:05:00+00:00,2024-05-31 01:00:00+00:00,68412.0,68552.5,67990.5,68552.5,0.0020537332631702,-1.0,-1.9738362989323843,-0.0020537332631702,-0.0040537332631702,stop,36,2024-05-30 21:00:00+00:00,2024-05-30 22:00:00+00:00,2024-05-30 22:05:00+00:00,1
76,-1,2024-06-03 15:05:00+00:00,2024-06-04 14:15:00+00:00,68872.5,70090.9,65217.30000000002,70090.9,0.0176906602780499,-1.0,-1.1130540052527913,-0.0176906602780499,-0.0196906602780499,stop,279,2024-06-03 14:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:05:00+00:00,1
77,1,2024-06-08 08:05:00+00:00,2024-06-08 11:50:00+00:00,69509.9,69345.2,70003.99999999999,69345.2,0.0023694466543614,-1.0,-1.8440789313904216,-0.0023694466543614,-0.0043694466543614,stop,46,2024-06-08 07:00:00+00:00,2024-06-08 08:00:00+00:00,2024-06-08 08:05:00+00:00,1
78,1,2024-06-11 18:40:00+00:00,2024-06-14 16:05:00+00:00,67172.1,66159.0,70211.40000000002,66159.0,0.0150821546445623,-1.0,-1.1326070476754508,-0.0150821546445623,-0.0170821546445623,stop,834,2024-06-11 16:00:00+00:00,2024-06-11 17:00:00+00:00,2024-06-11 18:40:00+00:00,20
79,1,2024-06-15 01:05:00+00:00,2024-06-15 20:15:00+00:00,66206.6,65988.0,66862.40000000002,65988.0,0.0033017856225815,-1.0,-1.605732845379673,-0.0033017856225815,-0.0053017856225815,stop,231,2024-06-15 00:00:00+00:00,2024-06-15 01:00:00+00:00,2024-06-15 01:05:00+00:00,1
80,1,2024-06-17 17:05:00+00:00,2024-06-18 01:40:00+00:00,66088.0,65140.5,68930.5,65140.5,0.0143369446798208,-1.0,-1.1394997361477572,-0.0143369446798208,-0.0163369446798208,stop,104,2024-06-17 16:00:00+00:00,2024-06-17 17:00:00+00:00,2024-06-17 17:05:00+00:00,1
81,1,2024-06-18 22:05:00+00:00,2024-06-19 15:45:00+00:00,65118.1,64787.5,66109.9,64787.5,0.0050769294558655,-1.0,-1.3939388989715686,-0.0050769294558655,-0.0070769294558655,stop,213,2024-06-18 21:00:00+00:00,2024-06-18 22:00:00+00:00,2024-06-18 22:05:00+00:00,1
82,-1,2024-06-20 14:05:00+00:00,2024-06-24 09:25:00+00:00,65022.8,66007.3,62069.3,62069.3,0.015140842904335,3.0,2.8679069578466225,0.0454225287130052,0.0434225287130052,target,1097,2024-06-20 13:00:00+00:00,2024-06-20 14:00:00+00:00,2024-06-20 14:05:00+00:00,1
83,1,2024-06-25 00:25:00+00:00,2024-07-01 01:05:00+00:00,60360.1,59411.7,63205.3,63205.3,0.0157123662816993,3.0,2.872711725010544,0.047137098845098,0.045137098845098,target,1737,2024-06-24 21:00:00+00:00,2024-06-24 22:00:00+00:00,2024-06-25 00:25:00+00:00,29
84,1,2024-07-03 00:15:00+00:00,2024-07-03 01:05:00+00:00,62222.0,61955.9,63020.3,61955.9,0.0042766224165086,-1.0,-1.467658774896658,-0.0042766224165086,-0.0062766224165086,stop,11,2024-07-02 22:00:00+00:00,2024-07-02 23:00:00+00:00,2024-07-03 00:15:00+00:00,15
