section,exit,period,n,win_rate,sum_net_maker,pf_maker,mean_hold_bars
A_short_monthly,trail2_atr_h144,2025-06,261,0.364,0.10221,1.105,7.66
A_short_monthly,trail2_atr_h144,2025-07,261,0.4023,0.62901,1.554,10.65
A_short_monthly,trail2_atr_h144,2025-08,385,0.5377,1.8865,2.583,8.86
A_short_monthly,trail2_atr_h144,2025-09,602,0.3173,-0.83757,0.635,10.2
A_short_monthly,trail2_atr_h144,2025-10,405,0.5136,1.5152,2.14,8.65
A_short_monthly,trail2_atr_h144,2025-11,499,0.4489,1.82009,1.957,8.94
A_short_monthly,trail2_atr_h144,2025-12,768,0.4349,1.19071,1.476,8.52
A_short_monthly,trail2_atr_h144,2026-01,761,0.3732,2.45945,1.854,8.37
A_short_monthly,trail2_atr_h144,2026-02,611,0.3813,-0.11758,0.957,8.47
A_short_monthly,trail2_atr_h144,2026-03,843,0.344,-1.01732,0.736,8.2
A_short_monthly,trail2_atr_h144,2026-04,731,0.342,-0.67007,0.766,9.37
A_short_monthly,trail2_atr_h144,2026-05,39,0.2564,-0.1158,0.284,11.79
A_short_quarterly,trail2_atr_h144,2025Q2,261,0.364,0.10221,1.105,7.66
A_short_quarterly,trail2_atr_h144,2025Q3,1248,0.403,1.67794,1.363,9.88
A_short_quarterly,trail2_atr_h144,2025Q4,1672,0.4581,4.52601,1.789,8.68
A_short_quarterly,trail2_atr_h144,2026Q1,2215,0.3643,1.32455,1.14,8.34
A_short_quarterly,trail2_atr_h144,2026Q2,770,0.3377,-0.78587,0.741,9.49
A_short_monthly,trail3_atr_h144,2025-06,261,0.3755,-0.31126,0.789,13.85
A_short_monthly,trail3_atr_h144,2025-07,261,0.4406,1.2293,1.81,24.3
A_short_monthly,trail3_atr_h144,2025-08,385,0.5558,2.05415,2.218,19.01
A_short_monthly,trail3_atr_h144,2025-09,602,0.3355,-0.48956,0.846,20.73
A_short_monthly,trail3_atr_h144,2025-10,405,0.4568,1.13269,1.538,18.86
A_short_monthly,trail3_atr_h144,2025-11,499,0.4649,2.20227,1.829,19.11
A_short_monthly,trail3_atr_h144,2025-12,768,0.4466,1.7252,1.47,19.2
A_short_monthly,trail3_atr_h144,2026-01,761,0.4231,4.33849,2.176,18.61
A_short_monthly,trail3_atr_h144,2026-02,611,0.4059,-0.18782,0.95,18.26
A_short_monthly,trail3_atr_h144,2026-03,843,0.3642,-0.10525,0.98,19.56
A_short_monthly,trail3_atr_h144,2026-04,731,0.3598,-0.16451,0.958,22.56
A_short_monthly,trail3_atr_h144,2026-05,39,0.2564,-0.16184,0.321,26.62
A_short_quarterly,trail3_atr_h144,2025Q2,261,0.3755,-0.31126,0.789,13.85
A_short_quarterly,trail3_atr_h144,2025Q3,1248,0.4255,2.79389,1.438,20.95
A_short_quarterly,trail3_atr_h144,2025Q4,1672,0.4545,5.06016,1.6,19.09
A_short_quarterly,trail3_atr_h144,2026Q1,2215,0.3959,4.04542,1.318,18.88
A_short_quarterly,trail3_atr_h144,2026Q2,770,0.3545,-0.32634,0.922,22.76
A_short_monthly,trail4_atr_h144,2025-06,261,0.2912,-0.91919,0.57,21.13
A_short_monthly,trail4_atr_h144,2025-07,261,0.4789,1.57635,1.776,42.56
A_short_monthly,trail4_atr_h144,2025-08,385,0.5922,3.42878,2.812,35.17
A_short_monthly,trail4_atr_h144,2025-09,602,0.392,1.93401,1.514,34.37
A_short_monthly,trail4_atr_h144,2025-10,405,0.442,1.13111,1.404,34.94
A_short_monthly,trail4_atr_h144,2025-11,499,0.4449,2.20187,1.636,32.89
A_short_monthly,trail4_atr_h144,2025-12,768,0.444,0.97451,1.205,33.19
A_short_monthly,trail4_atr_h144,2026-01,761,0.4192,4.53223,1.907,31.53
A_short_monthly,trail4_atr_h144,2026-02,611,0.4206,0.1268,1.026,28.63
A_short_monthly,trail4_atr_h144,2026-03,843,0.3938,0.85844,1.131,36.67
A_short_monthly,trail4_atr_h144,2026-04,731,0.3625,-0.19605,0.962,38.59
A_short_monthly,trail4_atr_h144,2026-05,39,0.2308,-0.27171,0.211,39.87
A_short_quarterly,trail4_atr_h144,2025Q2,261,0.2912,-0.91919,0.57,21.13
A_short_quarterly,trail4_atr_h144,2025Q3,1248,0.472,6.93913,1.903,36.33
A_short_quarterly,trail4_atr_h144,2025Q4,1672,0.4438,4.30749,1.391,33.52
A_short_quarterly,trail4_atr_h144,2026Q1,2215,0.4099,5.51747,1.336,32.69
A_short_quarterly,trail4_atr_h144,2026Q2,770,0.3558,-0.46776,0.916,38.65
A_short_monthly,ma_ema20_h144,2025-06,261,0.295,-0.48543,0.678,13.89
A_short_monthly,ma_ema20_h144,2025-07,261,0.3755,1.52745,2.169,19.2
A_short_monthly,ma_ema20_h144,2025-08,385,0.4597,1.17855,1.541,18.09
A_short_monthly,ma_ema20_h144,2025-09,602,0.299,0.19527,1.071,16.24
A_short_monthly,ma_ema20_h144,2025-10,405,0.4568,2.81793,2.512,18.07
A_short_monthly,ma_ema20_h144,2025-11,499,0.3948,1.8714,1.798,15.59
A_short_monthly,ma_ema20_h144,2025-12,768,0.3581,0.53851,1.144,16.4
A_short_monthly,ma_ema20_h144,2026-01,761,0.3666,2.39529,1.651,16.97
A_short_monthly,ma_ema20_h144,2026-02,611,0.3388,-0.99815,0.712,14.73
A_short_monthly,ma_ema20_h144,2026-03,843,0.331,0.72521,1.155,16.17
A_short_monthly,ma_ema20_h144,2026-04,731,0.3242,-0.32666,0.907,16.64
A_short_monthly,ma_ema20_h144,2026-05,39,0.2051,-0.13133,0.274,14.69
A_short_quarterly,ma_ema20_h144,2025Q2,261,0.295,-0.48543,0.678,13.89
A_short_quarterly,ma_ema20_h144,2025Q3,1248,0.3646,2.90127,1.464,17.43
A_short_quarterly,ma_ema20_h144,2025Q4,1672,0.3929,5.22784,1.658,16.57
A_short_quarterly,ma_ema20_h144,2026Q1,2215,0.3454,2.12235,1.18,16.05
A_short_quarterly,ma_ema20_h144,2026Q2,770,0.3182,-0.45799,0.875,16.55
A_short_monthly,ma_ema55_h144,2025-06,261,0.2261,-0.49979,0.757,26.27
A_short_monthly,ma_ema55_h144,2025-07,261,0.4521,2.4232,2.521,43.05
A_short_monthly,ma_ema55_h144,2025-08,385,0.374,0.45387,1.149,33.64
A_short_monthly,ma_ema55_h144,2025-09,602,0.3206,2.30381,1.659,36.77
A_short_monthly,ma_ema55_h144,2025-10,405,0.4519,2.78949,2.266,37.33
A_short_monthly,ma_ema55_h144,2025-11,499,0.3447,2.34345,1.693,34.54
A_short_monthly,ma_ema55_h144,2025-12,768,0.3529,-0.00495,0.999,35.77
A_short_monthly,ma_ema55_h144,2026-01,761,0.3311,3.95588,1.79,36.73
A_short_monthly,ma_ema55_h144,2026-02,611,0.2864,-1.08479,0.785,28.42
A_short_monthly,ma_ema55_h144,2026-03,843,0.3369,1.64019,1.27,37.88
A_short_monthly,ma_ema55_h144,2026-04,731,0.3187,-1.00276,0.781,33.62
A_short_monthly,ma_ema55_h144,2026-05,39,0.2051,-0.14001,0.44,30.13
A_short_quarterly,ma_ema55_h144,2025Q2,261,0.2261,-0.49979,0.757,26.27
A_short_quarterly,ma_ema55_h144,2025Q3,1248,0.3646,5.18088,1.637,37.12
A_short_quarterly,ma_ema55_h144,2025Q4,1672,0.3744,5.12799,1.484,35.78
A_short_quarterly,ma_ema55_h144,2026Q1,2215,0.321,4.51128,1.28,34.88
A_short_quarterly,ma_ema55_h144,2026Q2,770,0.313,-1.14277,0.764,33.45
A_short_monthly,time_stop_48,2025-06,261,0.4291,-0.87149,0.721,48.0
A_short_monthly,time_stop_48,2025-07,261,0.5479,2.14003,1.806,48.0
A_short_monthly,time_stop_48,2025-08,385,0.6208,1.08971,1.229,48.0
A_short_monthly,time_stop_48,2025-09,602,0.4884,0.1004,1.018,48.0
A_short_monthly,time_stop_48,2025-10,405,0.5704,2.95247,1.707,48.0
A_short_monthly,time_stop_48,2025-11,499,0.5531,2.28781,1.437,48.0
A_short_monthly,time_stop_48,2025-12,768,0.5365,1.90473,1.285,48.0
A_short_monthly,time_stop_48,2026-01,761,0.5453,5.02133,1.975,48.0
A_short_monthly,time_stop_48,2026-02,611,0.5221,1.83778,1.34,48.0
A_short_monthly,time_stop_48,2026-03,843,0.484,0.07493,1.008,48.0
A_short_monthly,time_stop_48,2026-04,731,0.4692,-2.26835,0.724,48.0
A_short_monthly,time_stop_48,2026-05,75,0.4133,-0.44217,0.416,48.0
A_short_quarterly,time_stop_48,2025Q2,261,0.4291,-0.87149,0.721,48.0
A_short_quarterly,time_stop_48,2025Q3,1248,0.5417,3.33014,1.254,48.0
A_short_quarterly,time_stop_48,2025Q4,1672,0.5496,7.14501,1.444,48.0
A_short_quarterly,time_stop_48,2026Q1,2215,0.5156,6.93404,1.358,48.0
A_short_quarterly,time_stop_48,2026Q2,806,0.464,-2.71052,0.698,48.0
A_short_monthly,time_stop_96,2025-06,261,0.4598,-1.1305,0.747,96.0
A_short_monthly,time_stop_96,2025-07,261,0.5096,1.0115,1.202,96.0
A_short_monthly,time_stop_96,2025-08,385,0.6545,3.41524,1.594,96.0
A_short_monthly,time_stop_96,2025-09,602,0.4452,0.96982,1.097,96.0
A_short_monthly,time_stop_96,2025-10,405,0.4765,-0.86806,0.887,96.0
A_short_monthly,time_stop_96,2025-11,499,0.5431,4.07273,1.56,96.0
A_short_monthly,time_stop_96,2025-12,768,0.4766,-1.96841,0.821,96.0
A_short_monthly,time_stop_96,2026-01,761,0.657,12.84226,3.137,96.0
A_short_monthly,time_stop_96,2026-02,611,0.6416,9.94264,2.691,96.0
A_short_monthly,time_stop_96,2026-03,843,0.4852,0.51028,1.04,96.0
A_short_monthly,time_stop_96,2026-04,731,0.4049,-6.40167,0.505,96.0
A_short_monthly,time_stop_96,2026-05,43,0.3721,-0.58921,0.285,96.0
A_short_quarterly,time_stop_96,2025Q2,261,0.4598,-1.1305,0.747,96.0
A_short_quarterly,time_stop_96,2025Q3,1248,0.5232,5.39655,1.26,96.0
A_short_quarterly,time_stop_96,2025Q4,1672,0.4964,1.23626,1.048,96.0
A_short_quarterly,time_stop_96,2026Q1,2215,0.5874,23.29518,1.947,96.0
A_short_quarterly,time_stop_96,2026Q2,774,0.4031,-6.99087,0.492,96.0
