feat,top_mean,rest_mean,top_med,rest_med,ks,delta_mean
af_ret_skew,-0.4522302339553565,-0.2507038207911799,-0.32139100313997404,-0.18274053378207175,0.09025153525880747,-0.20152641316417658
order_score,0.5724958494742668,0.3930240433457501,0.0,0.0,0.08770782847529579,0.1794718061285167
spread_pos96,0.4600720527575638,0.41580981359823266,0.3668673002359951,0.3440635175020173,0.081793645549319,0.04426223915933114
af_vol_dryup,1.5706172170922956,1.3276291789130998,1.0851128081057073,0.9503607322349897,0.07948177601085138,0.2429880381791958
af_boll_pos,-1.9818988252341736,-2.043141905437311,-1.9108821514832295,-2.004392406085886,0.07716619587707885,0.06124308020313718
af_vp_corr,-0.33452731839859245,-0.32739564735507415,-0.4234781215328728,-0.3813120208645529,0.07350944168471521,-0.007131671043518306
af_range_compress,0.6122461390227627,0.6203481793011069,0.611600221483942,0.609374999999999,0.07034286088022443,-0.008102040278344158
vol_ratio_mean8,1.325854927567454,1.260350154853145,1.1879125640960884,1.143474230831278,0.06473984322922244,0.06550477271430899
af_taker_imbalance,0.42781682525054276,0.43750686429119606,0.42854465550040155,0.4377809475835734,0.06010759601961818,-0.009690039040653298
af_hl_pos,0.12993766174660268,0.11734454492880418,0.10510071474983812,0.09565217391304251,0.048535992118545646,0.012593116817798497
af_close_to_high,0.6311235248100255,0.6596400516220616,0.6875000000000002,0.7142857142857046,0.04776594219678676,-0.02851652681203609
volume_z,0.7714534488091447,0.6168295170122315,0.087151315354248,0.0056153488035183,0.04121159557284759,0.15462393179691314
volume_ratio,1.7702907749985748,1.7326648537146034,1.1128469282790276,1.180991181522688,0.030844154809784197,0.03762592128397135
af_vol_share,1.7702907749985748,1.7326648537146034,1.1128469282790276,1.1809911815226881,0.030844154809784197,0.03762592128397135
af_updown_vol,-0.2724127263399801,-0.27088977246624496,-0.26921773641008406,-0.2737796984967481,0.01755064728336636,-0.0015229538737351334
