stage,factor,value,params_key,breadth_level_min,breadth_change5_min,major_score_min,relative_score_min,context_mean_min,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,mean_capped_net_r,median_net_r,p95_raw_net_r,positive_folds,total_folds,minimum_fold_events,robust_score_r,eligible,setups_before_context,setups_after_context,context_rejections,portfolio_candidate_events,portfolio_accepted_events,portfolio_capacity_rejections,portfolio_total_return,portfolio_closed_equity_max_drawdown,portfolio_maximum_concurrent_positions,portfolio_maximum_open_initial_risk_fraction,robust_gain_vs_stage_incumbent_r,stage_selected
3,major_score_min,0.65,a281025fda1e,-1.0,0.02,0.65,-1.0,-1.0,18,15,-537.4506824010616,-557.4506824010616,-1059.1163344460658,0.2222222222222222,0.3644405423686831,-0.3940877228819488,7.5,1940.8844732500502,2037.8075949097874,0.26666666666666666,0.2222222222222222,0.2222222222222222,2,-1291.267783053483,14,0.9889533109551419,-0.3940877228819488,-0.7663876089537431,1.382333356434006,0,8,0,,False,74,18,56,18,18,0,-0.0351293451208502,-0.03582086605245982,3,0.015000000000000001,,False
3,major_score_min,0.8,ed003123c151,-1.0,0.02,0.8,-1.0,-1.0,18,15,-537.4506824010616,-557.4506824010616,-1059.1163344460658,0.2222222222222222,0.3644405423686831,-0.3940877228819488,7.5,1940.8844732500502,2037.8075949097874,0.26666666666666666,0.2222222222222222,0.2222222222222222,2,-1291.267783053483,14,0.9889533109551419,-0.3940877228819488,-0.7663876089537431,1.382333356434006,0,8,0,,False,74,18,56,18,18,0,-0.0351293451208502,-0.03582086605245982,3,0.015000000000000001,,False
4,relative_score_min,-1.0,3bf2dbaa5f32,-1.0,0.02,-1.0,-1.0,-1.0,39,26,-219.06250600399517,-239.0625060039952,-841.1444701052085,0.3076923076923077,0.6887485009973985,-0.14801123136056543,16.0,2561.604007778944,3564.935086616444,0.38461538461538464,0.3076923076923077,0.3076923076923077,4,207.41236974774216,28,0.8506614933850661,-0.14801123136056543,-0.532870964951787,2.0935864899494874,2,8,3,-0.5036458729882627,True,74,39,35,39,39,0,-0.029028994535509,-0.04698558113089246,3,0.015004374443241606,0.0,True
4,relative_score_min,0.5,de77016c1dde,-1.0,0.02,-1.0,0.5,-1.0,18,17,-594.1039186694459,-614.1039186694459,-1067.1583257109774,0.16666666666666666,0.34759132637823137,-0.42694720768584776,8.5,2603.828086352233,3321.637422098202,0.17647058823529413,0.1111111111111111,0.1111111111111111,2,975.9070502717157,14,0.8870308208727494,-0.42694720768584776,-0.8592587011786847,1.409111374681103,0,8,0,,False,74,18,56,18,18,0,-0.038143255275937316,-0.038470241068003896,3,0.015000000000000001,,False
4,relative_score_min,0.65,df257ef19299,-1.0,0.02,-1.0,0.65,-1.0,10,10,-641.1855076356851,-661.1855076356851,-1052.3906656624492,0.1,0.33438767106481565,-0.6124200802820641,8.0,1552.0909921609555,3321.637422098202,0.1,0.1,0.1,1,3321.637422098202,9,0.8771929824561403,-0.6124200802820641,-0.7521171466399339,0.32221409289374714,0,8,0,,False,74,10,64,10,10,0,-0.03029235742690084,-0.03490493952136642,2,0.01,,False
4,relative_score_min,0.8,b0a9936ae6e4,-1.0,0.02,-1.0,0.8,-1.0,4,4,-30.931743761364455,-50.93174376136447,-974.8165576837708,0.25,0.9422110873955264,-0.2961113510450457,27.0,2697.220138267689,3321.637422098202,0.25,0.25,0.25,1,3321.637422098202,4,0.5882352941176471,-0.2961113510450457,-0.5637355574942559,0.7334284351918368,0,8,0,,False,74,4,70,4,4,0,-0.0059367798838561026,-0.010665213494740922,1,0.005,,False
5,context_mean_min,-1.0,3bf2dbaa5f32,-1.0,0.02,-1.0,-1.0,-1.0,39,26,-219.06250600399517,-239.0625060039952,-841.1444701052085,0.3076923076923077,0.6887485009973985,-0.14801123136056543,16.0,2561.604007778944,3564.935086616444,0.38461538461538464,0.3076923076923077,0.3076923076923077,4,207.41236974774216,28,0.8506614933850661,-0.14801123136056543,-0.532870964951787,2.0935864899494874,2,8,3,-0.5036458729882627,True,74,39,35,39,39,0,-0.029028994535509,-0.04698558113089246,3,0.015004374443241606,0.0,True
5,context_mean_min,0.5,2b9200684fdf,-1.0,0.02,-1.0,-1.0,0.5,29,23,-448.14654211548924,-468.14654211548924,-864.4203116727556,0.20689655172413793,0.4209311765509665,-0.2987601308011729,9.0,2255.805667562276,3321.637422098202,0.2608695652173913,0.20689655172413793,0.20689655172413793,3,447.0420409270317,23,0.9385406145938541,-0.2987601308011729,-0.6003327416757985,1.8470019896440344,1,8,1,-0.7039150888104075,False,74,29,45,29,29,0,-0.0427309679742538,-0.043054739869024417,3,0.015000000000000001,-0.20026921582214485,False
5,context_mean_min,0.6,ac1688b4c678,-1.0,0.02,-1.0,-1.0,0.6,19,16,-834.7024691034504,-854.7024691034503,-1034.0101056499773,0.10526315789473684,0.09938955915321833,-0.588830546682212,8.0,251.6184728000595,1701.636326645085,0.125,0.10526315789473684,0.10526315789473684,2,-990.2556496585535,15,0.9985046843052885,-0.588830546682212,-0.8129605874652395,0.2865966763268889,0,8,0,,False,74,19,55,19,19,0,-0.05468979176104061,-0.055007900245604535,3,0.015,,False
5,context_mean_min,0.7,16a74928efda,-1.0,0.02,-1.0,-1.0,0.7,8,8,-1161.535921938844,-1181.535921938844,-1145.4761688343644,0.0,0.0,-0.9137623201566016,5.0,-898.310080511908,-841.1444701052085,0.0,0.0,0.0,1,-1369.8233215547707,7,1.0,-0.9137623201566016,-1.0145843655951423,-0.6421514027440556,0,8,0,,False,74,8,66,8,8,0,-0.03599893595751302,-0.03599893595751302,2,0.01,,False
