symbol,cohort,paths,path_receipts,source_rows_read,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,phase_source_status,holdout_rows_read
FOGO,current_only,"[""data/kline_fetched/okx_FOGO_USDT_SWAP_15m_20692.csv""]","[{""filename_rows"":20692,""path"":""data/kline_fetched/okx_FOGO_USDT_SWAP_15m_20692.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
GIGGLE,current_only,"[""data/kline_fetched/okx_GIGGLE_USDT_SWAP_15m_28119.csv""]","[{""filename_rows"":28119,""path"":""data/kline_fetched/okx_GIGGLE_USDT_SWAP_15m_28119.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
GLM,current_only,"[""data/kline_fetched/okx_GLM_USDT_SWAP_15m_41909.csv""]","[{""path"":""data/kline_fetched/okx_GLM_USDT_SWAP_15m_41909.csv"",""prefix_sha256"":""ae9e86c8e8d483194dcd9e0e5d7daed42e941c59afc353ac2f83294ac3b3d0e3"",""rows"":31810,""status"":""loaded_preholdout_prefix""}]",31810,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,0d74716d84813150cdbaee8c625fe9c52716e8c1150358d6cc41afc49bb072d4,eligible,0
GMX,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_GMX_USDT_SWAP_15m_14242.csv"",""data/kline_fetched/okx_GMX_USDT_SWAP_15m_41908.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_GMX_USDT_SWAP_15m_14242.csv"",""prefix_sha256"":""b0aac711a89c2757d1de71f10b13d0bd441926c481fdb493a3d029106188f400"",""rows"":14242,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_GMX_USDT_SWAP_15m_41908.csv"",""prefix_sha256"":""52930b6bc27afa3c549076bc4ac5087899f4472973018b0f02278a13bec529c2"",""rows"":31809,""status"":""loaded_preholdout_prefix""}]",46051,481.0,477,4,4.0,0.0,0.0,2023-02-03 00:00:00+00:00,2026-04-30 00:00:00+00:00,3ad12b846b8eabef9f8074d49f24e843103961ec29560d20f91a08d017ced21e,eligible,0
GRAM,current_only,"[""data/kline_fetched/okx_GRAM_USDT_SWAP_15m_5545.csv""]","[{""filename_rows"":5545,""path"":""data/kline_fetched/okx_GRAM_USDT_SWAP_15m_5545.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
GRASS,current_only,"[""data/kline_fetched/okx_GRASS_USDT_SWAP_15m_41908.csv""]","[{""path"":""data/kline_fetched/okx_GRASS_USDT_SWAP_15m_41908.csv"",""prefix_sha256"":""38682a150ca1067d19fadc3b9e832dba46230faf8e3fc9bd9b11a8c0793643ef"",""rows"":31809,""status"":""loaded_preholdout_prefix""}]",31809,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,d75a3d0304a684db134cfffdd8e2d8b2bb60312eed8f91cd0056771c3aa5af29,eligible,0
HOME,current_only,"[""data/kline_fetched/okx_HOME_USDT_SWAP_15m_40970.csv""]","[{""path"":""data/kline_fetched/okx_HOME_USDT_SWAP_15m_40970.csv"",""prefix_sha256"":""ad71fc4e95dcc2fa61c9daeab2258840bb932945d3a3cb3e67ab8ca2168be887"",""rows"":30871,""status"":""loaded_preholdout_prefix""}]",30871,322.0,321,1,1.0,0.0,0.0,2025-06-14 00:00:00+00:00,2026-04-30 00:00:00+00:00,bdf4a3b2f093a9d40eb83891d8c80c22ac47500054ecaa0c047017563cf6f8a5,eligible,0
ICX,current_only,"[""data/kline_fetched/okx_ICX_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_fetched/okx_ICX_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""c2145154d2b53439ae6a19b435d0892244f79db5d188249250fb611e21d75278"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",31808,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,cb70982d50b5ed8b168963f631dc9ab0326accb855f28897d50838fa89daeb20,eligible,0
IMX,current_only,"[""data/kline_fetched/okx_IMX_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_fetched/okx_IMX_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""980de1bcaf5dbfe3298e8f403d59aa0671bd9d00a5c91d5aea7b9ce99ef04014"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",31808,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,a9b8ed29f6739d2d166c49cd9c3db34bbac0ffdf191b083aa84e0282890c5061,eligible,0
IOTA,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_IOTA_USDT_SWAP_15m_64117.csv"",""data/kline_fetched/okx_IOTA_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_IOTA_USDT_SWAP_15m_64117.csv"",""prefix_sha256"":""16800467c52f53e64121aff16eb4de63f9d42a0da8088af6d2b1da8696c6da5b"",""rows"":64117,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_IOTA_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""e22d0ee4179afca594376d0fd86d2f6f9549ba284391e5f296969572dfce1c12"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",95925,1001.0,995,6,6.0,0.0,0.0,2021-09-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,25095a2b2a76c9889e65fbe32fb52c2431eb2eecb829017424a49af811dcab5d,eligible,0
JELLYJELLY,current_only,"[""data/kline_fetched/okx_JELLYJELLY_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_fetched/okx_JELLYJELLY_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""5bc4f6bd55728924fe9f0052c2b7c901c736702ba183cefae0b8a29369b869c2"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",31808,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,6e4875246a3cfb72433004bd7ae56c916c9f944c9617fa6ea3ed552d64a96e12,eligible,0
JUP,current_only,"[""data/kline_fetched/okx_JUP_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_fetched/okx_JUP_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""0bcd8b26bbd1456a4ef354f0267a5d96b9691932e2f9dec2575365c2264552e3"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",31808,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,3a62e52107d1bb3c63bd13255d9bdb4bbd19adac636ccb15124df4528f5b5790,eligible,0
KAITO,current_only,"[""data/kline_fetched/okx_KAITO_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_fetched/okx_KAITO_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""965da27edd6f77b30841502ae00139cafac7bff76a9c8108367f26d7fe1a586f"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",31808,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,71eaf9ed5a3444cc63d4444cc7a4af2cf71cbecc64802395c2c451172ebfc07f,eligible,0
KSM,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_KSM_USDT_SWAP_15m_64126.csv"",""data/kline_fetched/okx_KSM_USDT_SWAP_15m_41907.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_KSM_USDT_SWAP_15m_64126.csv"",""prefix_sha256"":""2c4b5a0a6fc36417fef2da4f536cd26f9efa56161929b14c2b5533fb0cb0a95d"",""rows"":64126,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_KSM_USDT_SWAP_15m_41907.csv"",""prefix_sha256"":""804f9f5bd7cd90fb0fd04bec21e89b43677abe36aa2d68f707c5d8fa25db7329"",""rows"":31808,""status"":""loaded_preholdout_prefix""}]",95934,1001.0,996,5,5.0,0.0,0.0,2021-09-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,fd3ccbbab52eb1a7ab7800f5a8f07ae9b7c873c94151f08ec79b478e2bdd0c21,eligible,0
LA,current_only,"[""data/kline_fetched/okx_LA_USDT_SWAP_15m_40971.csv""]","[{""path"":""data/kline_fetched/okx_LA_USDT_SWAP_15m_40971.csv"",""prefix_sha256"":""c0c28393a84369defd894404be3d6f7b3e670eb1248184138a21c6b846503f38"",""rows"":30872,""status"":""loaded_preholdout_prefix""}]",30872,322.0,321,1,1.0,0.0,0.0,2025-06-14 00:00:00+00:00,2026-04-30 00:00:00+00:00,448762bcdd4c25389ce99d03a401a047c6c9be80c6e86d739511225c64b48a6b,eligible,0
