entry_day,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-03-20,1,-35.37911689211802,-35.37911689211802,-35.37911689211802,0.0,False,0.0,1,0
2023-03-23,1,-40.16420979466527,-40.16420979466527,-40.16420979466527,0.0,False,0.0,1,0
2023-03-26,1,-40.46900407953745,-40.46900407953745,-40.46900407953745,0.0,False,0.0,1,0
2023-03-28,1,-61.24631141696589,-61.24631141696589,-61.24631141696589,0.0,False,0.0,1,0
2023-03-29,2,82.44920710524627,82.44920710524627,164.89841421049255,2.8405592228490537,False,0.5,1,0
2023-03-30,1,-237.22246576666439,-237.22246576666439,-237.22246576666439,0.0,False,0.0,1,0
2023-04-03,2,-51.91967902607562,-51.91967902607562,-103.83935805215124,0.0,False,0.0,2,0
2023-04-09,1,86.23876252176201,86.23876252176201,86.23876252176201,inf,True,1.0,0,0
2023-04-12,1,-43.4322770423856,-43.4322770423856,-43.4322770423856,0.0,False,0.0,1,0
2023-04-13,1,-72.36616895809787,-72.36616895809787,-72.36616895809787,0.0,False,0.0,1,0
2023-04-15,1,-35.58073654390868,-35.58073654390868,-35.58073654390868,0.0,False,0.0,1,0
2023-04-18,1,-87.92256827216958,-87.92256827216958,-87.92256827216958,0.0,False,0.0,1,0
2023-04-22,1,20.947507115767223,20.947507115767223,20.947507115767223,inf,True,1.0,0,0
2023-04-24,2,-86.01481453372027,-86.01481453372027,-172.02962906744054,0.0,False,0.0,2,0
2023-04-26,2,7.2866472076627,7.2866472076627,14.5732944153254,1.0475367806832885,False,0.5,1,0
2023-05-01,1,-55.70664431201687,-55.70664431201687,-55.70664431201687,0.0,False,0.0,1,0
2023-05-03,1,-30.911821256647247,-30.911821256647247,-30.911821256647247,0.0,False,0.0,1,0
2023-05-05,1,-50.787169626054215,-50.787169626054215,-50.787169626054215,0.0,False,0.0,1,0
2023-05-07,1,174.42340169716465,174.42340169716465,174.42340169716465,inf,True,1.0,0,0
