币种,交易所,周期_分钟,入场时间_北京,原交易净R,不加仓最高资金U,一次加仓最高资金U,两次加仓最高资金U,两次加仓净利润U,本金倍数,实际加仓次数,退出所在K线_北京,退出价格,最低维持保证金余量U,该币入选笔数,失败笔数,真实交易所不爆仓状态,事件ID
HBAR,binance,30,2024-11-29 05:30:00+08:00,43.68735400516814,2866.200208175393,14347.40920069077,51529.906926088115,51429.906926088115,515.2990692608812,2,2024-12-03 11:30:00+08:00,0.39265,0.0100000099910175,7,0,unknown,binance_30m_4a41ed99d4a87a80:21930:1
EUL,binance,30,2026-07-25 01:30:00+08:00,27.388145214521465,3180.919892101259,16067.203358041945,50284.828219956034,50184.828219956034,502.84828219956034,2,2026-07-26 19:30:00+08:00,2.6657,0.0100000099755561,2,0,unknown,binance_30m_06e11a180bb76f64:13637:1
TURBO,okx,30,2025-04-18 15:30:00+08:00,20.97844714686623,2731.848110249593,14354.063542271137,49874.46472177299,49774.46472177299,498.7446472177299,2,2025-04-23 22:00:00+08:00,0.005524,0.0100000099928365,1,0,unknown,okx_30m_ac881a8651d7274c:23562:1
LRC,gate,240,2024-11-06 16:00:00+08:00,11.751864779874222,2599.7662966424573,14013.548869244296,48526.8930522813,48426.8930522813,485.26893052281304,2,2024-12-04 16:00:00+08:00,0.33374,0.010000009993746,2,0,unknown,gate_240m_24ea57927c03d95a:2605:1
ALGO,okx,240,2024-11-06 16:00:00+08:00,15.299345029239788,2537.8907665259817,13503.58867365515,47834.847380612366,47734.847380612366,478.34847380612365,2,2024-11-24 12:00:00+08:00,0.3288,0.010000009997384,6,0,unknown,okx_240m_0b2fc4927ac4a2dd:2605:1
LYN,binance,60,2026-02-04 10:00:00+08:00,33.02593065693441,2189.373625342594,12147.205670391677,47704.15432021636,47604.15432021636,477.0415432021636,2,2026-02-26 17:00:00+08:00,0.35,0.0100000099873795,1,0,unknown,binance_60m_50a4feedf125226d:2897:1
TAC,binance,30,2025-11-25 00:30:00+08:00,16.785319148936175,5102.71222000856,16858.299901722912,46292.29143834386,46192.29143834386,462.92291438343864,2,2025-11-26 22:00:00+08:00,0.0169,0.0100000099891985,1,0,unknown,binance_30m_f888c14e7000f7df:6347:1
OM,binance,60,2024-11-14 16:00:00+08:00,15.322164444444478,2293.6994975044067,12870.016365953285,43171.2948746581,43071.2948746581,431.71294874658105,2,2024-11-18 12:00:00+08:00,4.54444,0.0100000099999135,1,0,unknown,binance_60m_17fc0404607781cd:6593:1
ZEN,binance,60,2024-12-19 15:00:00+08:00,16.61960769800149,1931.6761382259017,11591.21042550585,43013.44878191649,42913.44878191649,430.1344878191649,2,2024-12-25 17:00:00+08:00,46.18,0.010000009993746,1,0,unknown,binance_60m_3a7d3242c9f0ef9b:11454:1
BULLA,binance,60,2025-12-25 03:00:00+08:00,21.23222063037247,2674.3291798165255,13584.27914225844,42372.43764329619,42272.43764329619,423.7243764329619,2,2026-01-03 16:00:00+08:00,0.07573,0.0100000099819226,2,0,unknown,binance_60m_335b37e321125acb:4161:1
STG,binance,60,2026-05-29 19:00:00+08:00,10.0794328358209,2809.66981799054,13310.266003014063,40541.297237130755,40441.297237130755,405.41297237130755,2,2026-06-01 05:00:00+08:00,0.428,0.0100000099996577,1,0,unknown,binance_60m_ed9cdb5cc534d7ed:24082:1
BMT,binance,240,2026-08-09 04:00:00+08:00,17.886149253731332,3958.2440196986886,18542.765465312532,38318.80187599355,38218.80187599355,383.1880187599355,2,2026-08-10 12:00:00+08:00,0.04359,0.0100000099810131,1,0,unknown,binance_240m_54e497d887e50e50:3054:1
MBABYDOGE,gate,240,2024-09-14 20:00:00+08:00,22.569023809523795,2790.8099169022116,12168.278039976029,36365.046556237605,36265.046556237605,363.65046556237604,2,2024-09-29 08:00:00+08:00,0.002735,0.010000009999203,1,0,unknown,gate_240m_5535f9276a1a57d4:2288:1
DYM,binance,30,2025-11-20 15:00:00+08:00,18.29282119205302,2977.1265957779265,11666.858011429946,35489.36621846885,35389.36621846885,354.89366218468854,2,2025-11-20 22:00:00+08:00,0.21856,0.0100000099910175,1,0,unknown,binance_30m_915d1f4a92a36c73:31295:1
WLD,binance,60,2025-09-05 17:00:00+08:00,31.84960888888894,2264.729216326625,10892.637316045671,34367.375614392775,34267.375614392775,343.67375614392773,2,2025-09-09 18:00:00+08:00,2.2525,0.0100000099987482,2,0,unknown,binance_60m_3e251385ecf2b6c0:17696:1
MOODENG,okx,30,2025-05-08 07:30:00+08:00,22.095768707483018,2566.4787728501165,11780.055696495796,34181.86386930989,34081.86386930989,341.81863869309893,2,2025-05-09 05:00:00+08:00,0.095,0.010000009988289,3,0,unknown,okx_30m_0db44c8f251494fe:10399:1
VVV,binance,60,2026-02-13 15:00:00+08:00,12.533360655737694,2765.948880238373,12634.940316311962,32626.38145667234,32526.38145667234,326.2638145667234,2,2026-02-16 11:00:00+08:00,4.696,0.010000009997384,1,0,unknown,binance_60m_b3a9b459867205ae:9117:1
INX,binance,60,2026-04-08 09:00:00+08:00,11.728378082191783,2401.6805684629394,10426.517615635265,31931.039955327054,31831.039955327054,319.31039955327054,2,2026-04-13 15:00:00+08:00,0.029798,0.0100000099810131,1,0,unknown,binance_60m_25192df3da65ee93:1613:1
CRV,binance,30,2024-11-30 01:30:00+08:00,20.408629032258027,2309.245797813619,10615.964138598836,31888.462271946428,31788.462271946428,318.8846227194643,2,2024-12-04 22:30:00+08:00,1.252,0.0100000099964745,1,0,unknown,binance_30m_08e7c7fcbf25e590:21970:1
1MBABYDOGE,binance,30,2024-12-07 13:30:00+08:00,25.08298811881189,2162.00580734425,10565.626043171707,30169.210276913727,30069.210276913727,301.69210276913725,2,2024-12-09 18:30:00+08:00,0.0062535,0.0100000099991461,1,0,unknown,binance_30m_6bebd440a31d52ba:3922:1
RED,binance,30,2026-04-06 08:30:00+08:00,24.597466666666648,2535.294462851158,10622.89703277179,28502.882660177085,28402.882660177085,285.02882660177085,2,2026-04-07 15:30:00+08:00,0.2356,0.0100000099978387,2,0,unknown,binance_30m_6983c952bb73d8c2:18976:1
AI16Z,binance,60,2025-04-22 22:00:00+08:00,10.01361494719741,2209.6475661468835,9573.370091973447,27769.261976586105,27669.261976586105,277.6926197658611,2,2025-04-29 17:00:00+08:00,0.3291,0.010000009995565,1,0,unknown,binance_60m_b0971bbaabf2e857:2639:1
ALPACA,binance,30,2025-04-19 04:30:00+08:00,10.353451851851904,2270.1108632846003,9687.1067994615,26811.0197684857,26711.0197684857,268.110197684857,2,2025-04-20 16:00:00+08:00,0.07172,0.0100000099951103,1,0,unknown,binance_30m_2e167c2a6a2cd24d:11491:1
APE,binance,30,2026-04-24 11:30:00+08:00,13.608611111111143,2397.3293387582567,11300.241957802666,25763.84231625017,25663.84231625017,257.63842316250174,2,2026-04-25 04:00:00+08:00,0.2777,0.0100000099939734,2,0,unknown,binance_30m_1de78107a9012917:46470:1
NEIRO,okx,30,2025-05-08 15:30:00+08:00,18.939804560260583,2014.8307697130429,8487.42680667054,23988.06928277171,23888.06928277171,239.8806928277171,2,2025-05-12 11:00:00+08:00,0.0004787,0.0100000099946555,2,0,unknown,okx_30m_f384a8ac1c57808c:10415:1
JELLYJELLY,binance,30,2025-10-01 03:00:00+08:00,15.404474708171232,1834.774706584505,8243.976987673555,22779.29645680569,22679.29645680569,227.79296456805687,2,2025-10-04 04:00:00+08:00,0.1221,0.0100000099942008,4,0,unknown,binance_30m_ceaae31e12bb13fb:9029:1
XTZ,okx,240,2025-07-10 08:00:00+08:00,10.136633802816908,2029.9026483715184,7655.906491149051,22462.650618572025,22362.650618572025,224.62650618572025,2,2025-07-20 16:00:00+08:00,1.204,0.0100000099891985,1,0,unknown,okx_240m_c72eeebd37218632:4079:1
BIO,okx,60,2026-04-14 07:00:00+08:00,15.9810752688172,1871.748015901743,8155.781331038059,22187.289288832948,22087.289288832948,221.8728928883295,2,2026-04-16 11:00:00+08:00,0.04796,0.0100000099887438,6,0,unknown,okx_60m_c63896bfba200aae:11171:1
INIT,okx,30,2026-02-11 16:30:00+08:00,13.426731117824804,1623.2783220446634,7319.313344195644,20976.14190869589,20876.14190869589,209.76141908695888,2,2026-02-17 02:00:00+08:00,0.15309,0.010000009997384,1,0,unknown,okx_30m_ee8bb255209efe90:14056:1
HYPER,binance,60,2025-07-09 03:00:00+08:00,14.934536464771355,3059.1880183653543,11071.889822949452,20882.868731642047,20782.868731642047,208.82868731642048,2,2025-07-10 12:00:00+08:00,0.3129,0.0100000099995725,2,0,unknown,binance_60m_1fbe33302d31ab83:1853:1
SOLV,binance,30,2026-04-01 01:00:00+08:00,12.369539682539658,1992.385535887639,7416.34392736391,19919.34614236006,19819.34614236006,199.1934614236006,2,2026-04-02 17:00:00+08:00,0.006864,0.010000009991927,2,0,unknown,binance_30m_8cd253b6c0acd53b:21032:1
CKB,binance,240,2024-09-11 00:00:00+08:00,12.464477412902138,1648.9473252164694,7511.169702641573,19699.90229242479,19599.90229242479,196.99902292424792,2,2024-09-18 12:00:00+08:00,0.020212,0.0100000099951103,1,0,unknown,binance_240m_9221ed9b6d2b00f6:2265:1
DOGS,binance,60,2026-05-02 01:00:00+08:00,12.628052631578957,1585.1397653364204,6203.986752818828,19471.936214196823,19371.936214196823,194.71936214196822,2,2026-05-05 16:00:00+08:00,7.72e-05,0.0100000099987482,2,0,unknown,binance_60m_5b35cd630d479043:14715:1
GUN,binance,60,2026-01-02 20:00:00+08:00,36.71514285714284,1845.2790353692203,7192.946089176393,19270.00308252633,19170.00308252633,192.7000308252633,2,2026-01-08 09:00:00+08:00,0.02296,0.0100000099982935,1,0,unknown,binance_60m_29e67266a4abbc7a:6646:1
TRX,binance,30,2024-12-03 00:00:00+08:00,26.280291666666734,1691.8830093886384,6790.219636607256,19042.69339837726,18942.69339837726,190.4269339837726,2,2024-12-04 08:00:00+08:00,0.4509,0.010000009991927,3,0,unknown,binance_30m_335e840deb5aaa02:22111:1
PIXEL,binance,30,2025-04-18 02:00:00+08:00,26.2896655518394,1629.8504675272284,6719.8512873911495,18987.192158797636,18887.192158797636,189.87192158797635,2,2025-04-22 12:30:00+08:00,0.05232,0.0100000099996577,1,0,unknown,binance_30m_7af0c019861756e1:20309:1
ENA,binance,30,2026-08-19 13:30:00+08:00,59.31230000000078,1856.6663507747144,7109.439859848278,18636.764596079727,18536.764596079727,186.36764596079726,2,2026-08-22 12:00:00+08:00,0.16587,0.0100000099982935,3,0,unknown,binance_30m_652e9263389181fb:41697:1
ARIA,binance,30,2026-03-07 19:00:00+08:00,25.05000829875524,1854.7760627379528,7046.243447063408,18611.695623095507,18511.695623095507,186.11695623095508,2,2026-03-12 02:30:00+08:00,0.154,0.0100000099819226,1,0,unknown,binance_30m_54988914cfaabd43:8879:1
1000RATS,binance,60,2026-07-31 10:00:00+08:00,28.19157894736854,2276.3004473533383,8134.05358099946,18158.03976829462,18058.03976829462,181.5803976829462,2,2026-08-01 08:00:00+08:00,0.06572,0.0100000099846511,1,0,unknown,binance_60m_cdfe540094978f08:23003:1
ACT,okx,30,2025-12-17 20:00:00+08:00,21.762616541353296,1679.1220659650637,6711.769700737174,18126.43666171829,18026.43666171829,181.2643666171829,2,2025-12-21 01:00:00+08:00,0.04299,0.0100000099993735,2,0,unknown,okx_30m_eb8c0ec85e91866e:19104:1
OPG,gate,30,2026-06-12 23:30:00+08:00,12.299084337349392,1379.949168380262,6161.532515085675,17854.352031800692,17754.352031800692,178.54352031800693,2,2026-06-15 09:30:00+08:00,0.3464,0.0100000099998283,3,0,unknown,gate_30m_2497c99aa8422283:2501:1
PHB,binance,30,2025-10-25 15:00:00+08:00,17.84973333333332,1777.3606842800182,6595.292192227244,17756.06221294344,17656.06221294344,177.56062212943442,2,2025-10-29 02:00:00+08:00,1.044,0.0100000099983503,1,0,unknown,binance_30m_f5d7cb71517f81df:37789:1
BTR,binance,60,2026-01-13 14:00:00+08:00,17.55322580645166,1620.1663467131873,6587.875409879833,17001.122912814575,16901.122912814575,170.01122912814574,2,2026-01-18 00:00:00+08:00,0.07483,0.0100000099999277,1,0,unknown,binance_60m_9a07613b4557cb16:3330:1
AIN,binance,30,2026-04-11 06:00:00+08:00,19.375462686567264,1801.4976017694448,6597.107751911257,16977.040020947054,16877.040020947054,169.77040020947052,2,2026-04-12 10:00:00+08:00,0.11399,0.0100000099714634,1,0,unknown,binance_30m_c5605f3ca4af54aa:13173:1
REZ,binance,60,2025-07-09 21:00:00+08:00,14.781986301369916,1516.4510427577547,6251.198092999477,16588.900177420168,16488.900177420168,165.8890017742017,2,2025-07-11 12:00:00+08:00,0.01805,0.0100000099948829,1,0,unknown,binance_60m_0cb7147f1b1b57aa:10438:1
ALT,binance,30,2025-07-10 03:00:00+08:00,14.987663344407506,1826.1862868318797,5999.503782735491,16003.498155232526,15903.498155232526,160.03498155232526,2,2025-07-11 13:30:00+08:00,0.05499,0.0100000099982935,1,0,unknown,binance_30m_4e139d32e0417054:25497:1
COOKIE,binance,30,2025-05-21 05:00:00+08:00,11.552055177556136,1483.2319770702595,6110.529343897964,15978.943230501374,15878.943230501374,159.78943230501375,2,2025-05-23 23:00:00+08:00,0.3242,0.0100000099980661,1,0,unknown,binance_30m_4feff0e371672997:6402:1
ARC,binance,60,2026-01-08 19:00:00+08:00,11.639009345794417,1497.138183106527,6072.560928046669,15719.823437552075,15619.823437552075,157.19823437552074,2,2026-01-14 06:00:00+08:00,0.07266,0.0100000099988051,1,0,unknown,binance_60m_cdb42538a95f1b6e:8541:1
GWEI,binance,30,2026-06-26 19:30:00+08:00,13.76390588235293,1581.462378054957,6084.082651674279,15149.56781567624,15049.56781567624,151.4956781567624,2,2026-06-29 21:00:00+08:00,0.25,0.0100000099994872,1,0,unknown,binance_30m_2f9ade18c2b746f7:7115:1
TRUMP,okx,60,2025-04-22 18:00:00+08:00,16.78361128526651,1734.9970561953523,6371.169126320367,14006.786504920556,13906.786504920556,140.06786504920555,2,2025-04-26 16:00:00+08:00,16.43,0.0100000099978387,3,0,unknown,okx_60m_1d9f74bf9a63af3c:2235:1
1000000MOG,binance,60,2025-05-06 13:00:00+08:00,11.671952127659589,1128.903477618774,4860.5846457717025,13470.620512310086,13370.620512310086,134.70620512310086,2,2025-05-11 07:00:00+08:00,1.2913,0.0100000099994304,1,0,unknown,binance_60m_f637b15b9c58db06:4311:1
CORE,okx,30,2024-11-28 20:00:00+08:00,20.37585631815282,1461.055953793246,5380.08735085631,13216.668924991924,13116.668924991924,132.16668924991924,2,2024-12-01 06:30:00+08:00,2.0635,0.010000009999203,1,0,unknown,okx_30m_d00ce53785a8265c:21911:1
ZETA,binance,60,2025-03-22 06:00:00+08:00,15.19783050847461,1510.2758149424533,5407.531749517037,12898.021865316192,12798.021865316192,128.98021865316193,2,2025-03-23 08:00:00+08:00,0.4025,0.0100000099964745,3,0,unknown,binance_60m_26b3b1e15474b595:9924:1
PLAY,binance,30,2026-03-09 22:30:00+08:00,26.86226666666673,1766.509990023798,6287.811864039139,12757.269182620488,12657.269182620488,127.57269182620489,2,2026-03-11 10:00:00+08:00,0.0394,0.0100000099994304,1,0,unknown,binance_30m_c6d56eb449a0b269:10617:1
OL,binance,30,2025-08-06 23:30:00+08:00,14.129821138211408,1498.472484582444,5214.658122613245,12483.903120363191,12383.903120363191,124.83903120363192,2,2025-08-11 04:00:00+08:00,0.0551,0.0100000099978387,1,0,unknown,binance_30m_7d663dea375c96bc:2023:1
ZEC,okx,60,2026-05-02 00:00:00+08:00,14.3025049966689,1521.3385698097425,5070.049374536165,12479.062482061609,12379.062482061609,124.79062482061609,2,2026-05-09 13:00:00+08:00,643.85,0.0100000099978387,7,0,unknown,okx_60m_67fd44e526e1d40f:4235:1
T,binance,30,2026-07-11 18:30:00+08:00,25.001199999999837,1576.0377349709595,5191.8336318700285,11878.44565540016,11778.44565540016,118.78445655400161,2,2026-07-12 18:30:00+08:00,0.00618,0.0100000099869248,2,0,unknown,binance_30m_8b725b5d9ddcfba1:50228:1
EDEN,okx,30,2026-08-13 01:00:00+08:00,17.515650793650835,1474.476830720479,4827.833898001592,11840.116448512264,11740.116448512264,118.40116448512265,2,2026-08-14 09:30:00+08:00,0.0868,0.0100000099989188,3,0,unknown,okx_30m_110cba586a3e451e:15177:1
ETHW,binance,30,2024-09-27 00:30:00+08:00,25.125205273069827,1417.2375328868009,4954.41956628829,11749.52457460696,11649.52457460696,117.4952457460696,2,2024-09-30 16:30:00+08:00,4.1788,0.0100000099990893,2,0,unknown,binance_30m_a79071ba1ad4d203:14551:1
ATH,okx,30,2025-09-08 10:00:00+08:00,51.87404958677704,1573.713967606811,5551.379719832078,11697.025537523275,11597.025537523275,116.97025537523275,2,2025-09-09 04:00:00+08:00,0.05476,0.0100000099969292,2,0,unknown,okx_30m_91cf2f1b1a275efe:21691:1
EDGE,okx,30,2026-09-02 20:30:00+08:00,17.626512000000066,1347.6939393789137,4569.900794750441,11073.97037625254,10973.97037625254,110.73970376252541,2,2026-09-04 17:00:00+08:00,0.7058,0.0100000099928365,3,0,unknown,okx_30m_74de72a25ac3d4f9:7389:1
EDGEX,gate,30,2026-09-03 01:00:00+08:00,15.964222222222212,1355.416928390904,4580.893953369578,11006.616064729222,10906.616064729222,110.06616064729222,2,2026-09-04 17:00:00+08:00,0.7042,0.0100000099998993,1,0,unknown,gate_30m_b2533ed6e9d64a96:8020:1
1000PEPE,binance,30,2026-08-19 23:00:00+08:00,20.22201574803143,1411.352994425981,4478.317264483229,10362.527123035816,10262.527123035816,103.62527123035815,2,2026-08-22 12:30:00+08:00,0.0045632,0.0100000099964745,1,0,unknown,binance_30m_4158666b29c2b6a0:52109:1
LEVER,binance,30,2025-04-25 00:00:00+08:00,13.92299487179484,1201.1762703108457,4422.287066143418,10118.536528150014,10018.536528150014,101.18536528150014,2,2025-04-26 12:00:00+08:00,0.0009751,0.0100000099928365,1,0,unknown,binance_30m_b0727bda4d9436bb:28975:1
PEPE,okx,30,2026-08-19 21:00:00+08:00,30.62251162790709,1305.0765481104154,4267.229243643215,10106.42927750652,10006.42927750652,101.06429277506521,2,2026-08-22 12:30:00+08:00,4.56e-06,0.0100000099996577,1,0,unknown,okx_30m_ad5e885f122768f2:52105:1
ZAMA,binance,60,2026-07-15 06:00:00+08:00,12.541365079365113,1325.2452451529296,4425.418059604996,10034.469184437428,9934.469184437428,100.34469184437428,2,2026-07-24 01:00:00+08:00,0.05973,0.0100000099997998,2,0,unknown,binance_60m_dbc1e37be4370791:4476:1
ARK,binance,60,2024-09-19 10:00:00+08:00,11.569254545454593,1476.1682405092022,4808.4033130665775,9975.402170204276,9875.402170204276,99.75402170204275,2,2024-09-21 23:00:00+08:00,0.5588,0.0100000099997146,2,0,unknown,binance_60m_27e3a96151742b9a:8770:1
ALICE,binance,60,2026-04-16 05:00:00+08:00,12.288235294117662,1607.2229613877248,4445.452027075515,9594.138797291296,9494.138797291296,95.94138797291296,2,2026-04-18 15:00:00+08:00,0.2341,0.0100000099989188,1,0,unknown,binance_60m_b53bcab58427fa59:23036:1
ACE,binance,30,2025-04-18 13:00:00+08:00,15.217887850467402,1269.1020062771904,4043.991065306247,9422.896986960552,9322.896986960552,94.22896986960552,2,2025-04-22 00:00:00+08:00,0.7864,0.0100000099932913,1,0,unknown,binance_30m_7997bbc4f887d3a5:23365:1
