period,arm,cash,streak_type,streak_length,rank,signal_i,side,entry_time,risk,notional,fee_reserve,required_cash,equity_before,cycle_id,cycle_net_before,level_before,accepted,entry_i,exit_i,exit_time,reason,net_r,gross_r,cost_r,full_initial_stop,outcome,censored,pnl,raw_pnl,equity_after,cycle_net_after,level_after,cycle_end
development,legacy_gross1,fixed10,net_loss,25,1,22277,1,2023-09-15 21:06:00+00:00,1.0,586.1516245487403,1.1723032490974807,59.78746570397151,876.8307314519808,0,-123.1692685480192,58,True,22278,22279,2023-09-15 21:09:00+00:00,take_profit,-0.17230324909742906,1.0,1.1723032490974807,False,loss,False,-0.17230324909746741,-0.17230324909742906,876.6584282028833,-123.34157179711667,59,
development,legacy_gross1,fixed10,net_loss,25,2,22602,-1,2023-09-16 13:21:00+00:00,1.0,475.148255813946,0.950296511627892,48.46512209302249,876.6584282028833,0,-123.34157179711667,59,True,22603,22644,2023-09-16 15:24:00+00:00,opposite_v6_next_open,-1.6741337209302516,-0.7238372093023168,0.950296511627892,False,loss,False,-1.6741337209302856,-1.6741337209302516,874.984294481953,-125.01570551804696,60,
development,legacy_gross1,fixed10,net_loss,25,3,22643,1,2023-09-16 15:24:00+00:00,1.0,481.47058823531347,0.9629411764706269,49.110000000001975,874.984294481953,0,-125.01570551804696,60,True,22644,22666,2023-09-16 16:30:00+00:00,initial_stop,-1.962941176470615,-1.0,0.9629411764706269,True,loss,False,-1.962941176470622,-1.962941176470615,873.0213533054824,-126.97864669451758,61,
development,legacy_gross1,fixed10,net_loss,25,4,22684,1,2023-09-16 17:27:00+00:00,1.0,783.54066985649,1.5670813397129801,79.92114832536198,873.0213533054824,0,-126.97864669451758,61,True,22685,22709,2023-09-16 18:39:00+00:00,initial_stop,-2.5670813397129626,-1.0,1.5670813397129801,True,loss,False,-2.567081339713013,-2.5670813397129626,870.4542719657694,-129.5457280342306,62,
development,legacy_gross1,fixed10,net_loss,25,5,22721,-1,2023-09-16 19:18:00+00:00,1.0,401.27764127764755,0.8025552825552951,40.93031941032005,870.4542719657694,0,-129.5457280342306,62,True,22722,22764,2023-09-16 21:24:00+00:00,initial_stop,-1.8025552825553284,-1.0,0.8025552825552952,True,loss,False,-1.8025552825553177,-1.8025552825553284,868.6517166832141,-131.3482833167859,63,
development,legacy_gross1,fixed10,net_loss,25,6,23834,1,2023-09-19 02:57:00+00:00,1.0,625.7022900763619,1.2514045801527238,63.82163358778892,868.6517166832141,0,-131.3482833167859,63,True,23835,23839,2023-09-19 03:09:00+00:00,initial_stop,-2.2514045801527254,-1.0,1.2514045801527238,True,loss,False,-2.25140458015278,-2.2514045801527254,866.4003121030613,-133.5996878969387,64,
development,legacy_gross1,fixed10,net_loss,25,7,23899,-1,2023-09-19 06:12:00+00:00,1.0,500.86196319018546,1.001723926380371,51.08792024539892,866.4003121030613,0,-133.5996878969387,64,True,23900,23908,2023-09-19 06:36:00+00:00,initial_stop,-2.0017239263803983,-1.0,1.001723926380371,True,loss,False,-2.0017239263803503,-2.0017239263803983,864.398588176681,-135.60141182331904,65,
development,legacy_gross1,fixed10,net_loss,25,8,23941,1,2023-09-19 08:18:00+00:00,1.0,647.4782608696304,1.294956521739261,66.04278260870231,864.398588176681,0,-135.60141182331904,65,True,23942,23954,2023-09-19 08:54:00+00:00,take_profit,-0.29495652173913217,1.0000000000001796,1.294956521739261,False,loss,False,-0.2949565217390955,-0.29495652173913217,864.1036316549419,-135.89636834505814,66,
development,legacy_gross1,fixed10,net_loss,25,9,24323,-1,2023-09-20 03:24:00+00:00,1.0,628.0613026819617,1.2561226053639234,64.0622528735601,864.1036316549419,0,-135.89636834505814,66,True,24324,24333,2023-09-20 03:51:00+00:00,take_profit,-0.25229118773946424,1.0038314176244303,1.2561226053639234,False,loss,False,-0.25229118773950177,-0.25229118773946424,863.8513404672024,-136.14865953279764,67,
development,legacy_gross1,fixed10,net_loss,25,10,24863,-1,2023-09-21 06:24:00+00:00,1.0,412.8188775510128,0.8256377551020256,42.1075255102033,863.8513404672024,0,-136.14865953279764,67,True,24864,24911,2023-09-21 08:45:00+00:00,initial_stop,-1.8256377551020595,-1.0,0.8256377551020255,True,loss,False,-1.8256377551020933,-1.8256377551020595,862.0257027121003,-137.97429728789973,68,
development,legacy_gross1,fixed10,net_loss,25,11,24911,1,2023-09-21 08:48:00+00:00,1.0,329.6707317073122,0.6593414634146244,33.626414634145846,862.0257027121003,0,-137.97429728789973,68,True,24912,24914,2023-09-21 08:54:00+00:00,initial_stop,-1.6593414634146342,-1.0,0.6593414634146244,True,loss,False,-1.6593414634146484,-1.6593414634146342,860.3663612486856,-139.63363875131438,69,
development,legacy_gross1,fixed10,net_loss,25,12,25280,1,2023-09-22 03:15:00+00:00,1.0,277.6637630662016,0.5553275261324032,28.321703832752565,860.3663612486856,0,-139.63363875131438,69,True,25281,25364,2023-09-22 07:24:00+00:00,initial_stop,-1.5553275261324098,-1.0,0.5553275261324033,True,loss,False,-1.5553275261323734,-1.5553275261324098,858.8110337225532,-141.18896627744675,70,
development,legacy_gross1,fixed10,net_loss,25,13,25463,1,2023-09-22 12:24:00+00:00,1.0,951.5535714286641,1.9031071428573283,97.05846428572373,858.8110337225532,0,-141.18896627744675,70,True,25464,25467,2023-09-22 12:33:00+00:00,initial_stop,-2.903107142857341,-1.0,1.9031071428573283,True,loss,False,-2.9031071428573796,-2.903107142857341,855.9079265796959,-144.09207342030413,71,
development,legacy_gross1,fixed10,net_loss,25,14,25474,-1,2023-09-22 12:57:00+00:00,1.0,519.5439739413788,1.0390879478827577,52.993485342020634,855.9079265796959,0,-144.09207342030413,71,True,25475,25497,2023-09-22 14:03:00+00:00,initial_stop,-2.03908794788273,-1.0,1.0390879478827577,True,loss,False,-2.039087947882763,-2.03908794788273,853.8688386318131,-146.1311613681869,72,
development,legacy_gross1,fixed10,net_loss,25,15,25537,-1,2023-09-22 16:06:00+00:00,1.0,522.3540983606636,1.0447081967213272,53.28011803278768,853.8688386318131,0,-146.1311613681869,72,True,25538,25549,2023-09-22 16:39:00+00:00,take_profit,-0.04470819672133936,1.0,1.0447081967213272,False,loss,False,-0.04470819672133075,-0.04470819672133936,853.8241304350918,-146.17586956490823,73,
development,legacy_gross1,fixed10,net_loss,25,16,25777,-1,2023-09-23 04:06:00+00:00,1.0,656.9999999999803,1.3139999999999608,67.01399999999799,853.8241304350918,0,-146.17586956490823,73,True,25778,25787,2023-09-23 04:33:00+00:00,initial_stop,-2.313999999999967,-1.0,1.3139999999999605,True,loss,False,-2.3139999999999645,-2.313999999999967,851.5101304350918,-148.4898695649082,74,
development,legacy_gross1,fixed10,net_loss,25,17,25878,1,2023-09-23 09:09:00+00:00,1.0,905.9829545454592,1.8119659090909184,92.41026136363683,851.5101304350918,0,-148.4898695649082,74,True,25879,25880,2023-09-23 09:12:00+00:00,initial_stop,-2.8119659090908913,-1.0,1.8119659090909184,True,loss,False,-2.8119659090908726,-2.8119659090908913,848.6981645260009,-151.30183547399906,75,
development,legacy_gross1,fixed10,net_loss,25,18,25884,-1,2023-09-23 09:27:00+00:00,1.0,612.0692307692523,1.2241384615385045,62.43106153846373,848.6981645260009,0,-151.30183547399906,75,True,25885,25944,2023-09-23 12:24:00+00:00,initial_stop,-2.2241384615384385,-1.0,1.2241384615385045,True,loss,False,-2.224138461538473,-2.2241384615384385,846.4740260644625,-153.52597393553754,76,
development,legacy_gross1,fixed10,net_loss,25,19,25949,1,2023-09-23 12:42:00+00:00,1.0,1386.3913043479906,2.7727826086959815,141.41191304349505,846.4740260644625,0,-153.52597393553754,76,True,25950,25953,2023-09-23 12:51:00+00:00,initial_stop,-3.7727826086959646,-1.0,2.772782608695981,True,loss,False,-3.772782608695934,-3.7727826086959646,842.7012434557665,-157.29875654423347,77,
development,legacy_gross1,fixed10,net_loss,25,20,26003,-1,2023-09-23 15:24:00+00:00,1.0,824.0310880829716,1.648062176165943,84.0511709844631,842.7012434557665,0,-157.29875654423347,77,True,26004,26004,2023-09-23 15:24:00+00:00,take_profit,-0.6480621761658331,1.000000000000118,1.648062176165943,False,loss,False,-0.6480621761658085,-0.6480621761658331,842.0531812796007,-157.94681872039928,78,
development,legacy_gross1,fixed10,net_loss,25,21,26301,-1,2023-09-24 06:18:00+00:00,1.0,2340.39705882331,4.68079411764662,238.72049999997765,842.0531812796007,0,-157.94681872039928,78,True,26302,26305,2023-09-24 06:27:00+00:00,initial_stop,-5.680794117646406,-1.0,4.68079411764662,True,loss,False,-5.680794117646428,-5.680794117646406,836.3723871619543,-163.6276128380457,79,
development,legacy_gross1,fixed10,net_loss,25,22,27196,1,2023-09-26 03:03:00+00:00,1.0,409.6683804627383,0.8193367609254766,41.7861748071993,836.3723871619543,0,-163.6276128380457,79,True,27197,27265,2023-09-26 06:27:00+00:00,opposite_v6_next_open,-1.6522416452442574,-0.8329048843187956,0.8193367609254767,False,loss,False,-1.652241645244203,-1.6522416452442574,834.7201455167101,-165.2798544832899,80,
development,legacy_gross1,fixed10,net_loss,25,23,27264,-1,2023-09-26 06:27:00+00:00,1.0,317.4391217564732,0.6348782435129464,32.37879041916026,834.7201455167101,0,-165.2798544832899,80,True,27265,27330,2023-09-26 09:42:00+00:00,initial_stop,-1.6348782435129294,-1.0,0.6348782435129463,True,loss,False,-1.6348782435129579,-1.6348782435129294,833.0852672731971,-166.91473272680287,81,
development,legacy_gross1,fixed10,net_loss,25,24,27342,-1,2023-09-26 10:21:00+00:00,1.0,223.89421720733688,0.44778843441467375,22.83721015514836,833.0852672731971,0,-166.91473272680287,81,True,27343,27368,2023-09-26 11:36:00+00:00,opposite_v6_next_open,-1.0105528913963526,-0.5627644569816721,0.44778843441467375,False,loss,False,-1.0105528913964008,-1.0105528913963526,832.0747143818007,-167.92528561819927,82,
development,legacy_gross1,fixed10,net_loss,25,25,27367,1,2023-09-26 11:36:00+00:00,1.0,466.68621700878646,0.933372434017573,47.601994134896216,832.0747143818007,0,-167.92528561819927,82,True,27368,27388,2023-09-26 12:36:00+00:00,initial_stop,-1.9333724340175562,-1.0,0.9333724340175729,True,loss,False,-1.9333724340175422,-1.9333724340175562,830.1413419477832,-169.8586580522168,83,
development,next_bar,fixed10,initial_stop,6,1,25777,-1,2023-09-23 04:06:00+00:00,1.0,656.9999999999803,1.3139999999999608,67.01399999999799,847.7856170869403,0,-152.2143829130597,75,True,25778,25787,2023-09-23 04:33:00+00:00,initial_stop,-2.313999999999967,-1.0,1.3139999999999605,True,loss,False,-2.3139999999999645,-2.313999999999967,845.4716170869403,-154.52838291305966,76,
development,next_bar,fixed10,initial_stop,6,2,25878,1,2023-09-23 09:09:00+00:00,1.0,905.9829545454592,1.8119659090909184,92.41026136363683,845.4716170869403,0,-154.52838291305966,76,True,25879,25880,2023-09-23 09:12:00+00:00,initial_stop,-2.8119659090908913,-1.0,1.8119659090909184,True,loss,False,-2.8119659090908726,-2.8119659090908913,842.6596511778495,-157.34034882215053,77,
development,next_bar,fixed10,initial_stop,6,3,25884,-1,2023-09-23 09:27:00+00:00,1.0,612.0692307692523,1.2241384615385045,62.43106153846373,842.6596511778495,0,-157.34034882215053,77,True,25885,25944,2023-09-23 12:24:00+00:00,initial_stop,-2.2241384615384385,-1.0,1.2241384615385045,True,loss,False,-2.224138461538473,-2.2241384615384385,840.435512716311,-159.564487283689,78,
development,next_bar,fixed10,initial_stop,6,4,25949,1,2023-09-23 12:42:00+00:00,1.0,1386.3913043479906,2.7727826086959815,141.41191304349505,840.435512716311,0,-159.564487283689,78,True,25950,25953,2023-09-23 12:51:00+00:00,initial_stop,-3.7727826086959646,-1.0,2.772782608695981,True,loss,False,-3.772782608695934,-3.7727826086959646,836.6627301076151,-163.33726989238494,79,
development,next_bar,fixed10,initial_stop,6,5,26003,-1,2023-09-23 15:24:00+00:00,1.0,824.0310880829716,1.648062176165943,84.0511709844631,836.6627301076151,0,-163.33726989238494,79,True,26004,26033,2023-09-23 16:51:00+00:00,initial_stop,-2.6480621761658703,-1.0,1.648062176165943,True,loss,False,-2.648062176165922,-2.6480621761658703,834.0146679314491,-165.98533206855086,80,
development,next_bar,fixed10,initial_stop,6,6,26301,-1,2023-09-24 06:18:00+00:00,1.0,2340.39705882331,4.68079411764662,238.72049999997765,834.0146679314491,0,-165.98533206855086,80,True,26302,26305,2023-09-24 06:27:00+00:00,initial_stop,-5.680794117646406,-1.0,4.68079411764662,True,loss,False,-5.680794117646428,-5.680794117646406,828.3338738138027,-171.6661261861973,81,
development,next_bar,fixed10,net_loss,27,1,22602,-1,2023-09-16 13:21:00+00:00,1.0,475.148255813946,0.950296511627892,48.46512209302249,869.9158376703373,0,-130.08416232966272,61,True,22603,22637,2023-09-16 15:03:00+00:00,cost_be_gap,-0.8805290697674122,0.06976744186046666,0.950296511627892,False,loss,False,-0.8805290697673627,-0.8805290697674122,869.0353086005699,-130.96469139943008,62,
development,next_bar,fixed10,net_loss,27,2,22643,1,2023-09-16 15:24:00+00:00,1.0,481.47058823531347,0.9629411764706269,49.110000000001975,869.0353086005699,0,-130.96469139943008,62,True,22644,22666,2023-09-16 16:30:00+00:00,initial_stop,-1.962941176470615,-1.0,0.9629411764706269,True,loss,False,-1.962941176470622,-1.962941176470615,867.0723674240993,-132.9276325759007,63,
development,next_bar,fixed10,net_loss,27,3,22684,1,2023-09-16 17:27:00+00:00,1.0,783.54066985649,1.5670813397129801,79.92114832536198,867.0723674240993,0,-132.9276325759007,63,True,22685,22709,2023-09-16 18:39:00+00:00,initial_stop,-2.5670813397129626,-1.0,1.5670813397129801,True,loss,False,-2.567081339713013,-2.5670813397129626,864.5052860843863,-135.49471391561372,64,
development,next_bar,fixed10,net_loss,27,4,22721,-1,2023-09-16 19:18:00+00:00,1.0,401.27764127764755,0.8025552825552951,40.93031941032005,864.5052860843863,0,-135.49471391561372,64,True,22722,22764,2023-09-16 21:24:00+00:00,initial_stop,-1.8025552825553284,-1.0,0.8025552825552952,True,loss,False,-1.8025552825553177,-1.8025552825553284,862.702730801831,-137.29726919816903,65,
development,next_bar,fixed10,net_loss,27,5,23834,1,2023-09-19 02:57:00+00:00,1.0,625.7022900763619,1.2514045801527238,63.82163358778892,862.702730801831,0,-137.29726919816903,65,True,23835,23839,2023-09-19 03:09:00+00:00,initial_stop,-2.2514045801527254,-1.0,1.2514045801527238,True,loss,False,-2.25140458015278,-2.2514045801527254,860.4513262216782,-139.5486737783218,66,
development,next_bar,fixed10,net_loss,27,6,23899,-1,2023-09-19 06:12:00+00:00,1.0,500.86196319018546,1.001723926380371,51.08792024539892,860.4513262216782,0,-139.5486737783218,66,True,23900,23908,2023-09-19 06:36:00+00:00,initial_stop,-2.0017239263803983,-1.0,1.001723926380371,True,loss,False,-2.0017239263803503,-2.0017239263803983,858.4496022952978,-141.55039770470216,67,
development,next_bar,fixed10,net_loss,27,7,23941,1,2023-09-19 08:18:00+00:00,1.0,647.4782608696304,1.294956521739261,66.04278260870231,858.4496022952978,0,-141.55039770470216,67,True,23942,23955,2023-09-19 08:57:00+00:00,cost_be_gap,-0.03013438735172874,1.264822134387497,1.294956521739261,False,loss,False,-0.03013438735172258,-0.03013438735172874,858.4194679079461,-141.5805320920539,68,
development,next_bar,fixed10,net_loss,27,8,24323,-1,2023-09-20 03:24:00+00:00,1.0,628.0613026819617,1.2561226053639234,64.0622528735601,858.4194679079461,0,-141.5805320920539,68,True,24324,24337,2023-09-20 04:03:00+00:00,cost_be_gap,-0.0722145593870203,1.1839080459769225,1.2561226053639234,False,loss,False,-0.07221455938702093,-0.0722145593870203,858.3472533485591,-141.6527466514409,69,
development,next_bar,fixed10,net_loss,27,9,24863,-1,2023-09-21 06:24:00+00:00,1.0,412.8188775510128,0.8256377551020256,42.1075255102033,858.3472533485591,0,-141.6527466514409,69,True,24864,24911,2023-09-21 08:45:00+00:00,initial_stop,-1.8256377551020595,-1.0,0.8256377551020255,True,loss,False,-1.8256377551020933,-1.8256377551020595,856.521615593457,-143.478384406543,70,
development,next_bar,fixed10,net_loss,27,10,24911,1,2023-09-21 08:48:00+00:00,1.0,329.6707317073122,0.6593414634146244,33.626414634145846,856.521615593457,0,-143.478384406543,70,True,24912,24914,2023-09-21 08:54:00+00:00,initial_stop,-1.6593414634146342,-1.0,0.6593414634146244,True,loss,False,-1.6593414634146484,-1.6593414634146342,854.8622741300424,-145.13772586995765,71,
development,next_bar,fixed10,net_loss,27,11,25280,1,2023-09-22 03:15:00+00:00,1.0,277.6637630662016,0.5553275261324032,28.321703832752565,854.8622741300424,0,-145.13772586995765,71,True,25281,25364,2023-09-22 07:24:00+00:00,initial_stop,-1.5553275261324098,-1.0,0.5553275261324033,True,loss,False,-1.5553275261323734,-1.5553275261324098,853.30694660391,-146.69305339609002,72,
development,next_bar,fixed10,net_loss,27,12,25463,1,2023-09-22 12:24:00+00:00,1.0,951.5535714286641,1.9031071428573283,97.05846428572373,853.30694660391,0,-146.69305339609002,72,True,25464,25467,2023-09-22 12:33:00+00:00,initial_stop,-2.903107142857341,-1.0,1.9031071428573283,True,loss,False,-2.9031071428573796,-2.903107142857341,850.4038394610526,-149.5961605389474,73,
development,next_bar,fixed10,net_loss,27,13,25474,-1,2023-09-22 12:57:00+00:00,1.0,519.5439739413788,1.0390879478827577,52.993485342020634,850.4038394610526,0,-149.5961605389474,73,True,25475,25497,2023-09-22 14:03:00+00:00,initial_stop,-2.03908794788273,-1.0,1.0390879478827577,True,loss,False,-2.039087947882763,-2.03908794788273,848.3647515131698,-151.63524848683016,74,
development,next_bar,fixed10,net_loss,27,14,25537,-1,2023-09-22 16:06:00+00:00,1.0,522.3540983606636,1.0447081967213272,53.28011803278768,848.3647515131698,0,-151.63524848683016,74,True,25538,25550,2023-09-22 16:42:00+00:00,cost_be_gap,-0.5791344262295123,0.46557377049183407,1.0447081967213272,False,loss,False,-0.5791344262295297,-0.5791344262295123,847.7856170869403,-152.2143829130597,75,
development,next_bar,fixed10,net_loss,27,15,25777,-1,2023-09-23 04:06:00+00:00,1.0,656.9999999999803,1.3139999999999608,67.01399999999799,847.7856170869403,0,-152.2143829130597,75,True,25778,25787,2023-09-23 04:33:00+00:00,initial_stop,-2.313999999999967,-1.0,1.3139999999999605,True,loss,False,-2.3139999999999645,-2.313999999999967,845.4716170869403,-154.52838291305966,76,
development,next_bar,fixed10,net_loss,27,16,25878,1,2023-09-23 09:09:00+00:00,1.0,905.9829545454592,1.8119659090909184,92.41026136363683,845.4716170869403,0,-154.52838291305966,76,True,25879,25880,2023-09-23 09:12:00+00:00,initial_stop,-2.8119659090908913,-1.0,1.8119659090909184,True,loss,False,-2.8119659090908726,-2.8119659090908913,842.6596511778495,-157.34034882215053,77,
development,next_bar,fixed10,net_loss,27,17,25884,-1,2023-09-23 09:27:00+00:00,1.0,612.0692307692523,1.2241384615385045,62.43106153846373,842.6596511778495,0,-157.34034882215053,77,True,25885,25944,2023-09-23 12:24:00+00:00,initial_stop,-2.2241384615384385,-1.0,1.2241384615385045,True,loss,False,-2.224138461538473,-2.2241384615384385,840.435512716311,-159.564487283689,78,
development,next_bar,fixed10,net_loss,27,18,25949,1,2023-09-23 12:42:00+00:00,1.0,1386.3913043479906,2.7727826086959815,141.41191304349505,840.435512716311,0,-159.564487283689,78,True,25950,25953,2023-09-23 12:51:00+00:00,initial_stop,-3.7727826086959646,-1.0,2.772782608695981,True,loss,False,-3.772782608695934,-3.7727826086959646,836.6627301076151,-163.33726989238494,79,
development,next_bar,fixed10,net_loss,27,19,26003,-1,2023-09-23 15:24:00+00:00,1.0,824.0310880829716,1.648062176165943,84.0511709844631,836.6627301076151,0,-163.33726989238494,79,True,26004,26033,2023-09-23 16:51:00+00:00,initial_stop,-2.6480621761658703,-1.0,1.648062176165943,True,loss,False,-2.648062176165922,-2.6480621761658703,834.0146679314491,-165.98533206855086,80,
development,next_bar,fixed10,net_loss,27,20,26301,-1,2023-09-24 06:18:00+00:00,1.0,2340.39705882331,4.68079411764662,238.72049999997765,834.0146679314491,0,-165.98533206855086,80,True,26302,26305,2023-09-24 06:27:00+00:00,initial_stop,-5.680794117646406,-1.0,4.68079411764662,True,loss,False,-5.680794117646428,-5.680794117646406,828.3338738138027,-171.6661261861973,81,
development,next_bar,fixed10,net_loss,27,21,27196,1,2023-09-26 03:03:00+00:00,1.0,409.6683804627383,0.8193367609254766,41.7861748071993,828.3338738138027,0,-171.6661261861973,81,True,27197,27265,2023-09-26 06:27:00+00:00,opposite_v6_next_open,-1.6522416452442574,-0.8329048843187956,0.8193367609254767,False,loss,False,-1.652241645244203,-1.6522416452442574,826.6816321685585,-173.3183678314415,82,
development,next_bar,fixed10,net_loss,27,22,27264,-1,2023-09-26 06:27:00+00:00,1.0,317.4391217564732,0.6348782435129464,32.37879041916026,826.6816321685585,0,-173.3183678314415,82,True,27265,27330,2023-09-26 09:42:00+00:00,initial_stop,-1.6348782435129294,-1.0,0.6348782435129463,True,loss,False,-1.6348782435129579,-1.6348782435129294,825.0467539250456,-174.95324607495445,83,
development,next_bar,fixed10,net_loss,27,23,27342,-1,2023-09-26 10:21:00+00:00,1.0,223.89421720733688,0.44778843441467375,22.83721015514836,825.0467539250456,0,-174.95324607495445,83,True,27343,27368,2023-09-26 11:36:00+00:00,opposite_v6_next_open,-1.0105528913963526,-0.5627644569816721,0.44778843441467375,False,loss,False,-1.0105528913964008,-1.0105528913963526,824.0362010336491,-175.96379896635085,84,
development,next_bar,fixed10,net_loss,27,24,27367,1,2023-09-26 11:36:00+00:00,1.0,466.68621700878646,0.933372434017573,47.601994134896216,824.0362010336491,0,-175.96379896635085,84,True,27368,27388,2023-09-26 12:36:00+00:00,initial_stop,-1.9333724340175562,-1.0,0.9333724340175729,True,loss,False,-1.9333724340175422,-1.9333724340175562,822.1028285996316,-177.8971714003684,85,
development,next_bar,fixed10,net_loss,27,25,27388,-1,2023-09-26 12:39:00+00:00,1.0,374.5330188679237,0.7490660377358475,38.202367924528225,822.1028285996316,0,-177.8971714003684,85,True,27389,27407,2023-09-26 13:33:00+00:00,cost_be_gap,-0.4731226415094075,0.27594339622643166,0.7490660377358475,False,loss,False,-0.4731226415094625,-0.4731226415094075,821.6297059581221,-178.37029404187786,86,
development,next_bar,fixed10,net_loss,27,26,27790,1,2023-09-27 08:45:00+00:00,1.0,796.465,1.5929300000000002,81.23943,821.6297059581221,0,-178.37029404187786,86,True,27791,27802,2023-09-27 09:18:00+00:00,cost_be_gap,-0.457929999999949,1.134999999999991,1.59293,False,loss,False,-0.45792999999991935,-0.457929999999949,821.1717759581222,-178.82822404187777,87,
development,next_bar,fixed10,net_loss,27,27,28627,-1,2023-09-29 02:36:00+00:00,1.0,375.30227272726495,0.7506045454545299,38.28083181818102,821.1717759581222,0,-178.82822404187777,87,True,28628,28672,2023-09-29 04:48:00+00:00,opposite_v6_next_open,-1.1937863636363584,-0.44318181818181934,0.7506045454545299,False,loss,False,-1.1937863636363772,-1.1937863636363584,819.9779895944858,-180.02201040551415,88,
development,next_bar,double10,initial_stop,1,1,1321,-1,2023-08-03 05:18:00+00:00,2.0,1033.8535211267076,2.0677070422534154,105.45305915492418,998.7010631578947,0,-1.2989368421052632,1,True,1322,1329,2023-08-03 05:39:00+00:00,initial_stop,-2.033853521126675,-1.0,1.0338535211267077,True,loss,False,-4.067707042253346,-4.06770704225335,994.6333561156414,-5.366643884358609,2,
