group,period,arm,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,gross_r,cost_r,near_be,material_wins,max_net_loss_streak,max_initial_stop_streak,be_armed,be_changed,matched_pairs,unmatched,control_mean_r,paired_excess_r,blocks,mean_ci_low,mean_ci_high,p_month_signflip,p_holm
ETH 15m,common,v9_cost_be2,21,21,0,0.5714285714285714,1.1795252329434367,24.77002989181217,3.8557566537309373,3.4196504484327397,1,4.333242291566812,14.72175402974329,28.39794311714091,3.627913225328726,2,10,3,3,12,12,20,1,-0.10895905997263919,1.3474168508595443,3,-0.761143590362504,1.7111180824506458,0.23888055972013994,1.0
ETH 15m,common,v9_original,21,21,0,0.47619047619047616,1.0983844076602804,23.06607256086589,3.222984458618845,3.2189147864967302,1,5.7310267830068735,13.017796698797008,26.693985786194624,3.627913225328726,0,10,4,3,0,0,20,1,-0.1418889732674375,1.3104575395823397,3,-0.761143590362504,1.5713396333066396,0.23888055972013994,1.0
ETH 30m,available,v9_cost_be2,103,103,0,0.27184466019417475,-0.1478348060242157,-15.226985020494217,0.8022629185038417,0.7361051240038758,0,19.31556744888105,-20.439972532981805,-1.1926066500142098,14.03437837047999,2,26,9,8,27,26,103,0,-0.1332181791694172,-0.014616626854798448,33,-0.5591237375690618,0.49145958867570805,0.5347326336831584,1.0
ETH 30m,available,v9_original,103,103,0,0.2524271844660194,-0.15357096387596092,-15.817809279223974,0.7961534593654719,0.7330990021811572,0,19.6320122749867,-21.030796791711563,-1.783430908743967,14.03437837047999,0,26,9,8,0,0,103,0,-0.11226092641130521,-0.041310037464655676,33,-0.5764339495759984,0.48039134142234863,0.5747126436781609,1.0
ETH 30m,common,v9_cost_be2,13,13,0,0.15384615384615385,-0.6853989299066947,-8.91018608878703,0.23418701239534317,0.3499222708585497,0,8.925312390091662,-10.452435822432882,-7.163629121727278,1.746556967059749,0,2,6,6,2,2,13,0,-0.5968650393646666,-0.08853389054202804,4,-0.71756427967665,0.6082517075769623,0.5442278860569715,1.0
ETH 30m,common,v9_original,13,13,0,0.15384615384615385,-0.6853989299066947,-8.91018608878703,0.23418701239534317,0.3499222708585497,0,8.925312390091662,-10.452435822432882,-7.163629121727278,1.746556967059749,0,2,6,6,0,0,13,0,-0.6888461310615585,0.003447201154863838,4,-0.645525703461562,0.6082517075769623,0.41379310344827586,1.0
ETH 60m,available,v9_cost_be2,59,58,1,0.22413793103448276,0.039925630307988964,2.31568655786336,1.0492315852409886,0.6524365224432946,2,29.721022156251873,-18.409734645574957,8.350135335982833,6.034448778119462,3,10,9,6,12,12,58,1,0.19535096845406533,-0.15542533814607634,24,-0.8834768902112703,0.6197327178616612,0.6661669165417291,1.0
ETH 60m,available,v9_original,59,58,1,0.1724137931034483,0.021038353778338376,1.2202245191436258,1.0253517116516349,0.6363722562722953,2,30.79640083006065,-19.50519668429469,7.2546732972630945,6.034448778119462,1,10,13,6,0,0,58,1,0.4145081191989815,-0.39346976542064305,24,-1.3135990429629836,0.5109730879171066,0.7966016991504248,1.0
ETH 60m,common,v9_cost_be2,6,5,1,0.2,-0.7752802831015706,-3.876401415507853,2.3944867000634283e-05,1.4316869595991003e-05,0,3.876401415507853,-3.8764942376468023,-3.4798637858384853,0.3965376296693665,1,0,3,2,1,1,5,1,-0.19897528296417827,-0.5763050001373922,2,-0.9839843629232208,-0.3045187582801732,1.0,1.0
ETH 60m,common,v9_original,6,5,1,0.0,-0.7753379366040206,-3.876689683020103,0.0,0.0,0,3.876689683020103,-3.8764942376468023,-3.4801520533507353,0.3965376296693665,1,0,5,2,0,0,5,1,-0.19897528296417827,-0.5763626536398422,2,-0.9841284966793457,-0.3045187582801732,1.0,1.0
ETH 240m,available,v9_cost_be2,15,15,0,0.4666666666666667,0.22254092094439884,3.3381138141659825,1.4509761700948138,1.379719732141466,0,2.7788238498022872,-1.6463382104818969,4.051678561889049,0.7135647477230633,1,6,3,2,7,7,15,0,-0.0964166893703891,0.3189576103147879,12,-0.7545008508895201,1.673617735911902,0.2938530734632684,1.0
ETH 240m,available,v9_original,15,15,0,0.4,0.15296729691532923,2.2945094537299386,1.2716834794385532,1.2354261717190822,0,2.7788238498022872,-2.6899425709179408,3.0080742014530055,0.7135647477230633,0,6,3,2,0,0,15,0,-0.0964166893703891,0.2493839862857183,12,-0.7748912148143476,1.6153628152957287,0.328335832083958,1.0
ETH 240m,common,v9_cost_be2,4,4,0,0.5,-0.21663118999068703,-0.8665247599627481,0.3973388179871828,0.16190924363242748,0,1.43777691248428,-1.43777691248428,-0.6676545788382771,0.1988701811244707,1,1,1,0,2,2,4,0,-0.04095098678594483,-0.17568020320474215,3,-1.1044073127236547,1.0511434468148002,0.6271864067966016,1.0
ETH 240m,common,v9_original,4,4,0,0.25,-0.4775322800996979,-1.9101291203987916,0.230215388000099,0.10341826503649916,0,2.4813812729203235,-2.4813812729203235,-1.7112589392743205,0.1988701811244707,0,1,3,1,0,0,4,0,-0.04095098678594483,-0.43658129331375295,3,-1.1044073127236547,0.45495036581354054,0.6271864067966016,1.0
