asset,closed,wins,total_r,positive_r,negative_r,win_rate,mean_r,pf_r,score_known,arm,selection_mode,win_le_10pct,mean_lt_neg036,pf_lt_05
ACU,90,30,7.143269348498809,61.96645059446254,54.82318124596373,0.3333333333333333,0.07936965942776454,1.1302965130106295,True,v9,full_history_posthoc,False,False,False
ACX,93,25,5.21204526223267,72.36133142743074,67.14928616519806,0.26881720430107525,0.056043497443362046,1.0776187739272494,True,v9,full_history_posthoc,False,False,False
ADA,266,102,104.15244751665449,259.22011935459386,155.06767183793937,0.38345864661654133,0.39155055457388904,1.6716580334391284,True,v9,full_history_posthoc,False,False,False
ADBE,11,7,3.834091914174941,8.071711629790151,4.23761971561521,0.6363636363636364,0.3485538103795401,1.9047748904996573,True,v9,full_history_posthoc,False,False,False
AEHR,3,0,-2.479595268574055,0.0,2.479595268574055,0.0,-0.8265317561913518,0.0,True,v9,full_history_posthoc,True,True,True
AEON,9,8,11.563727444120348,12.587092788587988,1.0233653444676412,0.8888888888888888,1.2848586049022608,12.299705922849913,True,v9,full_history_posthoc,False,False,False
AERO,168,43,-37.481434046123525,84.28727602630643,121.76871007242995,0.25595238095238093,-0.2231037740840686,0.6921915816975561,True,v9,full_history_posthoc,False,False,False
AEVO,295,76,11.74252770360144,227.99573989130784,216.2532121877064,0.2576271186440678,0.039805178656276065,1.0542998995705506,True,v9,full_history_posthoc,False,False,False
AGLD,221,76,-13.278909854170392,123.71230490804463,136.99121476221504,0.3438914027149321,-0.06008556495099725,0.9030674348189444,True,v9,full_history_posthoc,False,False,False
AGT,74,13,-38.34502759241819,19.356927106037702,57.70195469845589,0.17567567567567569,-0.5181760485461918,0.3354639753054275,True,v9,full_history_posthoc,False,True,True
AI,119,43,39.17008607800977,109.92145040178279,70.75136432377303,0.36134453781512604,0.3291603872101661,1.5536301165693323,True,v9,full_history_posthoc,False,False,False
AI16Z,41,13,3.5320577585240045,29.73911926363854,26.20706150511453,0.3170731707317073,0.08614775020790255,1.134775039843162,True,v9,full_history_posthoc,False,False,False
AIA,37,8,-15.956535138821405,12.007159955436272,27.963695094257677,0.21621621621621623,-0.4312577064546326,0.4293838820285926,True,v9,full_history_posthoc,False,True,True
AIGENSYN,51,17,-0.8823152109716117,28.114020975288582,28.996336186260194,0.3333333333333333,-0.017300298254345328,0.9695714932637008,True,v9,full_history_posthoc,False,False,False
AIN,54,17,20.14397835291587,55.15531020964972,35.011331856733854,0.3148148148148148,0.3730366361651087,1.5753559571896578,True,v9,full_history_posthoc,False,False,False
AIO,72,23,7.019952708172449,53.20485667330591,46.184903965133465,0.3194444444444444,0.09749934316906178,1.15199669384334,True,v9,full_history_posthoc,False,False,False
AIOT,62,25,65.74581934948321,102.45228104853327,36.706461699050045,0.4032258064516129,1.0604164411206969,2.791123859567884,True,v9,full_history_posthoc,False,False,False
AIXBT,227,61,-47.99389029847431,113.65223295445982,161.64612325293413,0.2687224669603524,-0.2114268295086974,0.7030928466909389,True,v9,full_history_posthoc,False,False,False
AKE,48,17,10.115763578814908,40.265927237297305,30.15016365848239,0.3541666666666667,0.2107450745586439,1.3355127253502972,True,v9,full_history_posthoc,False,False,False
AKT,112,31,1.7297221372559028,79.33419879175737,77.60447665450147,0.2767857142857143,0.015443947654070561,1.0222889479038266,True,v9,full_history_posthoc,False,False,False
ALAB,10,4,3.010623272610464,8.186222918736425,5.175599646125962,0.4,0.30106232726104637,1.581695548044172,True,v9,full_history_posthoc,False,False,False
ALCH,95,23,-13.474869883538437,54.64447241662484,68.11934230016328,0.24210526315789474,-0.14184073561619406,0.8021873167218448,True,v9,full_history_posthoc,False,False,False
ALGO,248,86,110.21954334713531,267.7485368084539,157.52899346131858,0.3467741935483871,0.44443364252877143,1.6996778239061106,True,v9,full_history_posthoc,False,False,False
ALICE,112,28,-25.92390823862688,57.33216540970946,83.25607364833634,0.25,-0.2314634664163114,0.68862441978556,True,v9,full_history_posthoc,False,False,False
ALL,65,13,-37.15461995793975,16.15304524674848,53.307665204688234,0.2,-0.5716095378144577,0.30301543285988586,True,v9,full_history_posthoc,False,True,True
ALLO,101,32,-17.269837552920908,46.44924153840089,63.719079091321795,0.31683168316831684,-0.1709884906229793,0.7289691282548217,True,v9,full_history_posthoc,False,False,False
ALPACA,31,6,-0.3452833827838824,24.579799500491585,24.925082883275465,0.1935483870967742,-0.011138173638189754,0.9861471520716362,True,v9,full_history_posthoc,False,False,False
ALPHA,55,18,1.7447890786558362,36.65865846199237,34.91386938333653,0.32727272727272727,0.031723437793742475,1.0499740965259088,True,v9,full_history_posthoc,False,False,False
ALPINE,66,22,26.81245702100157,72.63246733514757,45.820010314145996,0.3333333333333333,0.4062493488030541,1.5851691616211567,True,v9,full_history_posthoc,False,False,False
ALT,133,42,-7.819980267154946,82.52842751751156,90.3484077846665,0.3157894736842105,-0.058796844113946964,0.9134463964678511,True,v9,full_history_posthoc,False,False,False
AMAT,19,4,-10.926978689093614,4.412983230456608,15.339961919550223,0.21052631578947367,-0.5751041415312429,0.28767889083430004,True,v9,full_history_posthoc,False,True,True
AMB,21,9,4.547981224261611,17.185776462380968,12.637795238119358,0.42857142857142855,0.21657053448864816,1.359871412581804,True,v9,full_history_posthoc,False,False,False
AMD,23,5,-11.752076870876607,6.4730526754831965,18.225129546359803,0.21739130434782608,-0.5109598639511568,0.3551718334301822,True,v9,full_history_posthoc,False,True,True
AMZN,20,7,6.567806593934747,22.501866034098484,15.934059440163736,0.35,0.3283903296967373,1.4121866507777543,True,v9,full_history_posthoc,False,False,False
ANIME,219,54,-41.31542343443101,122.4914187061793,163.8068421406103,0.2465753424657534,-0.18865490152708225,0.7477796232774805,True,v9,full_history_posthoc,False,False,False
ANKR,147,45,11.98498688657374,111.94107617407671,99.95608928750296,0.30612244897959184,0.0815305230379166,1.1199025189160954,True,v9,full_history_posthoc,False,False,False
APE,271,69,-73.6983071758903,124.22018966416127,197.91849684005157,0.25461254612546125,-0.271949472973765,0.627633049196762,True,v9,full_history_posthoc,False,False,False
API3,203,69,-3.836415873325815,121.22278283219032,125.05919870551612,0.3399014778325123,-0.01889860036121091,0.9693232012276072,True,v9,full_history_posthoc,False,False,False
APLD,6,4,1.2904027292407538,3.4314676026584725,2.1410648734177187,0.6666666666666666,0.21506712154012564,1.6026920273466174,True,v9,full_history_posthoc,False,False,False
APP,6,3,1.4992611541322274,5.354458145231236,3.8551969910990094,0.5,0.2498768590220379,1.3888935267364455,True,v9,full_history_posthoc,False,False,False
APR,84,32,22.56690879020001,75.22578143077395,52.65887264057394,0.38095238095238093,0.26865367607380963,1.4285490299845898,True,v9,full_history_posthoc,False,False,False
APT,247,71,-17.38378762818531,151.63356995633845,169.01735758452375,0.2874493927125506,-0.07037970699670167,0.8971479150033933,True,v9,full_history_posthoc,False,False,False
AR,258,79,-13.375813065811807,162.6339306051403,176.00974367095213,0.3062015503875969,-0.05184423668919305,0.9240052693286246,True,v9,full_history_posthoc,False,False,False
ARB,301,98,101.81373570068969,291.6218668111258,189.8081311104361,0.32558139534883723,0.33825161362355377,1.536403446496459,True,v9,full_history_posthoc,False,False,False
ARC,115,25,-22.32102522932085,66.83879498288715,89.159820212208,0.21739130434782608,-0.19409587155931174,0.7496515226680034,True,v9,full_history_posthoc,False,False,False
ARIA,66,23,34.60399849980819,76.0166393616775,41.41264086186932,0.3484848484848485,0.5243030075728514,1.835590239589618,True,v9,full_history_posthoc,False,False,False
ARK,130,44,10.900526505816373,98.2749992224094,87.37447271659303,0.3384615384615385,0.08385020389089518,1.1247564210335577,True,v9,full_history_posthoc,False,False,False
ARKM,213,48,-63.19662487637317,95.25632654265576,158.45295141902892,0.22535211267605634,-0.29669776937264397,0.6011647349549858,True,v9,full_history_posthoc,False,False,False
ARM,13,4,-1.850699738603923,7.728089129682132,9.578788868286056,0.3076923076923077,-0.14236151835414793,0.8067918852735846,True,v9,full_history_posthoc,False,False,False
ARPA,120,31,2.894206238457742,91.99540996755505,89.1012037290973,0.25833333333333336,0.024118385320481182,1.0324822350016423,True,v9,full_history_posthoc,False,False,False
ARX,22,5,-11.701199085640523,6.6396823362886375,18.34088142192916,0.22727272727272727,-0.5318726857109328,0.36201544427139376,True,v9,full_history_posthoc,False,True,True
ASML,12,3,-7.311234291205933,3.004942967952228,10.316177259158161,0.25,-0.6092695242671611,0.29128454198328135,True,v9,full_history_posthoc,False,True,True
ASR,76,17,-34.279543096782035,27.529609738856667,61.8091528356387,0.2236842105263158,-0.45104661969450044,0.44539697562370245,True,v9,full_history_posthoc,False,True,True
ASTER,126,32,3.071569412704548,98.0884040723691,95.01683465966455,0.25396825396825395,0.024377535021464666,1.0323265811127726,True,v9,full_history_posthoc,False,False,False
ASTR,133,41,-10.285700066344283,81.51780886138225,91.80350892772654,0.3082706766917293,-0.07733609072439311,0.8879596195561344,True,v9,full_history_posthoc,False,False,False
ASTS,13,7,9.582278912181668,15.745814279813699,6.163535367632031,0.5384615384615384,0.7370983778601283,2.554672495675657,True,v9,full_history_posthoc,False,False,False
AT,117,30,-11.257705652440263,69.02649239561845,80.28419804805871,0.2564102564102564,-0.09621970643111336,0.8597768187744577,True,v9,full_history_posthoc,False,False,False
ATA,94,35,26.27826988723002,83.55240548224216,57.274135595012154,0.3723404255319149,0.2795560626301066,1.4588156523748306,True,v9,full_history_posthoc,False,False,False
ATH,210,50,2.0761661968814007,151.80771203923078,149.73154584234936,0.23809523809523808,0.009886505699435241,1.0138659237450696,True,v9,full_history_posthoc,False,False,False
ATOM,240,84,47.48041327387107,195.55559237981618,148.0751791059451,0.35,0.19783505530779613,1.3206507232376852,True,v9,full_history_posthoc,False,False,False
AUCTION,244,66,-34.63770977978463,145.56840042479996,180.20611020458458,0.27049180327868855,-0.14195782696633044,0.8077883722119018,True,v9,full_history_posthoc,False,False,False
AVA,105,30,1.642507450693155,74.7564345772919,73.11392712659875,0.2857142857142857,0.015642928101839572,1.0224650420958663,True,v9,full_history_posthoc,False,False,False
AVAAI,89,31,3.760114787470876,59.58819375399854,55.828078966527656,0.34831460674157305,0.04224848075809973,1.0673516778129748,True,v9,full_history_posthoc,False,False,False
AVAX,263,61,-64.18134071893097,142.15540552703152,206.33674624596247,0.23193916349809887,-0.24403551604156262,0.6889485664253716,True,v9,full_history_posthoc,False,False,False
AVGO,15,4,-6.056129494886007,5.33848876408786,11.394618258973868,0.26666666666666666,-0.40374196632573384,0.46850966331263594,True,v9,full_history_posthoc,False,True,True
AVNT,134,52,-1.8825988716971354,79.4663240679463,81.34892293964344,0.3880597014925373,-0.014049245311172652,0.9768577283672959,True,v9,full_history_posthoc,False,False,False
AWE,81,20,-32.261305230410514,30.512545818170683,62.77385104858119,0.24691358024691357,-0.398287718893957,0.48607095643306597,True,v9,full_history_posthoc,False,True,True
AXL,110,34,4.098155078863186,78.13600872714692,74.03785364828373,0.3090909090909091,0.0372559552623926,1.0553521594282222,True,v9,full_history_posthoc,False,False,False
AXS,276,93,31.33337431073901,216.34801230200006,185.01463799126103,0.33695652173913043,0.11352671851717033,1.1693561906827017,True,v9,full_history_posthoc,False,False,False
AXTI,6,4,5.66434750976758,7.348283765751459,1.683936255983879,0.6666666666666666,0.9440579182945967,4.36375411458675,True,v9,full_history_posthoc,False,False,False
AZTEC,74,22,-18.363936082341397,33.600547123792765,51.96448320613416,0.2972972972972973,-0.24816129841001888,0.6466060095412702,True,v9,full_history_posthoc,False,False,False
B,73,21,-12.223196725286774,40.49444118945259,52.717637914739356,0.2876712328767123,-0.16744105103132567,0.7681383838734308,True,v9,full_history_posthoc,False,False,False
B2,76,18,-3.9176769722539992,52.28502746688121,56.2027044391352,0.23684210526315788,-0.05154838121386841,0.9302937997139151,True,v9,full_history_posthoc,False,False,False
B3,73,22,3.4145682445925316,54.161056500493785,50.746488255901255,0.3013698630136986,0.04677490746017167,1.067286788937468,True,v9,full_history_posthoc,False,False,False
BABY,189,58,-0.7014111718801854,124.00959254761898,124.71100371949916,0.30687830687830686,-0.0037111702215882826,0.9943757074278883,True,v9,full_history_posthoc,False,False,False
BADGER,24,9,-2.9179012200529644,13.074768219866261,15.992669439919224,0.375,-0.12157921750220685,0.817547581345638,True,v9,full_history_posthoc,False,False,False
BAKE,59,18,0.8785016000014862,38.631354590821374,37.75285299081989,0.3050847457627119,0.014889857627143835,1.0232698069259853,True,v9,full_history_posthoc,False,False,False
BAL,26,11,5.776479726257461,21.240180415064103,15.463700688806643,0.4230769230769231,0.2221722971637485,1.373550926942006,True,v9,full_history_posthoc,False,False,False
BAN,126,26,-37.01840469480216,61.44296191449256,98.46136660929471,0.20634920634920634,-0.29379686265716,0.6240311711120651,True,v9,full_history_posthoc,False,False,False
BANANA,119,48,38.529043650021094,108.12970487907673,69.60066122905563,0.40336134453781514,0.3237734760505974,1.5535729541882093,True,v9,full_history_posthoc,False,False,False
BANANAS31,88,23,-4.68946317054614,58.18418471150541,62.87364788205155,0.26136363636363635,-0.05328935421075159,0.9254144887641419,True,v9,full_history_posthoc,False,False,False
BAND,252,83,0.16858672582337342,168.44078039489042,168.27219366906706,0.32936507936507936,0.0006689949437435453,1.001001869186747,True,v9,full_history_posthoc,False,False,False
BANK,77,29,33.52535285089113,78.61600372861653,45.090650877725395,0.37662337662337664,0.435394192868716,1.7435100669050783,True,v9,full_history_posthoc,False,False,False
BARD,86,22,-38.3084963360079,28.818617726361364,67.12711406236926,0.2558139534883721,-0.44544763181404534,0.4293141173860887,True,v9,full_history_posthoc,False,True,True
BAS,60,21,3.023382364316446,41.45740549397657,38.434023129660126,0.35,0.05038970607194077,1.0786642177457415,True,v9,full_history_posthoc,False,False,False
BASED,69,23,-13.910247692189195,28.123817400208694,42.03406509239789,0.3333333333333333,-0.2015977926404231,0.6690720333231595,True,v9,full_history_posthoc,False,False,False
BAT,209,64,12.540081481288745,153.19402249521514,140.65394101392639,0.3062200956937799,0.06000038986262557,1.089155564294122,True,v9,full_history_posthoc,False,False,False
BB,138,50,28.538364301764823,115.5784391965298,87.04007489476498,0.36231884057971014,0.20679974131713638,1.3278761459737813,True,v9,full_history_posthoc,False,False,False
BCH,300,85,-7.2065312483385435,212.72313746815203,219.92966871649057,0.2833333333333333,-0.024021770827795146,0.9672325644357315,True,v9,full_history_posthoc,False,False,False
BE,8,4,8.773710297495612,13.14670671062516,4.37299641312955,0.5,1.0967137871869514,3.0063383247132998,True,v9,full_history_posthoc,False,False,False
BEAMX,126,39,-10.25197891525342,72.61547778977219,82.8674567050256,0.30952380952380953,-0.0813649120258208,0.8762846197664026,True,v9,full_history_posthoc,False,False,False
BEAT,76,29,121.18602670669098,163.16819290730925,41.98216620061827,0.3815789473684211,1.594552982982776,3.886607282901621,True,v9,full_history_posthoc,False,False,False
BEL,134,42,-25.509034036302932,64.02884154235359,89.53787557865653,0.31343283582089554,-0.19036592564405172,0.7151034255453832,True,v9,full_history_posthoc,False,False,False
BERA,197,78,92.55313022290073,209.06936332420298,116.51623310130225,0.39593908629441626,0.4698128437710697,1.794336786895888,True,v9,full_history_posthoc,False,False,False
BICO,232,80,13.995035490938037,160.83416906085512,146.8391335699171,0.3448275862068966,0.06032342884025016,1.0953086221002137,True,v9,full_history_posthoc,False,False,False
BID,41,9,1.4829707015636615,33.69779756294362,32.21482686137996,0.21951219512195122,0.036170017111308815,1.0460337939404383,True,v9,full_history_posthoc,False,False,False
BIGTIME,281,85,-18.72764996162117,175.85857705643875,194.5862270180599,0.302491103202847,-0.06664644114455932,0.9037565492244063,True,v9,full_history_posthoc,False,False,False
BILL,50,23,19.75854690625045,46.84426833239853,27.085721426148076,0.46,0.39517093812500903,1.7294820246942324,True,v9,full_history_posthoc,False,False,False
BIO,199,51,41.00529813683826,191.07833415585665,150.0730360190184,0.2562814070351759,0.20605677455697619,1.273235613968933,True,v9,full_history_posthoc,False,False,False
BIRB,36,13,-1.4835438647917298,20.003960145427868,21.487504010219595,0.3611111111111111,-0.041209551799770275,0.9309578318595708,True,v9,full_history_posthoc,False,False,False
BLEND,27,3,-15.559969440249251,8.01382952346526,23.57379896371451,0.1111111111111111,-0.576295164453676,0.3399464607210906,True,v9,full_history_posthoc,False,True,True
BLESS,67,23,49.65427747357719,91.06953337041624,41.41525589683904,0.34328358208955223,0.7411086190086148,2.198936874789828,True,v9,full_history_posthoc,False,False,False
BLUAI,56,15,-8.284177454002219,33.34564471500024,41.62982216900246,0.26785714285714285,-0.1479317402500396,0.8010037751213213,True,v9,full_history_posthoc,False,False,False
BLUR,235,69,16.17518378349523,176.6885894863205,160.51340570282528,0.2936170212765957,0.06883056929146905,1.1007715443621076,True,v9,full_history_posthoc,False,False,False
BLZ,10,4,4.45647866188545,9.741988536964,5.285509875078549,0.4,0.445647866188545,1.8431501912233625,True,v9,full_history_posthoc,False,False,False
BMNR,18,7,-3.34889780373999,6.640084601923823,9.988982405663814,0.3888888888888889,-0.186049877985555,0.6647408446889299,True,v9,full_history_posthoc,False,False,False
BMT,76,19,1.0343475491549712,54.6616410066187,53.627293457463736,0.25,0.013609836173091727,1.0192877074800613,True,v9,full_history_posthoc,False,False,False
BNB,312,107,-30.014356120238446,183.87724103082138,213.89159715105984,0.34294871794871795,-0.09619985935973861,0.859674917013963,True,v9,full_history_posthoc,False,False,False
BNT,129,40,-5.998623935785754,82.46940553748193,88.46802947326768,0.31007751937984496,-0.04650096074252522,0.9321944438968391,True,v9,full_history_posthoc,False,False,False
BNX,29,8,7.239940456215611,27.8293568280597,20.589416371844095,0.27586206896551724,0.24965311917984864,1.3516340786675325,True,v9,full_history_posthoc,False,False,False
BOB,14,7,8.939111039720034,16.277568706844,7.3384576671239685,0.5,0.6385079314085739,2.2181184991727805,True,v9,full_history_posthoc,False,False,False
BOME,250,84,85.93001299611353,242.10054555178124,156.1705325556677,0.336,0.34372005198445416,1.550231926535074,True,v9,full_history_posthoc,False,False,False
BOND,6,0,-6.68059224584556,0.0,6.68059224584556,0.0,-1.11343204097426,0.0,True,v9,full_history_posthoc,True,True,True
BONK,147,38,-0.1998804041979172,106.79019915223462,106.99007955643253,0.2585034013605442,-0.0013597306408021578,0.9981317856288491,True,v9,full_history_posthoc,False,False,False
BOT,12,3,-5.118757515504731,3.6603946522131894,8.779152167717921,0.25,-0.4265631262920609,0.41694170260232355,True,v9,full_history_posthoc,False,True,True
BP,26,8,9.159995787079607,26.74914914408689,17.58915335700728,0.3076923076923077,0.35230753027229256,1.5207752528594785,True,v9,full_history_posthoc,False,False,False
BR,73,16,-23.389661328146033,34.37823031199221,57.767891640138245,0.2191780821917808,-0.3204063195636443,0.595109659292214,True,v9,full_history_posthoc,False,False,False
BRETT,253,87,0.25205149770549595,161.10217383818642,160.8501223404809,0.3438735177865613,0.0009962509790731066,1.0015669959962603,True,v9,full_history_posthoc,False,False,False
BREV,90,26,-22.65101956562257,42.25727926065936,64.90829882628192,0.28888888888888886,-0.2516779951735841,0.6510304541142746,True,v9,full_history_posthoc,False,False,False
BRKB,4,0,-7.880691063903593,0.0,7.880691063903593,0.0,-1.9701727659758983,0.0,True,v9,full_history_posthoc,True,True,True
BROCCOLI714,96,30,87.79845163692067,151.09979736252257,63.301345725601884,0.3125,0.9145672045512571,2.3869918661367584,True,v9,full_history_posthoc,False,False,False
BROCCOLIF3B,86,29,43.07755475243602,99.40120163154893,56.32364687911291,0.3372093023255814,0.5009017994469305,1.7648218313152397,True,v9,full_history_posthoc,False,False,False
BSB,65,15,-13.162548298168195,39.0977185973708,52.260266895539,0.23076923076923078,-0.20250074304874147,0.7481346904622914,True,v9,full_history_posthoc,False,False,False
BSP,10,2,-3.1118302456468916,5.689267572687604,8.801097818334496,0.2,-0.31118302456468916,0.6464270355950016,True,v9,full_history_posthoc,False,False,False
BSV,133,35,-4.349940083786494,92.08278938936715,96.43272947315364,0.2631578947368421,-0.03270631641944732,0.9548914553435149,True,v9,full_history_posthoc,False,False,False
BSW,46,14,6.3612315315309536,38.297512884809734,31.936281353278783,0.30434782608695654,0.13828764198980334,1.1991851042757007,True,v9,full_history_posthoc,False,False,False
BTC,291,54,-85.89686807648974,153.72141041817093,239.61827849466067,0.18556701030927836,-0.2951782408126795,0.6415262282321933,True,v9,full_history_posthoc,False,False,False
BTCDOM,119,50,19.52463449320587,95.73993748451954,76.21530299131368,0.42016806722689076,0.16407255876643587,1.25617735188209,True,v9,full_history_posthoc,False,False,False
BTR,59,16,1.218096701265914,41.65722656481262,40.439129863546704,0.2711864406779661,0.020645706801117186,1.0301217337112871,True,v9,full_history_posthoc,False,False,False
BTW,31,7,-5.732958108935115,17.379961807864063,23.11291991679918,0.22580645161290322,-0.18493413254629404,0.7519587257009347,True,v9,full_history_posthoc,False,False,False
BULLA,52,17,31.25447045928322,65.42992719320503,34.17545673392182,0.3269230769230769,0.6010475088323696,1.9145297077554695,True,v9,full_history_posthoc,False,False,False
BX,11,3,-2.4321166805613172,5.97191680325306,8.404033483814377,0.2727272727272727,-0.22110151641466522,0.7106012624479167,True,v9,full_history_posthoc,False,False,False
BZ,24,12,17.528706712627773,30.938514520151884,13.40980780752411,0.5,0.7303627796928239,2.3071557000833813,True,v9,full_history_posthoc,False,False,False
C,77,21,-18.558433982553975,34.00319780820942,52.5616317907634,0.2727272727272727,-0.24101862315005163,0.6469205131143734,True,v9,full_history_posthoc,False,False,False
C98,121,42,25.186578155821003,101.37655538990282,76.18997723408182,0.34710743801652894,0.20815353847785953,1.3305760031721647,True,v9,full_history_posthoc,False,False,False
CAKE,134,45,22.858933722826137,109.35840848071823,86.49947475789209,0.3358208955223881,0.17058905763303087,1.2642667344143672,True,v9,full_history_posthoc,False,False,False
CAP,39,7,-22.624618531296452,7.99535905506948,30.619977586365934,0.1794871794871795,-0.5801184238793962,0.26111577098702876,True,v9,full_history_posthoc,False,True,True
CARV,46,20,8.776802057517562,36.55089158576991,27.774089528252347,0.43478260869565216,0.19080004472864265,1.316006832504433,True,v9,full_history_posthoc,False,False,False
CATI,108,34,-14.073609680122724,61.64036952611312,75.71397920623585,0.3148148148148148,-0.13031120074187708,0.8141213838228223,True,v9,full_history_posthoc,False,False,False
CBRS,11,3,-2.813392017484963,4.757099371811744,7.570491389296707,0.2727272727272727,-0.2557629106804512,0.6283739227994386,True,v9,full_history_posthoc,False,False,False
CC,110,28,-14.850541804510092,67.96061750652049,82.81115931103058,0.2545454545454545,-0.1350049254955463,0.8206697994803707,True,v9,full_history_posthoc,False,False,False
CELO,209,71,8.794916303822589,141.42665465108595,132.63173834726337,0.3397129186602871,0.04208093925273966,1.0663107971999528,True,v9,full_history_posthoc,False,False,False
CELR,114,35,-5.9592568427816675,71.88399888443138,77.84325572721305,0.30701754385964913,-0.05227418283141814,0.9234454316291092,True,v9,full_history_posthoc,False,False,False
CETUS,114,32,-8.695066715539374,73.67914744018309,82.37421415572247,0.2807017543859649,-0.076272515048591,0.8944443136161276,True,v9,full_history_posthoc,False,False,False
CFG,63,22,23.95786978042934,63.41885516327226,39.46098538284292,0.3492063492063492,0.38028364730840225,1.6071280163937793,True,v9,full_history_posthoc,False,False,False
