arm,selection_mode,period,policy,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip,assets_with_events,known_assets_with_events,blacklist_assets,excluded_assets_present,removed_closed,net_r_delta,gross_r,gross_r_delta,cost_r_reduction,original_ge10,retained_original_ge10,lost_original_ge10,excluded_fit_under10,excluded_fit_under30,unscored_retained_assets,unknown_asset_closed
v9,earlier_frozen_later,later,baseline,50447,50021,426,0.29427640391035764,-0.04176620419053339,-2089.1872998146705,0.9401374674427213,0.9905692417372317,275,3852.6794860229593,-2223.8384641339194,50447,49874,573,-0.04121018440761878,-0.06001086157730027,0.018800677169681486,0.28491799334322493,0.00043242436154929337,13,-0.021189096012613328,0.05411135334043547,0.1924037981009495,791,791,0,0,0,0.0,1743.0748524197995,0.0,0.0,275,275,0,0,0,307,0
v9,earlier_frozen_later,later,win_le_10pct,49796,49372,424,0.2942558535202139,-0.04513237439888926,-2228.2755888219604,0.9353123507645842,0.9855305052208357,266,3999.4384677729627,-2362.9267531412092,49796,49226,570,-0.04459988118378232,-0.060695943976683965,0.016096062792901624,0.2846260106447812,0.00035347149387538834,13,-0.02661699832395379,0.053408745219859326,0.23338330834582707,778,778,14,13,649,-139.08828900728986,1564.9706150287225,-178.10423739107705,39.01594838378742,275,266,9,11,14,307,0
v9,earlier_frozen_later,later,mean_lt_neg036,47061,46657,404,0.2945538718734595,-0.049596690684949964,-2314.0327972877103,0.9288874519498272,0.9823870167407615,236,3900.783674643149,-2448.683961606959,47061,46520,541,-0.048896025685331294,-0.06310302009164637,0.014206994406315074,0.2850171969045572,0.0002747147351816629,13,-0.027596451469924725,0.05118972844820077,0.26286856571714146,733,733,63,58,3364,-224.8454974730398,1286.1728851476028,-456.90196727219677,232.05646979915628,275,236,39,19,40,307,0
v9,earlier_frozen_later,later,pf_lt_05,46830,46426,404,0.2949855684314824,-0.04857054630814081,-2254.9361829017453,0.930313077971812,0.982113967596893,233,3857.0230222336418,-2389.587347220994,46830,46290,540,-0.048073298440745704,-0.06158210526568176,0.013508806824936048,0.28481313458630375,0.0002319062504185394,13,-0.028980137216434335,0.051483777053510205,0.27386306846576713,732,732,64,59,3595,-165.74888308707477,1327.06461683349,-416.0102355863096,250.26135249923482,275,233,42,20,43,307,0
v8,full_history_posthoc,full,baseline,95191,94746,445,0.3004876195301121,-0.021338979467646523,-2021.7829486416376,0.9699736133361709,1.0008469114462715,532,8293.680256236317,-2156.4341129608865,95191,94580,611,-0.02096621993379671,-0.0697404382809426,0.04877421834714591,0.2881053076760414,0.0002600332425948789,25,0.008326765486049392,0.09332729689024377,0.018490754622688656,822,822,0,0,0,0.0,7116.986221150504,0.0,0.0,532,532,0,0,0,1,0
v8,full_history_posthoc,full,win_le_10pct,94811,94373,438,0.30156930477996885,0.0035920840047081247,338.99574377631984,1.005218768606384,1.0023675992396044,532,7018.797923380562,204.34457945707095,94811,94209,602,0.003980612497402313,-0.02021213623551798,0.02419274873292029,0.288719761381609,0.0002848446316827105,25,-0.01270679004992852,0.06701523298268941,0.1184407796101949,796,796,26,26,373,2360.7786924179572,7355.650581727835,238.66436057733063,2122.114331840625,532,532,0,15,24,1,0
v8,full_history_posthoc,full,mean_lt_neg036,90443,90056,387,0.30618726125966067,0.027147706973264553,2444.8138991843125,1.0398016523051368,1.0324799098901374,529,5529.506394216729,2310.1627348650636,90443,89909,534,0.027504606721519134,-0.01278439327313304,0.040288999994652165,0.289348118653305,0.0008592222220522991,25,0.0028938292643325117,0.0828034904626478,0.031484257871064465,700,700,122,122,4690,4466.59684782595,9046.014900408316,1929.0286792578117,2537.5681685681393,532,529,3,27,73,1,0
v8,full_history_posthoc,full,pf_lt_05,91323,90930,393,0.305410755526229,0.023290804886097173,2117.832888292816,1.0340871557714535,1.0274201145386013,531,5724.447014674344,1983.181723973567,91323,90782,541,0.02364969657026161,-0.013333473176609111,0.03698316974687072,0.28937454561476944,0.0007545372652719953,25,-0.0004927879537085747,0.07996106210802462,0.04297851074462768,714,714,108,108,3816,4139.615836934454,8787.568033809388,1670.5818126588838,2469.034024275572,532,531,1,27,68,1,0
v8,full_history_posthoc,earlier,baseline,36573,36573,0,0.3153692614770459,0.05745986812487874,2101.47975693119,1.0822821916230054,1.0549792907120359,198,3463.5776343277003,2033.3615446169647,36573,36351,222,0.06222360464395814,-0.029057342479447506,0.09128094712340566,0.2927292234051333,0.0013823542777395231,13,0.0022256652635860496,0.1857667969334484,0.047476261869065464,515,515,0,0,0,0.0,5630.7334647572625,0.0,0.0,198,198,0,0,0,0,0
v8,full_history_posthoc,earlier,win_le_10pct,36462,36462,0,0.3163019033514344,0.08970347548471695,3270.7681231237493,1.1342148919478388,1.0553786100661098,198,3243.170103364318,3202.649910809524,36462,36240,222,0.0946793217054382,0.0179538892527349,0.0767254324527033,0.2935430463576159,0.0013929779989039508,13,-0.009000006540219362,0.1669368265182834,0.06146926536731634,513,513,26,2,111,1169.2883661925594,5683.794672255702,53.06120749843922,1116.2271586941188,198,198,0,15,24,0,0
v8,full_history_posthoc,earlier,mean_lt_neg036,35797,35797,0,0.3186300527977205,0.10013126053484887,3584.398733365985,1.1503629593919307,1.0707639303613556,198,3154.3333024441413,3516.28052105176,35797,35582,215,0.10508058310396447,0.01998141406715084,0.08509916903681362,0.2933224664156034,0.0017099655963385147,13,-0.0029458434022627,0.17686725869528727,0.04997501249375312,487,487,122,28,776,1482.9189764347952,5954.022783506892,323.2893187496293,1159.6296576851637,198,198,0,27,73,0,0
v8,full_history_posthoc,earlier,pf_lt_05,36031,36031,0,0.31775415614332103,0.09619328503199116,3465.9402529876734,1.1442297806550379,1.0647874642058606,198,3168.361167120895,3397.822040673448,36031,35816,215,0.10108663244435315,0.01884454101715669,0.08224209142719646,0.2933046683046683,0.0015941187290696632,13,-0.005102953853466586,0.17365797852381612,0.053973013493253376,493,493,108,22,542,1364.4604960564834,5851.191486490684,220.45802173342145,1144.0024743230615,198,198,0,27,68,0,0
v8,full_history_posthoc,later,baseline,58050,57607,443,0.2885934001076258,-0.08383464931250223,-4829.462642945316,0.8838412582129702,0.9537997729533904,319,5997.195162912137,-4964.1138072645645,58050,57446,604,-0.08336745390743266,-0.10689765688514212,0.023530202977709438,0.28278731330292795,-0.00032096237153321586,13,-0.006498590275608817,0.05702703335406489,0.11794102948525736,792,792,0,0,0,0.0,747.2120936882613,0.0,0.0,319,319,0,0,0,1,0
v8,full_history_posthoc,later,win_le_10pct,57781,57345,436,0.2897549917168018,-0.063440096202283,-3637.972316719918,0.9098846456187931,0.9560340540753062,319,5021.1344953249445,-3772.623481039167,57781,57186,595,-0.06295982441948494,-0.0551860541113864,-0.007773770308098551,0.28326863218270204,-0.00028728330192169516,13,-0.0324024873196121,0.016759628202156967,0.7171414292853573,767,767,26,25,262,1191.4903262253974,932.8152467671539,185.60315307889255,1005.887173146506,319,319,0,15,24,1,0
v8,full_history_posthoc,later,mean_lt_neg036,54082,53696,386,0.29534788438617404,-0.03422642448034696,-1837.8220888967105,0.950821481341589,0.9950683350276373,316,3740.843726254817,-1972.4732532159594,54082,53552,530,-0.03372333547801912,-0.045935953910706685,0.01221261843268758,0.2842097400657305,0.0004448975400534615,13,-0.012159315996146065,0.03520858320045129,0.18140929535232383,676,676,122,116,3911,2991.640554048605,2361.074650543475,1613.8625568552136,1377.7779971933905,319,316,3,27,73,1,0
v8,full_history_posthoc,later,pf_lt_05,54727,54335,392,0.2947087512652986,-0.037642727386104066,-2045.3175925239645,0.9460082310314668,0.9909905819392228,318,3903.5408420467656,-2179.9687568432137,54727,54190,537,-0.03713621490935989,-0.04584247262956215,0.008706257720202268,0.2843144491603617,0.00034815503463673256,13,-0.017121708539308642,0.032674808541870146,0.2593703148425787,689,689,108,103,3272,2784.145050421351,2206.459080960756,1459.2469872724948,1324.8980631488557,319,318,1,27,68,1,0
v8,earlier_frozen_later,later,baseline,58050,57607,443,0.2885934001076258,-0.08383464931250223,-4829.462642945316,0.8838412582129702,0.9537997729533904,319,5997.195162912137,-4964.1138072645645,58050,57446,604,-0.08336745390743266,-0.10689765688514212,0.023530202977709438,0.28278731330292795,-0.00032096237153321586,13,-0.006498590275608817,0.05702703335406489,0.11794102948525736,792,792,0,0,0,0.0,747.2120936882613,0.0,0.0,319,319,0,0,0,307,0
v8,earlier_frozen_later,later,win_le_10pct,57419,56978,441,0.28890097932535364,-0.06900109312859867,-3931.5442842812954,0.9021938658588364,0.9497735973463208,312,5265.698733625439,-4066.1954486005443,57419,56818,601,-0.06850429658739055,-0.058003575042832836,-0.010500721544557709,0.2829385054032173,-0.0003856170041289742,13,-0.03681014050677232,0.015981332283644706,0.7651174412793603,781,781,12,11,629,897.9183586640202,662.0318691127416,-85.18022457551979,983.0985832395409,319,312,7,8,11,307,0
v8,earlier_frozen_later,later,mean_lt_neg036,53645,53226,419,0.2886183444181415,-0.07553456352500725,-4020.4026781820357,0.8929845222374029,0.9444157459187299,274,5101.984464675106,-4155.053842501285,53645,53074,571,-0.07504555549348631,-0.0604160219300798,-0.014629533563406521,0.2824923691449674,-0.0005266144303348581,13,-0.041281128285698465,0.01401452170798015,0.8325837081459271,730,730,68,62,4381,809.0599647632798,281.90328825402776,-465.3088054342336,1274.3687701975132,319,274,45,19,39,307,0
v8,earlier_frozen_later,later,pf_lt_05,54106,53682,424,0.2886256100741403,-0.07449224639481444,-3998.892770966429,0.8944533879944279,0.9453479768837053,282,5091.270104243052,-4133.543935285677,54106,53529,577,-0.0739904792121208,-0.061796255769699895,-0.012194223442420916,0.28240766687216273,-0.0004997411808567004,13,-0.03899630532712581,0.01657375094663629,0.7881059470264867,734,734,63,58,3925,830.5698719788866,354.31780193053174,-392.8942917577296,1223.4641637366167,319,282,37,20,39,307,0
