stream_key,venue,symbol,asset,timeframe_min,arm,events,closed,censored,net_r,realized_ge10,candidates
binance_240m_25d926ce521012a9,binance,WALUSDT,WAL,240,v8,4,4,0,-1.5749738937871962,0,4
binance_240m_25d926ce521012a9,binance,WALUSDT,WAL,240,v9,4,4,0,-1.5749738937871962,0,4
binance_240m_26f9f581ff8609a8,binance,DATAIPUSDT,DATAIP,240,v8,0,0,0,0.0,0,0
binance_240m_26f9f581ff8609a8,binance,DATAIPUSDT,DATAIP,240,v9,0,0,0,0.0,0,0
binance_240m_270222bff5ce051f,binance,PIXELUSDT,PIXEL,240,v8,8,8,0,-0.27888020989159046,0,9
binance_240m_270222bff5ce051f,binance,PIXELUSDT,PIXEL,240,v9,7,7,0,-2.135512978253175,0,8
binance_240m_272348b1cf31bbb8,binance,ZRCUSDT,ZRC,240,v8,0,0,0,0.0,0,0
binance_240m_272348b1cf31bbb8,binance,ZRCUSDT,ZRC,240,v9,0,0,0,0.0,0,0
binance_240m_272c9292a6bae0b6,binance,KASUSDT,KAS,240,v8,7,7,0,9.225984612730397,0,8
binance_240m_272c9292a6bae0b6,binance,KASUSDT,KAS,240,v9,6,6,0,8.297037653649667,0,6
binance_240m_273650dbc8ecf34a,binance,VELVETUSDT,VELVET,240,v8,2,2,0,-2.0459853827143126,0,2
binance_240m_273650dbc8ecf34a,binance,VELVETUSDT,VELVET,240,v9,2,2,0,-2.0459853827143126,0,2
binance_240m_2823b017019be725,binance,OMUSDT,OM,240,v8,11,11,0,12.412332770815922,0,13
binance_240m_2823b017019be725,binance,OMUSDT,OM,240,v9,8,8,0,10.257582947588183,0,10
binance_240m_284a943b57bcdd40,binance,CVCUSDT,CVC,240,v8,4,4,0,-2.6304327960480816,0,5
binance_240m_284a943b57bcdd40,binance,CVCUSDT,CVC,240,v9,4,4,0,-2.6304327960480816,0,5
binance_240m_2881513f6c75b4e1,binance,SCRUSDT,SCR,240,v8,7,7,0,4.379316491921475,0,7
binance_240m_2881513f6c75b4e1,binance,SCRUSDT,SCR,240,v9,7,7,0,4.379316491921475,0,7
binance_240m_28c0466093c1ae35,binance,TAOUSDT,TAO,240,v8,10,10,0,7.0677282943122925,0,10
binance_240m_28c0466093c1ae35,binance,TAOUSDT,TAO,240,v9,9,9,0,8.100832843394494,0,9
binance_240m_28f201470eba54b4,binance,CFXUSDT,CFX,240,v8,9,9,0,12.95618492141187,1,10
binance_240m_28f201470eba54b4,binance,CFXUSDT,CFX,240,v9,8,8,0,13.993932289832923,1,9
binance_240m_29eeae22c995fd88,binance,KSMUSDT,KSM,240,v8,11,11,0,11.987127068868073,0,14
binance_240m_29eeae22c995fd88,binance,KSMUSDT,KSM,240,v9,9,9,0,3.4728463656435977,0,12
binance_240m_2a2a8296d30f9bd3,binance,SOPHUSDT,SOPH,240,v8,6,6,0,-6.172420027146488,0,6
binance_240m_2a2a8296d30f9bd3,binance,SOPHUSDT,SOPH,240,v9,6,6,0,-6.172420027146488,0,6
binance_240m_2a73bc9447b2257f,binance,MAVUSDT,MAV,240,v8,15,15,0,-6.837174650921879,0,16
binance_240m_2a73bc9447b2257f,binance,MAVUSDT,MAV,240,v9,13,13,0,-4.757054996463396,0,14
binance_240m_2a8edd754c41355a,binance,LSKUSDT,LSK,240,v8,11,11,0,10.160732287681281,0,12
binance_240m_2a8edd754c41355a,binance,LSKUSDT,LSK,240,v9,9,9,0,12.243422735339664,0,9
binance_240m_2ab5c509477fc559,binance,AXLUSDT,AXL,240,v8,8,8,0,-6.743109733506002,0,9
binance_240m_2ab5c509477fc559,binance,AXLUSDT,AXL,240,v9,6,6,0,-4.711453489065951,0,7
binance_240m_2aefc801776ae2e8,binance,AZTECUSDT,AZTEC,240,v8,3,3,0,1.0447153961480646,0,3
binance_240m_2aefc801776ae2e8,binance,AZTECUSDT,AZTEC,240,v9,3,3,0,1.0447153961480646,0,3
binance_240m_2b149b74d1b40c60,binance,FLOCKUSDT,FLOCK,240,v8,4,4,0,-1.7408861256211237,0,4
binance_240m_2b149b74d1b40c60,binance,FLOCKUSDT,FLOCK,240,v9,4,4,0,-1.7408861256211237,0,4
binance_240m_2b888c24d5152a17,binance,GRAMUSDT,GRAM,240,v8,0,0,0,0.0,0,0
binance_240m_2b888c24d5152a17,binance,GRAMUSDT,GRAM,240,v9,0,0,0,0.0,0,0
binance_240m_2b8a9fcd6e225420,binance,VIRTUALUSDT,VIRTUAL,240,v8,10,10,0,5.8644094274377325,0,12
binance_240m_2b8a9fcd6e225420,binance,VIRTUALUSDT,VIRTUAL,240,v9,9,9,0,4.811402360299921,0,11
binance_240m_2bafdd8c05656d58,binance,BLURUSDT,BLUR,240,v8,6,6,0,-4.4505355633762935,0,9
binance_240m_2bafdd8c05656d58,binance,BLURUSDT,BLUR,240,v9,6,6,0,-4.4505355633762935,0,8
binance_240m_2bdba9c6b368ce38,binance,TWTUSDT,TWT,240,v8,8,8,0,2.839509274061312,0,11
binance_240m_2bdba9c6b368ce38,binance,TWTUSDT,TWT,240,v9,8,8,0,2.4765621556117345,0,10
binance_240m_2bef5409f3fe1df6,binance,NOTUSDT,NOT,240,v8,13,13,0,6.140549893906822,0,14
binance_240m_2bef5409f3fe1df6,binance,NOTUSDT,NOT,240,v9,13,13,0,6.140549893906822,0,13
binance_240m_2c09e203cadd95ee,binance,IMXUSDT,IMX,240,v8,8,8,0,-4.340332029138731,0,9
binance_240m_2c09e203cadd95ee,binance,IMXUSDT,IMX,240,v9,7,7,0,-3.316674494892156,0,8
binance_240m_2cc907951e75b372,binance,ELSAUSDT,ELSA,240,v8,0,0,0,0.0,0,0
binance_240m_2cc907951e75b372,binance,ELSAUSDT,ELSA,240,v9,0,0,0,0.0,0,0
binance_240m_2d0fd4c567fb4985,binance,ZKJUSDT,ZKJ,240,v8,4,4,0,-1.155048422761606,0,4
binance_240m_2d0fd4c567fb4985,binance,ZKJUSDT,ZKJ,240,v9,4,4,0,-1.155048422761606,0,4
binance_240m_2d2f31182acd606d,binance,PUMPUSDT,PUMP,240,v8,3,3,0,1.2585232969783648,0,3
